<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACCO.US,5,20131112,153500,5.8600,5.8700,5.8100,5.8100,2621,0
ACCO.US,5,20131112,154000,5.8200,5.8400,5.8200,5.8400,1810,0
ACCO.US,5,20131112,154500,5.8400,5.8400,5.8300,5.8400,2842,0
ACCO.US,5,20131112,155000,5.8400,5.8500,5.8400,5.8400,1600,0
ACCO.US,5,20131112,155500,5.8300,5.8400,5.8100,5.8200,1700,0
ACCO.US,5,20131112,160000,5.8200,5.8400,5.8200,5.8400,5400,0
ACCO.US,5,20131112,160500,5.8300,5.8500,5.8200,5.8200,8918,0
ACCO.US,5,20131112,161000,5.8200,5.8300,5.8200,5.8200,800,0
ACCO.US,5,20131112,161500,5.8300,5.8300,5.8200,5.8200,3000,0
ACCO.US,5,20131112,162000,5.8100,5.8100,5.8000,5.8000,7600,0
ACCO.US,5,20131112,162500,5.8100,5.8100,5.7700,5.7800,6700,0
ACCO.US,5,20131112,163000,5.7900,5.7900,5.7800,5.7900,2400,0
ACCO.US,5,20131112,163500,5.7900,5.8100,5.7800,5.7900,4900,0
ACCO.US,5,20131112,164000,5.8000,5.8100,5.7900,5.8000,3400,0
ACCO.US,5,20131112,164500,5.7900,5.8000,5.7900,5.8000,1400,0
ACCO.US,5,20131112,165000,5.8000,5.8000,5.7700,5.7800,5100,0
ACCO.US,5,20131112,165500,5.7900,5.7900,5.7700,5.7700,2900,0
ACCO.US,5,20131112,170000,5.7800,5.7900,5.7700,5.7800,4900,0
ACCO.US,5,20131112,170500,5.7700,5.7900,5.7700,5.7900,5046,0
ACCO.US,5,20131112,171000,5.7800,5.7900,5.7800,5.7800,1800,0
ACCO.US,5,20131112,171500,5.7900,5.7900,5.7700,5.7800,5400,0
ACCO.US,5,20131112,172000,5.7700,5.7800,5.7600,5.7800,5926,0
ACCO.US,5,20131112,172500,5.7700,5.7800,5.7700,5.7800,7100,0
ACCO.US,5,20131112,173000,5.7800,5.7800,5.7700,5.7800,2180,0
ACCO.US,5,20131112,173500,5.7800,5.7900,5.7700,5.7800,4200,0
ACCO.US,5,20131112,174000,5.7800,5.7800,5.7600,5.7600,2800,0
ACCO.US,5,20131112,174500,5.7600,5.7800,5.7600,5.7800,2950,0
ACCO.US,5,20131112,175000,5.7800,5.7800,5.7700,5.7700,4164,0
ACCO.US,5,20131112,175500,5.7700,5.7700,5.7500,5.7600,6600,0
ACCO.US,5,20131112,180000,5.7700,5.7800,5.7700,5.7800,1100,0
ACCO.US,5,20131112,180500,5.7700,5.7800,5.7700,5.7800,6178,0
ACCO.US,5,20131112,181000,5.7700,5.7800,5.7600,5.7700,7464,0
ACCO.US,5,20131112,181500,5.7700,5.7800,5.7700,5.7800,700,0
ACCO.US,5,20131112,182000,5.7700,5.7800,5.7600,5.7800,4793,0
ACCO.US,5,20131112,182500,5.7800,5.7800,5.7600,5.7600,16700,0
ACCO.US,5,20131112,183000,5.7500,5.7600,5.7300,5.7400,6561,0
ACCO.US,5,20131112,183500,5.7300,5.7400,5.7200,5.7400,7300,0
ACCO.US,5,20131112,184000,5.7500,5.7600,5.7500,5.7600,2000,0
ACCO.US,5,20131112,184500,5.7600,5.7600,5.7600,5.7600,700,0
ACCO.US,5,20131112,185000,5.7600,5.7700,5.7600,5.7700,1076,0
ACCO.US,5,20131112,185500,5.7700,5.7700,5.7600,5.7700,2695,0
ACCO.US,5,20131112,190000,5.7700,5.7700,5.7100,5.7100,43376,0
ACCO.US,5,20131112,190500,5.7200,5.7400,5.7200,5.7400,30640,0
ACCO.US,5,20131112,191000,5.7200,5.7300,5.7200,5.7300,1699,0
ACCO.US,5,20131112,191500,5.7300,5.7300,5.7200,5.7200,200,0
ACCO.US,5,20131112,192000,5.7200,5.7200,5.7100,5.7100,2100,0
ACCO.US,5,20131112,192500,5.7100,5.7300,5.7100,5.7300,4022,0
ACCO.US,5,20131112,193000,5.7300,5.7300,5.7100,5.7200,3300,0
ACCO.US,5,20131112,193500,5.7300,5.7300,5.7000,5.7100,2343,0
ACCO.US,5,20131112,194000,5.7200,5.7200,5.7200,5.7200,1000,0
ACCO.US,5,20131112,194500,5.7200,5.7200,5.7200,5.7200,200,0
ACCO.US,5,20131112,195000,5.7200,5.7200,5.7100,5.7200,1889,0
ACCO.US,5,20131112,195500,5.7200,5.7200,5.7100,5.7100,200,0
ACCO.US,5,20131112,200000,5.7200,5.7200,5.7100,5.7200,1700,0
ACCO.US,5,20131112,200500,5.7100,5.7200,5.7100,5.7100,5788,0
ACCO.US,5,20131112,201000,5.7100,5.7100,5.7000,5.7100,6100,0
ACCO.US,5,20131112,201500,5.7100,5.7100,5.7000,5.7100,2911,0
ACCO.US,5,20131112,202000,5.7100,5.7100,5.6800,5.6800,16400,0
ACCO.US,5,20131112,202500,5.6900,5.6900,5.6800,5.6800,4300,0
ACCO.US,5,20131112,203000,5.6900,5.6900,5.6500,5.6500,19926,0
ACCO.US,5,20131112,203500,5.6600,5.6800,5.6500,5.6700,14743,0
ACCO.US,5,20131112,204000,5.6700,5.6900,5.6700,5.6700,8600,0
ACCO.US,5,20131112,204500,5.6800,5.6800,5.6700,5.6800,7400,0
ACCO.US,5,20131112,205000,5.6700,5.6900,5.6700,5.6900,13800,0
ACCO.US,5,20131112,205500,5.6900,5.6900,5.6800,5.6900,2300,0
ACCO.US,5,20131112,210000,5.6900,5.7000,5.6800,5.7000,6300,0
ACCO.US,5,20131112,210500,5.7000,5.7100,5.6900,5.6900,3400,0
ACCO.US,5,20131112,211000,5.7000,5.7000,5.7000,5.7000,1300,0
ACCO.US,5,20131112,211500,5.7000,5.7100,5.7000,5.7000,3053,0
ACCO.US,5,20131112,212000,5.7000,5.7100,5.7000,5.7100,300,0
ACCO.US,5,20131112,212500,5.7100,5.7100,5.6900,5.7000,8152,0
ACCO.US,5,20131112,213000,5.6900,5.7100,5.6900,5.7000,4722,0
ACCO.US,5,20131112,213500,5.7100,5.7100,5.7000,5.7000,3550,0
ACCO.US,5,20131112,214000,5.7100,5.7100,5.7000,5.7000,2378,0
ACCO.US,5,20131112,214500,5.7000,5.7100,5.7000,5.7100,2000,0
ACCO.US,5,20131112,215000,5.7100,5.7200,5.6900,5.7000,36639,0
ACCO.US,5,20131112,215500,5.7000,5.7200,5.6900,5.7200,45830,0
ACCO.US,5,20131112,220000,5.7200,5.7400,5.7200,5.7400,42137,0
ACCO.US,5,20131112,220500,5.7400,5.7400,5.7400,5.7400,55518,0
