<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADM.US,5,20131112,153500,40.7800,40.8200,40.7100,40.7600,94267,0
ADM.US,5,20131112,154000,40.7600,40.7700,40.6700,40.6800,103134,0
ADM.US,5,20131112,154500,40.6900,40.7600,40.6600,40.6900,92513,0
ADM.US,5,20131112,155000,40.6900,40.6900,40.5000,40.5100,123340,0
ADM.US,5,20131112,155500,40.5100,40.5300,40.4700,40.5000,107790,0
ADM.US,5,20131112,160000,40.5000,40.5100,40.4200,40.4400,106649,0
ADM.US,5,20131112,160500,40.4400,40.4600,40.3400,40.3500,129578,0
ADM.US,5,20131112,161000,40.3500,40.4300,40.3200,40.3800,171789,0
ADM.US,5,20131112,161500,40.3800,40.4200,40.3400,40.3600,140287,0
ADM.US,5,20131112,162000,40.3500,40.4100,40.3300,40.3900,95941,0
ADM.US,5,20131112,162500,40.4000,40.5000,40.3700,40.4800,80576,0
ADM.US,5,20131112,163000,40.4700,40.5100,40.4400,40.5000,104129,0
ADM.US,5,20131112,163500,40.5000,40.5200,40.4700,40.4800,81524,0
ADM.US,5,20131112,164000,40.4800,40.5200,40.4400,40.5000,99120,0
ADM.US,5,20131112,164500,40.5100,40.6000,40.5000,40.5800,45275,0
ADM.US,5,20131112,165000,40.5900,40.6300,40.5800,40.6200,44451,0
ADM.US,5,20131112,165500,40.6200,40.7400,40.6200,40.7300,45450,0
ADM.US,5,20131112,170000,40.7500,40.7800,40.6700,40.6700,57592,0
ADM.US,5,20131112,170500,40.6800,40.7000,40.6300,40.6900,86145,0
ADM.US,5,20131112,171000,40.7000,40.7100,40.6400,40.6700,38262,0
ADM.US,5,20131112,171500,40.6700,40.7000,40.6600,40.6900,48429,0
ADM.US,5,20131112,172000,40.6900,40.7100,40.6700,40.6900,36240,0
ADM.US,5,20131112,172500,40.7000,40.7300,40.6600,40.7000,39258,0
ADM.US,5,20131112,173000,40.7000,40.7300,40.6200,40.6300,57597,0
ADM.US,5,20131112,173500,40.6300,40.6700,40.6200,40.6700,96860,0
ADM.US,5,20131112,174000,40.6700,40.6700,40.5300,40.5500,211932,0
ADM.US,5,20131112,174500,40.5500,40.5800,40.5300,40.5400,39339,0
ADM.US,5,20131112,175000,40.5500,40.5500,40.4900,40.4900,32756,0
ADM.US,5,20131112,175500,40.5000,40.5100,40.4200,40.4200,41092,0
ADM.US,5,20131112,180000,40.4300,40.4300,40.3900,40.3900,34338,0
ADM.US,5,20131112,180500,40.3900,40.4800,40.3900,40.4300,41620,0
ADM.US,5,20131112,181000,40.4200,40.4200,40.3700,40.3700,31363,0
ADM.US,5,20131112,181500,40.3800,40.4100,40.3400,40.3400,74697,0
ADM.US,5,20131112,182000,40.3400,40.4200,40.3200,40.4100,33543,0
ADM.US,5,20131112,182500,40.4100,40.4300,40.3900,40.4200,24835,0
ADM.US,5,20131112,183000,40.4200,40.4600,40.4100,40.4300,31787,0
ADM.US,5,20131112,183500,40.4300,40.4300,40.3700,40.3800,23323,0
ADM.US,5,20131112,184000,40.3800,40.4100,40.3400,40.3500,59025,0
ADM.US,5,20131112,184500,40.3500,40.3800,40.0600,40.3100,260253,0
ADM.US,5,20131112,185000,40.3000,40.3400,40.3000,40.3300,22900,0
ADM.US,5,20131112,185500,40.3300,40.3500,40.2900,40.3000,57576,0
ADM.US,5,20131112,190000,40.3100,40.3100,40.2500,40.2700,62607,0
ADM.US,5,20131112,190500,40.2700,40.3300,40.2700,40.3200,51878,0
ADM.US,5,20131112,191000,40.3300,40.3900,40.3200,40.3200,39304,0
ADM.US,5,20131112,191500,40.3200,40.3600,40.3100,40.3600,16585,0
ADM.US,5,20131112,192000,40.3500,40.4000,40.3400,40.4000,32386,0
ADM.US,5,20131112,192500,40.4000,40.4400,40.4000,40.4300,16759,0
ADM.US,5,20131112,193000,40.4300,40.4600,40.4100,40.4100,27144,0
ADM.US,5,20131112,193500,40.4100,40.4200,40.3400,40.3600,39784,0
ADM.US,5,20131112,194000,40.3600,40.3800,40.3400,40.3800,26677,0
ADM.US,5,20131112,194500,40.3800,40.4000,40.3600,40.3800,36696,0
ADM.US,5,20131112,195000,40.3800,40.4100,40.3700,40.4100,21473,0
ADM.US,5,20131112,195500,40.4000,40.4200,40.4000,40.4000,10639,0
ADM.US,5,20131112,200000,40.4100,40.4400,40.4000,40.4300,28151,0
ADM.US,5,20131112,200500,40.4300,40.4500,40.4200,40.4400,26642,0
ADM.US,5,20131112,201000,40.4400,40.4800,40.4400,40.4700,32794,0
ADM.US,5,20131112,201500,40.4800,40.4900,40.4700,40.4900,15346,0
ADM.US,5,20131112,202000,40.4900,40.5400,40.4900,40.5400,49553,0
ADM.US,5,20131112,202500,40.5400,40.5700,40.5200,40.5400,46727,0
ADM.US,5,20131112,203000,40.5400,40.5600,40.5200,40.5200,38812,0
ADM.US,5,20131112,203500,40.5200,40.5300,40.5000,40.5100,87656,0
ADM.US,5,20131112,204000,40.5100,40.5200,40.4800,40.4900,35431,0
ADM.US,5,20131112,204500,40.4900,40.5100,40.4900,40.5000,11851,0
ADM.US,5,20131112,205000,40.5100,40.6100,40.5000,40.6000,42011,0
ADM.US,5,20131112,205500,40.6000,40.6400,40.5500,40.5800,47760,0
ADM.US,5,20131112,210000,40.5700,40.6500,40.5700,40.6100,36052,0
ADM.US,5,20131112,210500,40.6100,40.6500,40.6100,40.6400,101447,0
ADM.US,5,20131112,211000,40.6300,40.6700,40.6200,40.6400,72747,0
ADM.US,5,20131112,211500,40.6400,40.6700,40.5800,40.6100,61855,0
ADM.US,5,20131112,212000,40.6100,40.6200,40.5300,40.5600,146357,0
ADM.US,5,20131112,212500,40.5700,40.5800,40.5200,40.5200,51164,0
ADM.US,5,20131112,213000,40.5300,40.5300,40.4400,40.4400,107355,0
ADM.US,5,20131112,213500,40.4300,40.4900,40.4300,40.4800,111586,0
ADM.US,5,20131112,214000,40.4700,40.5100,40.4600,40.4600,97250,0
ADM.US,5,20131112,214500,40.4600,40.4900,40.4300,40.4400,110120,0
ADM.US,5,20131112,215000,40.4400,40.4500,40.4000,40.4200,142946,0
ADM.US,5,20131112,215500,40.4100,40.4300,40.3800,40.3900,206724,0
ADM.US,5,20131112,220000,40.3900,40.4800,40.3800,40.4300,529943,0
ADM.US,5,20131112,220500,40.4200,40.4200,40.4200,40.4200,147959,0
ADM.US,5,20131113,153500,40.3400,40.6400,40.3300,40.6000,64777,0
