<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEM.US,5,20131112,153500,28.4600,28.6700,28.3400,28.5500,18871,0
AEM.US,5,20131112,154000,28.6100,28.6900,28.5700,28.6300,6707,0
AEM.US,5,20131112,154500,28.6200,28.6900,28.5500,28.6900,9784,0
AEM.US,5,20131112,155000,28.6300,28.6700,28.5100,28.5600,31442,0
AEM.US,5,20131112,155500,28.5700,28.7700,28.5100,28.7300,32065,0
AEM.US,5,20131112,160000,28.7500,28.9300,28.7200,28.8800,27600,0
AEM.US,5,20131112,160500,28.8900,28.9300,28.7300,28.7900,86389,0
AEM.US,5,20131112,161000,28.8100,28.8900,28.7800,28.8200,22066,0
AEM.US,5,20131112,161500,28.8300,28.8900,28.7600,28.7600,18521,0
AEM.US,5,20131112,162000,28.7500,28.7600,28.7000,28.7100,33300,0
AEM.US,5,20131112,162500,28.7100,28.7100,28.5500,28.5500,17539,0
AEM.US,5,20131112,163000,28.5600,28.6600,28.5400,28.6500,13619,0
AEM.US,5,20131112,163500,28.6200,28.6500,28.5500,28.5500,9659,0
AEM.US,5,20131112,164000,28.5700,28.6100,28.4900,28.5000,18943,0
AEM.US,5,20131112,164500,28.5000,28.5000,28.4400,28.4400,4998,0
AEM.US,5,20131112,165000,28.4300,28.4500,28.3200,28.3600,34409,0
AEM.US,5,20131112,165500,28.3700,28.4500,28.3600,28.3900,12200,0
AEM.US,5,20131112,170000,28.3900,28.4100,28.3000,28.3100,33296,0
AEM.US,5,20131112,170500,28.3000,28.3000,28.1300,28.2600,35778,0
AEM.US,5,20131112,171000,28.2500,28.3100,28.1800,28.2100,13030,0
AEM.US,5,20131112,171500,28.2200,28.3100,28.2000,28.2600,11490,0
AEM.US,5,20131112,172000,28.2600,28.2600,28.1200,28.1400,15001,0
AEM.US,5,20131112,172500,28.1300,28.1600,28.1000,28.1400,6100,0
AEM.US,5,20131112,173000,28.1400,28.1800,28.1000,28.1500,4100,0
AEM.US,5,20131112,173500,28.1600,28.2500,28.1600,28.2100,8290,0
AEM.US,5,20131112,174000,28.2300,28.2300,28.1600,28.1600,3400,0
AEM.US,5,20131112,174500,28.1600,28.1600,28.0700,28.0800,6450,0
AEM.US,5,20131112,175000,28.0800,28.1300,28.0700,28.1200,7210,0
AEM.US,5,20131112,175500,28.1100,28.1300,28.0700,28.1000,10247,0
AEM.US,5,20131112,180000,28.0600,28.1200,28.0600,28.0600,5674,0
AEM.US,5,20131112,180500,28.0700,28.2800,28.0700,28.2500,20265,0
