<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AES.US,5,20131112,153500,14.5400,14.6000,14.5100,14.5800,115169,0
AES.US,5,20131112,154000,14.5800,14.6400,14.5700,14.6400,73971,0
AES.US,5,20131112,154500,14.6300,14.6600,14.6200,14.6600,113874,0
AES.US,5,20131112,155000,14.6600,14.6700,14.5900,14.6200,87649,0
AES.US,5,20131112,155500,14.6200,14.6500,14.5900,14.6300,95722,0
AES.US,5,20131112,160000,14.6300,14.6600,14.5900,14.6400,113381,0
AES.US,5,20131112,160500,14.6300,14.6400,14.5800,14.6400,90143,0
AES.US,5,20131112,161000,14.6400,14.6700,14.6300,14.6700,41352,0
AES.US,5,20131112,161500,14.6700,14.6800,14.6600,14.6800,61619,0
AES.US,5,20131112,162000,14.6700,14.7400,14.6700,14.7400,104831,0
AES.US,5,20131112,162500,14.7400,14.7400,14.7100,14.7400,133537,0
AES.US,5,20131112,163000,14.7300,14.7500,14.7200,14.7200,383370,0
AES.US,5,20131112,163500,14.7300,14.7300,14.6800,14.6900,315321,0
AES.US,5,20131112,164000,14.6800,14.6800,14.6600,14.6700,47875,0
AES.US,5,20131112,164500,14.6600,14.7100,14.6600,14.6900,299880,0
AES.US,5,20131112,165000,14.6900,14.7100,14.6800,14.7100,131729,0
AES.US,5,20131112,165500,14.7000,14.7100,14.7000,14.7000,56636,0
AES.US,5,20131112,170000,14.7000,14.7100,14.6900,14.7000,120605,0
AES.US,5,20131112,170500,14.6900,14.7200,14.6900,14.7100,78942,0
AES.US,5,20131112,171000,14.7200,14.7200,14.7100,14.7200,73610,0
AES.US,5,20131112,171500,14.7100,14.7200,14.7100,14.7200,58674,0
AES.US,5,20131112,172000,14.7100,14.7200,14.7100,14.7200,31400,0
AES.US,5,20131112,172500,14.7200,14.7200,14.7100,14.7200,46377,0
AES.US,5,20131112,173000,14.7200,14.7700,14.7100,14.7700,145538,0
AES.US,5,20131112,173500,14.7700,14.7700,14.7500,14.7600,43536,0
AES.US,5,20131112,174000,14.7600,14.7600,14.7100,14.7200,137235,0
AES.US,5,20131112,174500,14.7200,14.7200,14.7000,14.7100,77261,0
AES.US,5,20131112,175000,14.7000,14.7500,14.7000,14.7500,145206,0
AES.US,5,20131112,175500,14.7400,14.7500,14.7400,14.7500,47664,0
AES.US,5,20131112,180000,14.7500,14.7500,14.7400,14.7500,39747,0
AES.US,5,20131112,180500,14.7500,14.7800,14.7400,14.7700,181591,0
AES.US,5,20131112,181000,14.7800,14.8500,14.7700,14.8500,220714,0
AES.US,5,20131112,181500,14.8500,14.9000,14.8300,14.8400,392754,0
AES.US,5,20131112,182000,14.8300,14.8400,14.7700,14.8000,185058,0
AES.US,5,20131112,182500,14.8000,14.8300,14.7500,14.7500,141468,0
AES.US,5,20131112,183000,14.7500,14.7600,14.7200,14.7500,64381,0
AES.US,5,20131112,183500,14.7500,14.7600,14.7100,14.7300,149656,0
AES.US,5,20131112,184000,14.7400,14.7400,14.7100,14.7100,94807,0
AES.US,5,20131112,184500,14.7200,14.7200,14.7000,14.7200,170369,0
AES.US,5,20131112,185000,14.7200,14.7500,14.7100,14.7200,119251,0
AES.US,5,20131112,185500,14.7100,14.7500,14.7100,14.7400,107999,0
AES.US,5,20131112,190000,14.7400,14.7700,14.7400,14.7700,38358,0
AES.US,5,20131112,190500,14.7700,14.8100,14.7700,14.8000,123001,0
AES.US,5,20131112,191000,14.8000,14.8000,14.7800,14.7900,75875,0
AES.US,5,20131112,191500,14.7900,14.7900,14.7800,14.7900,15805,0
AES.US,5,20131112,192000,14.7900,14.8400,14.7800,14.8100,153318,0
AES.US,5,20131112,192500,14.8100,14.8200,14.8000,14.8200,24442,0
AES.US,5,20131112,193000,14.8200,14.8200,14.7900,14.8000,99223,0
AES.US,5,20131112,193500,14.8000,14.8100,14.7900,14.8000,132835,0
AES.US,5,20131112,194000,14.8000,14.8000,14.7500,14.7700,184769,0
AES.US,5,20131112,194500,14.7700,14.8200,14.7700,14.8100,79491,0
AES.US,5,20131112,195000,14.8200,14.8200,14.8000,14.8100,73688,0
AES.US,5,20131112,195500,14.8200,14.8200,14.8000,14.8000,51023,0
AES.US,5,20131112,200000,14.8100,14.8100,14.8000,14.8000,30207,0
AES.US,5,20131112,200500,14.8100,14.8100,14.8000,14.8000,21200,0
AES.US,5,20131112,201000,14.8000,14.8200,14.8000,14.8100,79169,0
AES.US,5,20131112,201500,14.8200,14.8500,14.8100,14.8300,151619,0
AES.US,5,20131112,202000,14.8200,14.8300,14.8000,14.8100,87259,0
AES.US,5,20131112,202500,14.8100,14.8500,14.8100,14.8400,80399,0
AES.US,5,20131112,203000,14.8400,14.8600,14.8300,14.8600,81740,0
AES.US,5,20131112,203500,14.8500,14.8700,14.8500,14.8700,61693,0
AES.US,5,20131112,204000,14.8700,14.9200,14.8600,14.8700,212916,0
AES.US,5,20131112,204500,14.8800,14.8800,14.8500,14.8600,68952,0
AES.US,5,20131112,205000,14.8600,14.8600,14.8500,14.8600,41423,0
AES.US,5,20131112,205500,14.8600,14.8900,14.8500,14.8900,115847,0
AES.US,5,20131112,210000,14.8900,14.9300,14.8800,14.8800,157839,0
AES.US,5,20131112,210500,14.8800,14.8900,14.8400,14.8500,159306,0
AES.US,5,20131112,211000,14.8500,14.8600,14.8500,14.8600,81450,0
AES.US,5,20131112,211500,14.8600,14.8900,14.8500,14.8700,188904,0
AES.US,5,20131112,212000,14.8700,14.8900,14.8600,14.8800,124995,0
AES.US,5,20131112,212500,14.8800,14.8800,14.8500,14.8600,147282,0
AES.US,5,20131112,213000,14.8600,14.8700,14.8500,14.8700,127502,0
AES.US,5,20131112,213500,14.8700,14.9000,14.8700,14.9000,196807,0
AES.US,5,20131112,214000,14.9000,14.9000,14.8900,14.9000,183035,0
AES.US,5,20131112,214500,14.9000,14.9000,14.8900,14.8900,115239,0
AES.US,5,20131112,215000,14.8900,14.9000,14.8700,14.8800,553405,0
AES.US,5,20131112,215500,14.8800,14.8800,14.8600,14.8600,453197,0
AES.US,5,20131112,220000,14.8600,14.8700,14.8400,14.8700,597348,0
AES.US,5,20131112,220500,14.8600,14.8600,14.8600,14.8600,263003,0
AES.US,5,20131113,153500,14.8000,14.8000,14.7500,14.7800,53129,0
AES.US,5,20131113,154000,14.7700,14.7800,14.7300,14.7400,55838,0
AES.US,5,20131113,154500,14.7400,14.7400,14.6700,14.7000,110012,0
AES.US,5,20131113,155000,14.7000,14.7100,14.6500,14.6700,96807,0
AES.US,5,20131113,155500,14.6700,14.7000,14.6500,14.7000,92924,0
AES.US,5,20131113,160000,14.6900,14.7300,14.6900,14.7100,122312,0
AES.US,5,20131113,160500,14.7100,14.7600,14.7100,14.7600,141496,0
AES.US,5,20131113,161000,14.7600,14.7900,14.7500,14.7600,92269,0
AES.US,5,20131113,161500,14.7700,14.7800,14.7600,14.7800,68279,0
AES.US,5,20131113,162000,14.7800,14.8200,14.7800,14.8200,43089,0
AES.US,5,20131113,162500,14.8200,14.8400,14.7700,14.7800,54862,0
AES.US,5,20131113,163000,14.7800,14.8100,14.7700,14.7900,77456,0
AES.US,5,20131113,163500,14.8000,14.8200,14.7600,14.7800,60390,0
AES.US,5,20131113,164000,14.7800,14.7900,14.7700,14.7700,37184,0
AES.US,5,20131113,164500,14.7800,14.7900,14.7500,14.7800,68157,0
AES.US,5,20131113,165000,14.7800,14.8000,14.7700,14.8000,40578,0
AES.US,5,20131113,165500,14.8000,14.8500,14.7900,14.8500,53656,0
AES.US,5,20131113,170000,14.8500,14.8700,14.8400,14.8500,52227,0
