<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGM.US,5,20131112,153500,34.9000,35.1000,34.8800,34.8800,700,0
AGM.US,5,20131112,154000,34.8600,34.9600,34.8300,34.8600,1400,0
AGM.US,5,20131112,154500,34.7100,34.7100,34.3500,34.3500,900,0
AGM.US,5,20131112,155000,34.5900,34.6800,34.4400,34.6400,1700,0
AGM.US,5,20131112,155500,34.7000,34.7600,34.6300,34.6300,1995,0
AGM.US,5,20131112,160000,34.7600,35.1600,34.7600,35.1400,1715,0
AGM.US,5,20131112,161500,35.0800,35.0800,34.8900,34.9500,1888,0
AGM.US,5,20131112,162500,34.8100,34.8100,34.6000,34.8100,400,0
AGM.US,5,20131112,163000,34.7800,34.9000,34.7800,34.9000,702,0
AGM.US,5,20131112,163500,34.9000,34.9200,34.8800,34.9200,600,0
AGM.US,5,20131112,164000,35.0000,35.1600,35.0000,35.1600,505,0
AGM.US,5,20131112,164500,35.1600,35.1600,35.1600,35.1600,100,0
AGM.US,5,20131112,165000,35.0900,35.0900,35.0300,35.0800,600,0
AGM.US,5,20131112,165500,35.1200,35.1600,35.1000,35.1600,300,0
AGM.US,5,20131112,173500,35.0700,35.0700,35.0700,35.0700,300,0
AGM.US,5,20131112,174000,34.9100,34.9900,34.9100,34.9900,500,0
AGM.US,5,20131112,174500,35.1800,35.1800,35.1800,35.1800,1000,0
AGM.US,5,20131112,175000,35.1500,35.1800,35.1500,35.1800,200,0
AGM.US,5,20131112,175500,35.1800,35.1800,35.1800,35.1800,100,0
AGM.US,5,20131112,183500,35.0900,35.0900,35.0900,35.0900,400,0
AGM.US,5,20131112,185000,34.9700,35.1100,34.9700,35.1100,600,0
AGM.US,5,20131112,193000,35.0000,35.0000,35.0000,35.0000,100,0
AGM.US,5,20131112,193500,35.0000,35.0000,35.0000,35.0000,100,0
AGM.US,5,20131112,194000,35.0000,35.0000,35.0000,35.0000,100,0
AGM.US,5,20131112,194500,35.0000,35.0000,35.0000,35.0000,2900,0
AGM.US,5,20131112,200000,35.0100,35.0100,35.0100,35.0100,100,0
AGM.US,5,20131112,201000,35.1200,35.1200,35.0100,35.0100,200,0
AGM.US,5,20131112,204500,35.0100,35.0100,35.0100,35.0100,100,0
AGM.US,5,20131112,210000,35.1900,35.1900,35.1900,35.1900,100,0
AGM.US,5,20131112,210500,35.0100,35.0100,35.0100,35.0100,100,0
AGM.US,5,20131112,211500,35.0500,35.0500,35.0500,35.0500,600,0
AGM.US,5,20131112,213000,35.0000,35.0000,35.0000,35.0000,300,0
