<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO-E.US,5,20131112,154000,21.6800,21.6800,21.6800,21.6800,400,0
AGO-E.US,5,20131112,155000,21.7500,21.7500,21.7500,21.7500,200,0
AGO-E.US,5,20131112,160000,21.8000,21.8000,21.8000,21.8000,200,0
AGO-E.US,5,20131112,160500,21.8300,21.8500,21.8300,21.8500,500,0
AGO-E.US,5,20131112,161000,21.8400,21.8500,21.8300,21.8300,500,0
AGO-E.US,5,20131112,161500,21.8500,21.8500,21.8500,21.8500,300,0
AGO-E.US,5,20131112,162500,21.7900,21.7900,21.7900,21.7900,1000,0
AGO-E.US,5,20131112,172000,21.8600,21.8600,21.8600,21.8600,527,0
AGO-E.US,5,20131112,172500,21.7700,21.7900,21.7700,21.7700,1735,0
AGO-E.US,5,20131112,173500,21.7100,21.7100,21.6300,21.6300,2200,0
AGO-E.US,5,20131112,175000,21.6500,21.6500,21.6500,21.6500,100,0
AGO-E.US,5,20131112,175500,21.7400,21.7400,21.7300,21.7400,450,0
AGO-E.US,5,20131112,182000,21.6500,21.6500,21.6400,21.6500,828,0
AGO-E.US,5,20131112,183000,21.6500,21.6700,21.6500,21.6700,400,0
AGO-E.US,5,20131112,185000,21.6500,21.6500,21.6500,21.6500,100,0
AGO-E.US,5,20131112,185500,21.6500,21.6500,21.6500,21.6500,265,0
AGO-E.US,5,20131112,190500,21.6300,21.6500,21.6000,21.6000,1998,0
AGO-E.US,5,20131112,191000,21.6200,21.6200,21.6200,21.6200,200,0
AGO-E.US,5,20131112,192000,21.6000,21.6000,21.6000,21.6000,600,0
AGO-E.US,5,20131112,194500,21.4900,21.4900,21.4900,21.4900,1200,0
AGO-E.US,5,20131112,200500,21.6000,21.6000,21.6000,21.6000,3000,0
AGO-E.US,5,20131112,201000,21.6000,21.6000,21.6000,21.6000,1000,0
AGO-E.US,5,20131112,203000,21.4900,21.4900,21.4900,21.4900,300,0
AGO-E.US,5,20131112,205000,21.4900,21.4900,21.4900,21.4900,200,0
AGO-E.US,5,20131112,213000,21.5900,21.5900,21.5900,21.5900,100,0
AGO-E.US,5,20131112,220000,21.4600,21.4600,21.4600,21.4600,200,0
AGO-E.US,5,20131113,153500,21.6100,21.6100,21.6100,21.6100,200,0
AGO-E.US,5,20131113,155000,21.6200,21.6200,21.6100,21.6100,300,0
AGO-E.US,5,20131113,155500,21.5300,21.5300,21.5100,21.5100,358,0
AGO-E.US,5,20131113,162500,21.7100,21.7300,21.7100,21.7300,800,0
AGO-E.US,5,20131113,171500,21.5300,21.5300,21.5300,21.5300,100,0
AGO-E.US,5,20131113,175000,21.6800,21.6800,21.6800,21.6800,325,0
AGO-E.US,5,20131113,175500,21.6500,21.6500,21.6500,21.6500,225,0
