<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHT-A.US,5,20131112,172000,25.5500,25.5500,25.5500,25.5500,1000,0
AHT-A.US,5,20131112,191500,25.6300,25.6300,25.6300,25.6300,1100,0
AHT-A.US,5,20131112,192000,25.6300,25.6300,25.6300,25.6300,400,0
AHT-A.US,5,20131112,213500,25.7400,25.7400,25.7400,25.7400,300,0
AHT-A.US,5,20131113,165500,25.7300,25.7300,25.7300,25.7300,100,0
AHT-A.US,5,20131113,170000,25.5500,25.5500,25.5000,25.5000,560,0
AHT-A.US,5,20131113,171500,25.3700,25.3700,25.3700,25.3700,340,0
AHT-A.US,5,20131113,213000,25.5300,25.5300,25.5300,25.5300,200,0
AHT-A.US,5,20131113,213500,25.7500,25.7500,25.7200,25.7500,1100,0
AHT-A.US,5,20131113,214000,25.7500,25.7500,25.7500,25.7500,100,0
AHT-A.US,5,20131113,215000,25.5100,25.5100,25.5100,25.5100,200,0
AHT-A.US,5,20131115,200000,25.7500,25.7500,25.7500,25.7500,100,0
AHT-A.US,5,20131115,204500,25.7500,25.7800,25.7500,25.7800,444,0
AHT-A.US,5,20131118,170500,25.7700,25.7700,25.7700,25.7700,100,0
AHT-A.US,5,20131118,184000,25.8000,25.8000,25.8000,25.8000,770,0
AHT-A.US,5,20131118,212500,25.7000,25.7000,25.7000,25.7000,387,0
AHT-A.US,5,20131118,214000,25.7500,25.7500,25.7500,25.7500,415,0
AHT-A.US,5,20131119,154000,25.7900,25.7900,25.7500,25.7500,800,0
AHT-A.US,5,20131119,215500,25.7500,25.7500,25.7500,25.7500,400,0
AHT-A.US,5,20131121,195500,25.7400,25.7400,25.7400,25.7400,350,0
AHT-A.US,5,20131121,202500,25.7900,25.7900,25.7400,25.7400,500,0
AHT-A.US,5,20131121,204500,25.7900,25.7900,25.7900,25.7900,100,0
AHT-A.US,5,20131121,211000,25.7700,25.7700,25.7700,25.7700,390,0
AHT-A.US,5,20131121,220000,25.6700,25.6700,25.6700,25.6700,1000,0
AHT-A.US,5,20131122,154000,25.6200,25.6200,25.6100,25.6100,2700,0
AHT-A.US,5,20131122,162500,25.6100,25.6200,25.6100,25.6200,600,0
AHT-A.US,5,20131125,194000,25.7900,25.7900,25.7900,25.7900,100,0
AHT-A.US,5,20131125,214500,25.7900,25.7900,25.7900,25.7900,300,0
AHT-A.US,5,20131126,203500,25.5900,25.6300,25.5900,25.6300,900,0
AHT-A.US,5,20131126,215000,25.7300,25.7300,25.7300,25.7300,250,0
AHT-A.US,5,20131127,163000,25.7200,25.7200,25.7200,25.7200,100,0
AHT-A.US,5,20131127,215500,25.6000,25.6000,25.6000,25.6000,100,0
AHT-A.US,5,20131202,174500,25.6500,25.6500,25.6500,25.6500,129,0
AHT-A.US,5,20131202,215500,25.6500,25.6500,25.6500,25.6500,100,0
AHT-A.US,5,20131203,154500,25.6000,25.6000,25.6000,25.6000,100,0
AHT-A.US,5,20131204,170500,25.6200,25.6200,25.6200,25.6200,200,0
AHT-A.US,5,20131204,204000,25.6000,25.6000,25.6000,25.6000,500,0
AHT-A.US,5,20131204,214500,25.6200,25.6200,25.6200,25.6200,100,0
AHT-A.US,5,20131205,180500,25.7800,25.7800,25.7800,25.7800,100,0
AHT-A.US,5,20131205,203500,25.7100,25.7100,25.6900,25.6900,300,0
AHT-A.US,5,20131205,204000,25.7100,25.7100,25.7100,25.7100,100,0
AHT-A.US,5,20131205,211000,25.7100,25.7100,25.5800,25.7100,600,0
AHT-A.US,5,20131205,211500,25.7100,25.7100,25.5800,25.7000,700,0
AHT-A.US,5,20131205,212000,25.6900,25.6900,25.6900,25.6900,100,0
AHT-A.US,5,20131206,153500,25.7800,25.7800,25.7800,25.7800,100,0
AHT-A.US,5,20131206,184000,25.7700,25.8400,25.7700,25.8400,500,0
