<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIG.US,5,20131112,153500,48.7100,48.8000,48.5900,48.7700,183954,0
AIG.US,5,20131112,154000,48.7800,48.9600,48.7700,48.9100,176258,0
AIG.US,5,20131112,154500,48.9100,48.9200,48.6000,48.6500,233417,0
AIG.US,5,20131112,155000,48.6500,48.8200,48.6400,48.7500,190065,0
AIG.US,5,20131112,155500,48.7700,48.7800,48.6600,48.7100,99738,0
AIG.US,5,20131112,160000,48.7100,48.7800,48.6300,48.7000,102620,0
AIG.US,5,20131112,160500,48.7100,48.7300,48.5700,48.6400,111842,0
AIG.US,5,20131112,161000,48.6400,48.6700,48.5400,48.5500,194824,0
AIG.US,5,20131112,161500,48.5400,48.5700,48.4900,48.4900,92572,0
AIG.US,5,20131112,162000,48.4900,48.5400,48.4200,48.4600,305096,0
AIG.US,5,20131112,162500,48.4600,48.4700,48.2700,48.3900,614406,0
AIG.US,5,20131112,163000,48.3900,48.3900,48.2700,48.2900,181997,0
AIG.US,5,20131112,163500,48.3000,48.3000,48.2400,48.2600,216971,0
AIG.US,5,20131112,164000,48.2700,48.4600,48.2600,48.4000,378966,0
AIG.US,5,20131112,164500,48.4000,48.4600,48.3700,48.4000,172098,0
AIG.US,5,20131112,165000,48.4000,48.4000,48.3300,48.3700,64994,0
AIG.US,5,20131112,165500,48.3600,48.3700,48.2600,48.2600,127979,0
AIG.US,5,20131112,170000,48.2700,48.2800,48.2200,48.2500,250219,0
AIG.US,5,20131112,170500,48.2600,48.3100,48.2500,48.3000,140601,0
AIG.US,5,20131112,171000,48.2900,48.2900,48.1800,48.1900,129781,0
AIG.US,5,20131112,171500,48.1800,48.2200,48.1100,48.1200,184030,0
AIG.US,5,20131112,172000,48.1100,48.2000,48.1000,48.1800,221442,0
AIG.US,5,20131112,172500,48.1800,48.2400,48.1600,48.2300,77821,0
AIG.US,5,20131112,173000,48.2300,48.2700,48.1900,48.2500,166204,0
AIG.US,5,20131112,173500,48.2600,48.3100,48.2500,48.3100,184536,0
AIG.US,5,20131112,174000,48.3100,48.3100,48.1600,48.1700,118217,0
AIG.US,5,20131112,174500,48.1800,48.2500,48.1700,48.2400,123353,0
AIG.US,5,20131112,175000,48.2300,48.2400,48.1600,48.1900,102469,0
AIG.US,5,20131112,175500,48.1900,48.1900,48.1400,48.1500,41725,0
AIG.US,5,20131112,180000,48.1500,48.1800,48.1300,48.1500,74994,0
AIG.US,5,20131112,180500,48.1500,48.2000,48.1500,48.1900,59303,0
AIG.US,5,20131112,181000,48.1900,48.2000,48.1300,48.1600,140695,0
AIG.US,5,20131112,181500,48.1700,48.1800,48.1200,48.1600,102573,0
AIG.US,5,20131112,182000,48.1600,48.1600,48.1300,48.1400,64426,0
AIG.US,5,20131112,182500,48.1400,48.1500,48.0800,48.1200,119237,0
AIG.US,5,20131112,183000,48.1200,48.1400,48.1100,48.1300,63536,0
AIG.US,5,20131112,183500,48.1400,48.1400,48.0900,48.1300,64865,0
AIG.US,5,20131112,184000,48.1300,48.1300,48.0600,48.0800,53430,0
AIG.US,5,20131112,184500,48.0900,48.1100,48.0500,48.1000,75302,0
AIG.US,5,20131112,185000,48.1000,48.1200,48.0800,48.1000,61130,0
AIG.US,5,20131112,185500,48.1000,48.1200,48.0600,48.0700,59891,0
AIG.US,5,20131112,190000,48.0600,48.0700,48.0500,48.0600,59473,0
AIG.US,5,20131112,190500,48.0600,48.0800,48.0300,48.0700,66682,0
AIG.US,5,20131112,191000,48.0700,48.0700,48.0400,48.0600,26706,0
AIG.US,5,20131112,191500,48.0700,48.1200,48.0700,48.0800,54630,0
AIG.US,5,20131112,192000,48.0900,48.1600,48.0700,48.1300,69715,0
AIG.US,5,20131112,192500,48.1300,48.1400,48.0800,48.1100,50628,0
AIG.US,5,20131112,193000,48.1100,48.1400,48.0700,48.0700,47098,0
AIG.US,5,20131112,193500,48.0700,48.1200,48.0300,48.0700,58432,0
AIG.US,5,20131112,194000,48.0600,48.0700,48.0300,48.0300,91748,0
AIG.US,5,20131112,194500,48.0400,48.0600,48.0100,48.0600,67260,0
AIG.US,5,20131112,195000,48.0600,48.1200,48.0500,48.1200,66439,0
AIG.US,5,20131112,195500,48.1100,48.1300,48.1000,48.1200,121438,0
AIG.US,5,20131112,200000,48.1200,48.1300,48.0500,48.0600,68927,0
AIG.US,5,20131112,200500,48.0700,48.1200,48.0700,48.0900,55194,0
AIG.US,5,20131112,201000,48.0900,48.1200,48.0800,48.0800,54976,0
AIG.US,5,20131112,201500,48.0800,48.0900,48.0500,48.0500,22558,0
AIG.US,5,20131112,202000,48.0500,48.1300,48.0300,48.1300,84649,0
AIG.US,5,20131112,202500,48.1200,48.1400,48.0600,48.0800,60921,0
AIG.US,5,20131112,203000,48.0700,48.0800,48.0500,48.0600,66434,0
AIG.US,5,20131112,203500,48.0600,48.1200,48.0600,48.1100,60078,0
AIG.US,5,20131112,204000,48.1200,48.1900,48.1100,48.1600,61611,0
AIG.US,5,20131112,204500,48.1600,48.1800,48.1500,48.1700,29239,0
AIG.US,5,20131112,205000,48.1700,48.1800,48.1300,48.1800,64581,0
AIG.US,5,20131112,205500,48.1800,48.1900,48.1400,48.1500,75466,0
AIG.US,5,20131112,210000,48.1600,48.2500,48.1500,48.2300,87785,0
AIG.US,5,20131112,210500,48.2300,48.2900,48.2200,48.2700,110070,0
AIG.US,5,20131112,211000,48.2800,48.2900,48.2400,48.2600,80987,0
AIG.US,5,20131112,211500,48.2700,48.3000,48.2100,48.2200,144615,0
AIG.US,5,20131112,212000,48.2200,48.2600,48.2100,48.2500,62034,0
AIG.US,5,20131112,212500,48.2500,48.2600,48.1900,48.2100,75145,0
AIG.US,5,20131112,213000,48.2100,48.2300,48.1900,48.2100,82225,0
AIG.US,5,20131112,213500,48.2100,48.2800,48.2000,48.2700,100017,0
AIG.US,5,20131112,214000,48.2700,48.2800,48.2200,48.2400,218249,0
AIG.US,5,20131112,214500,48.2300,48.2400,48.1800,48.1900,194239,0
AIG.US,5,20131112,215000,48.1800,48.2000,48.1300,48.1800,360523,0
AIG.US,5,20131112,215500,48.1900,48.1900,48.1200,48.1200,217513,0
AIG.US,5,20131112,220000,48.1300,48.2200,48.1100,48.2000,466925,0
AIG.US,5,20131112,220500,48.1900,48.1900,48.1900,48.1900,261521,0
AIG.US,5,20131113,153500,48.1300,48.1900,48.0100,48.0500,140475,0
AIG.US,5,20131113,154000,48.0500,48.0700,47.9000,48.0000,178402,0
AIG.US,5,20131113,154500,48.0000,48.1300,47.9800,48.0900,255749,0
AIG.US,5,20131113,155000,48.0900,48.2500,48.0800,48.1900,184974,0
AIG.US,5,20131113,155500,48.2000,48.2000,48.0600,48.0700,151784,0
AIG.US,5,20131113,160000,48.0600,48.1200,48.0300,48.0900,212796,0
AIG.US,5,20131113,160500,48.0900,48.1200,48.0000,48.0700,184109,0
AIG.US,5,20131113,161000,48.0700,48.1200,48.0400,48.0400,110090,0
AIG.US,5,20131113,161500,48.0400,48.1000,48.0000,48.0600,109442,0
AIG.US,5,20131113,162000,48.0600,48.0900,48.0000,48.0300,90767,0
AIG.US,5,20131113,162500,48.0300,48.0700,48.0000,48.0400,130188,0
AIG.US,5,20131113,163000,48.0500,48.0700,48.0300,48.0500,133881,0
AIG.US,5,20131113,163500,48.0500,48.0800,48.0200,48.0700,83156,0
AIG.US,5,20131113,164000,48.0800,48.1200,48.0600,48.0600,88372,0
AIG.US,5,20131113,164500,48.0700,48.0700,48.0300,48.0500,177066,0
AIG.US,5,20131113,165000,48.0600,48.1300,48.0400,48.1000,163172,0
AIG.US,5,20131113,165500,48.1000,48.1100,48.0500,48.0600,55368,0
AIG.US,5,20131113,170000,48.0700,48.0900,48.0500,48.0900,102831,0
AIG.US,5,20131113,170500,48.1000,48.1100,48.0500,48.0700,43030,0
AIG.US,5,20131113,171000,48.0800,48.1000,48.0500,48.1000,44004,0
AIG.US,5,20131113,171500,48.1000,48.1000,48.0500,48.0600,65411,0
AIG.US,5,20131113,172000,48.0600,48.1000,48.0500,48.0800,79676,0
AIG.US,5,20131113,172500,48.0800,48.0900,48.0600,48.0600,138537,0
AIG.US,5,20131113,173000,48.0600,48.0900,48.0500,48.0800,134379,0
AIG.US,5,20131113,173500,48.0800,48.1700,48.0700,48.1600,151702,0
AIG.US,5,20131113,174000,48.1500,48.1800,48.1300,48.1300,111386,0
AIG.US,5,20131113,174500,48.1400,48.1500,48.1100,48.1200,113845,0
AIG.US,5,20131113,175000,48.1200,48.1700,48.0800,48.1200,176904,0
AIG.US,5,20131113,175500,48.1100,48.1500,48.0700,48.0900,70351,0
AIG.US,5,20131113,180000,48.1000,48.1600,48.1000,48.1600,74833,0
AIG.US,5,20131113,180500,48.1500,48.1700,48.0500,48.0600,148182,0
AIG.US,5,20131113,181000,48.0700,48.0900,48.0100,48.0300,126686,0
AIG.US,5,20131113,181500,48.0200,48.0400,48.0000,48.0200,54844,0
AIG.US,5,20131113,182000,48.0300,48.1200,48.0200,48.1100,91357,0
AIG.US,5,20131113,182500,48.1100,48.1500,48.1000,48.1400,121188,0
AIG.US,5,20131113,183000,48.1400,48.2300,48.1100,48.2200,138951,0
AIG.US,5,20131113,183500,48.2200,48.2500,48.2000,48.2200,69518,0
AIG.US,5,20131113,184000,48.2200,48.2600,48.2000,48.2400,60904,0
AIG.US,5,20131113,184500,48.2300,48.3300,48.2100,48.2900,84120,0
AIG.US,5,20131113,185000,48.2900,48.3500,48.2700,48.3100,128567,0
AIG.US,5,20131113,185500,48.3100,48.3700,48.2800,48.3700,77983,0
AIG.US,5,20131113,190000,48.3700,48.4500,48.3500,48.3500,227482,0
AIG.US,5,20131113,190500,48.3500,48.3600,48.2900,48.3100,134810,0
AIG.US,5,20131113,191000,48.3200,48.3300,48.2900,48.3100,42993,0
AIG.US,5,20131113,191500,48.3100,48.3200,48.2500,48.2700,78828,0
AIG.US,5,20131113,192000,48.2700,48.3700,48.2700,48.3200,102162,0
AIG.US,5,20131113,192500,48.3200,48.3300,48.2400,48.2500,130761,0
AIG.US,5,20131113,193000,48.2500,48.2800,48.2300,48.2700,153904,0
AIG.US,5,20131113,193500,48.2600,48.2700,48.2200,48.2600,117323,0
AIG.US,5,20131113,194000,48.2600,48.3400,48.2600,48.3300,122288,0
AIG.US,5,20131113,194500,48.3300,48.3900,48.3200,48.3700,42828,0
AIG.US,5,20131113,195000,48.3700,48.4700,48.3700,48.4600,66177,0
AIG.US,5,20131113,195500,48.4600,48.4600,48.3900,48.4100,87536,0
AIG.US,5,20131113,200000,48.4100,48.4300,48.3800,48.3800,28845,0
AIG.US,5,20131113,200500,48.3800,48.3800,48.3300,48.3700,60948,0
AIG.US,5,20131113,201000,48.3700,48.4200,48.3400,48.3400,51889,0
AIG.US,5,20131113,201500,48.3400,48.3600,48.3000,48.3400,36994,0
AIG.US,5,20131113,202000,48.3400,48.3500,48.3100,48.3400,47081,0
AIG.US,5,20131113,202500,48.3300,48.4100,48.3300,48.4000,102651,0
AIG.US,5,20131113,203000,48.4100,48.4600,48.4100,48.4600,90070,0
AIG.US,5,20131113,203500,48.4600,48.4700,48.4300,48.4400,104026,0
AIG.US,5,20131113,204000,48.4400,48.4400,48.4000,48.4000,63642,0
AIG.US,5,20131113,204500,48.4000,48.4100,48.3600,48.3700,49409,0
AIG.US,5,20131113,205000,48.3700,48.4100,48.3500,48.3800,120789,0
AIG.US,5,20131113,205500,48.3800,48.3800,48.3400,48.3600,74139,0
AIG.US,5,20131113,210000,48.3600,48.3700,48.3400,48.3400,66612,0
AIG.US,5,20131113,210500,48.3400,48.3700,48.3300,48.3700,67163,0
AIG.US,5,20131113,211000,48.3600,48.3700,48.3500,48.3500,63327,0
AIG.US,5,20131113,211500,48.3600,48.3800,48.3400,48.3600,45630,0
AIG.US,5,20131113,212000,48.3600,48.4300,48.3600,48.4000,99555,0
AIG.US,5,20131113,212500,48.4100,48.4300,48.3900,48.4200,94772,0
AIG.US,5,20131113,213000,48.4300,48.4600,48.4000,48.4500,72412,0
