<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKP.US,5,20131112,153500,12.2000,12.2000,12.2000,12.2000,192,0
AKP.US,5,20131112,155500,12.1900,12.1900,12.1900,12.1900,500,0
AKP.US,5,20131112,182000,12.1500,12.1500,12.1500,12.1500,1500,0
AKP.US,5,20131112,182500,12.1900,12.1900,12.1200,12.1300,1723,0
AKP.US,5,20131112,184500,12.1100,12.1100,12.1100,12.1100,1200,0
AKP.US,5,20131112,185500,12.1200,12.1500,12.1200,12.1500,4100,0
AKP.US,5,20131112,191500,12.1200,12.1200,12.1200,12.1200,613,0
AKP.US,5,20131112,194000,12.1200,12.1200,12.1100,12.1100,200,0
AKP.US,5,20131112,194500,12.1100,12.1100,12.1000,12.1000,300,0
AKP.US,5,20131112,200000,12.0800,12.0800,12.0800,12.0800,100,0
AKP.US,5,20131112,202000,12.1200,12.1200,12.1200,12.1200,1000,0
AKP.US,5,20131112,205500,12.1200,12.1200,12.1200,12.1200,324,0
AKP.US,5,20131112,212500,12.1200,12.1200,12.1200,12.1200,399,0
AKP.US,5,20131112,213500,12.0900,12.0900,12.0800,12.0800,1200,0
AKP.US,5,20131112,214000,12.1100,12.1500,12.1100,12.1300,1800,0
AKP.US,5,20131112,214500,12.1200,12.1200,12.1200,12.1200,400,0
AKP.US,5,20131112,215500,12.1200,12.1300,12.1200,12.1300,200,0
AKP.US,5,20131112,220000,12.0900,12.0900,12.0900,12.0900,200,0
AKP.US,5,20131113,155500,12.0800,12.0800,12.0700,12.0700,400,0
AKP.US,5,20131113,162500,12.0700,12.0700,12.0700,12.0700,100,0
AKP.US,5,20131113,163000,12.0700,12.0700,12.0600,12.0600,300,0
AKP.US,5,20131113,163500,12.0500,12.0900,12.0500,12.0900,530,0
AKP.US,5,20131113,164500,12.0600,12.0600,12.0600,12.0600,100,0
AKP.US,5,20131113,170000,12.0900,12.0900,12.0900,12.0900,680,0
AKP.US,5,20131113,172000,12.0600,12.0800,12.0600,12.0800,200,0
AKP.US,5,20131113,173000,12.0700,12.0700,12.0700,12.0700,100,0
AKP.US,5,20131113,174000,12.0900,12.0900,12.0900,12.0900,368,0
AKP.US,5,20131113,190000,12.0900,12.0900,12.0900,12.0900,300,0
AKP.US,5,20131113,191000,12.0700,12.0700,12.0700,12.0700,417,0
AKP.US,5,20131113,191500,12.0800,12.0800,12.0800,12.0800,100,0
AKP.US,5,20131113,194000,12.0600,12.0700,12.0400,12.0400,1638,0
AKP.US,5,20131113,194500,12.0500,12.0700,12.0400,12.0600,2898,0
AKP.US,5,20131113,195000,12.0700,12.0700,12.0600,12.0700,800,0
AKP.US,5,20131113,195500,12.0800,12.0800,12.0800,12.0800,200,0
AKP.US,5,20131113,210500,12.0800,12.0800,12.0800,12.0800,100,0
AKP.US,5,20131113,211000,12.0900,12.0900,12.0900,12.0900,300,0
