<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALP-N.US,5,20131112,160000,24.8700,24.8700,24.8700,24.8700,400,0
ALP-N.US,5,20131112,160500,24.9300,24.9300,24.9300,24.9300,100,0
ALP-N.US,5,20131112,161500,24.8500,24.8500,24.8500,24.8500,500,0
ALP-N.US,5,20131112,162000,24.9000,24.9600,24.9000,24.9600,1200,0
ALP-N.US,5,20131112,164500,24.8300,24.8300,24.8300,24.8300,1000,0
ALP-N.US,5,20131112,170500,24.8200,24.8200,24.8200,24.8200,200,0
ALP-N.US,5,20131112,171000,24.8300,24.8300,24.8300,24.8300,300,0
ALP-N.US,5,20131112,171500,24.8300,24.8300,24.8300,24.8300,500,0
ALP-N.US,5,20131112,173000,24.8300,24.8300,24.8300,24.8300,300,0
ALP-N.US,5,20131112,173500,24.8300,24.8300,24.8300,24.8300,404,0
ALP-N.US,5,20131112,175000,24.8200,24.8400,24.8100,24.8100,931,0
ALP-N.US,5,20131112,175500,24.7500,24.7500,24.7500,24.7500,100,0
ALP-N.US,5,20131112,180000,24.6800,24.7500,24.6700,24.7500,1320,0
ALP-N.US,5,20131112,180500,24.7500,24.7500,24.7500,24.7500,620,0
ALP-N.US,5,20131112,182000,24.7500,24.7500,24.7200,24.7200,620,0
ALP-N.US,5,20131112,182500,24.7600,24.7600,24.7600,24.7600,605,0
ALP-N.US,5,20131112,183000,24.8200,24.8200,24.8200,24.8200,300,0
ALP-N.US,5,20131112,192500,24.8500,24.8500,24.8500,24.8500,200,0
ALP-N.US,5,20131112,220000,24.8100,24.8100,24.8100,24.8100,200,0
ALP-N.US,5,20131113,173000,24.8700,24.8700,24.8700,24.8700,100,0
ALP-N.US,5,20131113,174000,24.8900,24.8900,24.8900,24.8900,1000,0
ALP-N.US,5,20131113,175500,24.8900,24.8900,24.8900,24.8900,250,0
ALP-N.US,5,20131113,183000,24.8900,24.8900,24.8900,24.8900,100,0
ALP-N.US,5,20131113,200000,25.0000,25.0000,25.0000,25.0000,1000,0
ALP-N.US,5,20131114,170000,24.9500,24.9500,24.9500,24.9500,200,0
ALP-N.US,5,20131114,191500,24.9600,24.9600,24.9600,24.9600,200,0
ALP-N.US,5,20131114,215000,24.9600,24.9600,24.9600,24.9600,160,0
ALP-N.US,5,20131114,215500,24.9600,24.9600,24.9600,24.9600,100,0
ALP-N.US,5,20131115,161500,25.0000,25.0000,24.9800,24.9800,413,0
ALP-N.US,5,20131115,162000,25.0000,25.0000,25.0000,25.0000,200,0
ALP-N.US,5,20131115,181000,24.7600,24.8100,24.7600,24.8100,200,0
ALP-N.US,5,20131115,182500,24.9400,24.9400,24.9400,24.9400,1000,0
ALP-N.US,5,20131115,200000,24.8400,24.8400,24.8200,24.8200,500,0
ALP-N.US,5,20131115,202500,24.8500,24.8500,24.8500,24.8500,500,0
ALP-N.US,5,20131115,204500,24.8600,24.8900,24.8600,24.8800,400,0
ALP-N.US,5,20131115,215000,24.9900,24.9900,24.9000,24.9000,385,0
ALP-N.US,5,20131115,215500,24.8800,24.8800,24.8800,24.8800,300,0
ALP-N.US,5,20131118,154000,24.9000,24.9000,24.9000,24.9000,400,0
ALP-N.US,5,20131118,154500,24.8800,24.8800,24.8800,24.8800,200,0
ALP-N.US,5,20131118,155000,24.8200,24.8200,24.8000,24.8000,606,0
ALP-N.US,5,20131118,162000,24.9500,24.9800,24.9500,24.9800,500,0
ALP-N.US,5,20131118,171500,24.9800,24.9800,24.9800,24.9800,635,0
ALP-N.US,5,20131118,185500,24.9500,24.9500,24.9500,24.9500,153,0
ALP-N.US,5,20131118,200000,24.9500,24.9500,24.9500,24.9500,200,0
ALP-N.US,5,20131118,211500,24.8200,24.8300,24.8000,24.8100,2635,0
ALP-N.US,5,20131118,220000,24.8600,24.8600,24.8600,24.8600,100,0
ALP-N.US,5,20131119,153500,24.7300,24.7300,24.7300,24.7300,200,0
ALP-N.US,5,20131119,155000,24.8100,24.8100,24.8100,24.8100,200,0
ALP-N.US,5,20131119,163000,24.7600,24.7600,24.7600,24.7600,621,0
ALP-N.US,5,20131119,163500,24.9300,24.9300,24.9300,24.9300,1500,0
ALP-N.US,5,20131119,164000,24.8500,24.8500,24.8500,24.8500,200,0
ALP-N.US,5,20131119,195500,24.7600,24.8200,24.7600,24.8200,565,0
ALP-N.US,5,20131119,203000,24.8200,24.8200,24.8200,24.8200,1500,0
ALP-N.US,5,20131119,212000,24.7900,24.7900,24.7900,24.7900,500,0
ALP-N.US,5,20131119,212500,24.7700,24.7900,24.7700,24.7900,580,0
ALP-N.US,5,20131120,163500,24.7700,24.7700,24.7700,24.7700,125,0
ALP-N.US,5,20131120,173500,24.7300,24.7300,24.7300,24.7300,641,0
ALP-N.US,5,20131120,174000,24.7300,24.7300,24.6800,24.6900,2200,0
ALP-N.US,5,20131120,174500,24.6700,24.6700,24.6700,24.6700,200,0
ALP-N.US,5,20131120,181500,24.7200,24.7200,24.7200,24.7200,1325,0
ALP-N.US,5,20131120,191000,24.7800,24.7800,24.7800,24.7800,100,0
ALP-N.US,5,20131120,192500,24.7800,24.7800,24.7700,24.7700,660,0
ALP-N.US,5,20131120,193000,24.7500,24.7500,24.7500,24.7500,1860,0
ALP-N.US,5,20131120,194000,24.7500,24.7500,24.7500,24.7500,100,0
ALP-N.US,5,20131120,195000,24.7300,24.7400,24.7300,24.7300,715,0
ALP-N.US,5,20131120,195500,24.7300,24.7300,24.7300,24.7300,205,0
ALP-N.US,5,20131120,200500,24.7500,24.7500,24.7500,24.7500,2000,0
ALP-N.US,5,20131120,201000,24.7500,24.7500,24.7500,24.7500,1700,0
ALP-N.US,5,20131120,203000,24.7300,24.7500,24.7200,24.7500,935,0
ALP-N.US,5,20131120,203500,24.7200,24.7500,24.7200,24.7500,2600,0
ALP-N.US,5,20131120,215500,24.7500,24.7500,24.7500,24.7500,400,0
ALP-N.US,5,20131121,160000,24.9300,24.9300,24.9300,24.9300,280,0
ALP-N.US,5,20131121,163000,24.8000,24.8000,24.8000,24.8000,375,0
ALP-N.US,5,20131121,170000,24.9400,24.9400,24.9400,24.9400,1000,0
ALP-N.US,5,20131121,171000,24.9700,24.9800,24.9700,24.9800,1000,0
ALP-N.US,5,20131121,190000,24.8000,24.8000,24.8000,24.8000,250,0
ALP-N.US,5,20131121,195000,24.7700,24.7700,24.7700,24.7700,404,0
ALP-N.US,5,20131121,195500,24.8700,24.8700,24.8700,24.8700,100,0
ALP-N.US,5,20131122,160000,24.8900,24.9000,24.8900,24.9000,1000,0
ALP-N.US,5,20131122,174000,24.8900,24.9000,24.8900,24.9000,500,0
ALP-N.US,5,20131122,175500,24.8700,24.8700,24.8700,24.8700,500,0
ALP-N.US,5,20131122,180000,24.8700,24.8700,24.8700,24.8700,400,0
ALP-N.US,5,20131122,182500,24.8100,24.8100,24.8100,24.8100,150,0
ALP-N.US,5,20131122,185000,24.8700,24.8700,24.8700,24.8700,320,0
ALP-N.US,5,20131122,200000,24.9000,24.9000,24.9000,24.9000,400,0
ALP-N.US,5,20131125,154000,24.8700,24.8700,24.8700,24.8700,322,0
ALP-N.US,5,20131125,154500,24.8200,24.8600,24.8200,24.8600,638,0
ALP-N.US,5,20131125,160500,24.8700,24.8700,24.8700,24.8700,100,0
ALP-N.US,5,20131125,162000,24.8300,24.8300,24.8300,24.8300,200,0
ALP-N.US,5,20131125,180500,24.8800,24.8800,24.8800,24.8800,400,0
ALP-N.US,5,20131125,181000,24.8500,24.8500,24.8200,24.8200,204,0
ALP-N.US,5,20131125,202500,24.8700,24.8700,24.8700,24.8700,700,0
ALP-N.US,5,20131125,214000,24.8200,24.8200,24.8200,24.8200,1600,0
ALP-N.US,5,20131126,155000,24.9000,25.0000,24.9000,25.0000,1128,0
ALP-N.US,5,20131126,165000,24.7600,24.7600,24.7600,24.7600,200,0
ALP-N.US,5,20131126,183000,24.8500,24.8500,24.8500,24.8500,100,0
ALP-N.US,5,20131126,184500,24.8000,24.8000,24.7700,24.7700,500,0
ALP-N.US,5,20131126,202000,24.7900,24.7900,24.7900,24.7900,500,0
ALP-N.US,5,20131126,203000,24.7700,24.7700,24.7700,24.7700,110,0
ALP-N.US,5,20131126,204000,24.8300,24.8300,24.8300,24.8300,500,0
ALP-N.US,5,20131127,172500,25.0000,25.0000,25.0000,25.0000,125,0
ALP-N.US,5,20131202,162000,24.9900,24.9900,24.9900,24.9900,200,0
ALP-N.US,5,20131202,164500,24.9900,24.9900,24.7700,24.9700,1500,0
ALP-N.US,5,20131202,171000,24.7800,24.7900,24.7800,24.7900,766,0
ALP-N.US,5,20131202,171500,24.8900,24.9000,24.8900,24.9000,500,0
ALP-N.US,5,20131202,172000,24.7800,24.7800,24.7800,24.7800,400,0
ALP-N.US,5,20131202,172500,24.8400,24.8800,24.8400,24.8800,400,0
ALP-N.US,5,20131202,173000,24.8800,24.8800,24.8800,24.8800,100,0
ALP-N.US,5,20131202,180000,24.8000,24.8000,24.8000,24.8000,200,0
ALP-N.US,5,20131202,181500,24.8500,24.8500,24.7800,24.7800,500,0
ALP-N.US,5,20131202,191000,24.7800,24.7800,24.7800,24.7800,500,0
ALP-N.US,5,20131202,191500,24.7900,24.7900,24.7900,24.7900,366,0
ALP-N.US,5,20131202,193000,24.9000,24.9000,24.9000,24.9000,157,0
ALP-N.US,5,20131202,195000,24.7800,24.7800,24.7800,24.7800,250,0
ALP-N.US,5,20131202,200000,24.8500,24.8500,24.8500,24.8500,100,0
ALP-N.US,5,20131202,210500,24.8500,24.8500,24.8500,24.8500,100,0
ALP-N.US,5,20131202,211000,24.8500,24.8500,24.8500,24.8500,100,0
ALP-N.US,5,20131203,154500,24.9100,24.9100,24.9100,24.9100,100,0
ALP-N.US,5,20131203,162000,24.9400,24.9400,24.9400,24.9400,100,0
ALP-N.US,5,20131203,171000,24.9600,24.9600,24.9600,24.9600,100,0
ALP-N.US,5,20131203,173000,24.9600,24.9600,24.9600,24.9600,100,0
ALP-N.US,5,20131203,173500,24.9600,24.9600,24.9600,24.9600,100,0
ALP-N.US,5,20131203,175000,24.9600,24.9600,24.9600,24.9600,100,0
ALP-N.US,5,20131203,182500,24.9500,24.9500,24.9500,24.9500,100,0
ALP-N.US,5,20131203,183500,24.9100,24.9100,24.8500,24.8500,986,0
ALP-N.US,5,20131203,185500,24.9500,24.9500,24.9500,24.9500,100,0
ALP-N.US,5,20131203,190500,24.9500,24.9500,24.9500,24.9500,100,0
ALP-N.US,5,20131203,193000,24.9600,24.9800,24.9600,24.9800,252,0
ALP-N.US,5,20131203,205000,24.8600,24.8600,24.8600,24.8600,364,0
ALP-N.US,5,20131203,215000,24.8700,24.8700,24.8700,24.8700,100,0
ALP-N.US,5,20131203,215500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-N.US,5,20131204,185500,24.9700,24.9700,24.9700,24.9700,200,0
ALP-N.US,5,20131205,155000,24.9000,24.9200,24.9000,24.9200,1000,0
ALP-N.US,5,20131205,164000,24.9800,24.9800,24.9000,24.9000,600,0
ALP-N.US,5,20131205,164500,24.9000,24.9000,24.9000,24.9000,170,0
ALP-N.US,5,20131205,174500,24.9000,24.9000,24.9000,24.9000,400,0
ALP-N.US,5,20131205,185500,24.9000,24.9000,24.9000,24.9000,100,0
ALP-N.US,5,20131205,190000,24.9000,24.9000,24.8700,24.8700,760,0
ALP-N.US,5,20131205,210000,24.8100,24.8100,24.8100,24.8100,175,0
ALP-N.US,5,20131205,215000,24.7900,24.7900,24.7900,24.7900,100,0
ALP-N.US,5,20131205,215500,24.8000,24.8000,24.8000,24.8000,800,0
ALP-N.US,5,20131205,220000,24.8000,24.8000,24.7900,24.7900,500,0
ALP-N.US,5,20131206,160000,24.7700,24.7700,24.7500,24.7500,200,0
ALP-N.US,5,20131206,172000,24.9000,24.9000,24.9000,24.9000,1000,0
ALP-N.US,5,20131206,173000,24.7800,24.9300,24.7800,24.9000,1300,0
ALP-N.US,5,20131206,173500,24.7600,24.7600,24.7600,24.7600,160,0
ALP-N.US,5,20131206,180500,24.7700,24.7700,24.7700,24.7700,100,0
ALP-N.US,5,20131206,184000,24.8600,24.8600,24.8600,24.8600,400,0
ALP-N.US,5,20131206,193000,24.7800,24.8200,24.7800,24.8200,1629,0
ALP-N.US,5,20131206,211500,24.8000,24.8000,24.8000,24.8000,400,0
