<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALP-P.US,5,20131112,220000,24.9900,24.9900,24.9900,24.9900,1869,0
ALP-P.US,5,20131113,155000,24.9800,24.9800,24.9800,24.9800,100,0
ALP-P.US,5,20131113,172500,24.9900,24.9900,24.9800,24.9800,540,0
ALP-P.US,5,20131113,173500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131113,174500,24.9800,24.9800,24.9800,24.9800,1000,0
ALP-P.US,5,20131113,180500,24.9700,24.9700,24.9700,24.9700,233,0
ALP-P.US,5,20131113,195000,24.9800,24.9800,24.9800,24.9800,1700,0
ALP-P.US,5,20131113,201500,24.9700,24.9700,24.9600,24.9600,1150,0
ALP-P.US,5,20131113,213000,24.9600,24.9600,24.9600,24.9600,1500,0
ALP-P.US,5,20131113,215000,24.9800,24.9800,24.9800,24.9800,300,0
ALP-P.US,5,20131114,182000,24.9900,24.9900,24.9900,24.9900,600,0
ALP-P.US,5,20131114,193500,24.9900,24.9900,24.9900,24.9900,400,0
ALP-P.US,5,20131115,201500,24.9900,24.9900,24.9900,24.9900,800,0
ALP-P.US,5,20131115,203500,24.9600,24.9600,24.9000,24.9000,705,0
ALP-P.US,5,20131118,160000,24.8200,24.8200,24.8200,24.8200,250,0
ALP-P.US,5,20131118,171500,24.8300,24.8300,24.8300,24.8300,250,0
ALP-P.US,5,20131118,181000,24.8300,24.8300,24.8300,24.8300,200,0
ALP-P.US,5,20131118,183000,24.8300,24.8300,24.8300,24.8300,453,0
ALP-P.US,5,20131118,183500,24.8400,24.8400,24.8400,24.8400,300,0
ALP-P.US,5,20131118,194000,24.8100,24.8200,24.8100,24.8200,1000,0
ALP-P.US,5,20131118,211500,24.8200,24.8300,24.8000,24.8000,3000,0
ALP-P.US,5,20131119,175000,24.8000,24.8400,24.8000,24.8400,1622,0
ALP-P.US,5,20131119,180500,24.8000,24.8000,24.8000,24.8000,421,0
ALP-P.US,5,20131119,182000,24.7600,24.7700,24.7600,24.7700,1446,0
ALP-P.US,5,20131119,190500,24.7500,24.7500,24.7300,24.7300,400,0
ALP-P.US,5,20131119,211500,24.8400,24.8400,24.8400,24.8400,100,0
ALP-P.US,5,20131119,213500,24.8500,24.9000,24.8500,24.9000,574,0
ALP-P.US,5,20131119,215500,24.9000,24.9000,24.9000,24.9000,250,0
ALP-P.US,5,20131120,163000,24.8000,24.8000,24.8000,24.8000,100,0
ALP-P.US,5,20131120,164500,24.7300,24.7300,24.7300,24.7300,100,0
ALP-P.US,5,20131120,204500,24.7500,24.7500,24.7500,24.7500,500,0
ALP-P.US,5,20131120,211500,24.7500,24.7500,24.7500,24.7500,200,0
ALP-P.US,5,20131120,212000,24.7500,24.7500,24.7500,24.7500,100,0
ALP-P.US,5,20131121,175000,24.7300,24.7300,24.7300,24.7300,100,0
ALP-P.US,5,20131121,184000,24.7400,24.7400,24.7400,24.7400,674,0
ALP-P.US,5,20131121,192500,24.7400,24.7400,24.7400,24.7400,1000,0
ALP-P.US,5,20131121,201500,24.9000,24.9000,24.9000,24.9000,100,0
ALP-P.US,5,20131121,204000,24.7500,24.7900,24.7500,24.7900,1000,0
ALP-P.US,5,20131121,214500,24.8000,24.8000,24.8000,24.8000,200,0
ALP-P.US,5,20131122,173500,24.8500,24.8500,24.8500,24.8500,480,0
ALP-P.US,5,20131122,220000,24.9000,24.9000,24.9000,24.9000,400,0
ALP-P.US,5,20131125,174500,24.7800,24.7800,24.7800,24.7800,100,0
ALP-P.US,5,20131125,182000,24.7600,24.8000,24.7500,24.7900,1700,0
ALP-P.US,5,20131125,204000,24.9000,24.9000,24.9000,24.9000,400,0
ALP-P.US,5,20131125,204500,24.7700,24.7700,24.7700,24.7700,1100,0
ALP-P.US,5,20131126,175500,24.8000,24.8000,24.8000,24.8000,120,0
ALP-P.US,5,20131126,190000,24.8200,24.8200,24.8200,24.8200,371,0
ALP-P.US,5,20131126,190500,24.7700,24.7700,24.7700,24.7700,100,0
ALP-P.US,5,20131126,214000,24.7600,24.7600,24.7600,24.7600,100,0
ALP-P.US,5,20131127,161000,24.8800,24.8800,24.8800,24.8800,400,0
ALP-P.US,5,20131127,211000,24.7600,24.7800,24.7500,24.7700,900,0
ALP-P.US,5,20131129,161500,24.8700,24.8700,24.8700,24.8700,300,0
ALP-P.US,5,20131129,165000,24.9300,24.9300,24.9300,24.9300,221,0
ALP-P.US,5,20131129,165500,24.9300,24.9300,24.9300,24.9300,300,0
ALP-P.US,5,20131129,183000,24.9300,24.9300,24.9300,24.9300,233,0
ALP-P.US,5,20131202,171000,24.9200,24.9200,24.9200,24.9200,100,0
ALP-P.US,5,20131202,190000,24.7900,24.7900,24.7900,24.7900,100,0
ALP-P.US,5,20131204,164500,24.8700,24.8700,24.8700,24.8700,100,0
ALP-P.US,5,20131204,171500,24.9000,24.9000,24.9000,24.9000,220,0
ALP-P.US,5,20131204,181500,24.9400,24.9400,24.9400,24.9400,500,0
ALP-P.US,5,20131204,184000,24.9400,24.9400,24.9400,24.9400,1000,0
ALP-P.US,5,20131204,194500,24.9400,24.9400,24.9400,24.9400,246,0
ALP-P.US,5,20131204,200500,24.9300,24.9300,24.9300,24.9300,1000,0
ALP-P.US,5,20131204,201000,24.9400,24.9400,24.9400,24.9400,1100,0
ALP-P.US,5,20131204,220000,24.9400,24.9400,24.9400,24.9400,1000,0
ALP-P.US,5,20131205,160500,24.9400,24.9400,24.9400,24.9400,100,0
ALP-P.US,5,20131205,162000,24.9400,24.9400,24.9400,24.9400,100,0
ALP-P.US,5,20131205,164000,24.9400,24.9400,24.9400,24.9400,100,0
ALP-P.US,5,20131205,170000,24.9400,24.9400,24.9400,24.9400,100,0
ALP-P.US,5,20131205,172500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131205,173000,24.9000,24.9000,24.9000,24.9000,829,0
ALP-P.US,5,20131205,175000,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131205,181500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131205,183500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131205,185500,24.9700,24.9700,24.9700,24.9700,100,0
ALP-P.US,5,20131205,193000,24.9600,24.9600,24.9600,24.9600,267,0
ALP-P.US,5,20131205,200500,24.9600,24.9600,24.9600,24.9600,1000,0
ALP-P.US,5,20131205,211500,24.9000,24.9000,24.9000,24.9000,100,0
ALP-P.US,5,20131206,154500,24.9200,24.9200,24.9200,24.9200,900,0
ALP-P.US,5,20131206,163000,24.9600,24.9600,24.9600,24.9600,100,0
ALP-P.US,5,20131206,172000,24.9600,24.9600,24.9600,24.9600,1000,0
ALP-P.US,5,20131206,173500,24.9600,24.9600,24.9600,24.9600,100,0
ALP-P.US,5,20131206,193000,24.9600,24.9600,24.9600,24.9600,200,0
ALP-P.US,5,20131206,210000,24.9600,24.9600,24.9600,24.9600,200,0
ALP-P.US,5,20131206,212500,24.9600,24.9600,24.9600,24.9600,1000,0
ALP-P.US,5,20131209,161500,24.9000,24.9000,24.9000,24.9000,946,0
ALP-P.US,5,20131209,164500,24.9500,24.9500,24.9500,24.9500,200,0
ALP-P.US,5,20131209,171000,24.9500,24.9500,24.9500,24.9500,120,0
ALP-P.US,5,20131209,181000,24.9000,24.9000,24.9000,24.9000,100,0
ALP-P.US,5,20131209,184000,24.9500,24.9500,24.9500,24.9500,200,0
ALP-P.US,5,20131209,192000,24.9500,24.9500,24.9500,24.9500,200,0
ALP-P.US,5,20131209,195500,24.9500,24.9500,24.9500,24.9500,1000,0
ALP-P.US,5,20131209,205000,24.9000,24.9000,24.9000,24.9000,200,0
ALP-P.US,5,20131209,210000,24.9000,24.9000,24.9000,24.9000,1300,0
ALP-P.US,5,20131209,213000,24.8800,24.8800,24.8800,24.8800,448,0
