<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALX.US,5,20131112,165500,310.0100,310.0100,309.5100,309.5100,200,0
ALX.US,5,20131112,170000,307.0000,307.9500,307.0000,307.9500,200,0
ALX.US,5,20131112,170500,307.9800,307.9900,307.9800,307.9900,200,0
ALX.US,5,20131112,202000,306.5600,306.5600,306.5600,306.5600,100,0
ALX.US,5,20131112,203000,304.0000,304.1800,304.0000,304.1800,300,0
ALX.US,5,20131112,203500,304.4000,304.4000,304.3600,304.3600,300,0
ALX.US,5,20131112,204000,303.0000,303.0000,303.0000,303.0000,100,0
ALX.US,5,20131112,205000,303.3000,303.3000,303.3000,303.3000,100,0
ALX.US,5,20131112,212500,302.1600,302.1600,302.1600,302.1600,100,0
ALX.US,5,20131112,213000,303.0000,303.0000,302.8600,302.8600,200,0
ALX.US,5,20131112,215500,302.2900,302.2900,302.2900,302.2900,100,0
ALX.US,5,20131112,220500,303.9100,303.9100,303.9100,303.9100,462,0
ALX.US,5,20131113,153500,303.1400,303.1400,303.1400,303.1400,193,0
ALX.US,5,20131113,185000,303.5000,303.5000,303.5000,303.5000,100,0
ALX.US,5,20131113,204500,302.5500,302.7000,302.5500,302.7000,200,0
ALX.US,5,20131113,205000,302.4000,302.4000,302.4000,302.4000,100,0
ALX.US,5,20131113,210500,300.4200,300.4200,300.4200,300.4200,100,0
ALX.US,5,20131113,220500,304.6900,304.6900,304.6900,304.6900,712,0
ALX.US,5,20131114,153500,306.1000,306.1000,306.1000,306.1000,316,0
ALX.US,5,20131114,162500,306.0000,306.0000,303.7000,303.7000,300,0
ALX.US,5,20131114,220000,306.0000,306.0000,305.6000,305.6000,890,0
ALX.US,5,20131114,220500,305.0000,305.0000,305.0000,305.0000,191,0
ALX.US,5,20131115,153500,304.4000,304.4000,304.4000,304.4000,434,0
ALX.US,5,20131115,154000,301.0600,301.0600,301.0600,301.0600,100,0
ALX.US,5,20131115,214000,306.0000,306.0000,306.0000,306.0000,300,0
ALX.US,5,20131115,214500,306.4200,306.4200,306.4200,306.4200,100,0
ALX.US,5,20131115,215000,307.4800,309.9900,307.4500,309.9900,400,0
ALX.US,5,20131115,215500,309.5000,309.5000,308.4600,308.4600,515,0
ALX.US,5,20131115,220000,307.3500,307.3500,307.3500,307.3500,100,0
ALX.US,5,20131115,220500,308.3500,308.3500,308.3500,308.3500,1045,0
ALX.US,5,20131118,215500,307.3000,307.3000,307.3000,307.3000,100,0
ALX.US,5,20131118,220000,304.8100,305.0000,304.8100,305.0000,200,0
ALX.US,5,20131118,220500,304.8500,304.8500,304.8500,304.8500,902,0
ALX.US,5,20131119,161000,302.6000,302.6000,302.6000,302.6000,100,0
ALX.US,5,20131119,170000,304.9200,304.9200,304.9200,304.9200,100,0
ALX.US,5,20131119,220000,303.5700,303.5700,303.5700,303.5700,100,0
ALX.US,5,20131119,220500,305.9800,305.9800,305.9800,305.9800,602,0
ALX.US,5,20131120,153500,303.9900,303.9900,303.9900,303.9900,200,0
ALX.US,5,20131120,180500,305.0000,305.0000,305.0000,305.0000,100,0
ALX.US,5,20131120,201000,304.1100,305.0000,302.3200,305.0000,1000,0
ALX.US,5,20131120,201500,305.1900,305.1900,305.0000,305.0000,400,0
ALX.US,5,20131120,202500,305.0000,305.0000,304.0000,304.0000,300,0
ALX.US,5,20131120,204000,303.0400,303.0400,303.0400,303.0400,115,0
ALX.US,5,20131120,211500,298.8400,298.8400,298.8400,298.8400,100,0
ALX.US,5,20131120,220500,301.6700,301.6700,301.6700,301.6700,455,0
ALX.US,5,20131121,153500,301.6900,301.6900,301.6900,301.6900,203,0
ALX.US,5,20131121,165500,303.0000,303.0000,302.4100,302.4100,200,0
ALX.US,5,20131121,183000,303.2500,303.2500,303.2500,303.2500,100,0
ALX.US,5,20131121,193500,301.5100,301.5100,301.5100,301.5100,100,0
ALX.US,5,20131121,194000,301.5000,301.5000,301.5000,301.5000,100,0
ALX.US,5,20131121,215000,303.3200,303.3200,303.3200,303.3200,100,0
ALX.US,5,20131121,220000,304.5300,304.5300,303.2500,303.2700,400,0
ALX.US,5,20131121,220500,304.6500,304.6500,304.6500,304.6500,1068,0
ALX.US,5,20131122,154000,302.8100,302.8100,302.8100,302.8100,200,0
ALX.US,5,20131122,172000,304.0100,304.0100,304.0100,304.0100,100,0
ALX.US,5,20131122,202000,303.5000,303.5000,303.5000,303.5000,100,0
ALX.US,5,20131122,204000,305.9700,305.9700,305.9700,305.9700,100,0
ALX.US,5,20131122,214000,306.0000,306.0000,305.0000,305.0000,600,0
ALX.US,5,20131122,215000,308.5000,308.5000,308.5000,308.5000,100,0
ALX.US,5,20131125,202500,305.0200,305.0200,305.0200,305.0200,101,0
ALX.US,5,20131125,215000,307.0000,307.0000,305.0800,305.0800,200,0
ALX.US,5,20131125,215500,307.7100,307.7100,305.7400,305.8100,400,0
ALX.US,5,20131125,220000,305.3900,307.1600,305.3900,306.6400,400,0
ALX.US,5,20131125,220500,306.5000,306.5000,306.5000,306.5000,504,0
ALX.US,5,20131126,161000,309.6300,309.6300,309.6300,309.6300,100,0
ALX.US,5,20131126,184000,308.9900,308.9900,308.9900,308.9900,100,0
ALX.US,5,20131126,194500,312.4800,312.4800,312.4800,312.4800,100,0
ALX.US,5,20131126,200000,312.5000,312.5000,312.5000,312.5000,100,0
ALX.US,5,20131126,202000,312.7800,312.9400,312.7800,312.9400,200,0
ALX.US,5,20131126,210000,313.0000,313.0000,313.0000,313.0000,100,0
ALX.US,5,20131126,212500,314.2000,314.2000,313.3100,313.3200,400,0
ALX.US,5,20131126,215000,313.5400,313.5400,313.5400,313.5400,100,0
ALX.US,5,20131126,215500,312.8100,312.8100,312.8100,312.8100,100,0
ALX.US,5,20131126,220000,313.9400,313.9400,313.9400,313.9400,100,0
ALX.US,5,20131126,221000,314.7500,314.7500,314.7500,314.7500,1832,0
ALX.US,5,20131127,153500,314.2600,314.2600,314.2600,314.2600,102,0
ALX.US,5,20131127,175000,317.0000,317.0000,317.0000,317.0000,100,0
ALX.US,5,20131127,175500,317.5000,317.9900,317.5000,317.9900,400,0
ALX.US,5,20131127,180000,318.9500,318.9500,318.9500,318.9500,100,0
ALX.US,5,20131127,191000,321.8100,321.8100,321.8100,321.8100,100,0
ALX.US,5,20131127,191500,319.9000,319.9000,319.9000,319.9000,100,0
ALX.US,5,20131127,192000,317.4500,319.5700,316.8500,316.8500,300,0
ALX.US,5,20131127,201500,316.8800,316.8800,316.8800,316.8800,100,0
ALX.US,5,20131127,202500,320.9400,320.9400,320.9400,320.9400,100,0
ALX.US,5,20131127,211500,320.9900,320.9900,320.9900,320.9900,100,0
ALX.US,5,20131127,215500,323.1000,323.1000,323.1000,323.1000,100,0
ALX.US,5,20131127,220500,323.9000,323.9000,323.9000,323.9000,299,0
ALX.US,5,20131129,183500,327.3400,327.3400,327.3400,327.3400,100,0
ALX.US,5,20131129,190000,323.6000,323.6000,323.6000,323.6000,100,0
ALX.US,5,20131129,190500,322.2400,322.2400,322.2400,322.2400,585,0
ALX.US,5,20131202,162000,319.9500,319.9500,319.9500,319.9500,100,0
ALX.US,5,20131202,180000,317.1200,317.1200,317.1200,317.1200,100,0
ALX.US,5,20131202,185500,317.1500,317.1500,317.1500,317.1500,100,0
ALX.US,5,20131202,190000,318.0100,318.0100,318.0100,318.0100,100,0
ALX.US,5,20131202,190500,317.4000,317.4000,317.0000,317.0000,200,0
ALX.US,5,20131202,191000,316.5000,316.5000,316.5000,316.5000,300,0
ALX.US,5,20131202,204000,315.0000,315.0000,315.0000,315.0000,100,0
ALX.US,5,20131202,211000,315.0000,315.0100,315.0000,315.0100,510,0
ALX.US,5,20131202,212500,315.0100,315.0100,315.0100,315.0100,100,0
ALX.US,5,20131202,213000,317.8200,317.8200,317.8200,317.8200,100,0
ALX.US,5,20131202,214500,315.8300,316.0800,315.8300,316.0800,300,0
ALX.US,5,20131202,220000,316.0000,318.0000,316.0000,318.0000,200,0
ALX.US,5,20131202,220500,316.0000,316.0000,316.0000,316.0000,722,0
ALX.US,5,20131203,160000,310.0200,310.0200,310.0200,310.0200,200,0
ALX.US,5,20131203,162000,316.4000,316.4000,316.4000,316.4000,200,0
ALX.US,5,20131203,164000,318.7500,318.7500,318.7500,318.7500,100,0
ALX.US,5,20131203,175000,315.2000,315.2000,314.0000,314.0000,220,0
ALX.US,5,20131203,175500,316.7000,316.7000,316.7000,316.7000,100,0
ALX.US,5,20131203,203000,313.4500,313.5000,313.4500,313.5000,325,0
ALX.US,5,20131203,214000,316.2400,316.2400,316.2400,316.2400,100,0
ALX.US,5,20131203,220000,316.0000,316.6600,316.0000,316.6600,600,0
ALX.US,5,20131203,220500,316.0000,316.0000,316.0000,316.0000,1425,0
ALX.US,5,20131204,153500,313.7200,313.7200,313.7200,313.7200,300,0
ALX.US,5,20131204,164000,311.9100,313.0000,311.9100,313.0000,200,0
ALX.US,5,20131204,172000,315.5500,315.5500,315.5500,315.5500,100,0
ALX.US,5,20131204,184000,315.6000,315.6000,315.6000,315.6000,100,0
ALX.US,5,20131204,185000,314.5900,314.5900,314.5900,314.5900,100,0
ALX.US,5,20131204,193000,315.0000,315.0000,315.0000,315.0000,200,0
ALX.US,5,20131204,194000,314.9900,314.9900,314.9900,314.9900,100,0
ALX.US,5,20131204,201000,314.0100,314.0100,314.0100,314.0100,100,0
ALX.US,5,20131204,220500,316.0300,316.0300,316.0300,316.0300,777,0
ALX.US,5,20131205,180500,313.0000,313.2100,313.0000,313.2100,200,0
ALX.US,5,20131205,190500,314.4100,314.4100,314.4100,314.4100,100,0
ALX.US,5,20131205,220500,313.7500,313.7500,313.7500,313.7500,255,0
ALX.US,5,20131206,155000,318.0000,318.0000,318.0000,318.0000,200,0
ALX.US,5,20131206,160000,318.0000,318.0000,318.0000,318.0000,100,0
ALX.US,5,20131206,220000,321.2400,323.5900,321.2400,323.5900,2530,0
ALX.US,5,20131206,220500,325.3300,325.3300,325.3300,325.3300,259,0
ALX.US,5,20131209,153500,322.6200,322.6200,322.0300,322.6200,2747,0
ALX.US,5,20131209,154500,322.6200,322.6200,322.6200,322.6200,600,0
ALX.US,5,20131209,160000,322.6200,322.6200,322.6200,322.6200,240,0
ALX.US,5,20131209,160500,322.6100,322.6200,322.6100,322.6200,19030,0
ALX.US,5,20131209,220500,324.8800,324.8800,324.8800,324.8800,812,0
