<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMD.US,5,20131112,153500,3.3400,3.3500,3.3300,3.3500,290023,0
AMD.US,5,20131112,154000,3.3500,3.3700,3.3400,3.3600,662550,0
AMD.US,5,20131112,154500,3.3600,3.3700,3.3500,3.3600,133473,0
AMD.US,5,20131112,155000,3.3600,3.4000,3.3600,3.4000,903524,0
AMD.US,5,20131112,155500,3.4000,3.4500,3.3900,3.4500,1799605,0
AMD.US,5,20131112,160000,3.4500,3.4500,3.4100,3.4100,583356,0
AMD.US,5,20131112,160500,3.4100,3.4300,3.4000,3.4100,556677,0
AMD.US,5,20131112,161000,3.4100,3.4100,3.4000,3.4100,116868,0
AMD.US,5,20131112,161500,3.4100,3.4100,3.4000,3.4000,171400,0
AMD.US,5,20131112,162000,3.4100,3.4200,3.4000,3.4100,312017,0
AMD.US,5,20131112,162500,3.4100,3.4200,3.4100,3.4100,154744,0
AMD.US,5,20131112,163000,3.4200,3.4200,3.4100,3.4100,174490,0
AMD.US,5,20131112,163500,3.4200,3.4200,3.4100,3.4200,212244,0
AMD.US,5,20131112,164000,3.4200,3.4200,3.4100,3.4200,106632,0
AMD.US,5,20131112,164500,3.4100,3.4200,3.4000,3.4000,222045,0
AMD.US,5,20131112,165000,3.4000,3.4000,3.3700,3.3800,794261,0
AMD.US,5,20131112,165500,3.3800,3.3900,3.3700,3.3800,503764,0
AMD.US,5,20131112,170000,3.3900,3.3900,3.3800,3.3900,107643,0
AMD.US,5,20131112,170500,3.3900,3.3900,3.3800,3.3900,50850,0
AMD.US,5,20131112,171000,3.3800,3.4000,3.3800,3.3900,255830,0
AMD.US,5,20131112,171500,3.3900,3.3900,3.3700,3.3800,187926,0
AMD.US,5,20131112,172000,3.3800,3.3800,3.3700,3.3800,39397,0
AMD.US,5,20131112,172500,3.3700,3.3900,3.3700,3.3900,484246,0
AMD.US,5,20131112,173000,3.3900,3.4100,3.3800,3.4100,209094,0
AMD.US,5,20131112,173500,3.4000,3.4100,3.4000,3.4100,89719,0
AMD.US,5,20131112,174000,3.4100,3.4100,3.3800,3.3900,295670,0
AMD.US,5,20131112,174500,3.3900,3.4000,3.3800,3.4000,129420,0
AMD.US,5,20131112,175000,3.4000,3.4000,3.3800,3.3900,111570,0
AMD.US,5,20131112,175500,3.3800,3.3900,3.3800,3.3900,151037,0
AMD.US,5,20131112,180000,3.3800,3.3900,3.3800,3.3800,32830,0
AMD.US,5,20131112,180500,3.3900,3.3900,3.3800,3.3800,25121,0
AMD.US,5,20131112,181000,3.3900,3.3900,3.3800,3.3900,26250,0
AMD.US,5,20131112,181500,3.3900,3.4000,3.3800,3.3900,150882,0
AMD.US,5,20131112,182000,3.4000,3.4000,3.3900,3.3900,143953,0
AMD.US,5,20131112,182500,3.3900,3.4000,3.3800,3.4000,193582,0
AMD.US,5,20131112,183000,3.3900,3.4000,3.3900,3.3900,37570,0
