<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMP-A.US,5,20131112,161500,26.0200,26.0200,26.0200,26.0200,500,0
AMP-A.US,5,20131112,162000,26.1000,26.1000,26.1000,26.1000,300,0
AMP-A.US,5,20131112,163000,26.1100,26.1100,26.1100,26.1100,100,0
AMP-A.US,5,20131112,164000,26.0300,26.0300,26.0300,26.0300,300,0
AMP-A.US,5,20131112,170000,26.0400,26.0400,26.0400,26.0400,600,0
AMP-A.US,5,20131112,171500,26.0200,26.0300,26.0200,26.0300,1400,0
AMP-A.US,5,20131112,172500,26.0300,26.0300,26.0300,26.0300,280,0
AMP-A.US,5,20131112,173000,26.0300,26.0300,26.0300,26.0300,160,0
AMP-A.US,5,20131112,173500,26.0200,26.0200,26.0200,26.0200,200,0
AMP-A.US,5,20131112,175000,26.0900,26.0900,26.0900,26.0900,200,0
AMP-A.US,5,20131112,175500,26.0600,26.0600,26.0400,26.0400,524,0
AMP-A.US,5,20131112,180000,26.0400,26.0400,26.0300,26.0300,700,0
AMP-A.US,5,20131112,180500,26.0500,26.0600,26.0300,26.0600,724,0
AMP-A.US,5,20131112,181000,26.0600,26.0600,26.0400,26.0500,533,0
AMP-A.US,5,20131112,181500,26.0300,26.0500,26.0300,26.0500,648,0
AMP-A.US,5,20131112,182000,26.0500,26.0500,26.0500,26.0500,200,0
AMP-A.US,5,20131112,183500,26.0400,26.0400,26.0400,26.0400,200,0
AMP-A.US,5,20131112,184000,26.0300,26.0300,26.0300,26.0300,300,0
AMP-A.US,5,20131112,184500,26.0500,26.0500,26.0500,26.0500,500,0
AMP-A.US,5,20131112,185000,26.0500,26.0500,26.0500,26.0500,100,0
AMP-A.US,5,20131112,185500,26.0300,26.0800,26.0200,26.0600,850,0
AMP-A.US,5,20131112,190000,26.0800,26.0800,26.0800,26.0800,200,0
AMP-A.US,5,20131112,190500,26.0600,26.0800,26.0600,26.0800,600,0
AMP-A.US,5,20131112,191000,26.0800,26.0800,26.0800,26.0800,200,0
AMP-A.US,5,20131112,191500,26.0800,26.0800,26.0500,26.0500,804,0
AMP-A.US,5,20131112,192000,26.0400,26.0400,26.0300,26.0300,300,0
AMP-A.US,5,20131112,192500,26.0400,26.0400,26.0400,26.0400,100,0
AMP-A.US,5,20131112,200500,26.0500,26.0500,26.0500,26.0500,400,0
AMP-A.US,5,20131112,202500,26.0500,26.0500,26.0500,26.0500,700,0
AMP-A.US,5,20131112,203000,26.0300,26.0400,26.0300,26.0400,540,0
AMP-A.US,5,20131112,203500,26.0400,26.0400,26.0400,26.0400,226,0
AMP-A.US,5,20131112,204500,26.0300,26.0300,26.0300,26.0300,400,0
AMP-A.US,5,20131112,205000,26.0300,26.0500,26.0300,26.0500,561,0
AMP-A.US,5,20131112,210000,26.0500,26.0500,26.0200,26.0300,1575,0
AMP-A.US,5,20131112,210500,26.0200,26.0200,26.0200,26.0200,1150,0
AMP-A.US,5,20131112,211000,26.0300,26.0300,26.0200,26.0200,1100,0
AMP-A.US,5,20131112,211500,26.0200,26.0200,26.0200,26.0200,400,0
AMP-A.US,5,20131112,212500,26.0300,26.0400,26.0300,26.0400,600,0
AMP-A.US,5,20131112,213000,26.0400,26.0400,26.0300,26.0300,600,0
AMP-A.US,5,20131112,215000,26.0400,26.0400,26.0400,26.0400,100,0
AMP-A.US,5,20131112,215500,26.0200,26.0200,26.0200,26.0200,1423,0
AMP-A.US,5,20131112,220000,26.0400,26.0400,26.0400,26.0400,100,0
AMP-A.US,5,20131113,154500,26.0000,26.0000,26.0000,26.0000,800,0
AMP-A.US,5,20131113,155500,26.0300,26.0300,26.0300,26.0300,767,0
AMP-A.US,5,20131113,160500,26.0000,26.0000,26.0000,26.0000,752,0
AMP-A.US,5,20131113,162000,26.0100,26.0100,26.0100,26.0100,1981,0
AMP-A.US,5,20131113,164500,26.0100,26.0200,26.0100,26.0200,700,0
AMP-A.US,5,20131113,172000,26.0200,26.0200,26.0200,26.0200,100,0
AMP-A.US,5,20131113,175000,26.0100,26.0100,26.0100,26.0100,617,0
AMP-A.US,5,20131113,180000,26.0200,26.0200,26.0200,26.0200,456,0
AMP-A.US,5,20131113,202000,26.0200,26.0200,26.0200,26.0200,500,0
AMP-A.US,5,20131113,202500,26.0100,26.0100,26.0100,26.0100,100,0
AMP-A.US,5,20131113,203500,26.0200,26.0200,26.0200,26.0200,750,0
AMP-A.US,5,20131113,204000,26.0200,26.0200,26.0200,26.0200,500,0
AMP-A.US,5,20131113,204500,26.0200,26.0200,26.0200,26.0200,154,0
AMP-A.US,5,20131113,205500,26.0200,26.0200,26.0200,26.0200,985,0
AMP-A.US,5,20131113,210500,26.0200,26.0200,26.0200,26.0200,416,0
AMP-A.US,5,20131113,212000,26.0200,26.0200,26.0200,26.0200,300,0
AMP-A.US,5,20131113,213000,26.0300,26.0300,26.0300,26.0300,100,0
AMP-A.US,5,20131113,213500,26.0300,26.0300,26.0300,26.0300,230,0
AMP-A.US,5,20131113,214500,26.0300,26.0300,26.0300,26.0300,100,0
AMP-A.US,5,20131113,215500,26.0800,26.0800,26.0800,26.0800,300,0
AMP-A.US,5,20131113,220000,26.0300,26.0300,26.0300,26.0300,796,0
AMP-A.US,5,20131114,160500,26.0500,26.0500,26.0500,26.0500,1000,0
AMP-A.US,5,20131114,161500,26.0500,26.0900,26.0500,26.0800,1995,0
AMP-A.US,5,20131114,163000,26.0900,26.0900,26.0900,26.0900,100,0
AMP-A.US,5,20131114,163500,26.0900,26.0900,26.0700,26.0700,300,0
AMP-A.US,5,20131114,164000,26.0600,26.0800,26.0600,26.0800,600,0
AMP-A.US,5,20131114,171500,26.0700,26.0700,26.0700,26.0700,100,0
AMP-A.US,5,20131114,173500,26.0300,26.0300,26.0300,26.0300,320,0
AMP-A.US,5,20131114,183500,26.0300,26.0400,26.0200,26.0200,1560,0
AMP-A.US,5,20131114,184000,26.0700,26.0700,26.0700,26.0700,200,0
AMP-A.US,5,20131114,192000,26.0300,26.0300,26.0300,26.0300,2000,0
AMP-A.US,5,20131114,193500,26.0800,26.0800,26.0700,26.0700,600,0
AMP-A.US,5,20131114,194000,26.0600,26.0600,26.0600,26.0600,100,0
AMP-A.US,5,20131114,201500,26.0800,26.0800,26.0800,26.0800,1000,0
AMP-A.US,5,20131114,202500,26.0800,26.0800,26.0800,26.0800,1000,0
AMP-A.US,5,20131114,204000,26.0400,26.0400,26.0400,26.0400,110,0
AMP-A.US,5,20131114,204500,26.0200,26.0200,26.0200,26.0200,110,0
AMP-A.US,5,20131114,205500,26.0300,26.0300,26.0300,26.0300,239,0
AMP-A.US,5,20131114,210500,26.0200,26.0300,26.0200,26.0300,1800,0
AMP-A.US,5,20131114,212500,26.0200,26.0200,26.0200,26.0200,174,0
AMP-A.US,5,20131114,214000,26.0400,26.0400,26.0400,26.0400,200,0
AMP-A.US,5,20131114,214500,26.0400,26.0400,26.0400,26.0400,274,0
AMP-A.US,5,20131114,220000,26.0300,26.0300,26.0300,26.0300,300,0
AMP-A.US,5,20131115,155500,26.0200,26.0200,26.0200,26.0200,292,0
AMP-A.US,5,20131115,160500,26.0500,26.0500,26.0500,26.0500,100,0
AMP-A.US,5,20131115,161000,26.0400,26.0500,26.0400,26.0400,2900,0
AMP-A.US,5,20131115,161500,26.0500,26.0500,26.0400,26.0500,700,0
AMP-A.US,5,20131115,162000,26.0400,26.0500,26.0400,26.0500,500,0
AMP-A.US,5,20131115,162500,26.0400,26.0800,26.0400,26.0500,2250,0
AMP-A.US,5,20131115,163000,26.0800,26.0800,26.0800,26.0800,1100,0
AMP-A.US,5,20131115,163500,26.0800,26.0800,26.0800,26.0800,100,0
AMP-A.US,5,20131115,164000,26.0800,26.0800,26.0800,26.0800,101,0
AMP-A.US,5,20131115,164500,26.0800,26.0800,26.0800,26.0800,754,0
AMP-A.US,5,20131115,170000,26.0800,26.0800,26.0800,26.0800,100,0
