<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMTG.US,5,20131112,153500,14.9200,14.9200,14.8700,14.8900,6309,0
AMTG.US,5,20131112,154000,14.9000,14.9100,14.9000,14.9100,700,0
AMTG.US,5,20131112,154500,14.9100,14.9400,14.9000,14.9200,1651,0
AMTG.US,5,20131112,155000,14.9400,14.9400,14.9200,14.9300,700,0
AMTG.US,5,20131112,155500,14.9300,14.9300,14.9200,14.9200,200,0
AMTG.US,5,20131112,160000,14.9200,14.9700,14.8900,14.9700,8034,0
AMTG.US,5,20131112,160500,14.9800,14.9900,14.9500,14.9500,12770,0
AMTG.US,5,20131112,161000,14.9300,14.9600,14.8900,14.9600,4000,0
AMTG.US,5,20131112,161500,14.9300,14.9400,14.9200,14.9300,3300,0
AMTG.US,5,20131112,162000,14.9400,15.0000,14.9300,14.9900,5240,0
AMTG.US,5,20131112,162500,14.9900,15.0000,14.9000,14.9100,10209,0
AMTG.US,5,20131112,163000,14.9100,14.9300,14.9100,14.9300,1163,0
AMTG.US,5,20131112,163500,14.9300,14.9300,14.9000,14.9000,4142,0
AMTG.US,5,20131112,164000,14.9100,14.9100,14.9000,14.9000,364,0
AMTG.US,5,20131112,164500,14.9100,14.9200,14.9100,14.9200,6464,0
AMTG.US,5,20131112,165000,14.9200,14.9200,14.9000,14.9000,2200,0
AMTG.US,5,20131112,165500,14.9000,14.9100,14.9000,14.9100,2300,0
AMTG.US,5,20131112,170000,14.9100,14.9100,14.8900,14.9100,4202,0
AMTG.US,5,20131112,170500,14.9200,14.9400,14.9000,14.9200,2911,0
AMTG.US,5,20131112,171000,14.9400,14.9400,14.9200,14.9200,5252,0
AMTG.US,5,20131112,171500,14.9200,14.9200,14.9100,14.9100,1000,0
AMTG.US,5,20131112,172000,14.9100,14.9200,14.9100,14.9100,3296,0
AMTG.US,5,20131112,172500,14.9100,14.9100,14.9000,14.9000,2605,0
AMTG.US,5,20131112,173000,14.9000,14.9100,14.8900,14.9000,4200,0
AMTG.US,5,20131112,173500,14.9000,14.9100,14.9000,14.9000,500,0
AMTG.US,5,20131112,174000,14.9000,14.9100,14.9000,14.9100,3822,0
AMTG.US,5,20131112,174500,14.9100,14.9400,14.9100,14.9400,1400,0
AMTG.US,5,20131112,175000,14.9300,14.9300,14.9100,14.9100,1700,0
AMTG.US,5,20131112,175500,14.9100,14.9100,14.8900,14.8900,4994,0
AMTG.US,5,20131112,180000,14.8900,14.8900,14.8700,14.8900,5009,0
AMTG.US,5,20131112,180500,14.8800,14.8800,14.8700,14.8700,3867,0
AMTG.US,5,20131112,181000,14.8800,14.8900,14.8700,14.8800,7958,0
AMTG.US,5,20131112,181500,14.8800,14.8800,14.8400,14.8500,7090,0
AMTG.US,5,20131112,182000,14.8500,14.8600,14.8400,14.8500,4328,0
AMTG.US,5,20131112,182500,14.8500,14.9000,14.8400,14.8900,16672,0
AMTG.US,5,20131112,183000,14.8900,14.8900,14.8400,14.8500,14474,0
AMTG.US,5,20131112,183500,14.8500,14.8600,14.8400,14.8600,16124,0
AMTG.US,5,20131112,184000,14.8700,14.8800,14.8700,14.8800,3394,0
AMTG.US,5,20131112,184500,14.8700,14.8700,14.8500,14.8500,3400,0
AMTG.US,5,20131112,185000,14.8600,14.8600,14.8400,14.8400,3300,0
AMTG.US,5,20131112,185500,14.8500,14.8500,14.8300,14.8400,4200,0
AMTG.US,5,20131112,190000,14.8400,14.8500,14.8200,14.8200,3546,0
AMTG.US,5,20131112,190500,14.8200,14.8300,14.8200,14.8200,2573,0
AMTG.US,5,20131112,191000,14.8200,14.8400,14.8200,14.8300,5100,0
AMTG.US,5,20131112,191500,14.8200,14.8200,14.7800,14.8000,25094,0
AMTG.US,5,20131112,192000,14.7900,14.8000,14.7800,14.8000,11539,0
AMTG.US,5,20131112,192500,14.7800,14.7800,14.7600,14.7700,8141,0
AMTG.US,5,20131112,193000,14.7700,14.7700,14.7500,14.7500,10800,0
AMTG.US,5,20131112,193500,14.7700,14.7700,14.7400,14.7600,10697,0
AMTG.US,5,20131112,194000,14.7600,14.7600,14.7400,14.7600,3100,0
AMTG.US,5,20131112,194500,14.7600,14.7700,14.7500,14.7700,3798,0
AMTG.US,5,20131112,195000,14.7600,14.7700,14.7600,14.7600,2649,0
AMTG.US,5,20131112,195500,14.7600,14.7600,14.7400,14.7500,6200,0
AMTG.US,5,20131112,200000,14.7500,14.7600,14.7500,14.7600,3300,0
AMTG.US,5,20131112,200500,14.7600,14.7600,14.7400,14.7600,2000,0
AMTG.US,5,20131112,201000,14.7500,14.7600,14.7400,14.7600,4800,0
AMTG.US,5,20131112,201500,14.7500,14.7600,14.7500,14.7500,3900,0
AMTG.US,5,20131112,202000,14.7400,14.7400,14.7300,14.7400,6201,0
AMTG.US,5,20131112,202500,14.7300,14.7600,14.6600,14.7200,32652,0
AMTG.US,5,20131112,203000,14.7300,14.7300,14.7200,14.7200,1500,0
AMTG.US,5,20131112,203500,14.7300,14.7400,14.7000,14.7300,14700,0
AMTG.US,5,20131112,204000,14.7300,14.7500,14.7300,14.7400,5903,0
AMTG.US,5,20131112,204500,14.7400,14.7600,14.7400,14.7400,4090,0
AMTG.US,5,20131112,205000,14.7400,14.7400,14.7200,14.7200,2000,0
AMTG.US,5,20131112,205500,14.7200,14.7400,14.7200,14.7400,3221,0
AMTG.US,5,20131112,210000,14.7200,14.7600,14.7200,14.7500,2500,0
AMTG.US,5,20131112,210500,14.7500,14.7500,14.7400,14.7500,2400,0
AMTG.US,5,20131112,211000,14.7500,14.7600,14.7400,14.7600,5105,0
AMTG.US,5,20131112,211500,14.7600,14.7800,14.7600,14.7700,5732,0
AMTG.US,5,20131112,212000,14.7700,14.7800,14.7700,14.7800,3200,0
AMTG.US,5,20131112,212500,14.7800,14.7900,14.7800,14.7800,5900,0
AMTG.US,5,20131112,213000,14.7900,14.7900,14.7800,14.7800,900,0
AMTG.US,5,20131112,213500,14.7800,14.7900,14.7800,14.7800,9984,0
AMTG.US,5,20131112,214000,14.7900,14.8100,14.7800,14.8100,6859,0
AMTG.US,5,20131112,214500,14.8100,14.8200,14.8000,14.8100,3255,0
AMTG.US,5,20131112,215000,14.8100,14.8200,14.7800,14.8000,6629,0
AMTG.US,5,20131112,215500,14.8000,14.8100,14.8000,14.8000,6405,0
AMTG.US,5,20131112,220000,14.8000,14.8200,14.7900,14.8200,12556,0
AMTG.US,5,20131112,220500,14.8200,14.8200,14.8200,14.8200,8290,0
AMTG.US,5,20131113,153500,14.7200,14.7400,14.7000,14.7400,1800,0
AMTG.US,5,20131113,154000,14.7500,14.8200,14.7500,14.8200,2002,0
AMTG.US,5,20131113,154500,14.8500,14.8500,14.8500,14.8500,1200,0
AMTG.US,5,20131113,155000,14.8400,14.8400,14.8400,14.8400,200,0
AMTG.US,5,20131113,155500,14.8200,14.8200,14.8000,14.8000,1050,0
AMTG.US,5,20131113,160000,14.8100,14.8100,14.8100,14.8100,300,0
AMTG.US,5,20131113,160500,14.8300,14.8300,14.8100,14.8100,995,0
AMTG.US,5,20131113,161000,14.8000,14.8000,14.8000,14.8000,700,0
AMTG.US,5,20131113,161500,14.8000,14.8000,14.7900,14.7900,600,0
AMTG.US,5,20131113,162000,14.8100,14.8200,14.8100,14.8100,1700,0
AMTG.US,5,20131113,162500,14.8100,14.8200,14.8100,14.8200,1720,0
AMTG.US,5,20131113,163000,14.8200,14.8300,14.8200,14.8200,900,0
AMTG.US,5,20131113,163500,14.8200,14.8200,14.8200,14.8200,300,0
AMTG.US,5,20131113,164000,14.8200,14.8200,14.8000,14.8200,2650,0
AMTG.US,5,20131113,164500,14.8100,14.8300,14.8100,14.8300,3300,0
AMTG.US,5,20131113,165000,14.8400,14.8400,14.8300,14.8300,600,0
AMTG.US,5,20131113,165500,14.8300,14.8300,14.8300,14.8300,300,0
AMTG.US,5,20131113,170000,14.8300,14.8400,14.8300,14.8400,600,0
AMTG.US,5,20131113,170500,14.8400,14.8600,14.8300,14.8600,8052,0
AMTG.US,5,20131113,171000,14.8600,14.8600,14.8500,14.8600,900,0
AMTG.US,5,20131113,171500,14.8600,14.8800,14.8600,14.8600,4650,0
AMTG.US,5,20131113,172000,14.8700,14.8800,14.8600,14.8700,94800,0
AMTG.US,5,20131113,172500,14.8600,14.8700,14.8200,14.8500,25050,0
AMTG.US,5,20131113,173000,14.8500,14.8600,14.8400,14.8600,3400,0
AMTG.US,5,20131113,173500,14.8500,14.8600,14.8500,14.8600,8459,0
AMTG.US,5,20131113,174000,14.8600,14.8700,14.8400,14.8700,3100,0
AMTG.US,5,20131113,174500,14.8600,14.8600,14.8400,14.8500,1600,0
AMTG.US,5,20131113,175000,14.8600,14.8700,14.8600,14.8700,300,0
AMTG.US,5,20131113,175500,14.8700,14.8900,14.8700,14.8900,1902,0
AMTG.US,5,20131113,180000,14.8800,14.8800,14.8800,14.8800,100,0
AMTG.US,5,20131113,180500,14.8900,14.8900,14.8900,14.8900,300,0
AMTG.US,5,20131113,181000,14.8900,14.9000,14.8900,14.9000,2300,0
AMTG.US,5,20131113,181500,14.8900,14.9000,14.8900,14.8900,2925,0
AMTG.US,5,20131113,182000,14.8900,14.9000,14.8900,14.9000,1200,0
AMTG.US,5,20131113,182500,14.9000,14.9100,14.8900,14.8900,3851,0
AMTG.US,5,20131113,183000,14.9000,14.9000,14.8800,14.8800,4165,0
AMTG.US,5,20131113,184000,14.8800,14.9000,14.8800,14.9000,13000,0
AMTG.US,5,20131113,184500,14.8900,14.9000,14.8900,14.8900,820,0
AMTG.US,5,20131113,185000,14.9100,14.9200,14.9100,14.9100,3201,0
AMTG.US,5,20131113,185500,14.9100,14.9100,14.9000,14.9000,6424,0
AMTG.US,5,20131113,190000,14.9100,14.9100,14.9000,14.9100,2237,0
AMTG.US,5,20131113,191500,14.9000,14.9000,14.9000,14.9000,1600,0
AMTG.US,5,20131113,192000,14.9100,14.9100,14.9100,14.9100,500,0
AMTG.US,5,20131113,192500,14.9100,14.9200,14.9100,14.9200,300,0
AMTG.US,5,20131113,193000,14.9100,14.9200,14.9100,14.9200,5033,0
AMTG.US,5,20131113,193500,14.9200,14.9400,14.9200,14.9400,10855,0
AMTG.US,5,20131113,194000,14.9400,14.9500,14.9400,14.9500,1200,0
AMTG.US,5,20131113,195000,14.9500,14.9500,14.9500,14.9500,3168,0
AMTG.US,5,20131113,195500,14.9600,14.9700,14.9500,14.9600,2900,0
AMTG.US,5,20131113,200000,14.9600,14.9600,14.9500,14.9600,800,0
AMTG.US,5,20131113,200500,14.9500,14.9600,14.9500,14.9600,850,0
AMTG.US,5,20131113,201000,14.9500,14.9700,14.9500,14.9700,3681,0
AMTG.US,5,20131113,201500,14.9600,14.9600,14.9600,14.9600,100,0
AMTG.US,5,20131113,202000,14.9700,14.9700,14.9700,14.9700,1299,0
AMTG.US,5,20131113,202500,14.9700,14.9700,14.9600,14.9600,8569,0
AMTG.US,5,20131113,203000,14.9700,14.9700,14.9700,14.9700,200,0
AMTG.US,5,20131113,203500,14.9700,14.9700,14.9600,14.9700,300,0
AMTG.US,5,20131113,204000,14.9700,14.9700,14.9400,14.9400,1000,0
AMTG.US,5,20131113,204500,14.9400,14.9400,14.9300,14.9300,1300,0
AMTG.US,5,20131113,205000,14.9300,14.9400,14.9300,14.9400,400,0
AMTG.US,5,20131113,205500,14.9400,14.9500,14.9400,14.9400,1603,0
AMTG.US,5,20131113,210000,14.9400,14.9400,14.9400,14.9400,400,0
AMTG.US,5,20131113,210500,14.9400,14.9400,14.9300,14.9300,700,0
AMTG.US,5,20131113,211000,14.9300,14.9300,14.9300,14.9300,400,0
AMTG.US,5,20131113,211500,14.9300,14.9300,14.9300,14.9300,700,0
AMTG.US,5,20131113,212000,14.9400,14.9400,14.9300,14.9300,400,0
AMTG.US,5,20131113,212500,14.9300,14.9400,14.9300,14.9400,1700,0
AMTG.US,5,20131113,213000,14.9400,14.9500,14.9400,14.9500,1100,0
AMTG.US,5,20131113,213500,14.9500,14.9600,14.9400,14.9500,2300,0
AMTG.US,5,20131113,214500,14.9600,14.9600,14.9100,14.9100,25340,0
AMTG.US,5,20131113,215000,14.9200,14.9600,14.9100,14.9500,18592,0
AMTG.US,5,20131113,215500,14.9500,14.9600,14.9400,14.9600,6603,0
AMTG.US,5,20131113,220000,14.9600,14.9700,14.9500,14.9700,6990,0
AMTG.US,5,20131113,220500,14.9700,14.9700,14.9700,14.9700,6419,0
AMTG.US,5,20131114,153500,14.9700,14.9700,14.9300,14.9500,2600,0
AMTG.US,5,20131114,154000,14.9600,15.0400,14.9600,15.0300,10805,0
AMTG.US,5,20131114,154500,14.9800,15.0400,14.9700,15.0400,11343,0
AMTG.US,5,20131114,155000,15.0400,15.0700,15.0400,15.0600,6600,0
AMTG.US,5,20131114,155500,15.0700,15.0800,15.0600,15.0800,800,0
AMTG.US,5,20131114,160000,15.1000,15.1000,15.0800,15.0800,4800,0
AMTG.US,5,20131114,160500,15.0700,15.1200,15.0400,15.0900,9813,0
AMTG.US,5,20131114,161000,15.1100,15.1100,15.1100,15.1100,3600,0
AMTG.US,5,20131114,161500,15.1100,15.1700,15.1100,15.1700,11400,0
AMTG.US,5,20131114,162000,15.1700,15.1700,15.1300,15.1400,2850,0
