<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANW.US,5,20131112,153500,10.5100,10.5500,10.5000,10.5500,3577,0
ANW.US,5,20131112,154000,10.5500,10.6000,10.5100,10.5600,3600,0
ANW.US,5,20131112,154500,10.5400,10.5400,10.4400,10.4400,5349,0
ANW.US,5,20131112,155000,10.4400,10.4700,10.4000,10.4600,4200,0
ANW.US,5,20131112,155500,10.5000,10.5000,10.4200,10.4200,3000,0
ANW.US,5,20131112,160000,10.4100,10.5100,10.4000,10.4900,6295,0
ANW.US,5,20131112,160500,10.5000,10.5000,10.4200,10.4900,7800,0
ANW.US,5,20131112,161000,10.4800,10.5000,10.4200,10.4600,5100,0
ANW.US,5,20131112,161500,10.4700,10.5100,10.4500,10.4500,3200,0
ANW.US,5,20131112,162000,10.4200,10.6000,10.3700,10.5800,70147,0
ANW.US,5,20131112,162500,10.5400,10.5400,10.4700,10.4900,3800,0
ANW.US,5,20131112,163000,10.5000,10.5000,10.4600,10.4900,3700,0
ANW.US,5,20131112,163500,10.4900,10.4900,10.4400,10.4400,8400,0
ANW.US,5,20131112,164000,10.4500,10.4600,10.4100,10.4100,4100,0
ANW.US,5,20131112,164500,10.4300,10.4300,10.3900,10.4300,5200,0
ANW.US,5,20131112,165000,10.4200,10.4400,10.3500,10.4000,16754,0
ANW.US,5,20131112,165500,10.4000,10.4100,10.3800,10.4000,9309,0
ANW.US,5,20131112,170000,10.4000,10.4100,10.3300,10.3600,20670,0
ANW.US,5,20131112,170500,10.3500,10.4100,10.3300,10.4100,10466,0
ANW.US,5,20131112,171000,10.4100,10.4300,10.4000,10.4300,4134,0
ANW.US,5,20131112,171500,10.4200,10.4300,10.4100,10.4200,4300,0
ANW.US,5,20131112,172000,10.4000,10.4800,10.4000,10.4700,7894,0
ANW.US,5,20131112,172500,10.4600,10.4700,10.4000,10.4300,8864,0
ANW.US,5,20131112,173000,10.4400,10.4600,10.4400,10.4500,2200,0
ANW.US,5,20131112,173500,10.4400,10.4500,10.4300,10.4500,4000,0
ANW.US,5,20131112,174000,10.4300,10.4500,10.3600,10.3700,8336,0
ANW.US,5,20131112,174500,10.3800,10.4000,10.3600,10.3900,7770,0
ANW.US,5,20131112,175000,10.4000,10.4000,10.3800,10.3900,700,0
ANW.US,5,20131112,175500,10.3500,10.3800,10.3200,10.3300,1100,0
ANW.US,5,20131112,180000,10.3300,10.3500,10.3200,10.3500,6123,0
ANW.US,5,20131112,180500,10.3500,10.3500,10.3400,10.3400,1200,0
ANW.US,5,20131112,181000,10.3400,10.3400,10.2900,10.3100,2400,0
ANW.US,5,20131112,181500,10.2900,10.2900,10.2500,10.2500,4900,0
ANW.US,5,20131112,182000,10.2500,10.2700,10.2500,10.2700,1300,0
ANW.US,5,20131112,182500,10.2500,10.2600,10.2400,10.2400,1300,0
ANW.US,5,20131112,183000,10.2400,10.2400,10.2400,10.2400,100,0
ANW.US,5,20131112,183500,10.2400,10.2400,10.2000,10.2100,1500,0
ANW.US,5,20131112,184000,10.2200,10.2500,10.2000,10.2500,4168,0
ANW.US,5,20131112,184500,10.2500,10.2500,10.2400,10.2400,1100,0
ANW.US,5,20131112,185000,10.2400,10.2400,10.2300,10.2300,700,0
ANW.US,5,20131112,185500,10.2200,10.2500,10.2200,10.2300,3000,0
ANW.US,5,20131112,190000,10.2400,10.2500,10.2300,10.2300,2350,0
