<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARDC.US,5,20131112,160500,17.9400,17.9500,17.9400,17.9500,361,0
ARDC.US,5,20131112,161500,17.9400,17.9400,17.9300,17.9300,500,0
ARDC.US,5,20131112,162000,17.9400,17.9800,17.9400,17.9800,300,0
ARDC.US,5,20131112,163500,17.9800,18.0500,17.9800,18.0500,2300,0
ARDC.US,5,20131112,170000,18.0000,18.0500,18.0000,18.0500,1000,0
ARDC.US,5,20131112,172000,17.9800,17.9800,17.9800,17.9800,300,0
ARDC.US,5,20131112,173000,17.9800,18.0500,17.9800,18.0500,1600,0
ARDC.US,5,20131112,173500,17.9800,18.0300,17.9800,18.0300,1227,0
ARDC.US,5,20131112,174000,17.9800,18.0400,17.9800,18.0300,2425,0
ARDC.US,5,20131112,175000,18.0400,18.0400,18.0400,18.0400,100,0
ARDC.US,5,20131112,175500,18.0400,18.0400,18.0400,18.0400,100,0
ARDC.US,5,20131112,180000,18.0500,18.0500,18.0500,18.0500,100,0
ARDC.US,5,20131112,180500,17.9800,17.9800,17.9800,17.9800,400,0
ARDC.US,5,20131112,181000,18.0400,18.0400,18.0400,18.0400,100,0
ARDC.US,5,20131112,182000,18.0400,18.0400,18.0400,18.0400,100,0
ARDC.US,5,20131112,184500,18.0300,18.0400,18.0300,18.0400,200,0
ARDC.US,5,20131112,191000,17.9900,17.9900,17.9200,17.9800,7400,0
ARDC.US,5,20131112,191500,17.9200,17.9600,17.9100,17.9600,2950,0
ARDC.US,5,20131112,192000,17.9000,17.9000,17.9000,17.9000,300,0
ARDC.US,5,20131112,192500,18.0000,18.0000,18.0000,18.0000,100,0
ARDC.US,5,20131112,193000,18.0000,18.0000,18.0000,18.0000,100,0
ARDC.US,5,20131112,194000,17.9000,17.9100,17.9000,17.9100,6000,0
ARDC.US,5,20131112,194500,17.8900,17.9100,17.8500,17.8500,1300,0
ARDC.US,5,20131112,202500,17.9300,17.9300,17.9300,17.9300,200,0
ARDC.US,5,20131112,203500,17.9000,17.9000,17.9000,17.9000,100,0
ARDC.US,5,20131112,211000,17.9200,17.9600,17.9100,17.9600,3200,0
ARDC.US,5,20131112,212500,17.9700,17.9700,17.9100,17.9100,1000,0
ARDC.US,5,20131112,213500,17.9700,17.9700,17.9700,17.9700,500,0
ARDC.US,5,20131112,215000,17.9100,17.9100,17.9100,17.9100,200,0
ARDC.US,5,20131112,215500,17.9100,17.9100,17.9000,17.9000,900,0
ARDC.US,5,20131112,220000,17.9000,17.9600,17.9000,17.9600,600,0
ARDC.US,5,20131113,162000,17.9100,17.9100,17.9100,17.9100,750,0
ARDC.US,5,20131113,162500,17.9200,17.9300,17.8600,17.9100,4818,0
ARDC.US,5,20131113,165000,17.9200,17.9300,17.9200,17.9300,200,0
ARDC.US,5,20131113,170000,17.9300,17.9300,17.8700,17.9000,1300,0
ARDC.US,5,20131113,170500,17.8700,17.8700,17.8700,17.8700,1000,0
ARDC.US,5,20131113,180000,17.8800,17.8900,17.8700,17.8900,900,0
ARDC.US,5,20131113,180500,17.8800,17.8900,17.8700,17.8900,500,0
ARDC.US,5,20131113,182500,17.9200,17.9200,17.9200,17.9200,1000,0
ARDC.US,5,20131113,191500,17.8700,17.8900,17.8100,17.8200,4700,0
ARDC.US,5,20131113,194500,17.8200,17.8500,17.8200,17.8500,325,0
ARDC.US,5,20131113,201000,17.8800,17.8800,17.8800,17.8800,500,0
ARDC.US,5,20131113,201500,17.8800,17.8800,17.8800,17.8800,3100,0
ARDC.US,5,20131113,204500,17.8800,17.8800,17.8800,17.8800,1569,0
ARDC.US,5,20131113,205000,17.8600,17.8600,17.8600,17.8600,325,0
ARDC.US,5,20131113,210000,17.8800,17.8800,17.8800,17.8800,2500,0
ARDC.US,5,20131113,210500,17.8700,17.8700,17.8700,17.8700,600,0
ARDC.US,5,20131113,212500,17.8500,17.8500,17.8500,17.8500,500,0
ARDC.US,5,20131113,213000,17.8600,17.8700,17.8400,17.8700,1764,0
ARDC.US,5,20131113,214000,17.8700,17.8700,17.8700,17.8700,200,0
ARDC.US,5,20131113,214500,17.8700,17.9100,17.8700,17.9100,1396,0
ARDC.US,5,20131113,215500,17.9500,17.9500,17.9400,17.9400,1100,0
ARDC.US,5,20131113,220000,17.9500,17.9500,17.9500,17.9500,600,0
ARDC.US,5,20131114,154000,17.9300,17.9300,17.9300,17.9300,100,0
ARDC.US,5,20131114,154500,17.9300,18.0200,17.9300,17.9300,1600,0
ARDC.US,5,20131114,160000,17.9700,17.9800,17.9700,17.9800,1400,0
ARDC.US,5,20131114,161500,17.9100,17.9100,17.9000,17.9000,2850,0
ARDC.US,5,20131114,164500,17.9400,17.9400,17.9400,17.9400,500,0
ARDC.US,5,20131114,171000,17.9800,17.9800,17.9800,17.9800,500,0
ARDC.US,5,20131114,172500,17.9700,17.9700,17.9700,17.9700,1000,0
ARDC.US,5,20131114,173000,17.9800,17.9800,17.9800,17.9800,200,0
ARDC.US,5,20131114,173500,17.9700,17.9800,17.9700,17.9700,2250,0
ARDC.US,5,20131114,174000,17.9800,17.9800,17.9800,17.9800,1600,0
ARDC.US,5,20131114,175500,17.9300,17.9300,17.9300,17.9300,1554,0
ARDC.US,5,20131114,201000,17.9200,17.9200,17.9200,17.9200,600,0
ARDC.US,5,20131114,204500,17.9200,17.9300,17.9200,17.9300,1000,0
ARDC.US,5,20131114,205500,17.9200,17.9200,17.9200,17.9200,170,0
ARDC.US,5,20131114,211500,17.9400,17.9400,17.9200,17.9200,2100,0
ARDC.US,5,20131114,213500,17.9500,17.9900,17.9300,17.9800,1300,0
ARDC.US,5,20131114,214000,17.9200,17.9500,17.9200,17.9200,2800,0
ARDC.US,5,20131114,220000,17.9700,17.9700,17.9500,17.9500,200,0
ARDC.US,5,20131115,154500,17.9600,17.9600,17.9500,17.9600,718,0
ARDC.US,5,20131115,155000,17.9500,17.9500,17.9200,17.9200,1308,0
ARDC.US,5,20131115,155500,17.9100,17.9100,17.9000,17.9100,1600,0
ARDC.US,5,20131115,161000,17.8800,17.8800,17.8400,17.8400,2500,0
ARDC.US,5,20131115,161500,17.8400,17.8500,17.8400,17.8400,900,0
ARDC.US,5,20131115,162000,17.8400,17.8400,17.8400,17.8400,200,0
ARDC.US,5,20131115,162500,17.8500,17.8500,17.8400,17.8400,2100,0
ARDC.US,5,20131115,163000,17.8400,17.8400,17.7700,17.8300,9412,0
ARDC.US,5,20131115,164000,17.8500,17.8500,17.8500,17.8500,500,0
ARDC.US,5,20131115,165000,17.8300,17.8300,17.8300,17.8300,1000,0
ARDC.US,5,20131115,165500,17.8300,17.8300,17.8100,17.8300,3051,0
ARDC.US,5,20131115,170000,17.8200,17.8200,17.8200,17.8200,100,0
ARDC.US,5,20131115,170500,17.8200,17.8200,17.8200,17.8200,400,0
ARDC.US,5,20131115,171000,17.8200,17.8200,17.8200,17.8200,200,0
ARDC.US,5,20131115,172000,17.8300,17.8300,17.8200,17.8200,1650,0
ARDC.US,5,20131115,172500,17.8200,17.8200,17.8200,17.8200,200,0
ARDC.US,5,20131115,173000,17.8200,17.8200,17.8200,17.8200,100,0
ARDC.US,5,20131115,173500,17.8200,17.8200,17.8200,17.8200,1300,0
ARDC.US,5,20131115,174000,17.8200,17.8200,17.8200,17.8200,100,0
ARDC.US,5,20131115,174500,17.8400,17.8400,17.8400,17.8400,800,0
ARDC.US,5,20131115,175000,17.8200,17.8200,17.8200,17.8200,200,0
ARDC.US,5,20131115,175500,17.8200,17.8400,17.8200,17.8400,450,0
ARDC.US,5,20131115,180000,17.8200,17.8200,17.8200,17.8200,200,0
ARDC.US,5,20131115,180500,17.8200,17.8400,17.8200,17.8400,425,0
ARDC.US,5,20131115,181500,17.8200,17.8200,17.8200,17.8200,200,0
ARDC.US,5,20131115,182000,17.8200,17.8200,17.8200,17.8200,300,0
ARDC.US,5,20131115,183000,17.8200,17.8400,17.8200,17.8400,700,0
ARDC.US,5,20131115,184500,17.8300,17.8300,17.8300,17.8300,100,0
ARDC.US,5,20131115,185000,17.8300,17.8500,17.8300,17.8500,1100,0
ARDC.US,5,20131115,191500,17.8400,17.8600,17.8400,17.8600,790,0
ARDC.US,5,20131115,192500,17.8500,17.8500,17.8500,17.8500,300,0
ARDC.US,5,20131115,193000,17.8700,17.8700,17.8700,17.8700,500,0
ARDC.US,5,20131115,193500,17.8700,17.8700,17.8500,17.8500,1966,0
ARDC.US,5,20131115,194500,17.8600,17.8600,17.8600,17.8600,290,0
ARDC.US,5,20131115,195000,17.8600,17.8600,17.8500,17.8600,2800,0
ARDC.US,5,20131115,195500,17.8500,17.8500,17.8500,17.8500,3100,0
ARDC.US,5,20131115,200000,17.8500,17.8500,17.8500,17.8500,1200,0
ARDC.US,5,20131115,201000,17.8500,17.8500,17.8500,17.8500,2300,0
ARDC.US,5,20131115,202500,17.8500,17.8500,17.8500,17.8500,1204,0
