<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARK.US,5,20131112,154000,4.0400,4.0400,4.0400,4.0400,1200,0
ARK.US,5,20131112,154500,4.0400,4.0500,4.0400,4.0500,7400,0
ARK.US,5,20131112,155000,4.0400,4.0500,4.0400,4.0500,9133,0
ARK.US,5,20131112,155500,4.0400,4.0500,4.0400,4.0500,8400,0
ARK.US,5,20131112,162000,4.0500,4.0500,4.0400,4.0500,10900,0
ARK.US,5,20131112,162500,4.0500,4.0500,4.0400,4.0400,10500,0
ARK.US,5,20131112,163000,4.0500,4.0500,4.0400,4.0500,10500,0
ARK.US,5,20131112,163500,4.0500,4.0500,4.0500,4.0500,650,0
ARK.US,5,20131112,164000,4.0400,4.0500,4.0400,4.0500,13500,0
ARK.US,5,20131112,164500,4.0500,4.0500,4.0400,4.0500,15383,0
ARK.US,5,20131112,165000,4.0500,4.0500,4.0500,4.0500,2000,0
ARK.US,5,20131112,165500,4.0500,4.0500,4.0500,4.0500,1000,0
ARK.US,5,20131112,170000,4.0400,4.0400,4.0400,4.0400,8900,0
ARK.US,5,20131112,170500,4.0500,4.0500,4.0500,4.0500,799,0
ARK.US,5,20131112,173500,4.0400,4.0500,4.0400,4.0500,14000,0
ARK.US,5,20131112,174000,4.0500,4.0500,4.0400,4.0400,18576,0
ARK.US,5,20131112,174500,4.0400,4.0400,4.0400,4.0400,800,0
ARK.US,5,20131112,175500,4.0300,4.0400,4.0300,4.0300,27300,0
ARK.US,5,20131112,180000,4.0300,4.0300,4.0200,4.0200,17300,0
ARK.US,5,20131112,180500,4.0300,4.0300,4.0300,4.0300,1200,0
ARK.US,5,20131112,181000,4.0200,4.0200,4.0200,4.0200,100,0
ARK.US,5,20131112,181500,4.0300,4.0300,4.0200,4.0300,4722,0
ARK.US,5,20131112,182000,4.0200,4.0300,4.0200,4.0300,2600,0
ARK.US,5,20131112,182500,4.0200,4.0200,4.0200,4.0200,200,0
ARK.US,5,20131112,183000,4.0200,4.0200,4.0200,4.0200,100,0
ARK.US,5,20131112,183500,4.0200,4.0300,4.0200,4.0300,5927,0
ARK.US,5,20131112,184000,4.0200,4.0300,4.0200,4.0200,600,0
ARK.US,5,20131112,184500,4.0200,4.0300,4.0200,4.0300,200,0
