<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATHL.US,5,20131112,153500,30.3400,31.4700,30.3400,31.4700,5817,0
ATHL.US,5,20131112,154000,31.4400,33.0600,31.4400,32.4300,15934,0
ATHL.US,5,20131112,154500,32.4300,32.7500,32.1500,32.4300,18984,0
ATHL.US,5,20131112,155000,32.6700,33.8900,32.6000,33.4000,23729,0
ATHL.US,5,20131112,155500,33.2400,33.3400,32.5400,32.7500,21149,0
ATHL.US,5,20131112,160000,32.8000,32.8000,31.8700,32.4000,29934,0
ATHL.US,5,20131112,160500,32.2600,32.6400,32.2600,32.5800,6221,0
ATHL.US,5,20131112,161000,32.5800,33.4500,32.5300,33.2000,15007,0
ATHL.US,5,20131112,161500,33.1300,33.4000,32.8400,33.1600,18000,0
ATHL.US,5,20131112,162000,33.1600,33.4800,33.1500,33.4200,10615,0
ATHL.US,5,20131112,162500,33.3200,33.6400,33.3200,33.6000,13302,0
ATHL.US,5,20131112,163000,33.6100,34.2100,33.6100,33.8200,35722,0
ATHL.US,5,20131112,163500,33.8500,34.0400,33.7900,33.7900,20535,0
ATHL.US,5,20131112,164000,33.7900,33.8100,32.7700,33.5100,53185,0
ATHL.US,5,20131112,164500,33.4300,33.5100,33.1600,33.2100,7700,0
ATHL.US,5,20131112,165000,33.2500,33.4800,32.8600,32.9700,21746,0
ATHL.US,5,20131112,165500,32.9600,33.5000,32.8900,33.4100,11322,0
ATHL.US,5,20131112,170000,33.4000,33.4500,32.8600,33.3300,21970,0
ATHL.US,5,20131112,170500,33.4400,33.4400,33.0100,33.1700,11550,0
ATHL.US,5,20131112,171000,33.2100,33.5500,33.1700,33.4300,11700,0
ATHL.US,5,20131112,171500,33.4100,33.8300,33.3100,33.4900,19718,0
ATHL.US,5,20131112,172000,33.3100,33.6000,33.3100,33.5000,8023,0
ATHL.US,5,20131112,172500,33.4200,33.4600,32.7700,33.0500,16516,0
ATHL.US,5,20131112,173000,33.1300,33.3200,32.9700,33.2800,5200,0
ATHL.US,5,20131112,173500,33.1000,33.3100,33.1000,33.3000,4100,0
ATHL.US,5,20131112,174000,33.3000,33.4900,33.1800,33.1800,5000,0
ATHL.US,5,20131112,174500,33.1600,33.3800,33.1100,33.1400,6501,0
ATHL.US,5,20131112,175000,33.0100,33.3400,33.0100,33.2000,6600,0
ATHL.US,5,20131112,175500,33.2400,33.3500,33.1000,33.3200,9800,0
ATHL.US,5,20131112,180000,33.3000,33.5500,33.3000,33.5000,6747,0
ATHL.US,5,20131112,180500,33.5000,33.8700,33.4700,33.5500,10197,0
ATHL.US,5,20131112,181000,33.4200,33.5500,33.3900,33.3900,2700,0
ATHL.US,5,20131112,181500,33.5400,33.5400,33.3500,33.5000,500,0
ATHL.US,5,20131112,182000,33.4900,33.7900,33.4200,33.4200,8761,0
ATHL.US,5,20131112,182500,33.4700,33.5500,33.1000,33.1500,15400,0
ATHL.US,5,20131112,183000,33.1300,33.1700,32.9000,33.0500,11900,0
ATHL.US,5,20131112,183500,33.1300,33.1600,32.8300,32.9600,9001,0
ATHL.US,5,20131112,184000,32.9500,32.9800,32.9100,32.9700,3900,0
ATHL.US,5,20131112,184500,33.0000,33.0100,32.8500,32.9900,7000,0
ATHL.US,5,20131112,185000,32.9900,33.0000,32.9000,32.9100,4700,0
ATHL.US,5,20131112,185500,32.9100,32.9500,32.5000,32.5000,12562,0
ATHL.US,5,20131112,190000,32.3300,32.5400,32.1100,32.2700,28467,0
ATHL.US,5,20131112,190500,32.3000,32.7500,32.1400,32.2100,43331,0
ATHL.US,5,20131112,191000,32.2100,32.4300,32.1300,32.2400,49286,0
ATHL.US,5,20131112,191500,32.2400,32.4000,31.8300,32.1900,66569,0
ATHL.US,5,20131112,192000,32.3400,32.3500,32.0600,32.1500,4700,0
ATHL.US,5,20131112,192500,32.2000,32.5500,32.2000,32.5500,9568,0
ATHL.US,5,20131112,193000,32.5300,32.8300,32.4900,32.5500,15681,0
ATHL.US,5,20131112,193500,32.6600,32.6600,32.5900,32.5900,1800,0
ATHL.US,5,20131112,194000,32.4900,32.7000,32.4100,32.4100,5600,0
ATHL.US,5,20131112,194500,32.4600,32.6900,32.4400,32.5600,5800,0
ATHL.US,5,20131112,195000,32.5600,33.2800,32.5600,32.9900,9500,0
