<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATW.US,5,20131112,153000,57.2300,57.2300,57.2300,57.2300,174,0
ATW.US,5,20131112,153500,57.4600,57.4600,57.0700,57.0700,2190,0
ATW.US,5,20131112,154000,57.0500,57.1800,57.0200,57.1800,6151,0
ATW.US,5,20131112,154500,57.1100,57.2400,57.0100,57.2100,5310,0
ATW.US,5,20131112,155000,57.2100,57.2700,57.1000,57.2700,4800,0
ATW.US,5,20131112,155500,57.2900,57.3000,57.1200,57.1200,4162,0
ATW.US,5,20131112,160000,57.1200,57.2000,57.0400,57.1900,4629,0
ATW.US,5,20131112,160500,57.2000,57.2500,56.9400,57.1000,8220,0
ATW.US,5,20131112,161000,57.1500,57.1600,57.0200,57.1000,3280,0
ATW.US,5,20131112,161500,57.1300,57.1300,56.9400,57.0100,4567,0
ATW.US,5,20131112,162000,56.9800,57.2300,56.8900,57.2300,3800,0
ATW.US,5,20131112,162500,57.1600,57.1900,57.0100,57.1200,5978,0
ATW.US,5,20131112,163000,57.0600,57.1700,57.0600,57.1300,1700,0
ATW.US,5,20131112,163500,57.0800,57.1300,56.9200,56.9200,12095,0
ATW.US,5,20131112,164000,56.9200,57.0400,56.9100,57.0200,3600,0
ATW.US,5,20131112,164500,56.9900,57.0000,56.8900,57.0000,5500,0
ATW.US,5,20131112,165000,56.9700,56.9900,56.9400,56.9900,1860,0
ATW.US,5,20131112,165500,56.9800,57.1000,56.9700,57.1000,3883,0
ATW.US,5,20131112,170000,57.0700,57.1100,56.9900,56.9900,2300,0
ATW.US,5,20131112,170500,56.9900,56.9900,56.9100,56.9500,3647,0
ATW.US,5,20131112,171000,56.9800,56.9800,56.8700,56.9300,4600,0
ATW.US,5,20131112,171500,56.9300,57.0300,56.9100,56.9100,2400,0
ATW.US,5,20131112,172000,56.9400,57.0900,56.9200,57.0900,11884,0
ATW.US,5,20131112,172500,57.0900,57.1700,57.0500,57.1500,2404,0
ATW.US,5,20131112,173000,57.1600,57.1900,57.1200,57.1800,2000,0
ATW.US,5,20131112,173500,57.2000,57.2400,57.1200,57.1500,6746,0
ATW.US,5,20131112,174000,57.1100,57.1100,56.9500,56.9500,1700,0
ATW.US,5,20131112,174500,56.9600,57.0400,56.9400,56.9900,5400,0
ATW.US,5,20131112,175000,56.9800,56.9800,56.9200,56.9300,700,0
ATW.US,5,20131112,175500,56.9500,57.0200,56.9500,57.0200,2108,0
ATW.US,5,20131112,180000,56.9900,56.9900,56.8900,56.8900,5248,0
ATW.US,5,20131112,180500,56.9100,56.9200,56.8800,56.9000,2410,0
ATW.US,5,20131112,181000,56.8800,56.8800,56.7600,56.8400,5400,0
ATW.US,5,20131112,181500,56.8400,56.8800,56.8200,56.8200,900,0
ATW.US,5,20131112,182000,56.8100,56.9600,56.8100,56.9600,2900,0
ATW.US,5,20131112,182500,56.9300,56.9300,56.8800,56.8900,2020,0
ATW.US,5,20131112,183000,56.9200,56.9200,56.8500,56.8900,1100,0
ATW.US,5,20131112,183500,56.9100,56.9300,56.8800,56.9000,2288,0
ATW.US,5,20131112,184000,56.9500,57.0400,56.9500,56.9600,3700,0
ATW.US,5,20131112,184500,56.9500,56.9900,56.9300,56.9900,1784,0
ATW.US,5,20131112,185000,56.9800,57.1900,56.9500,57.1900,28238,0
ATW.US,5,20131112,185500,57.2000,57.3500,57.1900,57.2300,41251,0
ATW.US,5,20131112,190000,57.2500,57.2600,56.9800,56.9900,21760,0
ATW.US,5,20131112,190500,56.9500,56.9700,56.9100,56.9700,3500,0
ATW.US,5,20131112,191000,56.9400,56.9600,56.9200,56.9200,1800,0
ATW.US,5,20131112,191500,56.9200,57.0000,56.9200,56.9500,3816,0
ATW.US,5,20131112,192000,56.9300,56.9500,56.9300,56.9500,500,0
ATW.US,5,20131112,192500,56.9400,56.9400,56.8700,56.8700,2700,0
ATW.US,5,20131112,193000,56.8600,56.8800,56.8100,56.8100,1700,0
ATW.US,5,20131112,193500,56.8000,56.8000,56.6200,56.6200,5650,0
ATW.US,5,20131112,194000,56.6500,56.7100,56.5900,56.6700,5375,0
ATW.US,5,20131112,194500,56.6800,56.7300,56.6100,56.7300,2200,0
ATW.US,5,20131112,195000,56.7300,56.8000,56.7300,56.8000,2200,0
ATW.US,5,20131112,195500,56.8000,56.8000,56.6000,56.6200,3300,0
ATW.US,5,20131112,200000,56.6300,56.7200,56.6300,56.6600,3974,0
ATW.US,5,20131112,200500,56.6400,56.7600,56.6400,56.7400,3800,0
ATW.US,5,20131112,201000,56.7100,56.7200,56.6400,56.6600,2200,0
ATW.US,5,20131112,201500,56.6600,56.6600,56.6000,56.6200,5400,0
ATW.US,5,20131112,202000,56.6200,56.7200,56.6200,56.7200,4700,0
ATW.US,5,20131112,202500,56.7400,56.7400,56.6300,56.6300,2900,0
ATW.US,5,20131112,203000,56.6100,56.6200,56.5500,56.5800,6000,0
ATW.US,5,20131112,203500,56.6000,56.6300,56.5600,56.6000,2800,0
ATW.US,5,20131112,204000,56.5800,56.7200,56.5800,56.6900,3965,0
ATW.US,5,20131112,204500,56.7400,56.7700,56.6700,56.6800,17645,0
ATW.US,5,20131112,205000,56.7100,56.7100,56.6200,56.7000,18401,0
ATW.US,5,20131112,205500,56.7000,56.7400,56.6300,56.6500,3800,0
ATW.US,5,20131112,210000,56.6400,56.8700,56.6400,56.8500,7308,0
ATW.US,5,20131112,210500,56.8600,56.8700,56.8400,56.8500,4363,0
ATW.US,5,20131112,211000,56.8500,56.8500,56.7800,56.8100,9498,0
ATW.US,5,20131112,211500,56.8000,56.8000,56.7500,56.8000,6915,0
ATW.US,5,20131112,212000,56.7800,56.8100,56.7200,56.7500,7300,0
ATW.US,5,20131112,212500,56.7400,56.7700,56.6700,56.7100,7300,0
ATW.US,5,20131112,213000,56.7000,56.7400,56.6400,56.6400,15935,0
ATW.US,5,20131112,213500,56.6400,56.7100,56.6400,56.6800,7800,0
ATW.US,5,20131112,214000,56.6900,56.7400,56.6800,56.7100,6071,0
ATW.US,5,20131112,214500,56.7200,56.7700,56.7000,56.7500,10048,0
ATW.US,5,20131112,215000,56.7400,56.7600,56.6300,56.6700,13131,0
ATW.US,5,20131112,215500,56.6400,56.6800,56.6100,56.6400,15442,0
ATW.US,5,20131112,220000,56.6200,56.7900,56.6200,56.7800,20386,0
ATW.US,5,20131112,220500,56.7800,56.7800,56.7800,56.7800,57832,0
ATW.US,5,20131113,153500,56.4800,56.6200,56.3100,56.4200,6680,0
ATW.US,5,20131113,154000,56.4200,56.5800,56.4200,56.5800,2175,0
ATW.US,5,20131113,154500,56.5000,56.5000,56.1400,56.2700,6969,0
ATW.US,5,20131113,155000,56.2800,56.7000,56.2800,56.6000,14581,0
ATW.US,5,20131113,155500,56.5500,56.6700,56.4900,56.6200,9001,0
ATW.US,5,20131113,160000,56.5800,56.7200,56.5100,56.6800,4100,0
ATW.US,5,20131113,160500,56.6300,56.9600,56.6300,56.9600,10395,0
ATW.US,5,20131113,161000,56.9700,57.1900,56.9300,57.0900,18667,0
ATW.US,5,20131113,161500,57.0900,57.2200,57.0300,57.1900,11000,0
ATW.US,5,20131113,162000,57.2100,57.3400,57.1700,57.2100,13701,0
ATW.US,5,20131113,162500,57.1900,57.2100,57.0800,57.0900,5710,0
ATW.US,5,20131113,163000,57.1800,57.3900,57.1400,57.3500,6093,0
ATW.US,5,20131113,163500,57.3300,57.3500,57.2000,57.2800,5700,0
ATW.US,5,20131113,164000,57.2800,57.4000,57.2700,57.3200,4330,0
ATW.US,5,20131113,164500,57.3300,57.3300,57.2100,57.2100,6170,0
ATW.US,5,20131113,165000,57.2500,57.3300,57.1900,57.3300,6222,0
ATW.US,5,20131113,165500,57.3100,57.3300,57.3000,57.3200,2300,0
ATW.US,5,20131113,170000,57.3600,57.3600,57.2800,57.3100,4235,0
ATW.US,5,20131113,170500,57.2800,57.3600,57.2700,57.3500,3800,0
ATW.US,5,20131113,171000,57.3600,57.4000,57.2900,57.4000,3614,0
ATW.US,5,20131113,171500,57.3800,57.3800,57.2800,57.3700,4551,0
ATW.US,5,20131113,172000,57.3800,57.4200,57.2000,57.3700,35357,0
ATW.US,5,20131113,172500,57.3800,57.5100,57.3300,57.3800,5634,0
ATW.US,5,20131113,173000,57.3700,57.4500,57.3200,57.3200,4990,0
ATW.US,5,20131113,173500,57.3300,57.4600,57.3300,57.4100,21689,0
ATW.US,5,20131113,174000,57.4300,57.4500,57.3300,57.3700,8044,0
ATW.US,5,20131113,174500,57.3900,57.4200,57.3100,57.3200,2164,0
ATW.US,5,20131113,175000,57.3600,57.3800,57.3500,57.3700,3200,0
ATW.US,5,20131113,175500,57.3800,57.4800,57.3800,57.4600,2800,0
ATW.US,5,20131113,180000,57.4700,57.4800,57.4300,57.4600,3900,0
ATW.US,5,20131113,180500,57.4500,57.4500,57.3200,57.3200,2700,0
ATW.US,5,20131113,181000,57.3100,57.3500,57.2500,57.2700,4160,0
ATW.US,5,20131113,181500,57.2700,57.3000,57.2400,57.2600,2600,0
ATW.US,5,20131113,182000,57.2700,57.3300,57.2700,57.3200,2400,0
ATW.US,5,20131113,182500,57.3200,57.3800,57.2800,57.3600,4100,0
ATW.US,5,20131113,183000,57.3400,57.3900,57.3400,57.3400,2100,0
ATW.US,5,20131113,183500,57.3500,57.3600,57.3000,57.3400,4001,0
ATW.US,5,20131113,184000,57.3500,57.3600,57.3400,57.3400,1300,0
ATW.US,5,20131113,184500,57.3400,57.3700,57.3100,57.3200,6208,0
ATW.US,5,20131113,185000,57.3300,57.3300,57.3000,57.3300,1906,0
ATW.US,5,20131113,185500,57.3100,57.3300,57.2800,57.3300,4171,0
ATW.US,5,20131113,190000,57.3500,57.3800,57.3500,57.3700,1300,0
ATW.US,5,20131113,190500,57.3600,57.3700,57.3400,57.3500,3600,0
ATW.US,5,20131113,191000,57.3200,57.3300,57.2600,57.3000,3000,0
ATW.US,5,20131113,191500,57.3000,57.3000,57.2200,57.2800,3100,0
ATW.US,5,20131113,192000,57.2800,57.2800,57.2600,57.2600,1600,0
ATW.US,5,20131113,192500,57.2600,57.4300,57.2600,57.4000,6546,0
ATW.US,5,20131113,193000,57.4000,57.5500,57.4000,57.5500,18500,0
ATW.US,5,20131113,193500,57.5300,57.6000,57.5100,57.6000,2650,0
ATW.US,5,20131113,194000,57.6100,57.6100,57.4800,57.4800,3725,0
ATW.US,5,20131113,194500,57.4500,57.4900,57.4500,57.4700,2400,0
ATW.US,5,20131113,195000,57.4800,57.6000,57.4800,57.5800,3540,0
ATW.US,5,20131113,195500,57.5800,57.5800,57.5400,57.5400,2479,0
ATW.US,5,20131113,200000,57.5300,57.5700,57.5200,57.5400,2304,0
ATW.US,5,20131113,200500,57.5400,57.5700,57.5300,57.5600,2700,0
ATW.US,5,20131113,201000,57.5600,57.6000,57.5600,57.5900,4700,0
ATW.US,5,20131113,201500,57.5900,57.6000,57.5700,57.5900,3200,0
ATW.US,5,20131113,202000,57.5900,57.6100,57.5500,57.5900,4800,0
ATW.US,5,20131113,202500,57.6000,57.6100,57.5600,57.5900,2575,0
ATW.US,5,20131113,203000,57.5900,57.6000,57.5500,57.5800,3850,0
ATW.US,5,20131113,203500,57.5800,57.6200,57.5800,57.6100,5300,0
ATW.US,5,20131113,204000,57.6000,57.6200,57.6000,57.6100,8428,0
ATW.US,5,20131113,204500,57.6000,57.6400,57.6000,57.6100,12469,0
ATW.US,5,20131113,205000,57.6200,57.6500,57.5900,57.6200,10910,0
ATW.US,5,20131113,205500,57.6200,57.6600,57.6200,57.6500,8837,0
ATW.US,5,20131113,210000,57.6500,57.6700,57.6400,57.6500,7064,0
ATW.US,5,20131113,210500,57.6300,57.6500,57.6100,57.6200,7910,0
ATW.US,5,20131113,211000,57.6200,57.6200,57.5700,57.5900,6175,0
ATW.US,5,20131113,211500,57.6000,57.6000,57.5500,57.5500,3918,0
ATW.US,5,20131113,212000,57.5500,57.6300,57.5300,57.6100,8241,0
ATW.US,5,20131113,212500,57.6100,57.6700,57.6000,57.6700,28143,0
ATW.US,5,20131113,213000,57.6500,57.6700,57.6200,57.6400,7000,0
ATW.US,5,20131113,213500,57.6400,57.6800,57.6100,57.6800,6218,0
ATW.US,5,20131113,214000,57.6900,57.7900,57.6900,57.7600,13256,0
ATW.US,5,20131113,214500,57.7700,57.8300,57.7600,57.7700,6338,0
ATW.US,5,20131113,215000,57.7800,57.8200,57.7700,57.8100,7553,0
ATW.US,5,20131113,215500,57.8100,57.8200,57.7700,57.7900,9134,0
ATW.US,5,20131113,220000,57.8000,57.8900,57.7900,57.8600,21144,0
ATW.US,5,20131113,220500,57.8600,57.8600,57.8500,57.8500,19460,0
ATW.US,5,20131114,154000,57.8300,57.9300,57.8300,57.9300,1654,0
ATW.US,5,20131114,154500,57.8500,57.8500,57.6900,57.6900,4403,0
ATW.US,5,20131114,155000,57.7200,57.9400,57.6900,57.7300,8499,0
ATW.US,5,20131114,155500,57.7700,57.8700,57.7300,57.8600,2500,0
ATW.US,5,20131114,160000,57.7900,57.8900,57.7900,57.8700,1300,0
ATW.US,5,20131114,160500,57.7600,57.8900,57.7600,57.8300,4800,0
ATW.US,5,20131114,161000,57.6900,57.8500,57.6300,57.6300,4887,0
ATW.US,5,20131114,161500,57.6900,57.8900,57.6900,57.8900,5000,0
ATW.US,5,20131114,162000,57.8500,57.9500,57.7400,57.8500,9174,0
ATW.US,5,20131114,162500,57.8800,57.9000,57.8100,57.8500,4800,0
ATW.US,5,20131114,163000,57.8000,57.8500,57.5100,57.6000,3100,0
ATW.US,5,20131114,163500,57.6800,57.7100,57.5600,57.6000,3600,0
ATW.US,5,20131114,164000,57.6500,57.6600,57.4400,57.5400,6508,0
ATW.US,5,20131114,164500,57.5400,57.5700,57.4700,57.5500,10000,0
ATW.US,5,20131114,165000,57.5400,57.7000,57.5400,57.6800,6708,0
ATW.US,5,20131114,165500,57.6800,57.7200,57.6200,57.7000,8400,0
ATW.US,5,20131114,170000,57.6200,57.7000,57.5800,57.5800,6435,0
ATW.US,5,20131114,170500,57.6200,57.6700,57.5600,57.6600,8370,0
ATW.US,5,20131114,171000,57.6700,57.6900,57.6000,57.6100,4060,0
ATW.US,5,20131114,171500,57.6200,57.6200,57.5300,57.5900,4000,0
ATW.US,5,20131114,172000,57.5700,57.7000,57.5700,57.5700,3500,0
ATW.US,5,20131114,172500,57.5800,57.8100,57.5800,57.7800,8000,0
ATW.US,5,20131114,173000,57.7500,57.8700,57.7500,57.7500,17801,0
ATW.US,5,20131114,173500,57.7500,57.8200,57.7500,57.7900,13702,0
ATW.US,5,20131114,174000,57.8100,57.8200,57.7500,57.8200,2733,0
ATW.US,5,20131114,174500,57.8200,57.8600,57.7900,57.8400,1900,0
ATW.US,5,20131114,175000,57.8500,57.8600,57.8500,57.8500,1200,0
ATW.US,5,20131114,175500,57.8800,57.9200,57.8500,57.8800,20211,0
ATW.US,5,20131114,180000,57.8900,57.9800,57.8800,57.9700,6958,0
ATW.US,5,20131114,180500,57.9700,58.0000,57.9400,58.0000,5784,0
ATW.US,5,20131114,181000,58.0100,58.0400,57.9500,57.9700,5487,0
ATW.US,5,20131114,181500,57.9100,58.0100,57.8800,57.9000,12210,0
ATW.US,5,20131114,182000,57.8700,58.0000,57.8700,58.0000,7913,0
ATW.US,5,20131114,182500,57.9900,58.0600,57.9800,58.0500,29507,0
ATW.US,5,20131114,183000,58.0700,58.1100,58.0300,58.1100,2776,0
ATW.US,5,20131114,183500,58.1000,58.1100,57.9900,58.0000,4500,0
ATW.US,5,20131114,184000,58.0000,58.0200,57.9600,58.0000,5036,0
ATW.US,5,20131114,184500,57.9700,57.9700,57.9300,57.9500,5600,0
ATW.US,5,20131114,185000,57.9500,58.0000,57.9500,57.9800,3059,0
