<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUO.US,5,20131112,153500,2.8700,2.8700,2.8700,2.8700,500,0
AUO.US,5,20131112,154000,2.8800,2.8800,2.8700,2.8700,1300,0
AUO.US,5,20131112,154500,2.8700,2.8800,2.8700,2.8700,2200,0
AUO.US,5,20131112,155000,2.8700,2.8800,2.8700,2.8700,3400,0
AUO.US,5,20131112,155500,2.8800,2.8800,2.8700,2.8700,1900,0
AUO.US,5,20131112,160000,2.8700,2.9000,2.8700,2.8900,67717,0
AUO.US,5,20131112,160500,2.8900,2.8900,2.8800,2.8900,3373,0
AUO.US,5,20131112,161000,2.8900,2.8900,2.8800,2.8800,9000,0
AUO.US,5,20131112,161500,2.8900,2.8900,2.8800,2.8800,3000,0
AUO.US,5,20131112,162000,2.8800,2.8900,2.8800,2.8800,7100,0
AUO.US,5,20131112,162500,2.8800,2.8900,2.8800,2.8800,14625,0
AUO.US,5,20131112,163000,2.8800,2.8900,2.8800,2.8800,700,0
AUO.US,5,20131112,163500,2.8800,2.8900,2.8800,2.8900,2600,0
AUO.US,5,20131112,164000,2.8900,2.8900,2.8800,2.8800,2200,0
AUO.US,5,20131112,164500,2.8800,2.9000,2.8800,2.8900,50550,0
AUO.US,5,20131112,165500,2.8900,2.9000,2.8900,2.8900,1994,0
AUO.US,5,20131112,170000,2.8900,2.8900,2.8900,2.8900,1200,0
AUO.US,5,20131112,170500,2.8900,2.8900,2.8900,2.8900,1450,0
AUO.US,5,20131112,171000,2.8900,2.9000,2.8900,2.8900,1300,0
AUO.US,5,20131112,171500,2.8900,2.8900,2.8900,2.8900,800,0
AUO.US,5,20131112,172000,2.8900,2.9000,2.8900,2.8900,3600,0
AUO.US,5,20131112,172500,2.8900,2.8900,2.8900,2.8900,2900,0
AUO.US,5,20131112,173000,2.8900,2.8900,2.8900,2.8900,800,0
AUO.US,5,20131112,173500,2.8900,2.8900,2.8900,2.8900,1000,0
AUO.US,5,20131112,174000,2.8900,2.8900,2.8900,2.8900,700,0
AUO.US,5,20131112,174500,2.8900,2.9000,2.8900,2.8900,7144,0
AUO.US,5,20131112,175000,2.8900,2.8900,2.8900,2.8900,3700,0
AUO.US,5,20131112,175500,2.8900,2.8900,2.8800,2.8800,22843,0
AUO.US,5,20131112,180000,2.8800,2.8900,2.8800,2.8900,1700,0
AUO.US,5,20131112,180500,2.8800,2.8900,2.8800,2.8800,4130,0
AUO.US,5,20131112,181000,2.8800,2.8800,2.8800,2.8800,600,0
AUO.US,5,20131112,181500,2.8800,2.8900,2.8800,2.8800,1500,0
AUO.US,5,20131112,182000,2.8800,2.8900,2.8800,2.8800,2300,0
AUO.US,5,20131112,182500,2.8800,2.8900,2.8700,2.8700,13417,0
AUO.US,5,20131112,183000,2.8700,2.8800,2.8700,2.8700,9600,0
AUO.US,5,20131112,183500,2.8700,2.8800,2.8600,2.8700,11010,0
AUO.US,5,20131112,184000,2.8600,2.8700,2.8600,2.8600,5500,0
AUO.US,5,20131112,184500,2.8700,2.8700,2.8600,2.8700,3200,0
AUO.US,5,20131112,185000,2.8600,2.8600,2.8600,2.8600,700,0
AUO.US,5,20131112,185500,2.8600,2.8700,2.8600,2.8600,1600,0
AUO.US,5,20131112,190000,2.8600,2.8700,2.8600,2.8600,11109,0
AUO.US,5,20131112,190500,2.8600,2.8700,2.8600,2.8600,4064,0
AUO.US,5,20131112,191000,2.8600,2.8700,2.8600,2.8600,1200,0
AUO.US,5,20131112,191500,2.8600,2.8700,2.8600,2.8600,1900,0
AUO.US,5,20131112,192000,2.8600,2.8700,2.8600,2.8600,2000,0
AUO.US,5,20131112,192500,2.8700,2.8700,2.8600,2.8600,16594,0
AUO.US,5,20131112,193000,2.8700,2.8700,2.8600,2.8700,2900,0
AUO.US,5,20131112,193500,2.8700,2.8700,2.8600,2.8600,1300,0
AUO.US,5,20131112,194000,2.8600,2.8700,2.8600,2.8600,1400,0
AUO.US,5,20131112,194500,2.8700,2.8700,2.8600,2.8600,5900,0
AUO.US,5,20131112,195000,2.8600,2.8700,2.8600,2.8700,4173,0
AUO.US,5,20131112,195500,2.8600,2.8700,2.8600,2.8700,3069,0
AUO.US,5,20131112,200000,2.8600,2.8700,2.8600,2.8600,1400,0
AUO.US,5,20131112,200500,2.8600,2.8700,2.8600,2.8600,1000,0
AUO.US,5,20131112,201000,2.8700,2.8700,2.8600,2.8700,1400,0
AUO.US,5,20131112,201500,2.8600,2.8700,2.8600,2.8700,2524,0
AUO.US,5,20131112,202000,2.8700,2.8700,2.8600,2.8700,4000,0
AUO.US,5,20131112,202500,2.8700,2.8700,2.8600,2.8600,2600,0
AUO.US,5,20131112,203000,2.8700,2.8700,2.8600,2.8600,1600,0
AUO.US,5,20131112,203500,2.8600,2.8700,2.8600,2.8600,3100,0
AUO.US,5,20131112,204000,2.8600,2.8700,2.8600,2.8600,1200,0
AUO.US,5,20131112,204500,2.8700,2.8700,2.8600,2.8700,19223,0
AUO.US,5,20131112,205000,2.8700,2.8800,2.8600,2.8700,58937,0
AUO.US,5,20131112,205500,2.8700,2.8800,2.8700,2.8800,17100,0
AUO.US,5,20131112,210000,2.8700,2.8800,2.8700,2.8800,5500,0
AUO.US,5,20131112,210500,2.8800,2.8800,2.8700,2.8800,3800,0
AUO.US,5,20131112,211000,2.8700,2.8800,2.8700,2.8800,3000,0
AUO.US,5,20131112,211500,2.8700,2.8800,2.8700,2.8800,2200,0
AUO.US,5,20131112,212000,2.8700,2.8800,2.8700,2.8700,7969,0
AUO.US,5,20131112,212500,2.8700,2.8800,2.8700,2.8700,3720,0
AUO.US,5,20131112,213000,2.8700,2.8800,2.8700,2.8700,4638,0
AUO.US,5,20131112,213500,2.8700,2.8800,2.8700,2.8800,11900,0
AUO.US,5,20131112,214000,2.8700,2.8800,2.8700,2.8800,6147,0
AUO.US,5,20131112,214500,2.8800,2.8800,2.8700,2.8800,10700,0
AUO.US,5,20131112,215000,2.8800,2.8800,2.8700,2.8800,13500,0
AUO.US,5,20131112,215500,2.8800,2.8800,2.8700,2.8700,99655,0
AUO.US,5,20131112,220000,2.8800,2.8800,2.8700,2.8800,42833,0
AUO.US,5,20131112,220500,2.8900,2.8900,2.8900,2.8900,34080,0
AUO.US,5,20131113,153500,2.8600,2.8700,2.8600,2.8700,28289,0
AUO.US,5,20131113,154000,2.8700,2.8800,2.8700,2.8700,6257,0
AUO.US,5,20131113,154500,2.8800,2.8800,2.8700,2.8700,1700,0
AUO.US,5,20131113,155000,2.8800,2.8800,2.8700,2.8700,600,0
AUO.US,5,20131113,155500,2.8700,2.8800,2.8700,2.8700,2150,0
AUO.US,5,20131113,160000,2.8700,2.8800,2.8700,2.8700,989,0
AUO.US,5,20131113,160500,2.8700,2.8800,2.8700,2.8800,1400,0
AUO.US,5,20131113,161000,2.8800,2.8800,2.8700,2.8800,1200,0
AUO.US,5,20131113,161500,2.8700,2.8800,2.8700,2.8800,1100,0
AUO.US,5,20131113,162000,2.8700,2.8800,2.8700,2.8700,1200,0
AUO.US,5,20131113,162500,2.8800,2.8800,2.8700,2.8700,1231,0
AUO.US,5,20131113,163000,2.8800,2.8800,2.8800,2.8800,100,0
AUO.US,5,20131113,163500,2.8800,2.8900,2.8800,2.8800,36744,0
AUO.US,5,20131113,164000,2.8800,2.8900,2.8800,2.8900,6300,0
AUO.US,5,20131113,164500,2.8900,2.8900,2.8900,2.8900,900,0
AUO.US,5,20131113,165000,2.8900,2.8900,2.8900,2.8900,200,0
AUO.US,5,20131113,165500,2.8900,2.8900,2.8900,2.8900,300,0
AUO.US,5,20131113,170000,2.8800,2.8900,2.8800,2.8900,3869,0
AUO.US,5,20131113,170500,2.8800,2.8900,2.8800,2.8900,600,0
AUO.US,5,20131113,171000,2.8900,2.8900,2.8900,2.8900,300,0
AUO.US,5,20131113,171500,2.8900,2.8900,2.8900,2.8900,400,0
AUO.US,5,20131113,172000,2.8900,2.8900,2.8800,2.8800,200,0
AUO.US,5,20131113,172500,2.8900,2.8900,2.8800,2.8900,800,0
AUO.US,5,20131113,173000,2.8900,2.8900,2.8900,2.8900,1100,0
AUO.US,5,20131113,173500,2.8900,2.8900,2.8800,2.8900,900,0
AUO.US,5,20131113,174000,2.8900,2.8900,2.8900,2.8900,900,0
AUO.US,5,20131113,174500,2.8900,2.8900,2.8900,2.8900,400,0
AUO.US,5,20131113,175000,2.8900,2.8900,2.8900,2.8900,1001,0
AUO.US,5,20131113,175500,2.8900,2.8900,2.8900,2.8900,200,0
AUO.US,5,20131113,180000,2.8900,2.8900,2.8900,2.8900,600,0
AUO.US,5,20131113,180500,2.8800,2.8900,2.8800,2.8900,400,0
AUO.US,5,20131113,181000,2.8900,2.8900,2.8800,2.8900,566,0
AUO.US,5,20131113,181500,2.8900,2.8900,2.8900,2.8900,300,0
AUO.US,5,20131113,182000,2.8900,2.8900,2.8900,2.8900,300,0
AUO.US,5,20131113,182500,2.8900,2.9000,2.8900,2.8900,38774,0
AUO.US,5,20131113,183000,2.8900,2.9000,2.8900,2.8900,900,0
AUO.US,5,20131113,183500,2.8900,2.9000,2.8800,2.8900,28917,0
AUO.US,5,20131113,184000,2.8900,2.8900,2.8900,2.8900,3200,0
AUO.US,5,20131113,184500,2.8900,2.8900,2.8900,2.8900,100,0
AUO.US,5,20131113,185000,2.8900,2.8900,2.8900,2.8900,100,0
AUO.US,5,20131113,185500,2.8900,2.8900,2.8900,2.8900,400,0
AUO.US,5,20131113,190000,2.8900,2.8900,2.8800,2.8900,1732,0
AUO.US,5,20131113,190500,2.8900,2.8900,2.8900,2.8900,200,0
AUO.US,5,20131113,191000,2.8800,2.8900,2.8800,2.8900,1500,0
AUO.US,5,20131113,192000,2.8800,2.8900,2.8800,2.8900,1899,0
AUO.US,5,20131113,192500,2.8800,2.8900,2.8800,2.8900,1400,0
AUO.US,5,20131113,193000,2.8800,2.8900,2.8800,2.8900,400,0
AUO.US,5,20131113,193500,2.8900,2.8900,2.8900,2.8900,300,0
AUO.US,5,20131113,194000,2.8900,2.8900,2.8800,2.8900,1400,0
AUO.US,5,20131113,194500,2.8800,2.8900,2.8800,2.8900,600,0
AUO.US,5,20131113,195000,2.8900,2.9000,2.8800,2.9000,34044,0
AUO.US,5,20131113,195500,2.8900,2.9000,2.8900,2.9000,300,0
AUO.US,5,20131113,200000,2.8900,2.9000,2.8900,2.9000,49353,0
AUO.US,5,20131113,200500,2.9000,2.9000,2.8900,2.8900,3598,0
AUO.US,5,20131113,201000,2.8900,2.9000,2.8900,2.9000,600,0
AUO.US,5,20131113,201500,2.8900,2.9000,2.8900,2.8900,400,0
AUO.US,5,20131113,202000,2.9000,2.9000,2.8900,2.8900,1115,0
AUO.US,5,20131113,202500,2.9000,2.9000,2.8900,2.8900,12800,0
AUO.US,5,20131113,203000,2.9000,2.9000,2.8900,2.8900,600,0
AUO.US,5,20131113,203500,2.8900,2.9000,2.8900,2.9000,800,0
AUO.US,5,20131113,204000,2.8900,2.9000,2.8900,2.9000,1400,0
AUO.US,5,20131113,204500,2.9000,2.9000,2.8900,2.8900,500,0
AUO.US,5,20131113,205000,2.8900,2.9000,2.8900,2.9000,1500,0
AUO.US,5,20131113,205500,2.9000,2.9000,2.8900,2.9000,600,0
AUO.US,5,20131113,210000,2.9000,2.9000,2.8900,2.9000,500,0
AUO.US,5,20131113,210500,2.8900,2.9000,2.8900,2.8900,500,0
AUO.US,5,20131113,211000,2.8900,2.9000,2.8900,2.9000,1000,0
AUO.US,5,20131113,211500,2.8900,2.9000,2.8900,2.8900,400,0
AUO.US,5,20131113,212000,2.9000,2.9000,2.8900,2.9000,11992,0
AUO.US,5,20131113,212500,2.9000,2.9000,2.8900,2.9000,4298,0
AUO.US,5,20131113,213000,2.8900,2.9000,2.8900,2.9000,6201,0
AUO.US,5,20131113,213500,2.8900,2.9000,2.8900,2.8900,1800,0
AUO.US,5,20131113,214000,2.9000,2.9000,2.8900,2.9000,700,0
AUO.US,5,20131113,214500,2.8900,2.9000,2.8900,2.9000,800,0
AUO.US,5,20131113,215000,2.8900,2.9000,2.8900,2.9000,25718,0
AUO.US,5,20131113,215500,2.9000,2.9000,2.8900,2.8900,1935,0
AUO.US,5,20131113,220000,2.9000,2.9000,2.8900,2.9000,17265,0
AUO.US,5,20131113,220500,2.9000,2.9000,2.8900,2.8900,10269,0
AUO.US,5,20131114,153500,2.9600,3.0000,2.9600,3.0000,47492,0
AUO.US,5,20131114,154000,3.0000,3.0000,2.9900,3.0000,12000,0
AUO.US,5,20131114,154500,3.0000,3.0000,3.0000,3.0000,8000,0
AUO.US,5,20131114,155000,3.0000,3.0000,2.9900,3.0000,5000,0
AUO.US,5,20131114,155500,2.9900,3.0000,2.9900,2.9900,1600,0
AUO.US,5,20131114,160000,3.0000,3.0000,2.9900,3.0000,7000,0
AUO.US,5,20131114,160500,3.0000,3.0100,2.9900,3.0000,61500,0
AUO.US,5,20131114,161000,3.0100,3.0100,3.0000,3.0000,20656,0
AUO.US,5,20131114,161500,3.0000,3.0100,3.0000,3.0000,25700,0
AUO.US,5,20131114,162000,3.0000,3.0100,3.0000,3.0000,14000,0
AUO.US,5,20131114,162500,3.0000,3.0100,3.0000,3.0100,3500,0
AUO.US,5,20131114,163000,3.0000,3.0100,3.0000,3.0000,2500,0
AUO.US,5,20131114,163500,3.0000,3.0000,3.0000,3.0000,1700,0
AUO.US,5,20131114,164000,3.0000,3.0100,3.0000,3.0000,2700,0
AUO.US,5,20131114,164500,3.0000,3.0100,3.0000,3.0000,65492,0
AUO.US,5,20131114,165000,3.0100,3.0100,3.0000,3.0100,8500,0
AUO.US,5,20131114,165500,3.0100,3.0100,3.0000,3.0100,18600,0
AUO.US,5,20131114,170000,3.0000,3.0100,3.0000,3.0100,19800,0
AUO.US,5,20131114,170500,3.0000,3.0100,3.0000,3.0100,14100,0
AUO.US,5,20131114,171000,3.0000,3.0100,3.0000,3.0100,39599,0
AUO.US,5,20131114,171500,3.0000,3.0100,3.0000,3.0000,3500,0
AUO.US,5,20131114,172000,3.0000,3.0100,3.0000,3.0000,14200,0
AUO.US,5,20131114,172500,3.0000,3.0100,3.0000,3.0100,2400,0
AUO.US,5,20131114,173000,3.0100,3.0100,3.0000,3.0100,13021,0
AUO.US,5,20131114,173500,3.0100,3.0200,3.0000,3.0100,51921,0
AUO.US,5,20131114,174000,3.0100,3.0100,3.0000,3.0100,900,0
AUO.US,5,20131114,174500,3.0100,3.0200,3.0000,3.0200,31138,0
AUO.US,5,20131114,175000,3.0200,3.0200,3.0100,3.0100,21975,0
AUO.US,5,20131114,175500,3.0100,3.0200,3.0100,3.0200,3400,0
AUO.US,5,20131114,180000,3.0100,3.0200,3.0100,3.0100,2200,0
AUO.US,5,20131114,180500,3.0100,3.0200,3.0100,3.0200,3300,0
AUO.US,5,20131114,181000,3.0200,3.0200,3.0100,3.0100,2400,0
AUO.US,5,20131114,181500,3.0200,3.0200,3.0100,3.0200,9200,0
AUO.US,5,20131114,182000,3.0200,3.0200,3.0100,3.0200,2721,0
AUO.US,5,20131114,182500,3.0200,3.0200,3.0100,3.0100,5363,0
