<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXP.US,5,20131112,153500,81.1400,81.3300,81.0000,81.0700,43978,0
AXP.US,5,20131112,154000,81.0700,81.1400,80.9100,81.1400,28066,0
AXP.US,5,20131112,154500,81.1300,81.3400,81.1300,81.1400,16310,0
AXP.US,5,20131112,155000,81.2200,81.2800,81.1700,81.2000,21236,0
AXP.US,5,20131112,155500,81.2300,81.2300,81.1000,81.1500,9595,0
AXP.US,5,20131112,160000,81.1600,81.1900,81.0900,81.1600,16422,0
AXP.US,5,20131112,160500,81.1700,81.1900,81.0700,81.0900,41883,0
AXP.US,5,20131112,161000,81.0800,81.1500,81.0200,81.1300,18973,0
AXP.US,5,20131112,161500,81.1300,81.1700,81.1100,81.1300,14553,0
AXP.US,5,20131112,162000,81.1200,81.2000,81.0600,81.1900,19338,0
AXP.US,5,20131112,162500,81.2000,81.2100,81.1300,81.1600,13036,0
AXP.US,5,20131112,163000,81.1600,81.2100,81.1300,81.2000,15187,0
AXP.US,5,20131112,163500,81.2100,81.2500,81.1800,81.2400,22378,0
AXP.US,5,20131112,164000,81.2400,81.2400,81.1900,81.1900,10132,0
AXP.US,5,20131112,164500,81.2000,81.2700,81.1800,81.2500,17829,0
AXP.US,5,20131112,165000,81.2400,81.2800,81.1900,81.2200,18447,0
AXP.US,5,20131112,165500,81.2400,81.2400,81.1100,81.1200,19118,0
AXP.US,5,20131112,170000,81.1200,81.1200,80.9700,80.9800,17677,0
AXP.US,5,20131112,170500,80.9800,81.0600,80.9700,81.0600,12213,0
AXP.US,5,20131112,171000,81.0500,81.0800,80.9800,80.9900,11797,0
AXP.US,5,20131112,171500,80.9900,81.0600,80.9800,80.9800,34869,0
AXP.US,5,20131112,172000,80.9900,81.0200,80.9500,81.0200,22049,0
AXP.US,5,20131112,172500,81.0200,81.0300,80.9500,80.9600,14968,0
AXP.US,5,20131112,173000,80.9700,80.9900,80.9200,80.9500,17051,0
AXP.US,5,20131112,173500,80.9400,81.0500,80.9400,81.0200,28973,0
AXP.US,5,20131112,174000,81.0300,81.0300,80.8100,80.8300,30896,0
AXP.US,5,20131112,174500,80.8100,80.8300,80.7200,80.7700,26543,0
AXP.US,5,20131112,175000,80.7700,80.7700,80.6200,80.6900,43518,0
AXP.US,5,20131112,175500,80.6900,80.7400,80.6900,80.7000,15104,0
AXP.US,5,20131112,180000,80.7300,80.8000,80.7300,80.7800,8812,0
AXP.US,5,20131112,180500,80.7800,80.7900,80.7200,80.7200,16318,0
AXP.US,5,20131112,181000,80.7300,80.7400,80.5800,80.6100,19961,0
AXP.US,5,20131112,181500,80.6000,80.6800,80.5900,80.6700,12752,0
AXP.US,5,20131112,182000,80.6700,80.7200,80.6600,80.7000,9092,0
AXP.US,5,20131112,182500,80.7000,80.7500,80.6700,80.7300,23188,0
AXP.US,5,20131112,183000,80.7200,80.8200,80.7200,80.8000,20610,0
AXP.US,5,20131112,183500,80.7800,80.8500,80.7700,80.8400,31355,0
AXP.US,5,20131112,184000,80.8300,80.8400,80.8000,80.8100,17270,0
AXP.US,5,20131112,184500,80.8100,80.8800,80.7900,80.8600,25918,0
AXP.US,5,20131112,185000,80.8500,80.9500,80.8000,80.8200,53988,0
AXP.US,5,20131112,185500,80.8200,80.8300,80.7500,80.7700,11260,0
AXP.US,5,20131112,190000,80.7700,80.8100,80.7700,80.7800,11948,0
AXP.US,5,20131112,190500,80.7800,80.8200,80.7600,80.7800,10612,0
AXP.US,5,20131112,191000,80.7700,80.8400,80.7700,80.8400,9649,0
AXP.US,5,20131112,191500,80.8400,80.8700,80.8100,80.8100,17467,0
AXP.US,5,20131112,192000,80.8000,80.8600,80.7800,80.8600,11413,0
AXP.US,5,20131112,192500,80.8600,80.9000,80.8200,80.8500,19978,0
AXP.US,5,20131112,193000,80.8500,80.9000,80.7900,80.7900,29901,0
AXP.US,5,20131112,193500,80.7900,80.8300,80.7100,80.7200,20780,0
AXP.US,5,20131112,194000,80.7100,80.7600,80.6700,80.7600,34912,0
AXP.US,5,20131112,194500,80.7400,80.8000,80.7200,80.8000,21381,0
AXP.US,5,20131112,195000,80.8000,80.8200,80.7800,80.8000,16864,0
AXP.US,5,20131112,195500,80.8100,80.8200,80.7900,80.8200,17010,0
AXP.US,5,20131112,200000,80.8200,80.8900,80.8200,80.8500,36615,0
AXP.US,5,20131112,200500,80.8400,80.9200,80.8400,80.9000,33115,0
AXP.US,5,20131112,201000,80.8900,80.9300,80.8900,80.9100,12788,0
AXP.US,5,20131112,201500,80.9000,80.9100,80.8400,80.8600,14721,0
AXP.US,5,20131112,202000,80.8600,80.8600,80.7800,80.8400,15257,0
AXP.US,5,20131112,202500,80.8500,80.8900,80.7900,80.8000,14766,0
AXP.US,5,20131112,203000,80.8000,80.8000,80.7100,80.7200,15264,0
AXP.US,5,20131112,203500,80.7200,80.7800,80.7100,80.7800,45211,0
AXP.US,5,20131112,204000,80.7900,80.8800,80.7900,80.8600,20041,0
AXP.US,5,20131112,204500,80.8600,80.9000,80.8400,80.8700,19416,0
AXP.US,5,20131112,205000,80.8600,80.9100,80.8300,80.9000,18123,0
AXP.US,5,20131112,205500,80.9000,80.9200,80.9000,80.9100,16013,0
AXP.US,5,20131112,210000,80.9100,81.0100,80.9000,80.9900,21094,0
AXP.US,5,20131112,210500,81.0000,81.0400,81.0000,81.0000,15864,0
AXP.US,5,20131112,211000,81.0000,81.0700,81.0000,81.0500,18277,0
AXP.US,5,20131112,211500,81.0500,81.0700,81.0000,81.0000,21896,0
AXP.US,5,20131112,212000,80.9900,81.0600,80.9900,81.0400,24335,0
AXP.US,5,20131112,212500,81.0400,81.0500,80.9800,81.0000,29452,0
AXP.US,5,20131112,213000,80.9900,81.0200,80.9100,80.9200,34399,0
AXP.US,5,20131112,213500,80.9200,80.9800,80.9000,80.9400,34696,0
AXP.US,5,20131112,214000,80.9500,81.0400,80.9500,81.0100,29494,0
AXP.US,5,20131112,214500,81.0100,81.0500,81.0100,81.0300,26070,0
AXP.US,5,20131112,215000,81.0300,81.0300,80.9000,80.9300,57987,0
AXP.US,5,20131112,215500,80.9300,80.9400,80.8600,80.9100,68968,0
AXP.US,5,20131112,220000,80.9100,81.0600,80.9000,81.0400,127044,0
AXP.US,5,20131112,220500,81.0300,81.0300,81.0300,81.0300,149145,0
AXP.US,5,20131113,153500,80.5700,80.7300,80.3300,80.6500,51410,0
AXP.US,5,20131113,154000,80.6300,80.6600,80.3300,80.3500,84251,0
AXP.US,5,20131113,154500,80.3600,80.4500,80.2200,80.2300,38761,0
AXP.US,5,20131113,155000,80.2300,80.4000,80.2200,80.3200,35371,0
AXP.US,5,20131113,155500,80.3200,80.4000,80.3000,80.3700,40327,0
AXP.US,5,20131113,160000,80.3700,80.5000,80.3300,80.4900,25189,0
AXP.US,5,20131113,160500,80.4700,80.5000,80.3900,80.4700,38988,0
