<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZN.US,5,20131112,153500,52.3000,52.3300,52.2100,52.2800,46734,0
AZN.US,5,20131112,154000,52.2900,52.3500,52.2800,52.3400,20945,0
AZN.US,5,20131112,154500,52.3400,52.4200,52.3300,52.4100,68595,0
AZN.US,5,20131112,155000,52.4300,52.4300,52.3400,52.3700,41947,0
AZN.US,5,20131112,155500,52.3700,52.4500,52.3700,52.4500,44542,0
AZN.US,5,20131112,160000,52.4400,52.4500,52.4100,52.4300,36066,0
AZN.US,5,20131112,160500,52.4200,52.4300,52.3500,52.3700,105655,0
AZN.US,5,20131112,161000,52.3800,52.3900,52.3400,52.3700,32368,0
AZN.US,5,20131112,161500,52.3700,52.3900,52.3500,52.3600,24804,0
AZN.US,5,20131112,162000,52.3600,52.3800,52.3400,52.3500,51440,0
AZN.US,5,20131112,162500,52.3500,52.3800,52.3300,52.3600,33959,0
AZN.US,5,20131112,163000,52.3600,52.3600,52.3100,52.3600,22289,0
AZN.US,5,20131112,163500,52.3700,52.3700,52.3300,52.3300,15071,0
AZN.US,5,20131112,164000,52.3400,52.3500,52.3000,52.3200,39702,0
AZN.US,5,20131112,164500,52.3200,52.3400,52.3000,52.3100,21015,0
AZN.US,5,20131112,165000,52.3100,52.3700,52.3100,52.3300,53158,0
AZN.US,5,20131112,165500,52.3300,52.3600,52.3100,52.3100,13715,0
AZN.US,5,20131112,170000,52.3100,52.3200,52.2200,52.2200,27241,0
AZN.US,5,20131112,170500,52.2300,52.3000,52.2200,52.2900,19299,0
AZN.US,5,20131112,171000,52.2900,52.3000,52.2400,52.2600,14271,0
AZN.US,5,20131112,171500,52.2600,52.3000,52.2500,52.3000,12861,0
AZN.US,5,20131112,172000,52.2900,52.2900,52.2600,52.2800,15683,0
AZN.US,5,20131112,172500,52.2700,52.2700,52.2400,52.2500,20920,0
AZN.US,5,20131112,173000,52.2700,52.2800,52.2500,52.2600,16180,0
AZN.US,5,20131112,173500,52.2500,52.2800,52.2200,52.2600,49859,0
AZN.US,5,20131112,174000,52.2500,52.2900,52.2200,52.2200,24008,0
AZN.US,5,20131112,174500,52.2000,52.2100,52.1600,52.1800,40277,0
AZN.US,5,20131112,175000,52.1900,52.2100,52.1800,52.1800,6994,0
AZN.US,5,20131112,175500,52.1900,52.2300,52.1900,52.2200,9187,0
AZN.US,5,20131112,180000,52.2300,52.2500,52.2100,52.2200,11659,0
AZN.US,5,20131112,180500,52.2100,52.2200,52.1800,52.2000,7869,0
AZN.US,5,20131112,181000,52.1900,52.2000,52.1700,52.2000,7907,0
AZN.US,5,20131112,181500,52.1900,52.2200,52.1800,52.1900,11624,0
AZN.US,5,20131112,182000,52.2000,52.2200,52.1900,52.2100,5791,0
AZN.US,5,20131112,182500,52.2000,52.2200,52.2000,52.2200,4370,0
AZN.US,5,20131112,183000,52.2000,52.2100,52.1800,52.1900,10539,0
AZN.US,5,20131112,183500,52.1900,52.2100,52.1600,52.1600,9132,0
AZN.US,5,20131112,184000,52.1800,52.1800,52.1500,52.1500,19220,0
AZN.US,5,20131112,184500,52.1600,52.1800,52.1100,52.1400,37107,0
AZN.US,5,20131112,185000,52.1400,52.1900,52.1400,52.1700,9921,0
AZN.US,5,20131112,185500,52.1700,52.1900,52.1600,52.1800,6491,0
AZN.US,5,20131112,190000,52.1800,52.2200,52.1700,52.2100,12206,0
AZN.US,5,20131112,190500,52.2300,52.2300,52.1700,52.1800,16352,0
AZN.US,5,20131112,191000,52.1700,52.2000,52.1700,52.2000,6330,0
AZN.US,5,20131112,191500,52.2100,52.2400,52.2100,52.2300,8389,0
AZN.US,5,20131112,192000,52.2300,52.2500,52.2200,52.2500,4322,0
AZN.US,5,20131112,192500,52.2500,52.2500,52.1900,52.2000,26646,0
AZN.US,5,20131112,193000,52.2100,52.2400,52.2000,52.2200,5580,0
AZN.US,5,20131112,193500,52.2200,52.2200,52.2000,52.2100,6940,0
AZN.US,5,20131112,194000,52.2100,52.2200,52.2000,52.2100,6800,0
AZN.US,5,20131112,194500,52.2200,52.2200,52.2000,52.2100,8229,0
AZN.US,5,20131112,195000,52.2100,52.2100,52.1800,52.2000,26642,0
AZN.US,5,20131112,195500,52.2000,52.2000,52.1800,52.1900,9516,0
AZN.US,5,20131112,200000,52.1900,52.1900,52.1100,52.1200,53357,0
AZN.US,5,20131112,200500,52.1100,52.1200,52.0900,52.1200,37519,0
AZN.US,5,20131112,201000,52.1200,52.1300,52.1100,52.1300,23653,0
AZN.US,5,20131112,201500,52.1300,52.2000,52.1200,52.2000,12705,0
AZN.US,5,20131112,202000,52.1900,52.2000,52.1800,52.2000,7083,0
AZN.US,5,20131112,202500,52.1900,52.2200,52.1900,52.2200,11047,0
AZN.US,5,20131112,203000,52.2200,52.2400,52.2200,52.2300,8442,0
AZN.US,5,20131112,203500,52.2400,52.2400,52.1800,52.1900,16858,0
AZN.US,5,20131112,204000,52.2100,52.2100,52.1700,52.2000,19512,0
AZN.US,5,20131112,204500,52.1900,52.2000,52.1500,52.2000,50118,0
AZN.US,5,20131112,205000,52.2000,52.2300,52.1700,52.2300,31874,0
AZN.US,5,20131112,205500,52.2300,52.2500,52.2300,52.2300,39115,0
AZN.US,5,20131112,210000,52.2300,52.3000,52.2300,52.2900,30617,0
AZN.US,5,20131112,210500,52.2900,52.3400,52.2600,52.2700,50224,0
AZN.US,5,20131112,211000,52.2800,52.3300,52.2700,52.3200,17683,0
AZN.US,5,20131112,211500,52.3300,52.3800,52.3200,52.3800,34669,0
AZN.US,5,20131112,212000,52.3800,52.3800,52.3400,52.3400,26623,0
AZN.US,5,20131112,212500,52.3400,52.3400,52.2600,52.2700,14628,0
AZN.US,5,20131112,213000,52.2800,52.2900,52.2700,52.2900,32224,0
AZN.US,5,20131112,213500,52.2800,52.3700,52.2800,52.3700,63920,0
AZN.US,5,20131112,214000,52.3700,52.4300,52.3700,52.4200,70029,0
AZN.US,5,20131112,214500,52.4200,52.5200,52.4200,52.4200,97107,0
AZN.US,5,20131112,215000,52.4300,52.4400,52.3600,52.3800,43664,0
AZN.US,5,20131112,215500,52.4000,52.4100,52.3500,52.3500,32385,0
AZN.US,5,20131112,220000,52.3600,52.3800,52.3200,52.3800,66530,0
AZN.US,5,20131112,220500,52.3900,52.3900,52.3900,52.3900,52063,0
AZN.US,5,20131113,153500,52.1500,52.2400,52.1400,52.2400,41974,0
AZN.US,5,20131113,154000,52.2400,52.2800,52.2200,52.2600,41056,0
AZN.US,5,20131113,154500,52.2500,52.2700,52.2200,52.2600,36824,0
AZN.US,5,20131113,155000,52.2500,52.2800,52.2200,52.2500,35363,0
AZN.US,5,20131113,155500,52.2600,52.3100,52.2400,52.3000,22910,0
AZN.US,5,20131113,160000,52.3000,52.3100,52.2600,52.2600,80282,0
AZN.US,5,20131113,160500,52.2800,52.3800,52.2800,52.3800,26030,0
AZN.US,5,20131113,161000,52.3800,52.3800,52.2800,52.2800,23693,0
AZN.US,5,20131113,161500,52.2800,52.3000,52.2600,52.2900,55964,0
AZN.US,5,20131113,162000,52.2900,52.3400,52.2800,52.3000,41755,0
AZN.US,5,20131113,162500,52.3000,52.3100,52.2700,52.3000,28757,0
AZN.US,5,20131113,163000,52.2900,52.3400,52.2900,52.3400,22587,0
AZN.US,5,20131113,163500,52.3400,52.3700,52.3400,52.3500,34235,0
AZN.US,5,20131113,164000,52.3400,52.3900,52.3400,52.3500,15025,0
AZN.US,5,20131113,164500,52.3500,52.4300,52.3400,52.4100,23073,0
AZN.US,5,20131113,165000,52.4200,52.4800,52.4200,52.4700,16331,0
AZN.US,5,20131113,165500,52.4700,52.4800,52.4600,52.4600,9563,0
AZN.US,5,20131113,170000,52.4600,52.4800,52.4400,52.4600,33368,0
AZN.US,5,20131113,170500,52.4600,52.4600,52.4400,52.4600,21056,0
AZN.US,5,20131113,171000,52.4600,52.5000,52.4600,52.4800,26098,0
AZN.US,5,20131113,171500,52.4800,52.4800,52.4300,52.4500,56436,0
AZN.US,5,20131113,172000,52.4500,52.4500,52.3900,52.3900,25787,0
AZN.US,5,20131113,172500,52.4100,52.4600,52.4000,52.4100,28984,0
AZN.US,5,20131113,173000,52.4200,52.4900,52.4200,52.4400,34395,0
AZN.US,5,20131113,173500,52.4600,52.4700,52.3600,52.3600,37829,0
AZN.US,5,20131113,174000,52.3900,52.4400,52.3900,52.4300,5600,0
AZN.US,5,20131113,174500,52.4400,52.4500,52.4400,52.4400,4132,0
AZN.US,5,20131113,175000,52.4500,52.4600,52.4300,52.4400,6103,0
AZN.US,5,20131113,175500,52.4400,52.4600,52.4400,52.4500,21493,0
AZN.US,5,20131113,180000,52.4600,52.5000,52.4500,52.5000,12896,0
AZN.US,5,20131113,180500,52.4900,52.5900,52.4900,52.5900,40449,0
AZN.US,5,20131113,181000,52.6000,52.6300,52.5900,52.6100,18574,0
AZN.US,5,20131113,181500,52.6100,52.6100,52.5900,52.5900,9648,0
AZN.US,5,20131113,182000,52.5600,52.5800,52.5300,52.5500,3128,0
AZN.US,5,20131113,182500,52.5500,52.5700,52.5500,52.5700,1817,0
AZN.US,5,20131113,183000,52.5700,52.6000,52.5700,52.6000,3787,0
AZN.US,5,20131113,183500,52.6000,52.6200,52.6000,52.6200,15121,0
AZN.US,5,20131113,184000,52.6200,52.6900,52.6200,52.6900,25634,0
AZN.US,5,20131113,184500,52.6900,52.7100,52.6600,52.6600,14811,0
AZN.US,5,20131113,185000,52.6600,52.6600,52.6100,52.6100,9652,0
AZN.US,5,20131113,185500,52.6200,52.6600,52.6200,52.6200,13330,0
AZN.US,5,20131113,190000,52.6300,52.6500,52.6200,52.6400,7638,0
AZN.US,5,20131113,190500,52.6500,52.6900,52.6300,52.6900,17120,0
AZN.US,5,20131113,191000,52.6700,52.6900,52.6400,52.6600,38456,0
AZN.US,5,20131113,191500,52.6800,52.7000,52.6600,52.6900,12329,0
AZN.US,5,20131113,192000,52.7000,52.7000,52.6800,52.6900,16416,0
AZN.US,5,20131113,192500,52.7000,52.7000,52.6800,52.7000,6319,0
AZN.US,5,20131113,193000,52.7000,52.7100,52.6800,52.7100,8350,0
AZN.US,5,20131113,193500,52.7200,52.7500,52.7100,52.7400,9834,0
AZN.US,5,20131113,194000,52.7400,52.7500,52.7400,52.7500,15370,0
AZN.US,5,20131113,194500,52.7500,52.7600,52.7400,52.7500,28548,0
AZN.US,5,20131113,195000,52.7500,52.8000,52.7500,52.7800,69986,0
AZN.US,5,20131113,195500,52.7600,52.8000,52.7500,52.8000,23221,0
AZN.US,5,20131113,200000,52.8000,52.8100,52.7900,52.8000,17965,0
AZN.US,5,20131113,200500,52.8100,52.8300,52.8000,52.8000,27528,0
AZN.US,5,20131113,201000,52.8000,52.8200,52.7900,52.8000,12362,0
AZN.US,5,20131113,201500,52.8000,52.8000,52.7800,52.7900,14970,0
AZN.US,5,20131113,202000,52.7800,52.8100,52.7800,52.8100,8120,0
AZN.US,5,20131113,202500,52.8000,52.8400,52.8000,52.8300,20329,0
AZN.US,5,20131113,203000,52.8300,52.8600,52.8300,52.8400,15801,0
AZN.US,5,20131113,203500,52.8400,52.8400,52.7900,52.7900,18887,0
AZN.US,5,20131113,204000,52.7900,52.8000,52.7000,52.7200,19755,0
AZN.US,5,20131113,204500,52.7200,52.7200,52.6800,52.6900,9025,0
AZN.US,5,20131113,205000,52.6800,52.6900,52.6600,52.6600,17675,0
AZN.US,5,20131113,205500,52.6600,52.6700,52.6500,52.6600,9766,0
AZN.US,5,20131113,210000,52.6600,52.6700,52.6400,52.6400,11102,0
AZN.US,5,20131113,210500,52.6500,52.6700,52.6500,52.6500,12111,0
AZN.US,5,20131113,211000,52.6500,52.6600,52.6400,52.6600,9366,0
AZN.US,5,20131113,211500,52.6700,52.6900,52.6600,52.6800,11401,0
AZN.US,5,20131113,212000,52.6700,52.7000,52.6600,52.6800,8527,0
AZN.US,5,20131113,212500,52.6900,52.7100,52.6800,52.6800,17815,0
AZN.US,5,20131113,213000,52.6800,52.6900,52.6400,52.6500,23292,0
AZN.US,5,20131113,213500,52.6500,52.6500,52.6300,52.6500,25541,0
AZN.US,5,20131113,214000,52.6500,52.7600,52.6400,52.7000,38361,0
AZN.US,5,20131113,214500,52.7100,52.7200,52.6900,52.7000,20620,0
AZN.US,5,20131113,215000,52.7000,52.7600,52.7000,52.7500,18621,0
AZN.US,5,20131113,215500,52.7500,52.7600,52.6900,52.7000,40070,0
AZN.US,5,20131113,220000,52.7000,52.7000,52.6600,52.6600,87645,0
AZN.US,5,20131113,220500,52.6600,52.6600,52.6600,52.6600,18126,0
AZN.US,5,20131114,153500,52.6900,52.7400,52.6900,52.7300,43868,0
AZN.US,5,20131114,154000,52.7300,52.8000,52.7300,52.7500,24326,0
AZN.US,5,20131114,154500,52.7500,52.7900,52.7400,52.7900,34829,0
AZN.US,5,20131114,155000,52.8000,52.8100,52.7400,52.7900,35022,0
AZN.US,5,20131114,155500,52.7900,52.8400,52.7900,52.8400,9744,0
AZN.US,5,20131114,160000,52.8500,52.9000,52.8200,52.8900,18183,0
AZN.US,5,20131114,160500,52.8900,52.9400,52.8900,52.9300,31413,0
AZN.US,5,20131114,161000,52.9300,52.9300,52.8800,52.9000,20778,0
AZN.US,5,20131114,161500,52.9100,52.9600,52.8900,52.9600,16705,0
AZN.US,5,20131114,162000,52.9600,52.9900,52.9500,52.9900,18125,0
AZN.US,5,20131114,162500,52.9800,53.0200,52.9500,52.9800,47236,0
AZN.US,5,20131114,163000,52.9800,53.0000,52.9100,52.9200,23778,0
AZN.US,5,20131114,163500,52.9200,52.9500,52.8800,52.9500,17418,0
AZN.US,5,20131114,164000,52.9500,52.9600,52.9200,52.9600,6205,0
AZN.US,5,20131114,164500,52.9600,53.0000,52.9600,53.0000,13606,0
AZN.US,5,20131114,165000,53.0000,53.0400,52.9900,53.0200,30677,0
AZN.US,5,20131114,165500,53.0200,53.0300,52.9900,53.0100,12089,0
AZN.US,5,20131114,170000,53.0100,53.0300,53.0000,53.0200,31736,0
AZN.US,5,20131114,170500,53.0200,53.0300,52.9900,53.0000,8345,0
AZN.US,5,20131114,171000,53.0000,53.0400,52.9900,53.0000,22621,0
AZN.US,5,20131114,171500,53.0100,53.0500,53.0100,53.0300,13800,0
AZN.US,5,20131114,172000,53.0300,53.0800,53.0100,53.0700,18957,0
AZN.US,5,20131114,172500,53.0800,53.1000,53.0400,53.0600,17336,0
AZN.US,5,20131114,173000,53.0600,53.0600,52.9700,53.0300,28863,0
AZN.US,5,20131114,173500,53.0200,53.0200,52.9400,52.9400,27922,0
AZN.US,5,20131114,174000,52.9500,52.9600,52.9100,52.9400,8449,0
AZN.US,5,20131114,174500,52.9300,52.9600,52.9100,52.9600,4765,0
AZN.US,5,20131114,175000,52.9700,52.9700,52.9100,52.9400,8412,0
AZN.US,5,20131114,175500,52.9400,52.9600,52.9300,52.9500,4052,0
AZN.US,5,20131114,180000,52.9400,52.9600,52.9200,52.9200,13676,0
AZN.US,5,20131114,180500,52.9300,52.9600,52.9000,52.9200,31173,0
AZN.US,5,20131114,181000,52.9300,52.9300,52.9000,52.9200,1908,0
AZN.US,5,20131114,181500,52.9200,52.9600,52.9000,52.9200,21379,0
AZN.US,5,20131114,182000,52.9200,52.9400,52.9100,52.9200,2317,0
AZN.US,5,20131114,182500,52.9300,52.9800,52.9200,52.9800,6471,0
AZN.US,5,20131114,183000,52.9800,52.9800,52.9400,52.9400,4740,0
AZN.US,5,20131114,183500,52.9500,52.9600,52.9400,52.9500,3726,0
AZN.US,5,20131114,184000,52.9400,52.9500,52.9400,52.9400,1846,0
AZN.US,5,20131114,184500,52.9400,52.9400,52.9000,52.9100,3943,0
AZN.US,5,20131114,185000,52.9100,52.9100,52.8800,52.8800,4178,0
AZN.US,5,20131114,185500,52.8900,52.8900,52.8900,52.8900,4584,0
AZN.US,5,20131114,190000,52.8800,52.9000,52.8800,52.8800,9363,0
AZN.US,5,20131114,190500,52.8700,52.9200,52.8600,52.9100,7738,0
AZN.US,5,20131114,191000,52.9100,52.9300,52.8900,52.9300,19529,0
AZN.US,5,20131114,191500,52.9200,52.9300,52.9100,52.9100,5700,0
AZN.US,5,20131114,192000,52.9100,52.9400,52.9100,52.9200,3406,0
AZN.US,5,20131114,192500,52.9300,52.9400,52.9200,52.9300,17633,0
AZN.US,5,20131114,193000,52.9400,52.9400,52.9300,52.9400,3808,0
AZN.US,5,20131114,193500,52.9400,52.9400,52.9000,52.9000,9246,0
AZN.US,5,20131114,194000,52.8900,52.9100,52.8900,52.9000,5689,0
AZN.US,5,20131114,194500,52.8900,52.9100,52.8900,52.9000,18845,0
AZN.US,5,20131114,195000,52.9000,52.9500,52.9000,52.9500,4508,0
AZN.US,5,20131114,195500,52.9500,52.9500,52.9300,52.9300,7604,0
