<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAC_A.US,5,20131112,153500,5.8500,5.8500,5.8500,5.8500,100,0
BAC_A.US,5,20131112,154500,5.8500,5.8500,5.8500,5.8500,3950,0
BAC_A.US,5,20131112,155000,5.8500,5.8500,5.8500,5.8500,2000,0
BAC_A.US,5,20131112,155500,5.8500,5.8500,5.8500,5.8500,2400,0
BAC_A.US,5,20131112,160500,5.8500,5.8500,5.8500,5.8500,500,0
BAC_A.US,5,20131112,161500,5.8400,5.8400,5.8400,5.8400,1200,0
BAC_A.US,5,20131112,162000,5.8500,5.8500,5.8500,5.8500,10050,0
BAC_A.US,5,20131112,164500,5.8500,5.8600,5.8500,5.8600,11600,0
BAC_A.US,5,20131112,165000,5.8500,5.8500,5.8500,5.8500,100,0
BAC_A.US,5,20131112,165500,5.8500,5.8500,5.8500,5.8500,100,0
BAC_A.US,5,20131112,170000,5.8500,5.8500,5.8500,5.8500,2500,0
BAC_A.US,5,20131112,171500,5.8500,5.8500,5.8500,5.8500,10487,0
BAC_A.US,5,20131112,173000,5.8500,5.8500,5.8500,5.8500,5200,0
BAC_A.US,5,20131112,174000,5.8500,5.8500,5.8500,5.8500,10000,0
BAC_A.US,5,20131112,175000,5.8500,5.8500,5.8500,5.8500,5000,0
BAC_A.US,5,20131112,180500,5.8500,5.8500,5.8500,5.8500,100,0
BAC_A.US,5,20131112,185000,5.8800,5.8800,5.8600,5.8700,4125,0
BAC_A.US,5,20131112,185500,5.8800,5.8800,5.8800,5.8800,1000,0
BAC_A.US,5,20131112,191000,5.8600,5.8600,5.8500,5.8600,2175,0
BAC_A.US,5,20131112,193000,5.8600,5.8600,5.8600,5.8600,1112,0
BAC_A.US,5,20131112,193500,5.8500,5.8500,5.8500,5.8500,18239,0
BAC_A.US,5,20131112,194000,5.8500,5.8500,5.8500,5.8500,4900,0
BAC_A.US,5,20131112,194500,5.8400,5.8400,5.8400,5.8400,200,0
BAC_A.US,5,20131112,203000,5.8400,5.8400,5.8400,5.8400,10000,0
BAC_A.US,5,20131112,211500,5.8000,5.8000,5.8000,5.8000,100,0
BAC_A.US,5,20131112,212000,5.8400,5.8400,5.8400,5.8400,1000,0
BAC_A.US,5,20131112,212500,5.7900,5.8100,5.7900,5.8100,2500,0
BAC_A.US,5,20131112,213500,5.8100,5.8100,5.8100,5.8100,5100,0
BAC_A.US,5,20131112,215500,5.8000,5.8000,5.7900,5.7900,4191,0
BAC_A.US,5,20131112,220000,5.7900,5.7900,5.7800,5.7800,8432,0
BAC_A.US,5,20131113,153500,5.8200,5.8200,5.8200,5.8200,500,0
BAC_A.US,5,20131113,160000,5.7800,5.8100,5.7800,5.8100,2600,0
BAC_A.US,5,20131113,161500,5.8100,5.8100,5.8100,5.8100,2800,0
BAC_A.US,5,20131113,162000,5.8100,5.8100,5.8100,5.8100,3500,0
BAC_A.US,5,20131113,162500,5.8100,5.8100,5.8100,5.8100,3500,0
BAC_A.US,5,20131113,163000,5.8400,5.8400,5.8400,5.8400,800,0
BAC_A.US,5,20131113,163500,5.8400,5.8400,5.8400,5.8400,1450,0
BAC_A.US,5,20131113,164000,5.8300,5.8300,5.8300,5.8300,2600,0
BAC_A.US,5,20131113,164500,5.8300,5.8300,5.8100,5.8100,5500,0
BAC_A.US,5,20131113,165500,5.8100,5.8200,5.8100,5.8200,2100,0
BAC_A.US,5,20131113,171500,5.8000,5.8000,5.7900,5.8000,50100,0
BAC_A.US,5,20131113,173000,5.8000,5.8000,5.8000,5.8000,1750,0
BAC_A.US,5,20131113,174000,5.8000,5.8000,5.8000,5.8000,500,0
BAC_A.US,5,20131113,174500,5.8000,5.8000,5.8000,5.8000,1600,0
BAC_A.US,5,20131113,175000,5.8000,5.8000,5.8000,5.8000,1028,0
BAC_A.US,5,20131113,175500,5.8000,5.8100,5.8000,5.8100,23972,0
