<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAM.US,5,20131112,153500,39.2700,39.3900,39.2000,39.3600,12109,0
BAM.US,5,20131112,154000,39.3800,39.4200,39.2700,39.3200,7343,0
BAM.US,5,20131112,154500,39.3600,39.3800,39.3400,39.3400,1800,0
BAM.US,5,20131112,155000,39.3400,39.3900,39.3300,39.3900,2100,0
BAM.US,5,20131112,155500,39.3700,39.3800,39.3400,39.3700,6700,0
BAM.US,5,20131112,160000,39.3800,39.4500,39.3800,39.4100,5035,0
BAM.US,5,20131112,160500,39.4200,39.4700,39.4100,39.4600,4408,0
BAM.US,5,20131112,161000,39.4800,39.5200,39.4700,39.5200,6800,0
BAM.US,5,20131112,161500,39.5100,39.5400,39.4800,39.5200,6100,0
BAM.US,5,20131112,162000,39.5300,39.5500,39.5200,39.5500,5268,0
BAM.US,5,20131112,162500,39.5400,39.5700,39.5300,39.5300,2600,0
BAM.US,5,20131112,163000,39.5500,39.5900,39.5300,39.5800,3000,0
BAM.US,5,20131112,163500,39.6100,39.6200,39.5800,39.6000,6538,0
BAM.US,5,20131112,164000,39.6100,39.6700,39.6100,39.6700,8816,0
BAM.US,5,20131112,164500,39.6500,39.7100,39.6500,39.7100,21088,0
BAM.US,5,20131112,165000,39.7100,39.7200,39.6900,39.7200,6225,0
BAM.US,5,20131112,165500,39.7200,39.7500,39.7200,39.7500,4581,0
BAM.US,5,20131112,170000,39.7500,39.7500,39.6800,39.7000,7800,0
BAM.US,5,20131112,170500,39.6800,39.7100,39.6800,39.6900,3335,0
BAM.US,5,20131112,171000,39.6800,39.6900,39.6500,39.6700,6480,0
BAM.US,5,20131112,171500,39.6600,39.6600,39.6300,39.6400,1700,0
BAM.US,5,20131112,172000,39.6500,39.6600,39.6200,39.6600,5400,0
BAM.US,5,20131112,172500,39.6700,39.6900,39.6400,39.6500,19976,0
BAM.US,5,20131112,173000,39.6500,39.6700,39.6200,39.6700,7004,0
BAM.US,5,20131112,173500,39.6700,39.6800,39.6500,39.6500,1480,0
BAM.US,5,20131112,174000,39.6500,39.6500,39.6100,39.6100,9650,0
BAM.US,5,20131112,174500,39.6100,39.6100,39.5900,39.5900,1800,0
BAM.US,5,20131112,175000,39.5900,39.5900,39.5600,39.5800,4902,0
BAM.US,5,20131112,175500,39.5700,39.5700,39.5600,39.5700,698,0
BAM.US,5,20131112,180000,39.5600,39.5900,39.5600,39.5600,2300,0
BAM.US,5,20131112,180500,39.5600,39.5600,39.5400,39.5600,3800,0
BAM.US,5,20131112,181000,39.5600,39.5600,39.5200,39.5400,10600,0
BAM.US,5,20131112,181500,39.5200,39.5200,39.5000,39.5100,4000,0
BAM.US,5,20131112,182000,39.5000,39.5200,39.5000,39.5000,2100,0
BAM.US,5,20131112,182500,39.4900,39.5000,39.4500,39.4500,11961,0
BAM.US,5,20131112,183000,39.4500,39.4500,39.4000,39.4000,8104,0
BAM.US,5,20131112,183500,39.4200,39.4400,39.4000,39.4400,2925,0
BAM.US,5,20131112,184000,39.4500,39.4600,39.4200,39.4200,3300,0
BAM.US,5,20131112,184500,39.4300,39.4700,39.4300,39.4500,2700,0
BAM.US,5,20131112,185000,39.4400,39.4700,39.4400,39.4500,1400,0
BAM.US,5,20131112,185500,39.4600,39.4700,39.4600,39.4600,2245,0
BAM.US,5,20131112,190000,39.4600,39.4600,39.4300,39.4300,1017,0
BAM.US,5,20131112,190500,39.4600,39.5100,39.4500,39.5000,22450,0
BAM.US,5,20131112,191000,39.5000,39.5300,39.4900,39.5200,10700,0
BAM.US,5,20131112,191500,39.5200,39.5800,39.5100,39.5400,21100,0
BAM.US,5,20131112,192000,39.5400,39.5500,39.5200,39.5200,8500,0
BAM.US,5,20131112,192500,39.5200,39.5300,39.5100,39.5300,1000,0
BAM.US,5,20131112,193000,39.5100,39.5500,39.5100,39.5200,3800,0
BAM.US,5,20131112,193500,39.5200,39.5300,39.4400,39.4500,17400,0
BAM.US,5,20131112,194000,39.4500,39.4700,39.4000,39.4300,16699,0
BAM.US,5,20131112,194500,39.4100,39.4300,39.3800,39.3900,22250,0
BAM.US,5,20131112,195000,39.3900,39.4100,39.3500,39.3500,16309,0
BAM.US,5,20131112,195500,39.3500,39.4000,39.3500,39.4000,5155,0
BAM.US,5,20131112,200000,39.4100,39.4100,39.3400,39.3700,15599,0
BAM.US,5,20131112,200500,39.3600,39.3700,39.3300,39.3400,5100,0
BAM.US,5,20131112,201000,39.3500,39.4100,39.3400,39.4000,6370,0
BAM.US,5,20131112,201500,39.4000,39.4400,39.3900,39.4400,5200,0
BAM.US,5,20131112,202000,39.4300,39.4600,39.4200,39.4400,8000,0
BAM.US,5,20131112,202500,39.4400,39.4600,39.4100,39.4200,8099,0
BAM.US,5,20131112,203000,39.4300,39.4400,39.3900,39.4100,6100,0
BAM.US,5,20131112,203500,39.4200,39.4400,39.4100,39.4200,3852,0
BAM.US,5,20131112,204000,39.4200,39.4500,39.4100,39.4100,4200,0
BAM.US,5,20131112,204500,39.4200,39.4700,39.4200,39.4600,5400,0
BAM.US,5,20131112,205000,39.4500,39.4600,39.4100,39.4200,2533,0
BAM.US,5,20131112,205500,39.4200,39.4400,39.4200,39.4200,24179,0
BAM.US,5,20131112,210000,39.4200,39.4500,39.4100,39.4400,6512,0
BAM.US,5,20131112,210500,39.4400,39.4500,39.4300,39.4300,6200,0
BAM.US,5,20131112,211000,39.4500,39.4500,39.4200,39.4300,4613,0
BAM.US,5,20131112,211500,39.4300,39.4400,39.4300,39.4300,3200,0
BAM.US,5,20131112,212000,39.4200,39.4400,39.4100,39.4400,6100,0
BAM.US,5,20131112,212500,39.4300,39.4400,39.4000,39.4000,4500,0
BAM.US,5,20131112,213000,39.4100,39.4300,39.4000,39.4000,7000,0
BAM.US,5,20131112,213500,39.4000,39.4500,39.4000,39.4500,10409,0
BAM.US,5,20131112,214000,39.4400,39.4400,39.4200,39.4400,11816,0
BAM.US,5,20131112,214500,39.4300,39.4300,39.4000,39.4000,7900,0
BAM.US,5,20131112,215000,39.4000,39.4000,39.3600,39.3600,10832,0
BAM.US,5,20131112,215500,39.3600,39.3900,39.3600,39.3800,5260,0
BAM.US,5,20131112,220000,39.3800,39.3800,39.3500,39.3600,20337,0
BAM.US,5,20131112,220500,39.3600,39.3600,39.3600,39.3600,9727,0
BAM.US,5,20131113,153500,39.3600,39.3600,39.1400,39.2200,5545,0
BAM.US,5,20131113,154000,39.2500,39.2600,39.2200,39.2500,1300,0
BAM.US,5,20131113,154500,39.2600,39.2600,39.1400,39.1400,2250,0
BAM.US,5,20131113,155000,39.1400,39.2300,39.1400,39.2300,1854,0
BAM.US,5,20131113,155500,39.2300,39.2300,39.1800,39.1900,8700,0
BAM.US,5,20131113,160000,39.1800,39.2200,39.1600,39.2000,9500,0
BAM.US,5,20131113,160500,39.2100,39.2500,39.2100,39.2400,4000,0
BAM.US,5,20131113,161000,39.2200,39.2300,39.1700,39.1800,3200,0
BAM.US,5,20131113,161500,39.1800,39.2400,39.1800,39.2400,3756,0
BAM.US,5,20131113,162000,39.2800,39.2900,39.2300,39.2300,9705,0
BAM.US,5,20131113,162500,39.2500,39.2700,39.2000,39.2400,2827,0
BAM.US,5,20131113,163000,39.2400,39.2700,39.2300,39.2300,3650,0
BAM.US,5,20131113,163500,39.2300,39.2500,39.2200,39.2200,6643,0
BAM.US,5,20131113,164000,39.2300,39.2700,39.1600,39.1700,17036,0
BAM.US,5,20131113,164500,39.1900,39.2100,39.1600,39.2000,11959,0
BAM.US,5,20131113,165000,39.1900,39.2200,39.1400,39.2000,11200,0
BAM.US,5,20131113,165500,39.1900,39.2500,39.1900,39.2400,2300,0
BAM.US,5,20131113,170000,39.2300,39.2300,39.2100,39.2300,2028,0
BAM.US,5,20131113,170500,39.2500,39.2500,39.1800,39.2100,22361,0
BAM.US,5,20131113,171000,39.2100,39.2200,39.1800,39.2000,26689,0
BAM.US,5,20131113,171500,39.2000,39.2300,39.1400,39.2000,35921,0
BAM.US,5,20131113,172000,39.2000,39.2000,39.1900,39.1900,1100,0
BAM.US,5,20131113,172500,39.1700,39.2100,39.1400,39.1400,1811,0
BAM.US,5,20131113,173000,39.1500,39.1600,39.1000,39.1200,3200,0
BAM.US,5,20131113,173500,39.1300,39.1700,39.1200,39.1700,2012,0
BAM.US,5,20131113,174000,39.1800,39.1800,39.1300,39.1300,791,0
BAM.US,5,20131113,174500,39.1300,39.1300,39.0800,39.0900,21837,0
BAM.US,5,20131113,175000,39.0900,39.0900,39.0800,39.0800,1204,0
BAM.US,5,20131113,175500,39.0900,39.1100,39.0900,39.1100,3800,0
BAM.US,5,20131113,180000,39.1200,39.1200,39.1100,39.1200,700,0
BAM.US,5,20131113,180500,39.1300,39.1500,39.1200,39.1500,3000,0
BAM.US,5,20131113,181000,39.1400,39.1400,39.1400,39.1400,1400,0
BAM.US,5,20131113,181500,39.1600,39.1700,39.1500,39.1700,900,0
BAM.US,5,20131113,182000,39.1900,39.2100,39.1900,39.2000,2200,0
BAM.US,5,20131113,182500,39.1900,39.2400,39.1900,39.2200,2040,0
BAM.US,5,20131113,183000,39.2300,39.2300,39.1900,39.1900,828,0
BAM.US,5,20131113,183500,39.2000,39.2000,39.1700,39.1700,2534,0
BAM.US,5,20131113,184000,39.1800,39.2000,39.1800,39.2000,2556,0
