<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAS.US,5,20131112,153500,16.7400,16.7400,16.4800,16.5500,13279,0
BAS.US,5,20131112,154000,16.5500,16.6700,16.5400,16.5900,20368,0
BAS.US,5,20131112,154500,16.6300,16.6300,16.4200,16.4200,5000,0
BAS.US,5,20131112,155000,16.4300,16.4900,16.4300,16.4900,10900,0
BAS.US,5,20131112,155500,16.5000,16.5400,16.4000,16.4000,4488,0
BAS.US,5,20131112,160000,16.4000,16.4000,16.3500,16.3600,25250,0
BAS.US,5,20131112,160500,16.3500,16.3700,16.2400,16.2500,12602,0
BAS.US,5,20131112,161000,16.2300,16.2700,16.2200,16.2700,3000,0
BAS.US,5,20131112,161500,16.2700,16.2700,16.2000,16.2200,9238,0
BAS.US,5,20131112,162000,16.2000,16.3200,16.2000,16.3200,9650,0
BAS.US,5,20131112,162500,16.3300,16.3500,16.2700,16.2700,31750,0
BAS.US,5,20131112,163000,16.2800,16.3300,16.2600,16.3300,4100,0
BAS.US,5,20131112,163500,16.3300,16.3300,16.2300,16.2400,6293,0
BAS.US,5,20131112,164000,16.2300,16.2300,16.2000,16.2000,5000,0
BAS.US,5,20131112,164500,16.2300,16.2300,16.1900,16.1900,9600,0
BAS.US,5,20131112,165000,16.2000,16.2200,16.1200,16.1400,20596,0
BAS.US,5,20131112,165500,16.1700,16.2300,16.1400,16.1700,11336,0
BAS.US,5,20131112,170000,16.1800,16.2100,16.1200,16.1300,15268,0
BAS.US,5,20131112,170500,16.1200,16.1500,16.1000,16.1000,4800,0
BAS.US,5,20131112,171000,16.1000,16.1400,16.1000,16.1100,4749,0
BAS.US,5,20131112,171500,16.1200,16.2300,16.1200,16.2100,3990,0
BAS.US,5,20131112,172000,16.2100,16.2200,16.1800,16.2200,2640,0
BAS.US,5,20131112,172500,16.2500,16.3100,16.2500,16.2900,2100,0
BAS.US,5,20131112,173000,16.3100,16.3500,16.3100,16.3300,3652,0
BAS.US,5,20131112,173500,16.3200,16.3300,16.3100,16.3300,2000,0
BAS.US,5,20131112,174000,16.3400,16.3400,16.2700,16.2700,3900,0
BAS.US,5,20131112,174500,16.2700,16.2900,16.2300,16.2900,12500,0
BAS.US,5,20131112,175000,16.2900,16.2900,16.2400,16.2900,16086,0
BAS.US,5,20131112,175500,16.3000,16.3000,16.2700,16.2800,900,0
BAS.US,5,20131112,180000,16.2900,16.3300,16.2900,16.3300,2726,0
BAS.US,5,20131112,180500,16.3400,16.3500,16.3200,16.3300,2400,0
