<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBF.US,5,20131112,153500,12.4400,12.4400,12.3700,12.3700,2422,0
BBF.US,5,20131112,162000,12.4300,12.4300,12.4300,12.4300,200,0
BBF.US,5,20131112,174000,12.3900,12.3900,12.3900,12.3900,100,0
BBF.US,5,20131112,181500,12.3600,12.3600,12.3500,12.3500,1028,0
BBF.US,5,20131112,184500,12.3700,12.3700,12.3600,12.3600,1000,0
BBF.US,5,20131112,190000,12.3400,12.3400,12.3400,12.3400,200,0
BBF.US,5,20131112,191000,12.3700,12.3700,12.3700,12.3700,500,0
BBF.US,5,20131112,193000,12.3400,12.3400,12.3100,12.3100,2900,0
BBF.US,5,20131112,193500,12.3100,12.3100,12.3000,12.3100,1400,0
BBF.US,5,20131112,194000,12.3100,12.3100,12.2900,12.2900,600,0
BBF.US,5,20131112,201500,12.2800,12.2800,12.2800,12.2800,100,0
BBF.US,5,20131112,204500,12.2800,12.2800,12.2800,12.2800,100,0
BBF.US,5,20131112,205000,12.2900,12.2900,12.2900,12.2900,375,0
BBF.US,5,20131112,215500,12.3000,12.3000,12.3000,12.3000,100,0
BBF.US,5,20131112,220000,12.3000,12.3000,12.3000,12.3000,100,0
BBF.US,5,20131113,154500,12.2100,12.2700,12.2000,12.2000,6574,0
BBF.US,5,20131113,155000,12.2100,12.2100,12.2100,12.2100,170,0
BBF.US,5,20131113,161000,12.2500,12.2500,12.2500,12.2500,100,0
BBF.US,5,20131113,161500,12.2600,12.2600,12.2600,12.2600,6000,0
BBF.US,5,20131113,162000,12.2600,12.3400,12.2600,12.3200,5300,0
BBF.US,5,20131113,165000,12.2500,12.2500,12.2500,12.2500,100,0
BBF.US,5,20131113,171000,12.3000,12.3000,12.3000,12.3000,100,0
BBF.US,5,20131113,173000,12.2500,12.2500,12.2500,12.2500,100,0
BBF.US,5,20131113,173500,12.2900,12.2900,12.2900,12.2900,1000,0
BBF.US,5,20131113,174000,12.2700,12.2700,12.2700,12.2700,100,0
BBF.US,5,20131113,180500,12.2700,12.2700,12.2700,12.2700,100,0
BBF.US,5,20131113,183000,12.2800,12.2800,12.2800,12.2800,100,0
BBF.US,5,20131113,191500,12.2500,12.2500,12.2500,12.2500,100,0
BBF.US,5,20131113,195000,12.2500,12.2500,12.2500,12.2500,100,0
BBF.US,5,20131113,201000,12.2700,12.2700,12.2700,12.2700,100,0
BBF.US,5,20131113,201500,12.2700,12.2700,12.2700,12.2700,100,0
BBF.US,5,20131113,203000,12.2500,12.2700,12.2000,12.2400,5645,0
BBF.US,5,20131113,203500,12.2300,12.2300,12.2200,12.2200,1088,0
BBF.US,5,20131113,205000,12.2800,12.2800,12.2800,12.2800,500,0
BBF.US,5,20131113,210000,12.2300,12.2300,12.2300,12.2300,200,0
BBF.US,5,20131113,213500,12.2300,12.2300,12.2300,12.2300,200,0
BBF.US,5,20131113,214000,12.2300,12.2300,12.2300,12.2300,400,0
BBF.US,5,20131113,214500,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131113,215500,12.2400,12.2400,12.2400,12.2400,237,0
BBF.US,5,20131113,220000,12.2400,12.2400,12.2400,12.2400,200,0
BBF.US,5,20131114,164500,12.2800,12.2800,12.2800,12.2800,100,0
BBF.US,5,20131114,171000,12.2800,12.2800,12.2800,12.2800,2800,0
BBF.US,5,20131114,174500,12.2500,12.2500,12.2400,12.2400,739,0
BBF.US,5,20131114,180500,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131114,182500,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131114,185000,12.2400,12.2400,12.2400,12.2400,300,0
BBF.US,5,20131114,190000,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131114,193000,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131114,193500,12.2400,12.2400,12.2400,12.2400,200,0
BBF.US,5,20131114,195000,12.2700,12.2700,12.2700,12.2700,1058,0
BBF.US,5,20131114,203500,12.2200,12.2200,12.2200,12.2200,100,0
BBF.US,5,20131114,210000,12.2200,12.2200,12.2200,12.2200,100,0
BBF.US,5,20131114,211500,12.2200,12.2300,12.2200,12.2200,400,0
BBF.US,5,20131114,212000,12.2200,12.2200,12.2200,12.2200,200,0
BBF.US,5,20131114,212500,12.2200,12.2200,12.2200,12.2200,200,0
BBF.US,5,20131114,213000,12.2000,12.2100,12.2000,12.2000,800,0
BBF.US,5,20131114,213500,12.2000,12.2000,12.2000,12.2000,400,0
BBF.US,5,20131114,214000,12.2000,12.2000,12.2000,12.2000,308,0
BBF.US,5,20131114,215500,12.2000,12.2000,12.2000,12.2000,271,0
BBF.US,5,20131114,220000,12.2400,12.2400,12.2400,12.2400,100,0
BBF.US,5,20131115,155500,12.1900,12.2100,12.1900,12.1900,700,0
BBF.US,5,20131115,160000,12.2300,12.2400,12.2100,12.2100,700,0
BBF.US,5,20131115,160500,12.2100,12.2100,12.2100,12.2100,100,0
BBF.US,5,20131115,161500,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,162000,12.2300,12.2300,12.2000,12.2000,200,0
BBF.US,5,20131115,162500,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,164000,12.2000,12.2000,12.2000,12.2000,200,0
BBF.US,5,20131115,164500,12.2000,12.2000,12.2000,12.2000,300,0
BBF.US,5,20131115,165000,12.1800,12.1800,12.1800,12.1800,500,0
BBF.US,5,20131115,165500,12.1800,12.2300,12.1800,12.1800,900,0
BBF.US,5,20131115,170000,12.1800,12.1900,12.1800,12.1900,354,0
BBF.US,5,20131115,173000,12.1900,12.1900,12.1900,12.1900,100,0
BBF.US,5,20131115,174000,12.1900,12.1900,12.1900,12.1900,100,0
BBF.US,5,20131115,175000,12.1900,12.1900,12.1900,12.1900,100,0
BBF.US,5,20131115,180000,12.1900,12.2000,12.1900,12.2000,1100,0
BBF.US,5,20131115,181500,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,183000,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,184500,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,190000,12.2000,12.2000,12.2000,12.2000,100,0
BBF.US,5,20131115,191500,12.2000,12.2000,12.2000,12.2000,100,0
