<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBK.US,5,20131112,155000,13.6300,13.6300,13.5700,13.6000,3008,0
BBK.US,5,20131112,155500,13.6000,13.6000,13.6000,13.6000,1237,0
BBK.US,5,20131112,161000,13.6300,13.6300,13.6300,13.6300,100,0
BBK.US,5,20131112,161500,13.6000,13.6000,13.6000,13.6000,200,0
BBK.US,5,20131112,163000,13.6400,13.6400,13.6000,13.6000,700,0
BBK.US,5,20131112,172500,13.6400,13.6600,13.6300,13.6600,1100,0
BBK.US,5,20131112,173500,13.6500,13.6500,13.6500,13.6500,146,0
BBK.US,5,20131112,174000,13.6200,13.6200,13.6200,13.6200,1400,0
BBK.US,5,20131112,184000,13.6000,13.6000,13.5800,13.5800,2200,0
BBK.US,5,20131112,195000,13.5500,13.5500,13.5500,13.5500,2095,0
BBK.US,5,20131112,195500,13.5400,13.5400,13.5400,13.5400,1109,0
BBK.US,5,20131112,200500,13.5400,13.5400,13.5400,13.5400,300,0
BBK.US,5,20131112,201000,13.5100,13.5300,13.5100,13.5300,1564,0
BBK.US,5,20131112,201500,13.5100,13.5100,13.5100,13.5100,718,0
BBK.US,5,20131112,203000,13.5100,13.5100,13.5100,13.5100,980,0
BBK.US,5,20131112,205000,13.5200,13.5200,13.5200,13.5200,400,0
BBK.US,5,20131112,211000,13.5200,13.5200,13.5200,13.5200,400,0
BBK.US,5,20131112,214500,13.5200,13.5200,13.5000,13.5000,1406,0
BBK.US,5,20131112,220000,13.5400,13.5400,13.5400,13.5400,200,0
BBK.US,5,20131112,220500,13.5600,13.5600,13.5600,13.5600,745,0
BBK.US,5,20131113,153500,13.4700,13.4700,13.4700,13.4700,300,0
BBK.US,5,20131113,161000,13.4900,13.4900,13.4700,13.4700,500,0
BBK.US,5,20131113,162000,13.4700,13.4700,13.4700,13.4700,1122,0
BBK.US,5,20131113,163000,13.4800,13.4800,13.4800,13.4800,100,0
BBK.US,5,20131113,163500,13.4700,13.4700,13.4700,13.4700,720,0
BBK.US,5,20131113,165000,13.4700,13.4700,13.4700,13.4700,100,0
BBK.US,5,20131113,170000,13.4700,13.4700,13.4700,13.4700,1000,0
BBK.US,5,20131113,172000,13.4500,13.4500,13.4500,13.4500,475,0
BBK.US,5,20131113,173500,13.4700,13.4700,13.4600,13.4600,1160,0
BBK.US,5,20131113,175500,13.4700,13.4800,13.4700,13.4700,1438,0
BBK.US,5,20131113,180000,13.4700,13.4900,13.4700,13.4700,3676,0
BBK.US,5,20131113,185000,13.4700,13.4700,13.4700,13.4700,100,0
BBK.US,5,20131113,185500,13.4700,13.4700,13.4700,13.4700,100,0
BBK.US,5,20131113,191000,13.4900,13.4900,13.4900,13.4900,150,0
BBK.US,5,20131113,193000,13.4700,13.4900,13.4600,13.4600,2300,0
BBK.US,5,20131113,195000,13.4600,13.4600,13.4600,13.4600,500,0
BBK.US,5,20131113,201500,13.4700,13.4700,13.4400,13.4400,7413,0
BBK.US,5,20131113,202000,13.4300,13.4300,13.4300,13.4300,2500,0
BBK.US,5,20131113,203000,13.4500,13.4500,13.4500,13.4500,500,0
BBK.US,5,20131113,203500,13.4400,13.4400,13.4200,13.4200,6164,0
BBK.US,5,20131113,204000,13.4100,13.4100,13.4100,13.4100,300,0
BBK.US,5,20131113,204500,13.4100,13.4100,13.4100,13.4100,649,0
BBK.US,5,20131113,205000,13.4000,13.4000,13.4000,13.4000,3800,0
BBK.US,5,20131113,210000,13.3800,13.3800,13.3800,13.3800,300,0
BBK.US,5,20131113,211000,13.3800,13.3800,13.3800,13.3800,200,0
BBK.US,5,20131113,211500,13.4000,13.4000,13.3800,13.3800,900,0
BBK.US,5,20131113,212000,13.3800,13.3900,13.3800,13.3900,300,0
BBK.US,5,20131113,213500,13.3800,13.3800,13.3800,13.3800,600,0
BBK.US,5,20131113,214000,13.3800,13.3800,13.3800,13.3800,100,0
BBK.US,5,20131113,214500,13.3800,13.3900,13.3800,13.3900,2149,0
BBK.US,5,20131113,215000,13.4000,13.4000,13.4000,13.4000,200,0
BBK.US,5,20131113,215500,13.4000,13.4000,13.4000,13.4000,300,0
BBK.US,5,20131114,153500,13.5000,13.5000,13.4600,13.4600,1067,0
BBK.US,5,20131114,154000,13.4600,13.4600,13.4400,13.4500,11633,0
BBK.US,5,20131114,154500,13.4500,13.4500,13.4500,13.4500,517,0
BBK.US,5,20131114,160000,13.4600,13.4600,13.4600,13.4600,100,0
BBK.US,5,20131114,160500,13.4600,13.4600,13.4600,13.4600,200,0
BBK.US,5,20131114,162000,13.4600,13.4600,13.4600,13.4600,100,0
BBK.US,5,20131114,163000,13.4600,13.4600,13.4600,13.4600,100,0
BBK.US,5,20131114,164000,13.4700,13.4700,13.4700,13.4700,400,0
BBK.US,5,20131114,173000,13.5000,13.5000,13.5000,13.5000,250,0
BBK.US,5,20131114,175500,13.5000,13.5000,13.5000,13.5000,2100,0
BBK.US,5,20131114,182500,13.4800,13.4800,13.4700,13.4700,1700,0
BBK.US,5,20131114,193000,13.4200,13.4200,13.4000,13.4000,1900,0
BBK.US,5,20131114,193500,13.4000,13.4000,13.3900,13.3900,800,0
