<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBL.US,5,20131112,153500,61.8700,61.9000,61.8000,61.8700,5150,0
BBL.US,5,20131112,154000,61.8900,61.8900,61.8300,61.8300,500,0
BBL.US,5,20131112,154500,61.8000,61.9200,61.8000,61.9200,4470,0
BBL.US,5,20131112,155000,61.9800,62.1100,61.9800,62.1100,10787,0
BBL.US,5,20131112,155500,62.1200,62.1200,62.0200,62.0700,5846,0
BBL.US,5,20131112,160000,62.0600,62.1200,62.0600,62.1200,430,0
BBL.US,5,20131112,160500,62.2000,62.2000,62.0800,62.1000,8313,0
BBL.US,5,20131112,161000,62.1200,62.1300,62.1100,62.1200,400,0
BBL.US,5,20131112,161500,62.1300,62.1600,62.0800,62.1000,4045,0
BBL.US,5,20131112,162000,62.0100,62.1600,62.0100,62.1400,2589,0
BBL.US,5,20131112,162500,62.0800,62.0800,62.0500,62.0700,1300,0
BBL.US,5,20131112,163000,62.0400,62.0500,62.0300,62.0500,323,0
BBL.US,5,20131112,163500,62.0000,62.0000,61.9400,61.9500,1722,0
BBL.US,5,20131112,164000,61.9600,62.0200,61.9600,62.0000,4815,0
BBL.US,5,20131112,164500,61.9800,62.0100,61.9600,61.9700,7703,0
BBL.US,5,20131112,165000,61.9700,62.0100,61.9600,61.9700,6737,0
BBL.US,5,20131112,165500,61.9800,61.9800,61.9500,61.9700,5316,0
BBL.US,5,20131112,170000,61.8600,61.8600,61.8400,61.8400,600,0
BBL.US,5,20131112,170500,61.8700,61.8900,61.8100,61.8700,7160,0
BBL.US,5,20131112,171000,61.8800,61.8800,61.7700,61.7700,725,0
BBL.US,5,20131112,171500,61.8100,61.8600,61.7800,61.8000,3003,0
BBL.US,5,20131112,172000,61.8000,61.8300,61.7900,61.7900,1409,0
BBL.US,5,20131112,172500,61.7800,61.8000,61.7400,61.7900,11712,0
BBL.US,5,20131112,173000,61.7800,61.7800,61.7300,61.7600,5200,0
BBL.US,5,20131112,173500,61.7900,61.8300,61.7400,61.8300,9633,0
BBL.US,5,20131112,174000,61.8000,61.8100,61.6700,61.6800,6929,0
BBL.US,5,20131112,174500,61.6500,61.6500,61.6400,61.6400,400,0
BBL.US,5,20131112,175500,61.6100,61.6100,61.5600,61.5900,1500,0
BBL.US,5,20131112,180000,61.5700,61.5700,61.5400,61.5400,711,0
BBL.US,5,20131112,180500,61.5300,61.5800,61.5200,61.5600,3999,0
BBL.US,5,20131112,181000,61.5500,61.5600,61.5000,61.5600,1799,0
BBL.US,5,20131112,181500,61.5700,61.6600,61.5700,61.6500,3158,0
BBL.US,5,20131112,182000,61.6400,61.6400,61.6400,61.6400,200,0
BBL.US,5,20131112,182500,61.6300,61.6300,61.6200,61.6300,400,0
BBL.US,5,20131112,183000,61.6200,61.6200,61.6200,61.6200,100,0
BBL.US,5,20131112,183500,61.5900,61.5900,61.5700,61.5900,1150,0
BBL.US,5,20131112,184000,61.6000,61.6100,61.6000,61.6100,350,0
BBL.US,5,20131112,184500,61.5900,61.5900,61.5500,61.5800,1829,0
BBL.US,5,20131112,185000,61.5700,61.5800,61.5700,61.5800,1065,0
BBL.US,5,20131112,190000,61.6000,61.6100,61.6000,61.6100,503,0
BBL.US,5,20131112,190500,61.5900,61.5900,61.5400,61.5400,2000,0
BBL.US,5,20131112,191000,61.5400,61.5500,61.5400,61.5500,200,0
BBL.US,5,20131112,191500,61.5900,61.5900,61.5900,61.5900,300,0
BBL.US,5,20131112,192000,61.5800,61.5800,61.5700,61.5800,1506,0
BBL.US,5,20131112,192500,61.6000,61.6000,61.5700,61.5700,875,0
BBL.US,5,20131112,193000,61.5600,61.5700,61.5300,61.5300,621,0
BBL.US,5,20131112,193500,61.5100,61.5200,61.5000,61.5200,1815,0
BBL.US,5,20131112,194000,61.5300,61.5300,61.5000,61.5200,1600,0
BBL.US,5,20131112,194500,61.5100,61.5200,61.5000,61.5100,3568,0
BBL.US,5,20131112,195000,61.5000,61.5200,61.5000,61.5200,322,0
BBL.US,5,20131112,195500,61.5200,61.5600,61.5200,61.5600,1587,0
BBL.US,5,20131112,200000,61.5400,61.5400,61.5100,61.5200,1335,0
BBL.US,5,20131112,200500,61.5500,61.5500,61.5200,61.5200,1247,0
BBL.US,5,20131112,201000,61.5200,61.5400,61.5200,61.5200,1596,0
BBL.US,5,20131112,201500,61.5200,61.5300,61.5000,61.5100,5261,0
BBL.US,5,20131112,202000,61.5100,61.5100,61.4800,61.5100,1400,0
BBL.US,5,20131112,202500,61.4800,61.4800,61.4500,61.4600,1454,0
BBL.US,5,20131112,203000,61.4700,61.4700,61.4300,61.4300,1641,0
BBL.US,5,20131112,203500,61.4200,61.4600,61.4200,61.4600,2303,0
BBL.US,5,20131112,204000,61.4600,61.4600,61.4500,61.4500,1500,0
BBL.US,5,20131112,204500,61.4800,61.4800,61.4600,61.4700,800,0
BBL.US,5,20131112,205000,61.4800,61.5100,61.4800,61.5000,1423,0
BBL.US,5,20131112,205500,61.5200,61.5500,61.5000,61.5500,702,0
BBL.US,5,20131112,210000,61.5600,61.6500,61.5600,61.6500,2160,0
BBL.US,5,20131112,210500,61.6500,61.7300,61.6500,61.7100,6112,0
BBL.US,5,20131112,211000,61.7300,61.7700,61.7200,61.7300,3143,0
BBL.US,5,20131112,211500,61.7500,61.7700,61.7500,61.7500,700,0
BBL.US,5,20131112,212000,61.7500,61.7700,61.7500,61.7700,842,0
BBL.US,5,20131112,212500,61.7800,61.8000,61.6900,61.6900,2051,0
BBL.US,5,20131112,213000,61.7200,61.7200,61.6800,61.6900,905,0
BBL.US,5,20131112,213500,61.6800,61.7200,61.6800,61.7200,1835,0
BBL.US,5,20131112,214000,61.7400,61.7500,61.7100,61.7400,1700,0
BBL.US,5,20131112,214500,61.7300,61.8500,61.7300,61.8500,1848,0
BBL.US,5,20131112,215000,61.8500,61.8500,61.7400,61.7900,5924,0
BBL.US,5,20131112,215500,61.7900,61.7900,61.7300,61.7300,5329,0
BBL.US,5,20131112,220000,61.7100,61.7700,61.7100,61.7700,5649,0
BBL.US,5,20131112,221000,61.7600,61.7600,61.7600,61.7600,2099,0
BBL.US,5,20131113,153500,60.4500,60.6800,60.4400,60.6600,18016,0
BBL.US,5,20131113,154000,60.6300,60.8200,60.6300,60.7700,14365,0
