<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCF.US,5,20131112,153500,8.8400,8.8900,8.8400,8.8800,12217,0
BCF.US,5,20131112,154000,8.8800,8.9100,8.8800,8.9000,8174,0
BCF.US,5,20131112,154500,8.9000,8.9100,8.8900,8.9100,6083,0
BCF.US,5,20131112,155000,8.9000,8.9400,8.9000,8.9300,5191,0
BCF.US,5,20131112,155500,8.9300,8.9300,8.9100,8.9100,600,0
BCF.US,5,20131112,160500,8.9200,8.9200,8.9200,8.9200,2050,0
BCF.US,5,20131112,161000,8.9200,8.9200,8.9200,8.9200,700,0
BCF.US,5,20131112,161500,8.9100,8.9100,8.9100,8.9100,100,0
BCF.US,5,20131112,162000,8.9200,8.9200,8.9100,8.9100,3040,0
BCF.US,5,20131112,162500,8.9200,8.9200,8.9200,8.9200,2946,0
BCF.US,5,20131112,163000,8.9100,8.9100,8.9100,8.9100,11400,0
BCF.US,5,20131112,164000,8.9100,8.9100,8.9100,8.9100,512,0
BCF.US,5,20131112,164500,8.9200,8.9200,8.9200,8.9200,2088,0
BCF.US,5,20131112,165500,8.9300,8.9300,8.9100,8.9100,2002,0
BCF.US,5,20131112,170000,8.9100,8.9100,8.9000,8.9000,12600,0
BCF.US,5,20131112,170500,8.9000,8.9100,8.8900,8.8900,2235,0
BCF.US,5,20131112,172000,8.8900,8.9000,8.8900,8.9000,1300,0
BCF.US,5,20131112,173000,8.9000,8.9100,8.9000,8.9100,8400,0
BCF.US,5,20131112,173500,8.9000,8.9000,8.9000,8.9000,3568,0
BCF.US,5,20131112,174000,8.9100,8.9100,8.9000,8.9000,700,0
BCF.US,5,20131112,175000,8.9000,8.9000,8.8900,8.8900,3400,0
BCF.US,5,20131112,175500,8.8900,8.8900,8.8900,8.8900,100,0
BCF.US,5,20131112,180000,8.8900,8.8900,8.8900,8.8900,1700,0
BCF.US,5,20131112,180500,8.8900,8.8900,8.8900,8.8900,900,0
BCF.US,5,20131112,181000,8.8900,8.8900,8.8900,8.8900,400,0
BCF.US,5,20131112,181500,8.8800,8.8800,8.8800,8.8800,200,0
BCF.US,5,20131112,182000,8.8800,8.8900,8.8800,8.8900,1100,0
BCF.US,5,20131112,183500,8.8900,8.8900,8.8900,8.8900,830,0
BCF.US,5,20131112,184000,8.8900,8.8900,8.8900,8.8900,500,0
BCF.US,5,20131112,184500,8.8900,8.9100,8.8900,8.9100,12900,0
BCF.US,5,20131112,185500,8.9200,8.9200,8.9200,8.9200,4300,0
BCF.US,5,20131112,190500,8.9000,8.9200,8.9000,8.9200,1700,0
BCF.US,5,20131112,191500,8.9100,8.9200,8.9100,8.9200,3500,0
BCF.US,5,20131112,192500,8.9100,8.9100,8.9100,8.9100,698,0
BCF.US,5,20131112,193000,8.9200,8.9200,8.9100,8.9100,1317,0
BCF.US,5,20131112,194000,8.9100,8.9100,8.8800,8.8800,1920,0
BCF.US,5,20131112,195000,8.8800,8.8800,8.8800,8.8800,6994,0
BCF.US,5,20131112,195500,8.8800,8.8800,8.8700,8.8700,2400,0
BCF.US,5,20131112,200000,8.8700,8.8700,8.8700,8.8700,900,0
BCF.US,5,20131112,200500,8.8700,8.8800,8.8700,8.8800,4000,0
BCF.US,5,20131112,201000,8.8700,8.8700,8.8700,8.8700,3083,0
BCF.US,5,20131112,201500,8.8700,8.8700,8.8700,8.8700,250,0
BCF.US,5,20131112,202500,8.8800,8.8800,8.8700,8.8700,4200,0
BCF.US,5,20131112,203000,8.8800,8.8800,8.8800,8.8800,2200,0
BCF.US,5,20131112,203500,8.8800,8.8800,8.8800,8.8800,600,0
BCF.US,5,20131112,204000,8.8700,8.8800,8.8700,8.8800,800,0
BCF.US,5,20131112,204500,8.8800,8.8800,8.8700,8.8700,5700,0
BCF.US,5,20131112,205000,8.8700,8.8700,8.8700,8.8700,400,0
BCF.US,5,20131112,205500,8.8800,8.8800,8.8800,8.8800,100,0
BCF.US,5,20131112,210000,8.8800,8.8800,8.8700,8.8800,1000,0
BCF.US,5,20131112,211500,8.8800,8.8900,8.8800,8.8800,3203,0
BCF.US,5,20131112,212000,8.8800,8.8800,8.8800,8.8800,550,0
BCF.US,5,20131112,212500,8.8900,8.8900,8.8800,8.8800,1950,0
BCF.US,5,20131112,213000,8.8900,8.8900,8.8900,8.8900,8800,0
BCF.US,5,20131112,213500,8.8900,8.8900,8.8900,8.8900,100,0
BCF.US,5,20131112,214500,8.8700,8.8800,8.8700,8.8700,6200,0
BCF.US,5,20131112,215000,8.8800,8.8800,8.8800,8.8800,4470,0
BCF.US,5,20131112,215500,8.8700,8.8800,8.8700,8.8800,3300,0
BCF.US,5,20131112,220000,8.8800,8.8800,8.8700,8.8800,8421,0
BCF.US,5,20131112,221000,8.8700,8.8700,8.8700,8.8700,2400,0
BCF.US,5,20131113,153500,8.8500,8.8500,8.8200,8.8300,6324,0
BCF.US,5,20131113,154000,8.8200,8.8300,8.8200,8.8300,5900,0
BCF.US,5,20131113,154500,8.8300,8.8300,8.8200,8.8200,1595,0
BCF.US,5,20131113,155000,8.8200,8.8300,8.8200,8.8300,2350,0
BCF.US,5,20131113,155500,8.8300,8.8300,8.8300,8.8300,850,0
BCF.US,5,20131113,160000,8.8300,8.8300,8.8200,8.8300,7207,0
BCF.US,5,20131113,160500,8.8300,8.8300,8.8300,8.8300,400,0
BCF.US,5,20131113,161000,8.8300,8.8300,8.8300,8.8300,502,0
