<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCO.US,5,20131112,153500,31.4400,31.4400,31.4100,31.4100,400,0
BCO.US,5,20131112,154000,31.4000,31.4300,31.4000,31.4100,1400,0
BCO.US,5,20131112,154500,31.3600,31.3600,31.3600,31.3600,200,0
BCO.US,5,20131112,155000,31.3600,31.3700,31.3300,31.3300,400,0
BCO.US,5,20131112,155500,31.3300,31.3500,31.3300,31.3400,600,0
BCO.US,5,20131112,160000,31.3600,31.4000,31.3500,31.3600,1764,0
BCO.US,5,20131112,160500,31.3500,31.3500,31.2800,31.3200,1400,0
BCO.US,5,20131112,161000,31.3400,31.3500,31.2900,31.3000,1224,0
BCO.US,5,20131112,161500,31.3000,31.3400,31.3000,31.3200,400,0
BCO.US,5,20131112,162000,31.3200,31.3900,31.3200,31.3900,700,0
BCO.US,5,20131112,162500,31.3800,31.3900,31.3500,31.3500,1000,0
BCO.US,5,20131112,163000,31.3000,31.3700,31.3000,31.3600,4398,0
BCO.US,5,20131112,163500,31.4300,31.4300,31.3700,31.3700,600,0
BCO.US,5,20131112,164000,31.3800,31.3800,31.3000,31.3000,800,0
BCO.US,5,20131112,164500,31.3000,31.3900,31.3000,31.3700,823,0
BCO.US,5,20131112,165000,31.3700,31.4200,31.3700,31.4200,300,0
BCO.US,5,20131112,165500,31.4500,31.4700,31.4400,31.4700,1300,0
BCO.US,5,20131112,170000,31.4500,31.4500,31.4100,31.4400,1000,0
BCO.US,5,20131112,170500,31.4400,31.4500,31.4400,31.4500,900,0
BCO.US,5,20131112,171000,31.4800,31.4800,31.4100,31.4200,1200,0
BCO.US,5,20131112,171500,31.4200,31.5400,31.4200,31.5400,900,0
BCO.US,5,20131112,172000,31.5400,31.6500,31.5400,31.6200,3945,0
BCO.US,5,20131112,172500,31.6300,31.6300,31.5700,31.5700,300,0
BCO.US,5,20131112,173000,31.5900,31.6300,31.5900,31.6300,1100,0
BCO.US,5,20131112,173500,31.6200,31.6300,31.6100,31.6200,1000,0
BCO.US,5,20131112,174000,31.6200,31.6200,31.5800,31.5900,500,0
BCO.US,5,20131112,174500,31.6000,31.6000,31.5300,31.5300,500,0
BCO.US,5,20131112,175000,31.5400,31.5400,31.5000,31.5300,1100,0
BCO.US,5,20131112,175500,31.5500,31.5500,31.5500,31.5500,200,0
BCO.US,5,20131112,180000,31.5900,31.5900,31.5600,31.5700,600,0
BCO.US,5,20131112,180500,31.6000,31.6600,31.5900,31.6200,10542,0
BCO.US,5,20131112,181000,31.6200,31.6200,31.5000,31.5000,6800,0
BCO.US,5,20131112,181500,31.4700,31.4700,31.4500,31.4500,700,0
BCO.US,5,20131112,182000,31.4300,31.4600,31.4300,31.4400,600,0
BCO.US,5,20131112,182500,31.4500,31.4500,31.3800,31.3800,1275,0
BCO.US,5,20131112,183000,31.3900,31.4000,31.3900,31.4000,700,0
BCO.US,5,20131112,183500,31.3900,31.4100,31.3800,31.3800,700,0
BCO.US,5,20131112,184000,31.4100,31.4100,31.4000,31.4000,1100,0
BCO.US,5,20131112,184500,31.4900,31.4900,31.4900,31.4900,300,0
BCO.US,5,20131112,185000,31.4900,31.4900,31.4800,31.4800,917,0
BCO.US,5,20131112,185500,31.4100,31.4200,31.4100,31.4200,200,0
BCO.US,5,20131112,190000,31.4700,31.4700,31.4700,31.4700,100,0
BCO.US,5,20131112,190500,31.4500,31.4500,31.4300,31.4300,800,0
BCO.US,5,20131112,192000,31.4500,31.5300,31.4300,31.5100,4234,0
BCO.US,5,20131112,192500,31.5300,31.5300,31.5000,31.5000,200,0
BCO.US,5,20131112,193000,31.5200,31.5200,31.5000,31.5000,2400,0
BCO.US,5,20131112,193500,31.5000,31.5000,31.4700,31.4700,900,0
BCO.US,5,20131112,194000,31.4600,31.4600,31.4600,31.4600,200,0
BCO.US,5,20131112,194500,31.4500,31.4500,31.4300,31.4500,700,0
BCO.US,5,20131112,195000,31.4600,31.4600,31.4600,31.4600,600,0
BCO.US,5,20131112,195500,31.4700,31.4700,31.4700,31.4700,100,0
BCO.US,5,20131112,200000,31.4800,31.5000,31.4700,31.5000,2757,0
BCO.US,5,20131112,201000,31.5200,31.5200,31.5000,31.5200,1000,0
BCO.US,5,20131112,201500,31.5400,31.5400,31.5400,31.5400,531,0
BCO.US,5,20131112,202000,31.5900,31.5900,31.5800,31.5800,200,0
BCO.US,5,20131112,202500,31.5800,31.6400,31.5800,31.6400,700,0
BCO.US,5,20131112,203000,31.6400,31.6400,31.6400,31.6400,100,0
BCO.US,5,20131112,203500,31.6300,31.6300,31.6000,31.6000,200,0
BCO.US,5,20131112,204000,31.6000,31.6300,31.6000,31.6200,900,0
BCO.US,5,20131112,204500,31.6100,31.6300,31.6100,31.6100,800,0
BCO.US,5,20131112,205000,31.6300,31.6300,31.6100,31.6100,300,0
BCO.US,5,20131112,205500,31.6200,31.6400,31.6100,31.6400,1100,0
BCO.US,5,20131112,210000,31.6100,31.7300,31.6100,31.6900,2324,0
BCO.US,5,20131112,210500,31.7000,31.7300,31.6800,31.7300,600,0
BCO.US,5,20131112,211000,31.7400,31.7800,31.6900,31.6900,3200,0
BCO.US,5,20131112,211500,31.6800,31.7400,31.6800,31.7400,900,0
BCO.US,5,20131112,212000,31.7500,31.7500,31.7300,31.7300,1100,0
BCO.US,5,20131112,212500,31.7800,31.7800,31.7100,31.7400,2963,0
BCO.US,5,20131112,213000,31.7300,31.7700,31.7300,31.7600,4190,0
BCO.US,5,20131112,213500,31.7600,31.8100,31.7600,31.8000,5101,0
BCO.US,5,20131112,214000,31.8000,31.8100,31.7900,31.8000,2742,0
BCO.US,5,20131112,214500,31.8000,31.8300,31.8000,31.8200,4400,0
BCO.US,5,20131112,215000,31.8100,31.8100,31.7700,31.7800,7809,0
BCO.US,5,20131112,215500,31.7500,31.8000,31.7500,31.7800,8512,0
BCO.US,5,20131112,220000,31.7900,31.8100,31.7300,31.7900,32809,0
BCO.US,5,20131112,220500,31.7900,31.7900,31.7900,31.7900,13166,0
