<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDC.US,5,20131112,153500,65.6600,65.6600,65.6600,65.6600,200,0
BDC.US,5,20131112,154000,65.9500,66.0000,65.9500,66.0000,300,0
BDC.US,5,20131112,154500,66.0300,66.0500,65.9700,66.0500,882,0
BDC.US,5,20131112,155000,66.1300,66.3200,66.1300,66.2900,1500,0
BDC.US,5,20131112,155500,66.2900,66.4100,66.2100,66.4100,7576,0
BDC.US,5,20131112,160000,66.3800,66.4000,66.3200,66.3600,3200,0
BDC.US,5,20131112,160500,66.3600,66.3600,66.2000,66.2500,1200,0
BDC.US,5,20131112,161000,66.2500,66.2600,66.2400,66.2600,1151,0
BDC.US,5,20131112,161500,66.2700,66.3500,66.2300,66.3300,1500,0
BDC.US,5,20131112,162000,66.3400,66.4400,66.3400,66.4000,1300,0
BDC.US,5,20131112,162500,66.3900,66.3900,66.3300,66.3300,300,0
BDC.US,5,20131112,163000,66.3300,66.3300,66.2800,66.3300,1600,0
BDC.US,5,20131112,163500,66.3300,66.3800,66.3300,66.3800,200,0
BDC.US,5,20131112,164000,66.3700,66.4400,66.3000,66.3700,4727,0
BDC.US,5,20131112,164500,66.3300,66.4100,66.2900,66.2900,360,0
BDC.US,5,20131112,165000,66.2600,66.3500,66.2300,66.2300,1540,0
BDC.US,5,20131112,165500,66.3100,66.3100,66.2000,66.2000,600,0
BDC.US,5,20131112,170000,66.2100,66.2100,66.0000,66.0000,900,0
BDC.US,5,20131112,170500,66.0800,66.1100,66.0400,66.0400,2220,0
BDC.US,5,20131112,171000,66.1000,66.1200,66.0500,66.1100,1617,0
BDC.US,5,20131112,171500,66.2000,66.2300,66.2000,66.2200,300,0
BDC.US,5,20131112,172000,66.2400,66.2500,66.2400,66.2500,300,0
BDC.US,5,20131112,172500,66.2600,66.3400,66.2600,66.2800,1000,0
BDC.US,5,20131112,173000,66.2400,66.2800,66.2300,66.2800,2187,0
BDC.US,5,20131112,173500,66.2700,66.3100,66.2700,66.2800,700,0
BDC.US,5,20131112,174000,66.2200,66.2600,66.1900,66.1900,700,0
BDC.US,5,20131112,174500,66.1400,66.2100,66.0700,66.1400,5700,0
BDC.US,5,20131112,175000,66.1500,66.2500,66.1200,66.2500,5375,0
BDC.US,5,20131112,175500,66.2300,66.2500,66.2300,66.2500,200,0
BDC.US,5,20131112,180000,66.2900,66.3000,66.2500,66.2500,1213,0
BDC.US,5,20131112,180500,66.2400,66.2400,66.1900,66.1900,500,0
BDC.US,5,20131112,181000,66.1400,66.1400,66.0600,66.1200,3800,0
BDC.US,5,20131112,181500,66.1200,66.1600,66.1000,66.1600,1500,0
BDC.US,5,20131112,182000,66.1400,66.1600,66.1000,66.1600,900,0
BDC.US,5,20131112,182500,66.1700,66.1700,66.1700,66.1700,200,0
BDC.US,5,20131112,183000,66.1700,66.1700,66.1100,66.1700,900,0
BDC.US,5,20131112,183500,66.1600,66.1600,66.1100,66.1100,500,0
BDC.US,5,20131112,184000,66.2100,66.2100,66.2100,66.2100,400,0
BDC.US,5,20131112,184500,66.2200,66.2300,66.1800,66.2300,400,0
BDC.US,5,20131112,185000,66.2400,66.2500,66.2400,66.2500,425,0
BDC.US,5,20131112,185500,66.2500,66.3400,66.2500,66.2800,1000,0
BDC.US,5,20131112,190000,66.2900,66.3000,66.2900,66.3000,200,0
BDC.US,5,20131112,190500,66.2300,66.2300,66.2000,66.2300,300,0
BDC.US,5,20131112,191000,66.2300,66.2400,66.1900,66.2400,500,0
BDC.US,5,20131112,191500,66.2900,66.2900,66.2700,66.2700,400,0
BDC.US,5,20131112,192000,66.2700,66.3200,66.2700,66.3000,600,0
BDC.US,5,20131112,192500,66.3300,66.3400,66.3000,66.3400,791,0
BDC.US,5,20131112,193000,66.3400,66.4100,66.1400,66.1700,13757,0
BDC.US,5,20131112,193500,66.1800,66.2400,66.1300,66.1500,3400,0
BDC.US,5,20131112,194000,66.1900,66.1900,66.1700,66.1700,400,0
BDC.US,5,20131112,194500,66.2300,66.2400,66.1900,66.2200,1300,0
BDC.US,5,20131112,195000,66.2100,66.3400,66.2100,66.2500,11642,0
BDC.US,5,20131112,195500,66.2200,66.3000,66.1200,66.3000,40704,0
