<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEE-B.US,5,20131112,164500,22.9600,22.9600,22.9500,22.9600,2810,0
BEE-B.US,5,20131112,165000,22.9700,22.9800,22.9700,22.9800,345,0
BEE-B.US,5,20131112,165500,22.9700,22.9700,22.9700,22.9700,435,0
BEE-B.US,5,20131112,170500,22.9600,22.9600,22.9600,22.9600,200,0
BEE-B.US,5,20131112,174000,22.9600,22.9600,22.9600,22.9600,350,0
BEE-B.US,5,20131112,175500,22.9600,22.9600,22.9600,22.9600,100,0
BEE-B.US,5,20131112,182500,22.9600,22.9600,22.9600,22.9600,100,0
BEE-B.US,5,20131112,200000,22.9700,22.9700,22.9700,22.9700,200,0
BEE-B.US,5,20131112,202000,23.0800,23.0800,23.0600,23.0800,1795,0
BEE-B.US,5,20131112,202500,23.0800,23.0800,23.0800,23.0800,1430,0
BEE-B.US,5,20131113,155000,23.0500,23.0500,23.0500,23.0500,1000,0
BEE-B.US,5,20131113,175000,23.1300,23.1300,23.1300,23.1300,400,0
BEE-B.US,5,20131113,204000,23.1300,23.1300,23.1200,23.1200,510,0
BEE-B.US,5,20131113,204500,23.1000,23.1000,23.1000,23.1000,2005,0
BEE-B.US,5,20131113,210000,23.1000,23.1000,23.1000,23.1000,2100,0
BEE-B.US,5,20131113,210500,23.0500,23.0700,23.0500,23.0700,200,0
BEE-B.US,5,20131113,212000,23.1000,23.1000,23.1000,23.1000,1800,0
BEE-B.US,5,20131113,213000,23.1000,23.1000,23.1000,23.1000,200,0
BEE-B.US,5,20131113,214000,23.1000,23.1000,23.1000,23.1000,100,0
BEE-B.US,5,20131113,220000,23.1000,23.1000,23.1000,23.1000,200,0
BEE-B.US,5,20131114,174500,23.1000,23.1000,23.1000,23.1000,300,0
BEE-B.US,5,20131114,184500,23.1000,23.1000,23.1000,23.1000,2000,0
BEE-B.US,5,20131114,191500,23.1000,23.1000,23.1000,23.1000,598,0
BEE-B.US,5,20131114,195000,22.9900,22.9900,22.9900,22.9900,400,0
BEE-B.US,5,20131114,201000,23.1000,23.1000,23.1000,23.1000,200,0
BEE-B.US,5,20131114,202000,23.0900,23.0900,23.0900,23.0900,400,0
BEE-B.US,5,20131114,202500,23.1000,23.1000,23.1000,23.1000,400,0
BEE-B.US,5,20131114,205500,23.0900,23.0900,23.0900,23.0900,2000,0
BEE-B.US,5,20131115,171500,23.0000,23.0000,23.0000,23.0000,100,0
BEE-B.US,5,20131115,172000,23.0800,23.0800,23.0800,23.0800,760,0
BEE-B.US,5,20131115,173000,23.0600,23.0600,23.0600,23.0600,250,0
BEE-B.US,5,20131115,201500,23.0600,23.0600,23.0600,23.0600,350,0
BEE-B.US,5,20131118,154000,23.0800,23.1000,23.0800,23.1000,900,0
BEE-B.US,5,20131118,155500,23.1000,23.1000,23.1000,23.1000,100,0
BEE-B.US,5,20131118,160000,23.1000,23.1000,23.1000,23.1000,180,0
BEE-B.US,5,20131118,161000,23.1000,23.1000,23.1000,23.1000,1220,0
BEE-B.US,5,20131118,162500,23.0000,23.0000,23.0000,23.0000,300,0
BEE-B.US,5,20131118,170500,23.1000,23.1000,23.1000,23.1000,3350,0
BEE-B.US,5,20131118,175000,23.1000,23.1000,23.1000,23.1000,1200,0
BEE-B.US,5,20131118,180500,23.0400,23.0500,23.0400,23.0400,800,0
BEE-B.US,5,20131118,182500,23.0500,23.0500,23.0500,23.0500,430,0
BEE-B.US,5,20131118,190000,23.0200,23.0200,23.0000,23.0000,270,0
BEE-B.US,5,20131118,190500,23.0500,23.0500,23.0500,23.0500,500,0
BEE-B.US,5,20131118,193000,23.1000,23.1000,23.1000,23.1000,2200,0
BEE-B.US,5,20131118,194500,23.1000,23.1000,23.1000,23.1000,300,0
BEE-B.US,5,20131118,201500,23.0800,23.0800,23.0800,23.0800,208,0
BEE-B.US,5,20131118,203000,23.1000,23.1000,23.1000,23.1000,600,0
BEE-B.US,5,20131118,204000,23.1000,23.1000,23.1000,23.1000,200,0
BEE-B.US,5,20131118,204500,23.1000,23.1000,23.1000,23.1000,200,0
BEE-B.US,5,20131118,210500,23.1000,23.1000,23.1000,23.1000,900,0
BEE-B.US,5,20131118,213000,23.1000,23.1000,23.1000,23.1000,11000,0
BEE-B.US,5,20131119,155500,23.0900,23.0900,23.0900,23.0900,100,0
BEE-B.US,5,20131119,174500,23.1400,23.1400,23.1400,23.1400,100,0
