<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFS-C.US,5,20131112,164500,22.9600,22.9600,22.9500,22.9500,400,0
BFS-C.US,5,20131112,173500,22.9500,22.9500,22.9500,22.9500,300,0
BFS-C.US,5,20131112,182000,22.7100,22.7100,22.7000,22.7000,1000,0
BFS-C.US,5,20131112,183500,22.7000,22.7000,22.7000,22.7000,750,0
BFS-C.US,5,20131112,190000,22.7000,22.7000,22.7000,22.7000,380,0
BFS-C.US,5,20131112,200500,22.7000,22.7000,22.7000,22.7000,250,0
BFS-C.US,5,20131112,203500,22.6100,22.6100,22.6000,22.6000,200,0
BFS-C.US,5,20131112,205000,22.6300,22.6300,22.6300,22.6300,615,0
BFS-C.US,5,20131112,212000,22.5100,22.5100,22.5100,22.5100,220,0
BFS-C.US,5,20131112,220000,22.5100,22.5100,22.5000,22.5000,200,0
BFS-C.US,5,20131113,153500,22.4900,22.4900,22.4900,22.4900,2600,0
BFS-C.US,5,20131113,162500,22.3400,22.3400,22.3400,22.3400,500,0
BFS-C.US,5,20131113,165500,22.2800,22.2800,22.2800,22.2800,1000,0
BFS-C.US,5,20131113,182500,22.4500,22.4500,22.4500,22.4500,200,0
BFS-C.US,5,20131113,184500,22.4500,22.4500,22.4500,22.4500,200,0
BFS-C.US,5,20131113,190000,22.2700,22.2800,22.2500,22.2500,1100,0
BFS-C.US,5,20131113,195500,22.3000,22.3000,22.2500,22.2500,758,0
BFS-C.US,5,20131113,202000,22.3300,22.4000,22.3300,22.4000,734,0
BFS-C.US,5,20131113,203000,22.4300,22.4300,22.4300,22.4300,650,0
BFS-C.US,5,20131114,153500,22.5000,22.5000,22.5000,22.5000,200,0
BFS-C.US,5,20131114,161000,22.6000,22.6100,22.6000,22.6100,700,0
BFS-C.US,5,20131114,164500,22.6400,22.6400,22.6400,22.6400,285,0
BFS-C.US,5,20131114,172000,22.6000,22.6100,22.6000,22.6000,900,0
BFS-C.US,5,20131114,172500,22.6000,22.6000,22.6000,22.6000,900,0
BFS-C.US,5,20131114,183500,22.5000,22.5000,22.5000,22.5000,484,0
BFS-C.US,5,20131114,192000,22.5000,22.5000,22.3600,22.4700,606,0
BFS-C.US,5,20131114,195000,22.4500,22.4500,22.4500,22.4500,1700,0
BFS-C.US,5,20131114,200000,22.4400,22.8500,22.4400,22.8500,1000,0
BFS-C.US,5,20131114,201500,22.3200,22.3200,22.2900,22.2900,1360,0
BFS-C.US,5,20131114,205500,22.7000,22.9300,22.7000,22.9300,940,0
BFS-C.US,5,20131114,210500,22.7000,22.7000,22.7000,22.7000,450,0
BFS-C.US,5,20131114,211000,22.4300,22.4300,22.3600,22.3600,380,0
BFS-C.US,5,20131114,212000,22.6900,22.8800,22.6900,22.8800,1031,0
BFS-C.US,5,20131114,213000,22.8500,22.9100,22.8500,22.9100,1500,0
BFS-C.US,5,20131114,215000,22.5400,22.5400,22.5400,22.5400,100,0
BFS-C.US,5,20131114,220000,22.5900,22.5900,22.5900,22.5900,200,0
BFS-C.US,5,20131115,160500,22.7500,22.7500,22.7500,22.7500,448,0
BFS-C.US,5,20131115,164500,22.7700,22.7700,22.7500,22.7500,500,0
BFS-C.US,5,20131115,172000,22.7400,22.7400,22.7400,22.7400,250,0
BFS-C.US,5,20131115,180500,22.6000,22.6000,22.6000,22.6000,110,0
BFS-C.US,5,20131115,184000,22.7400,22.8500,22.7400,22.8500,904,0
BFS-C.US,5,20131115,191000,22.8500,22.8500,22.8500,22.8500,250,0
BFS-C.US,5,20131115,201000,22.6000,22.6000,22.6000,22.6000,500,0
BFS-C.US,5,20131115,211000,22.6000,22.6000,22.6000,22.6000,200,0
BFS-C.US,5,20131115,212500,22.6100,22.6100,22.6100,22.6100,1500,0
BFS-C.US,5,20131115,220000,22.6500,22.6500,22.6500,22.6500,248,0
BFS-C.US,5,20131118,170500,22.8500,22.8500,22.8500,22.8500,446,0
BFS-C.US,5,20131118,204000,22.8000,22.8000,22.8000,22.8000,450,0
BFS-C.US,5,20131118,213500,22.7800,22.7800,22.7800,22.7800,392,0
BFS-C.US,5,20131118,220000,22.5300,22.5300,22.3500,22.3900,1677,0
BFS-C.US,5,20131119,174000,22.3300,22.3300,22.3300,22.3300,600,0
BFS-C.US,5,20131119,175000,22.5700,22.7500,22.5700,22.6000,1149,0
BFS-C.US,5,20131119,200500,22.3800,22.4100,22.3800,22.4100,200,0
BFS-C.US,5,20131119,201500,22.4100,22.4100,22.4100,22.4100,225,0
BFS-C.US,5,20131119,202000,22.4200,22.4200,22.4200,22.4200,300,0
BFS-C.US,5,20131119,220000,22.4200,22.4300,22.4200,22.4300,700,0
BFS-C.US,5,20131120,154000,22.5300,22.5300,22.5300,22.5300,800,0
BFS-C.US,5,20131120,170500,22.6000,22.6900,22.6000,22.6000,300,0
BFS-C.US,5,20131120,193000,22.6700,22.6700,22.5400,22.5400,900,0
BFS-C.US,5,20131120,211500,22.5000,22.5300,22.5000,22.5000,824,0
BFS-C.US,5,20131120,212000,22.5000,22.5000,22.5000,22.5000,148,0
BFS-C.US,5,20131120,214500,22.5000,22.5000,22.0300,22.1600,9640,0
BFS-C.US,5,20131121,154000,22.1000,22.1000,22.0800,22.0800,500,0
BFS-C.US,5,20131121,154500,22.0800,22.0800,22.0800,22.0800,300,0
BFS-C.US,5,20131121,164500,22.0200,22.0200,22.0200,22.0200,200,0
BFS-C.US,5,20131121,170000,22.0100,22.0100,22.0000,22.0000,1815,0
BFS-C.US,5,20131121,171000,22.0000,22.0000,22.0000,22.0000,200,0
BFS-C.US,5,20131121,175000,22.0100,22.0100,22.0100,22.0100,500,0
BFS-C.US,5,20131121,180000,22.2600,22.2600,22.1600,22.1600,2000,0
BFS-C.US,5,20131121,182500,22.1400,22.1600,22.1300,22.1600,1224,0
BFS-C.US,5,20131121,183500,22.0100,22.0100,22.0000,22.0000,600,0
BFS-C.US,5,20131121,190500,22.1500,22.1500,22.1300,22.1300,1215,0
BFS-C.US,5,20131121,203000,21.9600,21.9600,21.9600,21.9600,500,0
BFS-C.US,5,20131121,203500,21.9600,21.9600,21.9600,21.9600,1000,0
BFS-C.US,5,20131121,204000,21.9600,22.1600,21.9500,21.9600,2500,0
BFS-C.US,5,20131121,211000,21.9700,21.9700,21.9600,21.9700,1000,0
BFS-C.US,5,20131121,212500,21.9600,21.9600,21.9600,21.9600,200,0
BFS-C.US,5,20131121,214500,22.1000,22.1000,22.1000,22.1000,200,0
BFS-C.US,5,20131121,220000,22.0000,22.1500,22.0000,22.1500,200,0
BFS-C.US,5,20131122,160500,21.9800,21.9800,21.9800,21.9800,500,0
BFS-C.US,5,20131122,163000,22.1800,22.3200,22.1800,22.3100,5500,0
BFS-C.US,5,20131122,165500,22.0300,22.0300,22.0300,22.0300,300,0
BFS-C.US,5,20131122,182000,22.1500,22.1500,22.1500,22.1500,100,0
BFS-C.US,5,20131122,183500,22.1500,22.1700,22.1500,22.1700,437,0
BFS-C.US,5,20131122,185000,22.1800,22.3100,22.1800,22.3100,700,0
BFS-C.US,5,20131122,185500,22.3100,22.3100,22.3100,22.3100,200,0
BFS-C.US,5,20131122,194000,22.3800,22.3800,22.3800,22.3800,500,0
BFS-C.US,5,20131122,195500,22.3700,22.3700,22.3700,22.3700,300,0
BFS-C.US,5,20131122,200500,22.3600,22.3600,22.2100,22.2100,200,0
