<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGY.US,5,20131112,153500,7.8800,7.9000,7.8700,7.9000,7800,0
BGY.US,5,20131112,154000,7.8900,7.9000,7.8900,7.8900,4613,0
BGY.US,5,20131112,154500,7.9000,7.9000,7.8900,7.8900,13266,0
BGY.US,5,20131112,155000,7.9100,7.9100,7.9100,7.9100,2077,0
BGY.US,5,20131112,155500,7.9000,7.9000,7.9000,7.9000,2000,0
BGY.US,5,20131112,160000,7.9100,7.9100,7.9000,7.9100,5741,0
BGY.US,5,20131112,160500,7.9100,7.9100,7.9000,7.9000,425,0
BGY.US,5,20131112,161500,7.9000,7.9000,7.9000,7.9000,2387,0
BGY.US,5,20131112,162500,7.9000,7.9100,7.9000,7.9000,21600,0
BGY.US,5,20131112,163000,7.9100,7.9100,7.9100,7.9100,5583,0
BGY.US,5,20131112,163500,7.9200,7.9200,7.9100,7.9100,3400,0
BGY.US,5,20131112,164000,7.9200,7.9200,7.9200,7.9200,1225,0
BGY.US,5,20131112,164500,7.9100,7.9100,7.9100,7.9100,2900,0
BGY.US,5,20131112,165000,7.9100,7.9100,7.9100,7.9100,2300,0
BGY.US,5,20131112,165500,7.9100,7.9200,7.9100,7.9100,5519,0
BGY.US,5,20131112,170000,7.9100,7.9200,7.9100,7.9200,7736,0
BGY.US,5,20131112,170500,7.9200,7.9200,7.9200,7.9200,2000,0
BGY.US,5,20131112,171000,7.9200,7.9200,7.9200,7.9200,300,0
BGY.US,5,20131112,171500,7.9100,7.9100,7.9100,7.9100,2603,0
BGY.US,5,20131112,172500,7.9100,7.9100,7.9100,7.9100,849,0
BGY.US,5,20131112,173000,7.9200,7.9200,7.9100,7.9100,6605,0
BGY.US,5,20131112,173500,7.9100,7.9100,7.9100,7.9100,187,0
BGY.US,5,20131112,174000,7.9200,7.9200,7.9200,7.9200,6115,0
BGY.US,5,20131112,174500,7.9100,7.9100,7.9100,7.9100,3372,0
BGY.US,5,20131112,180000,7.9100,7.9100,7.9100,7.9100,1250,0
BGY.US,5,20131112,180500,7.9100,7.9100,7.9100,7.9100,4578,0
BGY.US,5,20131112,181000,7.9100,7.9200,7.9100,7.9100,2600,0
BGY.US,5,20131112,181500,7.9100,7.9200,7.9100,7.9200,12203,0
BGY.US,5,20131112,182000,7.9100,7.9100,7.9100,7.9100,500,0
BGY.US,5,20131112,182500,7.9100,7.9100,7.9100,7.9100,200,0
BGY.US,5,20131112,184500,7.9200,7.9300,7.9200,7.9300,3700,0
BGY.US,5,20131112,185000,7.9300,7.9300,7.9200,7.9300,1000,0
BGY.US,5,20131112,185500,7.9300,7.9400,7.9300,7.9400,6409,0
BGY.US,5,20131112,190000,7.9400,7.9400,7.9400,7.9400,300,0
BGY.US,5,20131112,190500,7.9400,7.9400,7.9300,7.9400,750,0
BGY.US,5,20131112,191000,7.9400,7.9400,7.9300,7.9400,3977,0
BGY.US,5,20131112,191500,7.9400,7.9400,7.9400,7.9400,300,0
BGY.US,5,20131112,192000,7.9400,7.9400,7.9400,7.9400,545,0
BGY.US,5,20131112,192500,7.9400,7.9400,7.9300,7.9400,900,0
BGY.US,5,20131112,193000,7.9400,7.9400,7.9400,7.9400,200,0
BGY.US,5,20131112,193500,7.9400,7.9400,7.9300,7.9400,2750,0
BGY.US,5,20131112,194000,7.9400,7.9400,7.9200,7.9200,5839,0
BGY.US,5,20131112,194500,7.9300,7.9300,7.9200,7.9200,2300,0
BGY.US,5,20131112,195000,7.9200,7.9200,7.9200,7.9200,500,0
BGY.US,5,20131112,201000,7.9300,7.9300,7.9200,7.9200,1248,0
BGY.US,5,20131112,201500,7.9300,7.9300,7.9300,7.9300,2776,0
BGY.US,5,20131112,202000,7.9300,7.9300,7.9200,7.9300,6196,0
BGY.US,5,20131112,202500,7.9300,7.9400,7.9300,7.9400,3248,0
BGY.US,5,20131112,203000,7.9400,7.9400,7.9400,7.9400,2000,0
BGY.US,5,20131112,203500,7.9400,7.9400,7.9300,7.9400,4870,0
BGY.US,5,20131112,204000,7.9400,7.9400,7.9400,7.9400,4518,0
BGY.US,5,20131112,204500,7.9400,7.9400,7.9400,7.9400,3300,0
BGY.US,5,20131112,205000,7.9400,7.9400,7.9300,7.9300,6046,0
BGY.US,5,20131112,205500,7.9400,7.9400,7.9300,7.9400,9019,0
BGY.US,5,20131112,210000,7.9400,7.9500,7.9400,7.9500,11048,0
BGY.US,5,20131112,210500,7.9500,7.9500,7.9500,7.9500,2800,0
BGY.US,5,20131112,211000,7.9500,7.9500,7.9400,7.9500,3529,0
BGY.US,5,20131112,211500,7.9500,7.9600,7.9500,7.9500,15654,0
BGY.US,5,20131112,212000,7.9500,7.9600,7.9500,7.9500,5225,0
BGY.US,5,20131112,212500,7.9500,7.9600,7.9500,7.9600,2949,0
BGY.US,5,20131112,213000,7.9600,7.9600,7.9600,7.9600,2200,0
BGY.US,5,20131112,213500,7.9600,7.9600,7.9500,7.9600,2177,0
BGY.US,5,20131112,214000,7.9600,7.9600,7.9500,7.9600,11453,0
BGY.US,5,20131112,214500,7.9600,7.9600,7.9500,7.9600,10535,0
BGY.US,5,20131112,215000,7.9600,7.9600,7.9500,7.9600,8100,0
BGY.US,5,20131112,215500,7.9600,7.9600,7.9600,7.9600,10600,0
BGY.US,5,20131112,220000,7.9600,7.9600,7.9500,7.9500,15906,0
BGY.US,5,20131113,154000,7.9300,7.9300,7.9300,7.9300,1100,0
BGY.US,5,20131113,154500,7.9200,7.9300,7.9200,7.9300,16557,0
BGY.US,5,20131113,155000,7.9200,7.9200,7.9200,7.9200,500,0
BGY.US,5,20131113,160000,7.9200,7.9200,7.9100,7.9200,4350,0
BGY.US,5,20131113,160500,7.9200,7.9300,7.9200,7.9200,3100,0
BGY.US,5,20131113,161000,7.9300,7.9300,7.9200,7.9200,5260,0
BGY.US,5,20131113,161500,7.9200,7.9300,7.9200,7.9200,5273,0
BGY.US,5,20131113,162000,7.9200,7.9200,7.9200,7.9200,305,0
BGY.US,5,20131113,162500,7.9200,7.9200,7.9200,7.9200,4043,0
BGY.US,5,20131113,163000,7.9200,7.9200,7.9200,7.9200,1400,0
BGY.US,5,20131113,163500,7.9200,7.9300,7.9200,7.9200,4922,0
