<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHLB.US,5,20131112,153500,25.4500,25.4500,25.2300,25.2300,287,0
BHLB.US,5,20131112,154000,25.5000,25.5800,25.5000,25.5700,2200,0
BHLB.US,5,20131112,154500,25.5600,25.5600,25.5600,25.5600,200,0
BHLB.US,5,20131112,155500,25.5500,25.5500,25.5500,25.5500,100,0
BHLB.US,5,20131112,160000,25.5400,25.5900,25.5400,25.5900,300,0
BHLB.US,5,20131112,161500,25.5600,25.5600,25.5500,25.5500,200,0
BHLB.US,5,20131112,162000,25.6000,25.6000,25.6000,25.6000,100,0
BHLB.US,5,20131112,164000,25.5900,25.5900,25.5900,25.5900,100,0
BHLB.US,5,20131112,170000,25.5700,25.5700,25.5700,25.5700,100,0
BHLB.US,5,20131112,170500,25.5600,25.5600,25.5600,25.5600,300,0
BHLB.US,5,20131112,171500,25.5700,25.5800,25.5700,25.5800,400,0
BHLB.US,5,20131112,172000,25.6100,25.6100,25.5300,25.5300,2200,0
BHLB.US,5,20131112,172500,25.5500,25.5500,25.5500,25.5500,100,0
BHLB.US,5,20131112,173000,25.5400,25.5400,25.5300,25.5300,200,0
BHLB.US,5,20131112,175000,25.5400,25.5400,25.5100,25.5100,857,0
BHLB.US,5,20131112,180000,25.5600,25.5600,25.5600,25.5600,100,0
BHLB.US,5,20131112,181000,25.5100,25.5400,25.3000,25.3600,2200,0
BHLB.US,5,20131112,181500,25.3600,25.4200,25.2900,25.4100,2000,0
BHLB.US,5,20131112,182000,25.4600,25.4600,25.3300,25.3600,3800,0
BHLB.US,5,20131112,182500,25.3400,25.3400,25.2500,25.3000,2800,0
BHLB.US,5,20131112,183000,25.3000,25.3300,25.1600,25.2400,8400,0
BHLB.US,5,20131112,183500,25.3100,25.3500,25.2600,25.2800,2400,0
BHLB.US,5,20131112,184000,25.2500,25.3200,25.1900,25.2500,9700,0
BHLB.US,5,20131112,184500,25.2500,25.3100,25.1400,25.2200,4696,0
BHLB.US,5,20131112,185000,25.1900,25.2100,25.1900,25.2100,300,0
BHLB.US,5,20131112,190500,25.2400,25.2400,25.2100,25.2200,500,0
BHLB.US,5,20131112,191000,25.2300,25.2300,25.2200,25.2200,200,0
BHLB.US,5,20131112,191500,25.2800,25.2800,25.2800,25.2800,100,0
BHLB.US,5,20131112,193500,25.3000,25.3000,25.2500,25.2500,300,0
BHLB.US,5,20131112,194000,25.1900,25.1900,25.1600,25.1600,200,0
BHLB.US,5,20131112,195000,25.2100,25.2100,25.2100,25.2100,100,0
BHLB.US,5,20131112,195500,25.2600,25.2600,25.2600,25.2600,100,0
BHLB.US,5,20131112,200500,25.2200,25.2200,25.2200,25.2200,100,0
BHLB.US,5,20131112,201000,25.2400,25.2400,25.2400,25.2400,100,0
BHLB.US,5,20131112,202500,25.2300,25.2300,25.2300,25.2300,100,0
BHLB.US,5,20131112,204000,25.2700,25.2700,25.2500,25.2500,200,0
BHLB.US,5,20131112,204500,25.2600,25.2600,25.2200,25.2200,205,0
BHLB.US,5,20131112,205000,25.3000,25.3000,25.3000,25.3000,276,0
BHLB.US,5,20131112,205500,25.3000,25.3000,25.3000,25.3000,100,0
BHLB.US,5,20131112,210000,25.3000,25.3700,25.3000,25.3700,600,0
BHLB.US,5,20131112,211000,25.3000,25.3000,25.2600,25.2600,200,0
BHLB.US,5,20131112,211500,25.3400,25.3400,25.3400,25.3400,100,0
BHLB.US,5,20131112,212000,25.3300,25.4100,25.3300,25.4000,300,0
BHLB.US,5,20131112,212500,25.3400,25.3400,25.3400,25.3400,300,0
BHLB.US,5,20131112,214500,25.3300,25.3400,25.3300,25.3400,200,0
BHLB.US,5,20131112,215500,25.3900,25.3900,25.3300,25.3300,600,0
BHLB.US,5,20131112,220000,25.3400,25.3600,25.2800,25.3600,1643,0
BHLB.US,5,20131112,220500,25.6000,25.6000,25.3800,25.3800,4560,0
BHLB.US,5,20131113,155000,25.3000,25.3000,25.3000,25.3000,200,0
BHLB.US,5,20131113,160000,25.3000,25.3000,25.2500,25.2500,500,0
BHLB.US,5,20131113,161500,25.2400,25.3500,25.2400,25.3500,900,0
BHLB.US,5,20131113,162000,25.2900,25.3400,25.2000,25.2000,1600,0
BHLB.US,5,20131113,162500,25.2500,25.2800,25.2300,25.2300,500,0
BHLB.US,5,20131113,163000,25.2800,25.2800,25.2800,25.2800,100,0
BHLB.US,5,20131113,170500,25.2900,25.2900,25.2900,25.2900,100,0
BHLB.US,5,20131113,171500,25.2900,25.2900,25.2900,25.2900,400,0
BHLB.US,5,20131113,172000,25.2800,25.2900,25.2300,25.2900,1700,0
BHLB.US,5,20131113,172500,25.3000,25.3000,25.3000,25.3000,100,0
BHLB.US,5,20131113,174500,25.2900,25.2900,25.2900,25.2900,100,0
BHLB.US,5,20131113,175000,25.2700,25.2700,25.2700,25.2700,200,0
BHLB.US,5,20131113,175500,25.3300,25.3300,25.3300,25.3300,100,0
BHLB.US,5,20131113,180000,25.2800,25.2800,25.2800,25.2800,100,0
BHLB.US,5,20131113,182500,25.3600,25.3600,25.3400,25.3400,600,0
BHLB.US,5,20131113,183500,25.3300,25.3300,25.3000,25.3000,300,0
BHLB.US,5,20131113,184500,25.3600,25.3600,25.3600,25.3600,100,0
BHLB.US,5,20131113,185000,25.3500,25.3600,25.3500,25.3600,500,0
BHLB.US,5,20131113,190000,25.3700,25.4300,25.2900,25.2900,1050,0
BHLB.US,5,20131113,192000,25.3400,25.3700,25.3400,25.3700,400,0
BHLB.US,5,20131113,192500,25.3300,25.3900,25.3300,25.3900,200,0
BHLB.US,5,20131113,193000,25.3400,25.3400,25.2800,25.2800,200,0
BHLB.US,5,20131113,193500,25.4200,25.4200,25.4200,25.4200,100,0
BHLB.US,5,20131113,194000,25.4400,25.4400,25.4400,25.4400,300,0
BHLB.US,5,20131113,200500,25.4300,25.4800,25.4300,25.4800,300,0
BHLB.US,5,20131113,201000,25.4700,25.4800,25.4700,25.4800,300,0
BHLB.US,5,20131113,201500,25.4700,25.4700,25.4700,25.4700,100,0
BHLB.US,5,20131113,203500,25.5400,25.5400,25.4600,25.5200,500,0
BHLB.US,5,20131113,205000,25.4300,25.4300,25.4300,25.4300,300,0
BHLB.US,5,20131113,210000,25.4400,25.4400,25.4400,25.4400,400,0
BHLB.US,5,20131113,210500,25.4400,25.4400,25.4400,25.4400,300,0
BHLB.US,5,20131113,211500,25.4300,25.4300,25.4200,25.4200,300,0
BHLB.US,5,20131113,212000,25.3800,25.4000,25.3800,25.4000,415,0
BHLB.US,5,20131113,212500,25.4300,25.4700,25.4300,25.4700,200,0
BHLB.US,5,20131113,213500,25.4600,25.4800,25.4600,25.4600,500,0
BHLB.US,5,20131113,214000,25.4400,25.4500,25.4400,25.4500,300,0
BHLB.US,5,20131113,214500,25.4500,25.4800,25.4500,25.4600,300,0
BHLB.US,5,20131113,215000,25.5100,25.5200,25.5000,25.5100,600,0
BHLB.US,5,20131113,215500,25.4800,25.5200,25.4600,25.4600,1200,0
BHLB.US,5,20131113,220000,25.4900,25.5800,25.4900,25.5500,3527,0
BHLB.US,5,20131113,220500,25.5600,25.5600,25.5600,25.5600,3756,0
BHLB.US,5,20131114,154000,25.5000,25.5300,25.5000,25.5300,400,0
BHLB.US,5,20131114,154500,25.5100,25.5100,25.5000,25.5000,800,0
BHLB.US,5,20131114,155000,25.5000,25.5100,25.5000,25.5000,2000,0
BHLB.US,5,20131114,155500,25.5000,25.5000,25.5000,25.5000,500,0
BHLB.US,5,20131114,161000,25.5000,25.5000,25.5000,25.5000,800,0
BHLB.US,5,20131114,161500,25.5200,25.5200,25.5100,25.5100,200,0
BHLB.US,5,20131114,162500,25.5000,25.5000,25.5000,25.5000,448,0
BHLB.US,5,20131114,163000,25.5000,25.5000,25.5000,25.5000,200,0
BHLB.US,5,20131114,163500,25.5200,25.5200,25.5200,25.5200,100,0
BHLB.US,5,20131114,164000,25.4900,25.4900,25.4800,25.4800,300,0
BHLB.US,5,20131114,165000,25.5200,25.5200,25.5200,25.5200,100,0
BHLB.US,5,20131114,170500,25.4900,25.4900,25.4800,25.4800,1000,0
BHLB.US,5,20131114,171000,25.5400,25.5400,25.5400,25.5400,100,0
BHLB.US,5,20131114,171500,25.5500,25.5500,25.5500,25.5500,100,0
BHLB.US,5,20131114,172000,25.5600,25.5600,25.5600,25.5600,100,0
BHLB.US,5,20131114,173000,25.5100,25.5100,25.5000,25.5000,400,0
BHLB.US,5,20131114,175000,25.5500,25.5500,25.5100,25.5100,800,0
BHLB.US,5,20131114,180500,25.5600,25.5600,25.5600,25.5600,100,0
BHLB.US,5,20131114,181500,25.5600,25.5600,25.5100,25.5100,300,0
BHLB.US,5,20131114,182000,25.5100,25.5400,25.5000,25.5400,808,0
BHLB.US,5,20131114,182500,25.5000,25.5000,25.5000,25.5000,100,0
BHLB.US,5,20131114,184000,25.5500,25.5500,25.5500,25.5500,100,0
BHLB.US,5,20131114,185000,25.5000,25.5000,25.5000,25.5000,500,0
BHLB.US,5,20131114,190500,25.5500,25.5500,25.5500,25.5500,200,0
BHLB.US,5,20131114,191000,25.5000,25.5900,25.5000,25.5500,600,0
BHLB.US,5,20131114,193000,25.4900,25.5500,25.4900,25.5500,700,0
BHLB.US,5,20131114,193500,25.4800,25.4800,25.4800,25.4800,100,0
BHLB.US,5,20131114,194000,25.5400,25.5400,25.5400,25.5400,100,0
BHLB.US,5,20131114,195000,25.5300,25.5300,25.5300,25.5300,100,0
BHLB.US,5,20131114,202500,25.5000,25.5300,25.5000,25.5000,900,0
BHLB.US,5,20131114,204000,25.5200,25.5200,25.5200,25.5200,100,0
BHLB.US,5,20131114,205000,25.5400,25.5400,25.5300,25.5300,700,0
BHLB.US,5,20131114,205500,25.5400,25.5400,25.5400,25.5400,100,0
BHLB.US,5,20131114,210000,25.5900,25.5900,25.5200,25.5700,400,0
BHLB.US,5,20131114,211000,25.5400,25.5800,25.5100,25.5800,900,0
BHLB.US,5,20131114,211500,25.5300,25.5300,25.5300,25.5300,100,0
BHLB.US,5,20131114,212000,25.5900,25.5900,25.5400,25.5400,300,0
BHLB.US,5,20131114,213000,25.5500,25.5500,25.5500,25.5500,200,0
BHLB.US,5,20131114,213500,25.5100,25.5100,25.5100,25.5100,100,0
BHLB.US,5,20131114,214500,25.5400,25.5400,25.5300,25.5300,891,0
BHLB.US,5,20131114,215000,25.5800,25.5900,25.5700,25.5900,400,0
BHLB.US,5,20131114,215500,25.5500,25.5500,25.5500,25.5500,300,0
BHLB.US,5,20131114,220000,25.5400,25.5800,25.5400,25.5800,2798,0
BHLB.US,5,20131114,220500,25.5800,25.5800,25.5800,25.5800,1431,0
BHLB.US,5,20131115,155000,25.4600,25.4600,25.4600,25.4600,100,0
BHLB.US,5,20131115,162500,25.3900,25.3900,25.3600,25.3600,500,0
BHLB.US,5,20131115,163000,25.3600,25.3600,25.3600,25.3600,391,0
BHLB.US,5,20131115,163500,25.3100,25.3800,25.3100,25.3800,306,0
BHLB.US,5,20131115,164500,25.3600,25.3900,25.2900,25.2900,500,0
BHLB.US,5,20131115,165000,25.3500,25.4500,25.3100,25.3900,1800,0
BHLB.US,5,20131115,165500,25.4700,25.4700,25.3500,25.4100,1300,0
BHLB.US,5,20131115,170000,25.3900,25.4000,25.3900,25.4000,1009,0
BHLB.US,5,20131115,171000,25.3200,25.3800,25.3200,25.3800,200,0
BHLB.US,5,20131115,171500,25.3100,25.3100,25.3100,25.3100,100,0
BHLB.US,5,20131115,172000,25.3300,25.3300,25.2800,25.2800,200,0
BHLB.US,5,20131115,173000,25.3300,25.3300,25.3300,25.3300,200,0
BHLB.US,5,20131115,173500,25.3800,25.3800,25.3800,25.3800,100,0
BHLB.US,5,20131115,174500,25.3400,25.3400,25.3400,25.3400,100,0
BHLB.US,5,20131115,181000,25.4100,25.4100,25.4100,25.4100,100,0
BHLB.US,5,20131115,181500,25.3500,25.3500,25.3500,25.3500,400,0
BHLB.US,5,20131115,183000,25.3800,25.3800,25.3800,25.3800,100,0
BHLB.US,5,20131115,184000,25.3600,25.3600,25.3600,25.3600,100,0
BHLB.US,5,20131115,184500,25.3800,25.3800,25.3800,25.3800,100,0
BHLB.US,5,20131115,185000,25.4000,25.4000,25.4000,25.4000,100,0
BHLB.US,5,20131115,185500,25.4200,25.4200,25.4200,25.4200,100,0
BHLB.US,5,20131115,190000,25.4000,25.4000,25.4000,25.4000,100,0
BHLB.US,5,20131115,191000,25.3900,25.3900,25.3900,25.3900,200,0
BHLB.US,5,20131115,191500,25.3700,25.3700,25.3700,25.3700,100,0
BHLB.US,5,20131115,193000,25.3600,25.3600,25.3300,25.3400,1300,0
BHLB.US,5,20131115,193500,25.3100,25.3100,25.3100,25.3100,200,0
BHLB.US,5,20131115,194000,25.3200,25.3200,25.3200,25.3200,200,0
BHLB.US,5,20131115,195000,25.3500,25.3700,25.3500,25.3500,1400,0
BHLB.US,5,20131115,195500,25.3500,25.3500,25.3500,25.3500,200,0
BHLB.US,5,20131115,202500,25.3800,25.3900,25.3800,25.3900,200,0
BHLB.US,5,20131115,203000,25.4200,25.4200,25.3700,25.3700,300,0
BHLB.US,5,20131115,205000,25.4000,25.4300,25.4000,25.4200,500,0
BHLB.US,5,20131115,205500,25.4200,25.4200,25.4200,25.4200,200,0
BHLB.US,5,20131115,211000,25.4200,25.4200,25.4200,25.4200,200,0
BHLB.US,5,20131115,211500,25.4300,25.4400,25.4300,25.4400,200,0
BHLB.US,5,20131115,212000,25.4700,25.4700,25.4700,25.4700,100,0
