<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHY.US,5,20131112,155500,7.0300,7.0300,7.0300,7.0300,100,0
BHY.US,5,20131112,160000,7.0300,7.0300,7.0200,7.0200,870,0
BHY.US,5,20131112,160500,7.0300,7.0300,7.0300,7.0300,678,0
BHY.US,5,20131112,161500,7.0400,7.0400,7.0400,7.0400,100,0
BHY.US,5,20131112,163000,7.0300,7.0400,6.9900,7.0200,5515,0
BHY.US,5,20131112,163500,7.0200,7.0200,7.0200,7.0200,203,0
BHY.US,5,20131112,164500,7.0300,7.0300,7.0300,7.0300,500,0
BHY.US,5,20131112,165500,7.0300,7.0300,7.0300,7.0300,300,0
BHY.US,5,20131112,183500,7.0400,7.0400,7.0300,7.0300,512,0
BHY.US,5,20131112,184000,7.0300,7.0300,7.0300,7.0300,7196,0
BHY.US,5,20131112,192500,7.0300,7.0300,7.0300,7.0300,300,0
BHY.US,5,20131112,202000,7.0300,7.0300,7.0300,7.0300,200,0
BHY.US,5,20131112,204000,7.0300,7.0300,7.0300,7.0300,200,0
BHY.US,5,20131112,204500,7.0300,7.0300,7.0300,7.0300,13800,0
BHY.US,5,20131112,205000,7.0300,7.0300,7.0300,7.0300,2600,0
BHY.US,5,20131112,205500,7.0300,7.0300,7.0300,7.0300,1727,0
BHY.US,5,20131112,214000,7.0100,7.0300,7.0100,7.0300,4375,0
BHY.US,5,20131112,214500,7.0200,7.0300,7.0100,7.0300,3600,0
BHY.US,5,20131112,215000,7.0300,7.0300,7.0300,7.0300,700,0
BHY.US,5,20131112,215500,7.0300,7.0300,7.0300,7.0300,100,0
BHY.US,5,20131113,155000,7.0300,7.0300,7.0300,7.0300,200,0
BHY.US,5,20131113,160500,6.9900,7.0000,6.9900,7.0000,3500,0
BHY.US,5,20131113,161000,7.0000,7.0000,7.0000,7.0000,1655,0
BHY.US,5,20131113,161500,7.0000,7.0000,7.0000,7.0000,1992,0
BHY.US,5,20131113,162000,7.0000,7.0000,7.0000,7.0000,2300,0
BHY.US,5,20131113,162500,7.0000,7.0300,7.0000,7.0100,5600,0
BHY.US,5,20131113,163000,7.0000,7.0000,7.0000,7.0000,201,0
BHY.US,5,20131113,164000,7.0000,7.0000,6.9900,7.0000,3900,0
BHY.US,5,20131113,164500,7.0000,7.0000,7.0000,7.0000,500,0
BHY.US,5,20131113,170500,7.0000,7.0000,7.0000,7.0000,2000,0
BHY.US,5,20131113,173000,7.0000,7.0100,7.0000,7.0100,2000,0
BHY.US,5,20131113,173500,7.0100,7.0100,6.9900,6.9900,633,0
BHY.US,5,20131113,175500,7.0200,7.0200,7.0200,7.0200,400,0
BHY.US,5,20131113,181500,7.0200,7.0200,7.0200,7.0200,300,0
BHY.US,5,20131113,182500,7.0000,7.0000,7.0000,7.0000,4100,0
BHY.US,5,20131113,183500,7.0200,7.0200,7.0200,7.0200,400,0
BHY.US,5,20131113,190000,7.0200,7.0200,7.0200,7.0200,300,0
BHY.US,5,20131113,192000,7.0000,7.0000,7.0000,7.0000,1000,0
BHY.US,5,20131113,192500,7.0200,7.0200,7.0200,7.0200,400,0
BHY.US,5,20131113,195000,7.0200,7.0200,7.0200,7.0200,300,0
BHY.US,5,20131113,200000,7.0000,7.0000,7.0000,7.0000,256,0
BHY.US,5,20131113,201000,7.0200,7.0200,7.0200,7.0200,888,0
BHY.US,5,20131113,203000,7.0200,7.0200,7.0200,7.0200,400,0
BHY.US,5,20131113,203500,7.0200,7.0200,7.0200,7.0200,199,0
BHY.US,5,20131113,204000,7.0200,7.0200,7.0200,7.0200,3500,0
BHY.US,5,20131113,205500,7.0200,7.0200,7.0200,7.0200,100,0
BHY.US,5,20131113,210000,7.0200,7.0200,7.0200,7.0200,100,0
BHY.US,5,20131113,210500,7.0200,7.0400,7.0200,7.0400,3633,0
BHY.US,5,20131113,213500,7.0200,7.0200,7.0200,7.0200,300,0
BHY.US,5,20131113,215000,7.0200,7.0200,7.0200,7.0200,4874,0
BHY.US,5,20131113,220000,7.0200,7.0200,7.0200,7.0200,700,0
