<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIOA.US,5,20131112,154000,6.7800,6.7800,6.7800,6.7800,728,0
BIOA.US,5,20131112,155500,6.9500,6.9500,6.9500,6.9500,2000,0
BIOA.US,5,20131112,170000,6.9400,6.9500,6.9400,6.9500,300,0
BIOA.US,5,20131112,181000,6.9300,6.9500,6.7800,6.7800,7100,0
BIOA.US,5,20131112,181500,6.8300,6.8300,6.8300,6.8300,200,0
BIOA.US,5,20131112,185500,6.8900,6.8900,6.8900,6.8900,300,0
BIOA.US,5,20131112,194500,6.8900,6.8900,6.8900,6.8900,100,0
BIOA.US,5,20131112,203000,6.8900,6.8900,6.8400,6.8600,4100,0
BIOA.US,5,20131112,203500,6.8700,6.8800,6.8700,6.8800,500,0
BIOA.US,5,20131112,204000,6.8600,6.8600,6.8600,6.8600,300,0
BIOA.US,5,20131112,204500,6.8600,6.8600,6.8600,6.8600,100,0
BIOA.US,5,20131112,214000,6.8500,6.9100,6.8500,6.9000,1000,0
BIOA.US,5,20131112,214500,6.9000,6.9700,6.7900,6.9400,4600,0
BIOA.US,5,20131112,220500,6.9000,6.9000,6.9000,6.9000,231,0
BIOA.US,5,20131113,153500,6.9500,6.9500,6.9500,6.9500,100,0
BIOA.US,5,20131113,154500,6.9900,7.0000,6.9900,7.0000,500,0
BIOA.US,5,20131113,155000,7.0100,7.0100,7.0100,7.0100,2800,0
BIOA.US,5,20131113,161000,7.0600,7.0600,7.0000,7.0100,2706,0
BIOA.US,5,20131113,161500,7.0300,7.0300,7.0000,7.0000,1200,0
BIOA.US,5,20131113,162000,7.0100,7.0600,6.9500,6.9800,8800,0
BIOA.US,5,20131113,162500,7.0100,7.0600,7.0100,7.0600,1200,0
BIOA.US,5,20131113,163000,7.0000,7.0000,7.0000,7.0000,1200,0
BIOA.US,5,20131113,163500,6.9800,6.9800,6.9800,6.9800,1300,0
BIOA.US,5,20131113,165500,7.0000,7.0000,7.0000,7.0000,2900,0
BIOA.US,5,20131113,170500,7.0000,7.0000,7.0000,7.0000,1000,0
BIOA.US,5,20131113,171000,6.9800,6.9800,6.9800,6.9800,400,0
BIOA.US,5,20131113,171500,7.0000,7.0000,7.0000,7.0000,2000,0
BIOA.US,5,20131113,172000,7.0000,7.0000,7.0000,7.0000,300,0
BIOA.US,5,20131113,172500,7.0000,7.0000,6.9500,6.9500,6300,0
BIOA.US,5,20131113,173000,6.9900,7.0000,6.9900,7.0000,800,0
BIOA.US,5,20131113,180000,6.9500,7.0900,6.9500,6.9500,10794,0
BIOA.US,5,20131113,192000,7.0400,7.0400,7.0400,7.0400,800,0
BIOA.US,5,20131113,194000,7.0100,7.0200,7.0100,7.0100,1100,0
BIOA.US,5,20131113,194500,7.0400,7.0400,7.0400,7.0400,100,0
BIOA.US,5,20131113,195500,7.0600,7.0600,7.0400,7.0400,600,0
BIOA.US,5,20131113,202500,7.0400,7.0400,6.8600,6.8900,2593,0
BIOA.US,5,20131113,205500,6.9500,6.9600,6.9500,6.9600,400,0
BIOA.US,5,20131113,211500,6.9500,6.9500,6.9500,6.9500,1000,0
BIOA.US,5,20131113,212000,6.9600,7.0700,6.8500,6.8500,1297,0
BIOA.US,5,20131113,212500,6.8900,6.9500,6.8300,6.8300,3400,0
BIOA.US,5,20131113,213000,6.9600,7.0200,6.9600,6.9700,2900,0
BIOA.US,5,20131113,214000,6.9700,6.9700,6.9700,6.9700,996,0
BIOA.US,5,20131113,220000,6.8100,6.8500,6.8000,6.8500,1204,0
