<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLOX.US,5,20131112,153500,43.3100,43.3100,43.3100,43.3100,1681,0
BLOX.US,5,20131112,154000,43.5400,44.4700,43.4900,43.7800,24121,0
BLOX.US,5,20131112,154500,43.7800,43.8400,43.5000,43.5500,3400,0
BLOX.US,5,20131112,155000,43.6000,43.7300,43.6000,43.7300,1325,0
BLOX.US,5,20131112,155500,43.8300,43.8300,43.5800,43.5800,850,0
BLOX.US,5,20131112,160000,43.5100,43.5100,43.4100,43.4700,2300,0
BLOX.US,5,20131112,160500,43.5100,43.5500,43.0400,43.0600,12360,0
BLOX.US,5,20131112,161000,43.0500,43.0500,42.8400,42.9900,8329,0
BLOX.US,5,20131112,161500,43.0300,43.0400,42.9100,42.9100,2655,0
BLOX.US,5,20131112,162000,42.9000,43.2700,42.8500,43.2400,3200,0
BLOX.US,5,20131112,162500,43.1900,43.2600,43.1800,43.2400,1400,0
BLOX.US,5,20131112,163000,43.2400,43.3000,43.2400,43.2500,800,0
BLOX.US,5,20131112,163500,43.2400,43.2500,43.1500,43.2500,1100,0
BLOX.US,5,20131112,164000,43.2500,43.2700,43.1300,43.1700,28085,0
BLOX.US,5,20131112,164500,43.1000,43.1800,43.1000,43.1800,2537,0
BLOX.US,5,20131112,165000,43.2000,43.2500,43.1600,43.2000,4100,0
BLOX.US,5,20131112,165500,43.1900,43.1900,43.1400,43.1400,600,0
BLOX.US,5,20131112,170000,43.0900,43.0900,43.0900,43.0900,200,0
BLOX.US,5,20131112,170500,43.0700,43.1200,43.0500,43.1100,3500,0
BLOX.US,5,20131112,171000,43.1400,43.1600,43.0100,43.0600,2000,0
BLOX.US,5,20131112,171500,42.9900,43.0800,42.9500,42.9700,68125,0
BLOX.US,5,20131112,172000,42.9500,42.9500,42.9300,42.9400,600,0
BLOX.US,5,20131112,172500,42.9200,42.9200,42.8800,42.8800,734,0
BLOX.US,5,20131112,173000,42.9300,43.0200,42.9300,43.0200,1700,0
BLOX.US,5,20131112,173500,43.0400,43.1400,43.0000,43.0600,2300,0
BLOX.US,5,20131112,174000,43.0800,43.0800,42.9900,42.9900,700,0
BLOX.US,5,20131112,174500,42.9900,43.0000,42.9900,43.0000,1354,0
BLOX.US,5,20131112,175000,42.9700,42.9700,42.8800,42.9300,1700,0
BLOX.US,5,20131112,175500,42.9600,43.2100,42.9600,43.2100,2200,0
BLOX.US,5,20131112,180000,43.2300,43.2400,43.1200,43.1300,5200,0
BLOX.US,5,20131112,180500,43.1300,43.1300,43.0500,43.0800,4000,0
BLOX.US,5,20131112,181000,43.0900,43.1100,42.8800,42.9500,7964,0
BLOX.US,5,20131112,181500,43.0300,43.0700,42.9900,43.0400,1300,0
BLOX.US,5,20131112,182000,43.0500,43.1300,43.0500,43.1100,1465,0
BLOX.US,5,20131112,182500,43.1000,43.1000,43.0600,43.0600,2200,0
BLOX.US,5,20131112,183000,43.1100,43.1200,43.0300,43.0400,10900,0
BLOX.US,5,20131112,183500,43.0600,43.1300,43.0500,43.0900,2300,0
BLOX.US,5,20131112,184000,43.0800,43.0800,43.0400,43.0800,1124,0
BLOX.US,5,20131112,184500,43.0800,43.1300,43.0200,43.1300,3600,0
BLOX.US,5,20131112,185500,43.1500,43.2300,43.1500,43.2200,1400,0
BLOX.US,5,20131112,190000,43.2200,43.2400,43.2200,43.2200,1650,0
BLOX.US,5,20131112,190500,43.2000,43.2000,43.1000,43.1000,4850,0
BLOX.US,5,20131112,191000,43.1300,43.2100,43.0800,43.1600,4600,0
BLOX.US,5,20131112,191500,43.1600,43.2000,43.1600,43.2000,900,0
BLOX.US,5,20131112,192000,43.1800,43.2100,43.1000,43.1000,4400,0
BLOX.US,5,20131112,192500,43.1600,43.1600,43.1600,43.1600,200,0
BLOX.US,5,20131112,193000,43.2400,43.2700,43.2300,43.2400,3024,0
BLOX.US,5,20131112,193500,43.2700,43.2700,43.2200,43.2300,1500,0
BLOX.US,5,20131112,194000,43.1800,43.1800,43.1200,43.1500,1400,0
BLOX.US,5,20131112,194500,43.2200,43.2400,43.1700,43.2400,1800,0
BLOX.US,5,20131112,195000,43.2500,43.4500,43.2400,43.4500,4700,0
BLOX.US,5,20131112,195500,43.4200,43.4300,43.2800,43.3100,16807,0
BLOX.US,5,20131112,200000,43.3200,43.3200,43.3200,43.3200,100,0
BLOX.US,5,20131112,200500,43.3800,43.4600,43.3800,43.4400,958,0
BLOX.US,5,20131112,201000,43.4700,43.4700,43.3000,43.3100,3800,0
BLOX.US,5,20131112,201500,43.3200,43.3500,43.2800,43.3000,1915,0
BLOX.US,5,20131112,202000,43.2800,43.2800,43.1500,43.1700,5233,0
BLOX.US,5,20131112,202500,43.2300,43.2300,43.0100,43.0100,6191,0
BLOX.US,5,20131112,203000,43.0100,43.0700,42.7500,42.7500,23053,0
BLOX.US,5,20131112,203500,42.7400,42.7600,42.5200,42.5300,28057,0
BLOX.US,5,20131112,204000,42.5300,42.8000,42.5300,42.7900,5675,0
BLOX.US,5,20131112,204500,42.7800,42.8500,42.7600,42.8500,1727,0
BLOX.US,5,20131112,205000,42.8500,43.0300,42.8200,42.9800,8400,0
BLOX.US,5,20131112,205500,42.9600,43.1400,42.9600,43.1300,6838,0
BLOX.US,5,20131112,210000,43.1300,43.4000,43.1300,43.4000,3668,0
BLOX.US,5,20131112,210500,43.4400,43.4500,43.4200,43.4200,2100,0
BLOX.US,5,20131112,211000,43.4000,43.4000,43.2500,43.2500,2100,0
BLOX.US,5,20131112,211500,43.2400,43.2400,43.1600,43.2200,4200,0
BLOX.US,5,20131112,212000,43.1700,43.1700,43.1300,43.1400,11200,0
BLOX.US,5,20131112,212500,43.1400,43.1400,42.8600,42.8700,10433,0
BLOX.US,5,20131112,213000,42.8800,43.0000,42.8800,42.9600,5296,0
BLOX.US,5,20131112,213500,43.0000,43.0000,42.9000,42.9000,12839,0
BLOX.US,5,20131112,214000,42.9000,43.0000,42.8800,42.9200,4510,0
BLOX.US,5,20131112,214500,42.9600,42.9900,42.8800,42.9200,6035,0
BLOX.US,5,20131112,215000,42.9400,43.0000,42.9100,42.9400,5650,0
BLOX.US,5,20131112,215500,42.9600,42.9800,42.9100,42.9200,10155,0
BLOX.US,5,20131112,220000,42.9300,43.0100,42.9000,43.0000,13334,0
BLOX.US,5,20131112,220500,43.0000,43.0000,43.0000,43.0000,8408,0
BLOX.US,5,20131113,153500,42.9800,42.9800,42.5800,42.5800,400,0
BLOX.US,5,20131113,154000,42.7400,43.1400,42.6600,43.1400,1500,0
BLOX.US,5,20131113,154500,43.1300,43.1300,42.8400,42.9000,1369,0
BLOX.US,5,20131113,155000,42.9200,43.2200,42.6900,43.0900,34450,0
BLOX.US,5,20131113,155500,43.1300,43.2100,42.6700,43.2000,47486,0
BLOX.US,5,20131113,160000,43.2000,43.2900,42.9000,43.0700,21617,0
BLOX.US,5,20131113,160500,42.9800,43.1900,42.8100,43.1900,22026,0
BLOX.US,5,20131113,161000,43.1100,43.3400,43.1000,43.3400,27224,0
BLOX.US,5,20131113,161500,43.3800,43.8200,43.2600,43.8200,29467,0
BLOX.US,5,20131113,162000,43.8300,43.8900,43.5900,43.6100,12200,0
BLOX.US,5,20131113,162500,43.6400,43.6500,43.4500,43.6200,2600,0
BLOX.US,5,20131113,163000,43.6400,43.9000,43.6300,43.8000,4091,0
BLOX.US,5,20131113,163500,43.7900,43.7900,43.6400,43.7500,3001,0
BLOX.US,5,20131113,164000,43.9100,43.9500,43.8500,43.8900,7228,0
BLOX.US,5,20131113,164500,43.9200,44.0500,43.9000,44.0100,16908,0
BLOX.US,5,20131113,165000,44.0100,44.0400,43.8500,43.9000,14063,0
BLOX.US,5,20131113,165500,43.8600,43.8600,43.6700,43.6700,4627,0
BLOX.US,5,20131113,170000,43.6600,43.6600,43.4800,43.4800,3200,0
BLOX.US,5,20131113,170500,43.5000,43.6800,43.5000,43.6500,12357,0
BLOX.US,5,20131113,171000,43.6500,44.0700,43.6500,44.0700,28984,0
BLOX.US,5,20131113,171500,44.0700,44.1300,43.9000,44.0100,36287,0
BLOX.US,5,20131113,172000,44.0100,44.0400,43.9400,43.9400,10903,0
BLOX.US,5,20131113,172500,43.9800,44.0400,43.8300,43.9100,20675,0
BLOX.US,5,20131113,173000,43.9500,43.9500,43.6700,43.7600,12680,0
BLOX.US,5,20131113,173500,43.7500,43.7600,43.6800,43.7200,1620,0
BLOX.US,5,20131113,174000,43.7300,43.7600,43.7100,43.7500,850,0
BLOX.US,5,20131113,174500,43.7300,43.7300,43.6500,43.6500,2100,0
BLOX.US,5,20131113,175000,43.6800,43.6800,43.6800,43.6800,100,0
BLOX.US,5,20131113,175500,43.7500,43.7500,43.7300,43.7300,300,0
BLOX.US,5,20131113,180000,43.7200,43.7200,43.6500,43.6500,500,0
BLOX.US,5,20131113,180500,43.6600,43.6900,43.5900,43.6400,5390,0
BLOX.US,5,20131113,181000,43.6400,43.6400,43.6000,43.6200,1000,0
BLOX.US,5,20131113,181500,43.6100,43.6300,43.5700,43.6000,1500,0
BLOX.US,5,20131113,182000,43.6000,43.6700,43.6000,43.6500,1800,0
BLOX.US,5,20131113,182500,43.6700,43.7000,43.6400,43.6500,4502,0
BLOX.US,5,20131113,183000,43.6500,43.7200,43.6500,43.6900,3400,0
BLOX.US,5,20131113,183500,43.7000,43.7200,43.7000,43.7000,700,0
BLOX.US,5,20131113,184000,43.7200,43.7200,43.6700,43.6700,2737,0
BLOX.US,5,20131113,184500,43.6900,43.7100,43.6900,43.7000,1200,0
BLOX.US,5,20131113,185000,43.6900,43.6900,43.6500,43.6700,1200,0
BLOX.US,5,20131113,185500,43.6400,43.6600,43.5900,43.6500,3275,0
BLOX.US,5,20131113,190000,43.6600,43.7400,43.6600,43.7200,4383,0
BLOX.US,5,20131113,190500,43.6900,43.7200,43.6300,43.6500,2000,0
BLOX.US,5,20131113,191000,43.6400,43.7200,43.6100,43.7200,16975,0
BLOX.US,5,20131113,191500,43.6600,43.7600,43.6600,43.7100,7898,0
BLOX.US,5,20131113,192000,43.7700,43.8100,43.7700,43.8100,1717,0
BLOX.US,5,20131113,192500,43.8500,43.9800,43.8500,43.9800,1800,0
BLOX.US,5,20131113,193000,43.9800,44.0400,43.9600,44.0200,1700,0
BLOX.US,5,20131113,193500,44.0500,44.0900,44.0500,44.0900,914,0
BLOX.US,5,20131113,194000,44.0600,44.0600,44.0100,44.0100,800,0
BLOX.US,5,20131113,194500,44.0500,44.1100,44.0300,44.0800,1212,0
BLOX.US,5,20131113,195000,44.1400,44.2100,44.1000,44.2000,4200,0
BLOX.US,5,20131113,195500,44.2400,44.3200,44.1700,44.1700,11750,0
BLOX.US,5,20131113,200000,44.1700,44.2400,44.1200,44.1900,18871,0
BLOX.US,5,20131113,200500,44.2000,44.2000,44.1700,44.1700,3448,0
BLOX.US,5,20131113,201000,44.1700,44.1700,44.0600,44.1200,5850,0
BLOX.US,5,20131113,201500,44.1000,44.1000,44.0200,44.0200,860,0
BLOX.US,5,20131113,202000,44.0500,44.0600,44.0200,44.0200,2710,0
BLOX.US,5,20131113,202500,44.0600,44.0900,44.0300,44.0700,2900,0
BLOX.US,5,20131113,203000,44.0800,44.0800,43.9900,44.0000,3585,0
BLOX.US,5,20131113,203500,44.0000,44.1200,43.9900,44.0000,14166,0
BLOX.US,5,20131113,204000,44.0000,44.0400,44.0000,44.0000,1100,0
BLOX.US,5,20131113,204500,44.0000,44.0300,44.0000,44.0000,7123,0
BLOX.US,5,20131113,205000,44.0300,44.1200,44.0000,44.0500,5405,0
BLOX.US,5,20131113,205500,44.0100,44.0600,44.0100,44.0400,1734,0
BLOX.US,5,20131113,210000,44.0500,44.0500,44.0000,44.0100,1700,0
BLOX.US,5,20131113,210500,44.0000,44.0400,44.0000,44.0400,6890,0
BLOX.US,5,20131113,211000,44.0400,44.0400,44.0300,44.0400,800,0
BLOX.US,5,20131113,211500,44.0400,44.0400,44.0300,44.0400,4043,0
BLOX.US,5,20131113,212000,44.0300,44.0600,44.0300,44.0300,8487,0
BLOX.US,5,20131113,212500,44.0600,44.0800,44.0000,44.0100,22509,0
BLOX.US,5,20131113,213000,44.0000,44.0700,43.9200,43.9300,12924,0
BLOX.US,5,20131113,213500,43.9800,44.0500,43.9700,44.0300,4246,0
BLOX.US,5,20131113,214000,44.0100,44.0500,43.9500,44.0200,5700,0
BLOX.US,5,20131113,214500,44.0000,44.1100,43.9600,44.0000,17522,0
BLOX.US,5,20131113,215000,44.0700,44.2800,44.0400,44.2800,7670,0
BLOX.US,5,20131113,215500,44.2600,44.2900,44.2300,44.2800,14881,0
BLOX.US,5,20131113,220000,44.2800,44.3400,44.2700,44.3200,24712,0
