<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BML-H.US,5,20131112,153500,17.9000,17.9000,17.9000,17.9000,100,0
BML-H.US,5,20131112,154500,17.8600,17.8600,17.8600,17.8600,100,0
BML-H.US,5,20131112,155500,17.8600,17.8600,17.7200,17.7200,3100,0
BML-H.US,5,20131112,162000,17.7600,17.7700,17.6800,17.7500,5200,0
BML-H.US,5,20131112,164000,17.8400,17.8400,17.8400,17.8400,300,0
BML-H.US,5,20131112,172000,17.7200,17.7200,17.7100,17.7200,1800,0
BML-H.US,5,20131112,175500,17.6900,17.6900,17.6900,17.6900,200,0
BML-H.US,5,20131112,183000,17.7500,17.7500,17.7100,17.7100,1000,0
BML-H.US,5,20131112,185500,17.7500,17.7500,17.7200,17.7200,750,0
BML-H.US,5,20131112,190000,17.7200,17.7200,17.7200,17.7200,450,0
BML-H.US,5,20131112,191500,17.7200,17.7200,17.7200,17.7200,100,0
BML-H.US,5,20131112,194500,17.7200,17.7200,17.7200,17.7200,100,0
BML-H.US,5,20131112,201000,17.7600,17.7600,17.7600,17.7600,100,0
BML-H.US,5,20131112,213000,17.7800,17.7800,17.7200,17.7200,575,0
BML-H.US,5,20131112,213500,17.7900,17.7900,17.7900,17.7900,160,0
BML-H.US,5,20131112,220000,17.7100,17.7100,17.7100,17.7100,400,0
BML-H.US,5,20131113,153500,17.5100,17.5100,17.5100,17.5100,300,0
BML-H.US,5,20131113,160500,17.4700,17.4700,17.4700,17.4700,200,0
BML-H.US,5,20131113,162500,17.4500,17.5000,17.4200,17.5000,1300,0
BML-H.US,5,20131113,163000,17.5000,17.5000,17.5000,17.5000,200,0
BML-H.US,5,20131113,163500,17.4400,17.4400,17.3300,17.3500,4100,0
BML-H.US,5,20131113,164000,17.4000,17.4000,17.4000,17.4000,400,0
BML-H.US,5,20131113,165000,17.4800,17.5000,17.4800,17.5000,1450,0
BML-H.US,5,20131113,173500,17.5000,17.5000,17.5000,17.5000,1550,0
BML-H.US,5,20131113,175000,17.3500,17.4100,17.3500,17.4100,2400,0
BML-H.US,5,20131113,181000,17.4100,17.4100,17.4100,17.4100,445,0
BML-H.US,5,20131113,181500,17.4600,17.4600,17.4600,17.4600,200,0
BML-H.US,5,20131113,184000,17.4800,17.4800,17.4800,17.4800,2300,0
BML-H.US,5,20131113,190500,17.4900,17.5000,17.4900,17.5000,500,0
BML-H.US,5,20131113,195000,17.5200,17.5200,17.5200,17.5200,100,0
BML-H.US,5,20131113,200500,17.5200,17.5300,17.5200,17.5300,639,0
BML-H.US,5,20131113,202000,17.6000,17.6200,17.6000,17.6200,200,0
BML-H.US,5,20131113,202500,17.4600,17.4600,17.4600,17.4600,3900,0
BML-H.US,5,20131113,210000,17.5400,17.5400,17.5400,17.5400,477,0
BML-H.US,5,20131113,213000,17.5000,17.5000,17.5000,17.5000,200,0
BML-H.US,5,20131113,215000,17.5400,17.5400,17.5400,17.5400,200,0
BML-H.US,5,20131113,220000,17.5600,17.5600,17.5600,17.5600,100,0
BML-H.US,5,20131114,155000,17.5000,17.5000,17.4300,17.4300,565,0
BML-H.US,5,20131114,160500,17.4300,17.4300,17.4300,17.4300,200,0
BML-H.US,5,20131114,161000,17.4300,17.4300,17.4300,17.4300,500,0
BML-H.US,5,20131114,173000,17.4500,17.4500,17.4500,17.4500,100,0
BML-H.US,5,20131114,174000,17.4600,17.4600,17.4300,17.4300,1800,0
BML-H.US,5,20131114,175500,17.4300,17.4300,17.4300,17.4300,245,0
BML-H.US,5,20131114,184000,17.4400,17.4400,17.4300,17.4300,750,0
BML-H.US,5,20131114,193500,17.5000,17.5000,17.5000,17.5000,2000,0
BML-H.US,5,20131114,194000,17.4000,17.4000,17.4000,17.4000,448,0
BML-H.US,5,20131114,194500,17.4100,17.4100,17.4000,17.4000,1700,0
BML-H.US,5,20131114,200000,17.4900,17.4900,17.4900,17.4900,300,0
BML-H.US,5,20131114,202500,17.4500,17.4600,17.4500,17.4500,2600,0
BML-H.US,5,20131114,203000,17.4100,17.4100,17.4100,17.4100,200,0
BML-H.US,5,20131114,203500,17.4500,17.4500,17.4500,17.4500,250,0
BML-H.US,5,20131114,204000,17.4500,17.4900,17.4500,17.4900,1200,0
BML-H.US,5,20131114,204500,17.5000,17.5000,17.5000,17.5000,200,0
BML-H.US,5,20131114,205500,17.5100,17.5100,17.5100,17.5100,1100,0
BML-H.US,5,20131114,212500,17.5800,17.5800,17.5800,17.5800,100,0
BML-H.US,5,20131114,215500,17.5500,17.5500,17.5500,17.5500,100,0
BML-H.US,5,20131114,220500,17.6400,17.6400,17.6400,17.6400,414,0
BML-H.US,5,20131115,154000,17.5900,17.5900,17.5900,17.5900,800,0
BML-H.US,5,20131115,170000,17.6000,17.6000,17.6000,17.6000,500,0
BML-H.US,5,20131115,171500,17.5200,17.5600,17.5200,17.5600,1000,0
BML-H.US,5,20131115,173000,17.6100,17.6100,17.6000,17.6000,1203,0
BML-H.US,5,20131115,193500,17.6100,17.6100,17.6100,17.6100,100,0
BML-H.US,5,20131115,194500,17.6100,17.6100,17.6000,17.6000,800,0
BML-H.US,5,20131115,195000,17.6000,17.6000,17.6000,17.6000,100,0
BML-H.US,5,20131115,201000,17.5000,17.5100,17.4400,17.4400,3000,0
BML-H.US,5,20131115,201500,17.5500,17.5500,17.5500,17.5500,600,0
BML-H.US,5,20131115,202500,17.6000,17.6100,17.6000,17.6000,2242,0
BML-H.US,5,20131115,203000,17.6000,17.6000,17.6000,17.6000,200,0
BML-H.US,5,20131115,205500,17.6500,17.6500,17.6500,17.6500,300,0
BML-H.US,5,20131118,163000,17.6100,17.6100,17.5000,17.5900,833,0
BML-H.US,5,20131118,163500,17.6000,17.6000,17.6000,17.6000,200,0
BML-H.US,5,20131118,170000,17.5700,17.5700,17.5500,17.5500,200,0
BML-H.US,5,20131118,170500,17.5500,17.5500,17.5500,17.5500,800,0
BML-H.US,5,20131118,171000,17.5500,17.5500,17.5500,17.5500,1000,0
BML-H.US,5,20131118,171500,17.5500,17.5500,17.5500,17.5500,300,0
BML-H.US,5,20131118,173500,17.5500,17.5500,17.5500,17.5500,100,0
BML-H.US,5,20131118,184000,17.6000,17.6000,17.5500,17.5500,498,0
BML-H.US,5,20131118,184500,17.5900,17.5900,17.5900,17.5900,200,0
BML-H.US,5,20131118,191000,17.5100,17.5100,17.4700,17.4700,900,0
BML-H.US,5,20131118,191500,17.4600,17.4900,17.4600,17.4900,300,0
BML-H.US,5,20131118,192000,17.4600,17.4600,17.4600,17.4600,100,0
BML-H.US,5,20131118,193000,17.4800,17.4800,17.4800,17.4800,500,0
BML-H.US,5,20131118,193500,17.4800,17.4800,17.4800,17.4800,250,0
BML-H.US,5,20131118,195000,17.4900,17.4900,17.4500,17.4500,2100,0
BML-H.US,5,20131118,200000,17.4500,17.4500,17.4500,17.4500,1800,0
BML-H.US,5,20131118,200500,17.4500,17.4500,17.4500,17.4500,300,0
BML-H.US,5,20131118,201000,17.4600,17.4600,17.4300,17.4300,400,0
BML-H.US,5,20131118,201500,17.3900,17.4000,17.3800,17.3800,1563,0
BML-H.US,5,20131118,202000,17.3900,17.4000,17.3900,17.4000,243,0
BML-H.US,5,20131118,203000,17.4000,17.4000,17.4000,17.4000,1000,0
BML-H.US,5,20131118,203500,17.4000,17.4000,17.3700,17.3700,1100,0
BML-H.US,5,20131118,204500,17.3800,17.3900,17.3800,17.3800,700,0
BML-H.US,5,20131118,205000,17.4000,17.4000,17.3700,17.3800,3700,0
BML-H.US,5,20131118,205500,17.3700,17.3700,17.3700,17.3700,300,0
BML-H.US,5,20131118,210000,17.3600,17.3600,17.3400,17.3400,2100,0
BML-H.US,5,20131118,211000,17.3500,17.3500,17.3500,17.3500,1000,0
BML-H.US,5,20131118,215000,17.3800,17.3800,17.3800,17.3800,500,0
BML-H.US,5,20131118,220000,17.3800,17.4000,17.3800,17.3900,700,0
BML-H.US,5,20131119,161000,17.3900,17.4000,17.3900,17.4000,1100,0
BML-H.US,5,20131119,162500,17.3600,17.3600,17.3600,17.3600,650,0
BML-H.US,5,20131119,164000,17.3700,17.3700,17.3500,17.3500,1193,0
BML-H.US,5,20131119,164500,17.3500,17.3500,17.3500,17.3500,3350,0
BML-H.US,5,20131119,165000,17.3500,17.3500,17.3500,17.3500,500,0
BML-H.US,5,20131119,165500,17.3400,17.3500,17.3200,17.3500,1444,0
BML-H.US,5,20131119,172000,17.3500,17.3500,17.3200,17.3300,2700,0
BML-H.US,5,20131119,172500,17.3200,17.3300,17.3200,17.3300,600,0
BML-H.US,5,20131119,173500,17.3200,17.3200,17.3200,17.3200,400,0
BML-H.US,5,20131119,174000,17.3300,17.3300,17.3300,17.3300,2600,0
BML-H.US,5,20131119,174500,17.3300,17.3300,17.3300,17.3300,400,0
BML-H.US,5,20131119,180000,17.3200,17.3300,17.3200,17.3300,1063,0
BML-H.US,5,20131119,180500,17.3300,17.3300,17.3300,17.3300,4200,0
BML-H.US,5,20131119,182500,17.3200,17.3300,17.3200,17.3300,600,0
BML-H.US,5,20131119,183000,17.3200,17.3300,17.3100,17.3300,5300,0
BML-H.US,5,20131119,183500,17.3300,17.3300,17.3300,17.3300,1116,0
BML-H.US,5,20131119,185500,17.3200,17.3200,17.3200,17.3200,1700,0
BML-H.US,5,20131119,191000,17.3100,17.3200,17.3100,17.3200,237,0
BML-H.US,5,20131119,193000,17.3000,17.3000,17.2900,17.2900,3464,0
BML-H.US,5,20131119,194500,17.2700,17.2700,17.2700,17.2700,100,0
BML-H.US,5,20131119,195000,17.2800,17.2800,17.2500,17.2500,832,0
BML-H.US,5,20131119,195500,17.2500,17.2500,17.2500,17.2500,600,0
BML-H.US,5,20131119,200000,17.2400,17.2400,17.2400,17.2400,100,0
BML-H.US,5,20131119,200500,17.2900,17.2900,17.2100,17.2100,800,0
BML-H.US,5,20131119,202500,17.2800,17.2800,17.2800,17.2800,100,0
BML-H.US,5,20131119,212000,17.3100,17.3100,17.3000,17.3000,1000,0
BML-H.US,5,20131119,213500,17.2500,17.2500,17.2500,17.2500,100,0
BML-H.US,5,20131119,215000,17.3000,17.3100,17.3000,17.3100,350,0
BML-H.US,5,20131119,220000,17.2900,17.2900,17.2900,17.2900,100,0
BML-H.US,5,20131119,220500,17.3000,17.3000,17.3000,17.3000,1108,0
BML-H.US,5,20131120,153500,17.3200,17.3200,17.3200,17.3200,200,0
BML-H.US,5,20131120,154500,17.3100,17.3200,17.3100,17.3200,500,0
BML-H.US,5,20131120,160000,17.2500,17.3200,17.2500,17.2500,2800,0
BML-H.US,5,20131120,174000,17.2600,17.2600,17.2600,17.2600,100,0
BML-H.US,5,20131120,180000,17.2500,17.2500,17.2000,17.2000,1168,0
BML-H.US,5,20131120,183000,17.2000,17.2000,17.2000,17.2000,100,0
BML-H.US,5,20131120,184000,17.2000,17.2100,17.2000,17.2000,800,0
BML-H.US,5,20131120,193500,17.2100,17.2100,17.2100,17.2100,624,0
BML-H.US,5,20131120,194000,17.2000,17.2000,17.2000,17.2000,487,0
BML-H.US,5,20131120,195000,17.2100,17.2100,17.2100,17.2100,400,0
