<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMR.US,5,20131112,153500,18.9600,18.9600,18.8500,18.8700,6513,0
BMR.US,5,20131112,154000,18.8600,18.9100,18.8500,18.9000,3528,0
BMR.US,5,20131112,154500,18.8900,18.9300,18.8800,18.8800,5356,0
BMR.US,5,20131112,155000,18.8700,18.8800,18.8100,18.8100,12410,0
BMR.US,5,20131112,155500,18.8100,18.8100,18.7500,18.7700,30066,0
BMR.US,5,20131112,160000,18.7700,18.8100,18.7700,18.7900,18301,0
BMR.US,5,20131112,160500,18.7900,18.7900,18.7700,18.7800,6700,0
BMR.US,5,20131112,161000,18.7800,18.7900,18.7700,18.7800,8817,0
BMR.US,5,20131112,161500,18.7900,18.7900,18.7500,18.7600,12582,0
BMR.US,5,20131112,162000,18.7500,18.7800,18.7400,18.7800,15002,0
BMR.US,5,20131112,162500,18.7700,18.7700,18.7400,18.7400,21164,0
BMR.US,5,20131112,163000,18.7400,18.7600,18.7300,18.7600,13686,0
BMR.US,5,20131112,163500,18.7600,18.7600,18.7500,18.7500,9896,0
BMR.US,5,20131112,164000,18.7500,18.7600,18.7300,18.7300,5153,0
BMR.US,5,20131112,164500,18.7300,18.7300,18.7100,18.7100,7991,0
BMR.US,5,20131112,165000,18.7100,18.7100,18.6900,18.6900,12477,0
BMR.US,5,20131112,165500,18.6900,18.6900,18.6600,18.6800,30169,0
BMR.US,5,20131112,170000,18.6900,18.6900,18.6700,18.6800,8675,0
BMR.US,5,20131112,170500,18.6800,18.6900,18.6600,18.6600,20445,0
BMR.US,5,20131112,171000,18.6600,18.6600,18.6300,18.6400,11967,0
BMR.US,5,20131112,171500,18.6400,18.6700,18.6400,18.6500,21110,0
BMR.US,5,20131112,172000,18.6600,18.6700,18.6600,18.6700,7038,0
BMR.US,5,20131112,172500,18.6600,18.6900,18.6600,18.6800,21605,0
BMR.US,5,20131112,173000,18.6900,18.6900,18.6700,18.6700,15684,0
BMR.US,5,20131112,173500,18.6800,18.7100,18.6600,18.7100,27160,0
BMR.US,5,20131112,174000,18.7000,18.7100,18.6900,18.7000,14891,0
BMR.US,5,20131112,174500,18.6800,18.6900,18.6800,18.6900,8740,0
BMR.US,5,20131112,175000,18.6800,18.7000,18.6700,18.6800,30231,0
BMR.US,5,20131112,175500,18.6800,18.7200,18.6800,18.6900,16354,0
BMR.US,5,20131112,180000,18.7000,18.7100,18.6800,18.7000,7124,0
BMR.US,5,20131112,180500,18.7000,18.7100,18.6700,18.6800,20976,0
BMR.US,5,20131112,181000,18.6900,18.6900,18.6500,18.6500,8296,0
BMR.US,5,20131112,181500,18.6500,18.6600,18.6300,18.6300,5758,0
BMR.US,5,20131112,182000,18.6300,18.6500,18.6200,18.6500,19753,0
BMR.US,5,20131112,182500,18.6500,18.6500,18.6300,18.6300,6016,0
BMR.US,5,20131112,183000,18.6200,18.6400,18.6200,18.6400,12536,0
BMR.US,5,20131112,183500,18.6300,18.6500,18.6200,18.6500,12891,0
BMR.US,5,20131112,184000,18.6500,18.6500,18.6200,18.6300,5226,0
BMR.US,5,20131112,184500,18.6300,18.6400,18.6200,18.6400,7200,0
BMR.US,5,20131112,185000,18.6300,18.6400,18.6200,18.6200,3952,0
BMR.US,5,20131112,185500,18.6300,18.6500,18.6300,18.6500,5740,0
BMR.US,5,20131112,190000,18.6600,18.6700,18.6500,18.6500,4706,0
BMR.US,5,20131112,190500,18.6500,18.6700,18.6500,18.6700,4200,0
BMR.US,5,20131112,191000,18.6700,18.6800,18.6700,18.6700,5472,0
BMR.US,5,20131112,191500,18.6700,18.6900,18.6700,18.6800,11650,0
BMR.US,5,20131112,192000,18.6900,18.7100,18.6700,18.7000,11344,0
BMR.US,5,20131112,192500,18.7000,18.7200,18.7000,18.7200,1900,0
BMR.US,5,20131112,193000,18.7200,18.7400,18.7200,18.7200,19450,0
BMR.US,5,20131112,193500,18.7200,18.7300,18.6900,18.7000,7987,0
BMR.US,5,20131112,194000,18.6900,18.6900,18.6600,18.6800,9062,0
BMR.US,5,20131112,194500,18.6800,18.7000,18.6800,18.7000,13400,0
BMR.US,5,20131112,195000,18.7000,18.7200,18.7000,18.7200,13050,0
BMR.US,5,20131112,195500,18.7200,18.7400,18.7200,18.7200,12572,0
BMR.US,5,20131112,200000,18.7300,18.7500,18.7300,18.7500,9237,0
BMR.US,5,20131112,200500,18.7500,18.7500,18.7300,18.7400,12973,0
BMR.US,5,20131112,201000,18.7300,18.7500,18.7300,18.7500,3903,0
BMR.US,5,20131112,201500,18.7500,18.7500,18.7300,18.7500,5822,0
BMR.US,5,20131112,202000,18.7300,18.7400,18.7200,18.7400,5317,0
BMR.US,5,20131112,202500,18.7400,18.7400,18.7200,18.7200,6083,0
BMR.US,5,20131112,203000,18.7200,18.7400,18.7100,18.7200,12674,0
BMR.US,5,20131112,203500,18.7200,18.7200,18.7000,18.7100,5774,0
BMR.US,5,20131112,204000,18.7100,18.7300,18.7100,18.7200,10562,0
BMR.US,5,20131112,204500,18.7100,18.7300,18.7100,18.7300,4169,0
BMR.US,5,20131112,205000,18.7300,18.7400,18.7200,18.7400,7181,0
BMR.US,5,20131112,205500,18.7300,18.7400,18.7300,18.7400,5100,0
BMR.US,5,20131112,210000,18.7400,18.7800,18.7400,18.7700,7979,0
BMR.US,5,20131112,210500,18.7700,18.7900,18.7600,18.7700,7384,0
BMR.US,5,20131112,211000,18.7700,18.7700,18.7500,18.7600,18716,0
BMR.US,5,20131112,211500,18.7600,18.7700,18.7500,18.7500,9761,0
BMR.US,5,20131112,212000,18.7600,18.7600,18.7500,18.7600,1400,0
BMR.US,5,20131112,212500,18.7600,18.7700,18.7300,18.7400,26179,0
BMR.US,5,20131112,213000,18.7400,18.7500,18.7300,18.7300,19911,0
BMR.US,5,20131112,213500,18.7400,18.7900,18.7400,18.7700,9843,0
BMR.US,5,20131112,214000,18.7800,18.7800,18.7600,18.7600,6732,0
BMR.US,5,20131112,214500,18.7700,18.7800,18.7700,18.7800,7839,0
BMR.US,5,20131112,215000,18.7700,18.7800,18.7500,18.7500,37500,0
BMR.US,5,20131112,215500,18.7500,18.7800,18.7500,18.7700,35721,0
BMR.US,5,20131112,220000,18.7700,18.8000,18.7700,18.8000,56005,0
BMR.US,5,20131112,221000,18.8000,18.8000,18.8000,18.8000,95540,0
BMR.US,5,20131113,153500,18.8500,18.8500,18.7200,18.7200,4600,0
BMR.US,5,20131113,154000,18.7300,18.7600,18.7300,18.7400,1940,0
BMR.US,5,20131113,154500,18.7500,18.7700,18.7200,18.7700,6108,0
BMR.US,5,20131113,155000,18.7500,18.7600,18.7200,18.7500,7176,0
BMR.US,5,20131113,155500,18.7500,18.7600,18.7000,18.7400,13143,0
BMR.US,5,20131113,160000,18.7400,18.7600,18.7200,18.7200,6412,0
BMR.US,5,20131113,160500,18.7100,18.7500,18.7100,18.7400,7307,0
BMR.US,5,20131113,161000,18.7600,18.7900,18.7400,18.7400,3601,0
BMR.US,5,20131113,161500,18.7500,18.7700,18.7400,18.7700,5450,0
BMR.US,5,20131113,162000,18.7800,18.7800,18.7600,18.7700,2000,0
BMR.US,5,20131113,162500,18.7700,18.8400,18.7700,18.8400,7513,0
BMR.US,5,20131113,163000,18.8300,18.8500,18.8300,18.8300,6898,0
BMR.US,5,20131113,163500,18.8400,18.8600,18.8400,18.8500,3700,0
BMR.US,5,20131113,164000,18.8600,18.8800,18.8500,18.8800,3300,0
BMR.US,5,20131113,164500,18.8800,18.9100,18.8700,18.9000,6699,0
BMR.US,5,20131113,165000,18.8900,18.9000,18.8900,18.9000,5316,0
BMR.US,5,20131113,165500,18.9000,18.9000,18.8800,18.8900,6282,0
BMR.US,5,20131113,170000,18.8900,18.8900,18.8800,18.8900,6101,0
BMR.US,5,20131113,170500,18.8800,18.8800,18.8700,18.8800,3402,0
BMR.US,5,20131113,171000,18.8800,18.8800,18.8500,18.8700,7600,0
BMR.US,5,20131113,171500,18.8700,18.8700,18.8600,18.8600,1450,0
BMR.US,5,20131113,172000,18.8600,18.8700,18.8500,18.8700,4369,0
BMR.US,5,20131113,172500,18.8600,18.8700,18.8500,18.8500,7795,0
BMR.US,5,20131113,173000,18.8500,18.8600,18.8400,18.8400,3100,0
BMR.US,5,20131113,173500,18.8500,18.8500,18.8200,18.8400,4700,0
BMR.US,5,20131113,174000,18.8400,18.8400,18.8200,18.8200,2900,0
BMR.US,5,20131113,174500,18.8300,18.8300,18.8200,18.8300,1600,0
BMR.US,5,20131113,175000,18.8400,18.8500,18.8300,18.8400,3400,0
BMR.US,5,20131113,175500,18.8400,18.8500,18.8400,18.8500,3000,0
BMR.US,5,20131113,180000,18.8500,18.8700,18.8500,18.8700,3694,0
BMR.US,5,20131113,180500,18.8600,18.8800,18.8600,18.8800,6185,0
BMR.US,5,20131113,181000,18.8700,18.8900,18.8700,18.8900,6093,0
BMR.US,5,20131113,181500,18.8800,18.9000,18.8800,18.8900,6195,0
BMR.US,5,20131113,182000,18.8900,18.9100,18.8900,18.9100,5500,0
BMR.US,5,20131113,182500,18.9100,18.9400,18.9100,18.9200,5160,0
BMR.US,5,20131113,183000,18.9200,18.9300,18.9100,18.9100,4379,0
BMR.US,5,20131113,183500,18.9100,18.9200,18.9100,18.9100,6008,0
BMR.US,5,20131113,184000,18.9200,18.9200,18.9000,18.9000,2300,0
BMR.US,5,20131113,184500,18.9000,18.9100,18.8900,18.9000,6539,0
BMR.US,5,20131113,185000,18.9000,18.9000,18.8900,18.9000,1092,0
BMR.US,5,20131113,185500,18.9000,18.9200,18.9000,18.9200,11822,0
BMR.US,5,20131113,190000,18.9100,18.9300,18.9100,18.9100,4027,0
BMR.US,5,20131113,190500,18.9100,18.9100,18.8900,18.9000,7853,0
BMR.US,5,20131113,191000,18.9000,18.9000,18.8800,18.8800,2600,0
BMR.US,5,20131113,191500,18.8900,18.9000,18.8900,18.9000,1676,0
BMR.US,5,20131113,192000,18.9000,18.9000,18.8900,18.8900,1035,0
BMR.US,5,20131113,192500,18.9000,18.9100,18.8900,18.9000,6300,0
BMR.US,5,20131113,193000,18.9000,18.9100,18.8900,18.9100,4000,0
BMR.US,5,20131113,193500,18.9200,18.9200,18.9000,18.9200,4179,0
BMR.US,5,20131113,194000,18.9200,18.9300,18.9000,18.9000,9133,0
BMR.US,5,20131113,194500,18.8900,18.9000,18.8800,18.8900,8800,0
BMR.US,5,20131113,195000,18.8900,18.9000,18.8900,18.9000,2800,0
BMR.US,5,20131113,195500,18.8900,18.9000,18.8900,18.8900,1700,0
BMR.US,5,20131113,200000,18.9000,18.9000,18.8800,18.8800,7818,0
BMR.US,5,20131113,200500,18.8700,18.8800,18.8700,18.8800,4917,0
BMR.US,5,20131113,201000,18.8800,18.8800,18.8600,18.8700,3050,0
BMR.US,5,20131113,201500,18.8600,18.8900,18.8600,18.8700,8802,0
BMR.US,5,20131113,202000,18.8700,18.8900,18.8700,18.8900,7600,0
BMR.US,5,20131113,202500,18.8900,18.9000,18.8900,18.8900,7100,0
BMR.US,5,20131113,203000,18.9000,18.9000,18.8800,18.8800,9864,0
BMR.US,5,20131113,203500,18.8800,18.8900,18.8700,18.8700,11968,0
BMR.US,5,20131113,204000,18.8800,18.8800,18.8700,18.8700,2000,0
BMR.US,5,20131113,204500,18.8700,18.8700,18.8300,18.8300,7510,0
BMR.US,5,20131113,205000,18.8300,18.8400,18.8200,18.8300,15973,0
BMR.US,5,20131113,205500,18.8300,18.8500,18.8300,18.8400,5199,0
BMR.US,5,20131113,210000,18.8500,18.8500,18.8300,18.8400,4721,0
BMR.US,5,20131113,210500,18.8400,18.8500,18.8400,18.8400,4675,0
BMR.US,5,20131113,211000,18.8500,18.8500,18.8200,18.8200,5750,0
