<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BQH.US,5,20131112,162500,12.9400,12.9400,12.9400,12.9400,100,0
BQH.US,5,20131112,164500,12.9600,12.9600,12.9600,12.9600,200,0
BQH.US,5,20131112,165000,12.8800,12.8800,12.8800,12.8800,100,0
BQH.US,5,20131112,184500,12.8500,12.9500,12.8500,12.8800,4000,0
BQH.US,5,20131112,220000,12.9600,12.9600,12.8600,12.8600,429,0
BQH.US,5,20131113,153500,12.8600,12.8600,12.8600,12.8600,300,0
BQH.US,5,20131113,154000,12.9100,12.9100,12.9100,12.9100,100,0
BQH.US,5,20131113,154500,12.9200,12.9200,12.9200,12.9200,200,0
BQH.US,5,20131113,155000,12.8700,12.8700,12.8700,12.8700,100,0
BQH.US,5,20131113,173000,12.7900,12.7900,12.7100,12.7900,3252,0
BQH.US,5,20131113,204500,12.7200,12.7200,12.7200,12.7200,100,0
BQH.US,5,20131113,220000,12.7200,12.7200,12.7100,12.7100,900,0
BQH.US,5,20131114,160000,12.9600,12.9600,12.9500,12.9600,4420,0
BQH.US,5,20131114,220000,12.8900,12.9000,12.8900,12.9000,300,0
BQH.US,5,20131115,154000,12.7700,12.7700,12.7700,12.7700,100,0
BQH.US,5,20131115,155000,12.7700,12.7700,12.7700,12.7700,100,0
BQH.US,5,20131115,160000,12.7700,12.7900,12.7600,12.7700,1800,0
BQH.US,5,20131115,165000,12.7300,12.7300,12.7300,12.7300,100,0
BQH.US,5,20131115,165500,12.7300,12.7300,12.7300,12.7300,400,0
BQH.US,5,20131115,170000,12.7200,12.7200,12.7100,12.7100,1100,0
BQH.US,5,20131115,171500,12.7100,12.7200,12.7100,12.7100,1766,0
BQH.US,5,20131115,173000,12.7100,12.7100,12.7100,12.7100,100,0
BQH.US,5,20131115,174500,12.7100,12.7100,12.6900,12.6900,1450,0
BQH.US,5,20131115,182500,12.7400,12.7700,12.7300,12.7700,5400,0
BQH.US,5,20131115,183000,12.7700,12.7800,12.7200,12.7200,4011,0
BQH.US,5,20131115,183500,12.7200,12.7600,12.6900,12.7300,6900,0
BQH.US,5,20131115,184500,12.7400,12.7500,12.7400,12.7400,1300,0
BQH.US,5,20131115,185000,12.7100,12.7100,12.7000,12.7000,900,0
BQH.US,5,20131115,191500,12.6800,12.6900,12.6800,12.6900,666,0
BQH.US,5,20131115,200000,12.6900,12.6900,12.6700,12.6700,700,0
BQH.US,5,20131115,200500,12.6700,12.6700,12.6600,12.6600,900,0
BQH.US,5,20131115,201500,12.6500,12.6500,12.6400,12.6400,200,0
BQH.US,5,20131115,203500,12.6900,12.7200,12.6900,12.7200,2700,0
BQH.US,5,20131115,204000,12.6900,12.6900,12.6500,12.6500,2900,0
BQH.US,5,20131115,204500,12.6400,12.6400,12.6100,12.6100,2477,0
BQH.US,5,20131115,210500,12.6100,12.6100,12.6100,12.6100,450,0
BQH.US,5,20131115,211000,12.6300,12.6300,12.6100,12.6100,300,0
BQH.US,5,20131118,153500,12.6100,12.6100,12.6100,12.6100,559,0
BQH.US,5,20131118,154000,12.7000,12.7000,12.7000,12.7000,100,0
BQH.US,5,20131118,160500,12.6400,12.6600,12.6200,12.6400,2800,0
BQH.US,5,20131118,161000,12.6300,12.6400,12.6100,12.6100,2400,0
BQH.US,5,20131118,165000,12.6200,12.6400,12.6200,12.6400,2000,0
BQH.US,5,20131118,165500,12.6100,12.6100,12.5900,12.5900,395,0
BQH.US,5,20131118,172000,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131118,172500,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131118,195000,12.6300,12.6300,12.6100,12.6100,200,0
BQH.US,5,20131118,195500,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131118,200500,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131118,201000,12.6400,12.6400,12.6400,12.6400,2100,0
BQH.US,5,20131118,201500,12.6500,12.7100,12.6500,12.7100,2700,0
BQH.US,5,20131118,202000,12.6800,12.6800,12.6800,12.6800,2500,0
BQH.US,5,20131118,202500,12.6700,12.6700,12.6700,12.6700,100,0
BQH.US,5,20131118,203000,12.6800,12.6800,12.6200,12.6200,400,0
BQH.US,5,20131118,203500,12.6100,12.6500,12.6100,12.6500,3300,0
BQH.US,5,20131118,204000,12.6000,12.6000,12.6000,12.6000,600,0
BQH.US,5,20131118,204500,12.6700,12.6700,12.5800,12.6300,600,0
BQH.US,5,20131118,205000,12.5800,12.6200,12.5700,12.5700,2305,0
BQH.US,5,20131118,210000,12.6200,12.6200,12.6200,12.6200,1000,0
BQH.US,5,20131118,212500,12.6300,12.6300,12.6300,12.6300,1000,0
BQH.US,5,20131118,220000,12.5700,12.5700,12.5700,12.5700,100,0
BQH.US,5,20131119,154000,12.5700,12.5700,12.5700,12.5700,2000,0
BQH.US,5,20131119,154500,12.5700,12.5700,12.5700,12.5700,200,0
BQH.US,5,20131119,155000,12.5700,12.5700,12.5600,12.5600,1700,0
BQH.US,5,20131119,160500,12.5600,12.5600,12.5600,12.5600,900,0
BQH.US,5,20131119,161000,12.5700,12.5700,12.5700,12.5700,2800,0
BQH.US,5,20131119,162500,12.5800,12.5900,12.5800,12.5900,200,0
BQH.US,5,20131119,174000,12.5400,12.5400,12.5400,12.5400,1000,0
BQH.US,5,20131119,174500,12.5400,12.5400,12.5400,12.5400,100,0
BQH.US,5,20131119,175500,12.5400,12.5400,12.5400,12.5400,1600,0
BQH.US,5,20131119,185000,12.5700,12.5900,12.5700,12.5900,3500,0
BQH.US,5,20131120,154500,12.5900,12.6100,12.5900,12.6100,1900,0
BQH.US,5,20131120,155000,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131120,155500,12.6100,12.6100,12.6100,12.6100,2500,0
BQH.US,5,20131120,160500,12.6000,12.6000,12.6000,12.6000,800,0
BQH.US,5,20131120,161000,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,162500,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,163000,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131120,165000,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,170000,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,170500,12.6300,12.6300,12.6300,12.6300,200,0
BQH.US,5,20131120,171000,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131120,173000,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,174000,12.6300,12.6300,12.6300,12.6300,100,0
BQH.US,5,20131120,175500,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131120,182000,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131120,185000,12.6400,12.6400,12.6000,12.6000,304,0
BQH.US,5,20131120,192000,12.6400,12.6400,12.6400,12.6400,100,0
BQH.US,5,20131120,194500,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131120,195000,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131120,201000,12.5900,12.5900,12.5900,12.5900,100,0
BQH.US,5,20131120,201500,12.5900,12.5900,12.5900,12.5900,200,0
BQH.US,5,20131120,211000,12.6100,12.6100,12.6000,12.6000,200,0
BQH.US,5,20131120,212500,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131120,214500,12.6100,12.6100,12.6100,12.6100,100,0
BQH.US,5,20131120,215000,12.6100,12.6100,12.6100,12.6100,194,0
BQH.US,5,20131120,220000,12.6100,12.6100,12.6100,12.6100,300,0
BQH.US,5,20131121,155000,12.5700,12.5700,12.5400,12.5400,200,0
BQH.US,5,20131121,163000,12.5500,12.5500,12.5200,12.5300,1400,0
BQH.US,5,20131121,163500,12.5300,12.5900,12.5300,12.5900,900,0
