<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRE.US,5,20131112,153500,53.4000,53.4100,53.2200,53.2200,4900,0
BRE.US,5,20131112,154000,53.3000,53.4300,53.2700,53.4300,5118,0
BRE.US,5,20131112,154500,53.3800,53.4300,53.2500,53.2500,10245,0
BRE.US,5,20131112,155000,53.2500,53.2900,53.1000,53.1000,11982,0
BRE.US,5,20131112,155500,53.0600,53.1400,53.0600,53.1300,2000,0
BRE.US,5,20131112,160000,53.1100,53.1500,53.0700,53.1200,2300,0
BRE.US,5,20131112,160500,53.1200,53.1600,53.0700,53.1400,3500,0
BRE.US,5,20131112,161000,53.1100,53.1100,53.0700,53.0700,2200,0
BRE.US,5,20131112,161500,53.0700,53.0900,52.9800,53.0700,3697,0
BRE.US,5,20131112,162000,53.0500,53.1200,53.0000,53.1200,2500,0
BRE.US,5,20131112,162500,53.0800,53.0800,53.0300,53.0600,1400,0
BRE.US,5,20131112,163000,53.0400,53.1300,53.0400,53.0700,7912,0
BRE.US,5,20131112,163500,53.0800,53.0900,53.0600,53.0800,1500,0
BRE.US,5,20131112,164000,53.0700,53.1000,53.0700,53.0800,2900,0
BRE.US,5,20131112,164500,53.0400,53.0600,53.0400,53.0600,700,0
BRE.US,5,20131112,165000,53.0400,53.0500,52.9900,53.0100,3024,0
BRE.US,5,20131112,165500,53.0400,53.0400,52.9700,53.0000,3744,0
BRE.US,5,20131112,170000,53.0000,53.0400,52.9900,53.0400,1600,0
BRE.US,5,20131112,170500,53.0500,53.0700,52.9900,53.0000,3600,0
BRE.US,5,20131112,171000,53.0000,53.0200,52.9700,53.0000,6494,0
BRE.US,5,20131112,171500,52.9900,53.0600,52.9900,53.0100,2700,0
BRE.US,5,20131112,172000,53.0400,53.0700,53.0100,53.0700,2013,0
BRE.US,5,20131112,172500,53.0600,53.0600,53.0100,53.0300,1765,0
