<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRO.US,5,20131112,153500,31.5200,31.5200,31.4900,31.4900,788,0
BRO.US,5,20131112,154000,31.4900,31.6800,31.4500,31.6200,7782,0
BRO.US,5,20131112,154500,31.6200,31.6500,31.5500,31.5700,22200,0
BRO.US,5,20131112,155000,31.5600,31.5900,31.5500,31.5600,13215,0
BRO.US,5,20131112,155500,31.5700,31.5700,31.5100,31.5100,1600,0
BRO.US,5,20131112,160000,31.5200,31.5700,31.5100,31.5200,10560,0
BRO.US,5,20131112,160500,31.5300,31.5300,31.4300,31.4600,2662,0
BRO.US,5,20131112,161000,31.4500,31.4700,31.3900,31.4100,4164,0
BRO.US,5,20131112,161500,31.4400,31.4500,31.4000,31.4000,4734,0
BRO.US,5,20131112,162000,31.4300,31.5000,31.3900,31.4700,3600,0
BRO.US,5,20131112,162500,31.4600,31.4700,31.3900,31.3900,2200,0
BRO.US,5,20131112,163000,31.3900,31.4200,31.3900,31.3900,2155,0
BRO.US,5,20131112,163500,31.4100,31.4100,31.3600,31.3900,3872,0
BRO.US,5,20131112,164000,31.3800,31.4000,31.3700,31.3800,11051,0
BRO.US,5,20131112,164500,31.3800,31.3800,31.3700,31.3800,400,0
BRO.US,5,20131112,165000,31.3900,31.4000,31.3500,31.3600,4488,0
BRO.US,5,20131112,165500,31.3500,31.3500,31.3500,31.3500,500,0
BRO.US,5,20131112,170000,31.3700,31.3700,31.3300,31.3400,3200,0
BRO.US,5,20131112,170500,31.3400,31.3500,31.3100,31.3400,6330,0
BRO.US,5,20131112,171000,31.3300,31.3500,31.3200,31.3200,1800,0
BRO.US,5,20131112,171500,31.3200,31.3500,31.3100,31.3500,13467,0
BRO.US,5,20131112,172000,31.3400,31.3600,31.3400,31.3500,1053,0
BRO.US,5,20131112,172500,31.3500,31.3600,31.3400,31.3600,2100,0
BRO.US,5,20131112,173000,31.3600,31.3600,31.3500,31.3600,2373,0
BRO.US,5,20131112,173500,31.3500,31.3500,31.3300,31.3300,1600,0
BRO.US,5,20131112,174000,31.3300,31.3300,31.2900,31.2900,1600,0
BRO.US,5,20131112,174500,31.2800,31.2800,31.2600,31.2600,2577,0
BRO.US,5,20131112,175000,31.2700,31.3000,31.2600,31.2800,8085,0
BRO.US,5,20131112,175500,31.2800,31.3000,31.2800,31.2800,1900,0
BRO.US,5,20131112,180000,31.2800,31.3100,31.2800,31.3100,2100,0
BRO.US,5,20131112,180500,31.2900,31.3100,31.2600,31.2600,2106,0
BRO.US,5,20131112,181000,31.2600,31.2600,31.1800,31.2000,3157,0
BRO.US,5,20131112,181500,31.1800,31.2200,31.1800,31.2000,3901,0
BRO.US,5,20131112,182000,31.1900,31.2300,31.1900,31.2300,11957,0
BRO.US,5,20131112,182500,31.2300,31.2400,31.2100,31.2400,8887,0
BRO.US,5,20131112,183000,31.2300,31.2500,31.2300,31.2500,1981,0
BRO.US,5,20131112,183500,31.2500,31.2600,31.2400,31.2600,3837,0
BRO.US,5,20131112,184000,31.2800,31.3100,31.2600,31.3100,12237,0
BRO.US,5,20131112,184500,31.3000,31.3100,31.2900,31.2900,1799,0
BRO.US,5,20131112,185000,31.2900,31.3200,31.2900,31.3200,2400,0
BRO.US,5,20131112,185500,31.3200,31.3400,31.3200,31.3300,3980,0
BRO.US,5,20131112,190000,31.3300,31.3400,31.3300,31.3300,400,0
BRO.US,5,20131112,190500,31.3300,31.3600,31.3300,31.3500,3100,0
BRO.US,5,20131112,191000,31.3500,31.3500,31.3400,31.3400,400,0
BRO.US,5,20131112,191500,31.3500,31.3700,31.3500,31.3600,4352,0
BRO.US,5,20131112,192000,31.3700,31.3700,31.3500,31.3600,2100,0
BRO.US,5,20131112,192500,31.3300,31.3500,31.3300,31.3500,1200,0
BRO.US,5,20131112,193000,31.3600,31.3600,31.3400,31.3400,1557,0
BRO.US,5,20131112,193500,31.3200,31.3200,31.2800,31.2800,1702,0
BRO.US,5,20131112,194000,31.2700,31.3300,31.2700,31.3100,10204,0
BRO.US,5,20131112,194500,31.3200,31.3600,31.3200,31.3400,16533,0
BRO.US,5,20131112,195000,31.3500,31.3700,31.3500,31.3700,4400,0
BRO.US,5,20131112,195500,31.3600,31.3700,31.3300,31.3400,6300,0
BRO.US,5,20131112,200000,31.3400,31.3700,31.3400,31.3600,10301,0
BRO.US,5,20131112,200500,31.3600,31.3600,31.3300,31.3300,2912,0
BRO.US,5,20131112,201000,31.3400,31.3500,31.3300,31.3500,5100,0
BRO.US,5,20131112,201500,31.3400,31.3700,31.3400,31.3700,8626,0
BRO.US,5,20131112,202000,31.3800,31.3800,31.3400,31.3500,4801,0
BRO.US,5,20131112,202500,31.3600,31.4000,31.3400,31.3900,17100,0
BRO.US,5,20131112,203000,31.3900,31.4100,31.3800,31.4100,21684,0
BRO.US,5,20131112,203500,31.4000,31.4200,31.3900,31.4100,8851,0
BRO.US,5,20131112,204000,31.4100,31.4400,31.4100,31.4400,8204,0
BRO.US,5,20131112,204500,31.4400,31.4800,31.4400,31.4700,15699,0
BRO.US,5,20131112,205000,31.4800,31.4900,31.4700,31.4900,8400,0
BRO.US,5,20131112,205500,31.4900,31.5000,31.4800,31.4900,12512,0
BRO.US,5,20131112,210000,31.5000,31.5400,31.4900,31.5400,4808,0
BRO.US,5,20131112,210500,31.5400,31.5500,31.5200,31.5400,7012,0
BRO.US,5,20131112,211000,31.5500,31.5700,31.5400,31.5600,9089,0
BRO.US,5,20131112,211500,31.5500,31.5700,31.5400,31.5700,10903,0
BRO.US,5,20131112,212000,31.5600,31.5700,31.5500,31.5700,4123,0
BRO.US,5,20131112,212500,31.5800,31.5800,31.5100,31.5100,4535,0
BRO.US,5,20131112,213000,31.5200,31.5400,31.5200,31.5300,6730,0
BRO.US,5,20131112,213500,31.5300,31.5800,31.5300,31.5700,11571,0
BRO.US,5,20131112,214000,31.5700,31.5900,31.5600,31.5700,10830,0
BRO.US,5,20131112,214500,31.5600,31.5900,31.5600,31.5800,10300,0
BRO.US,5,20131112,215000,31.5800,31.5800,31.5400,31.5800,19965,0
BRO.US,5,20131112,215500,31.5800,31.5800,31.5300,31.5300,11473,0
BRO.US,5,20131112,220000,31.5300,31.6300,31.5200,31.6300,82262,0
BRO.US,5,20131112,220500,31.6300,31.6300,31.6300,31.6300,42129,0
BRO.US,5,20131113,153500,31.4200,31.5000,31.4200,31.4500,6026,0
BRO.US,5,20131113,154000,31.4700,31.5200,31.4500,31.5000,3363,0
BRO.US,5,20131113,154500,31.5200,31.5200,31.4600,31.4900,10206,0
BRO.US,5,20131113,155000,31.5000,31.5800,31.4900,31.5600,4864,0
BRO.US,5,20131113,155500,31.5400,31.5500,31.4900,31.5000,12301,0
BRO.US,5,20131113,160000,31.4800,31.5500,31.4600,31.5500,3705,0
BRO.US,5,20131113,160500,31.5500,31.6000,31.5500,31.6000,4200,0
BRO.US,5,20131113,161000,31.6100,31.6500,31.5800,31.5900,4673,0
BRO.US,5,20131113,161500,31.6000,31.6200,31.6000,31.6100,4226,0
BRO.US,5,20131113,162000,31.6100,31.6400,31.5800,31.6100,17100,0
BRO.US,5,20131113,162500,31.6200,31.6400,31.5800,31.5800,8740,0
BRO.US,5,20131113,163000,31.5900,31.6400,31.5900,31.6000,5413,0
BRO.US,5,20131113,163500,31.6100,31.6100,31.5900,31.6000,1500,0
BRO.US,5,20131113,164000,31.6100,31.6400,31.6100,31.6200,5014,0
BRO.US,5,20131113,164500,31.6200,31.6800,31.6200,31.6500,15041,0
BRO.US,5,20131113,165000,31.6600,31.6700,31.6400,31.6700,1794,0
BRO.US,5,20131113,165500,31.6600,31.6700,31.6600,31.6600,1675,0
BRO.US,5,20131113,170000,31.6500,31.6600,31.6500,31.6500,1300,0
BRO.US,5,20131113,170500,31.6500,31.6600,31.6400,31.6600,2622,0
BRO.US,5,20131113,171000,31.6500,31.6500,31.6500,31.6500,800,0
BRO.US,5,20131113,171500,31.6500,31.6500,31.6500,31.6500,981,0
BRO.US,5,20131113,172000,31.6400,31.6500,31.6400,31.6500,1800,0
BRO.US,5,20131113,172500,31.6500,31.6700,31.6400,31.6400,7600,0
BRO.US,5,20131113,173000,31.6400,31.6500,31.6400,31.6500,500,0
BRO.US,5,20131113,173500,31.6500,31.6700,31.6300,31.6700,3500,0
BRO.US,5,20131113,174000,31.6700,31.6700,31.6700,31.6700,300,0
BRO.US,5,20131113,174500,31.6700,31.6700,31.6400,31.6500,3900,0
BRO.US,5,20131113,175000,31.6500,31.6900,31.6500,31.6800,3526,0
BRO.US,5,20131113,175500,31.6800,31.6800,31.6700,31.6700,2492,0
BRO.US,5,20131113,180000,31.6600,31.6700,31.6600,31.6600,3694,0
BRO.US,5,20131113,180500,31.6600,31.6600,31.6500,31.6600,500,0
BRO.US,5,20131113,181000,31.6600,31.6700,31.6500,31.6600,2700,0
BRO.US,5,20131113,181500,31.6600,31.6600,31.6500,31.6600,2200,0
BRO.US,5,20131113,182000,31.6600,31.6800,31.6400,31.6700,14908,0
BRO.US,5,20131113,182500,31.6600,31.7000,31.6600,31.6800,2604,0
BRO.US,5,20131113,183000,31.6800,31.6900,31.6800,31.6900,1600,0
BRO.US,5,20131113,183500,31.7000,31.7100,31.7000,31.7000,2923,0
BRO.US,5,20131113,184000,31.6900,31.6900,31.6900,31.6900,2600,0
BRO.US,5,20131113,184500,31.6900,31.7300,31.6800,31.7200,4244,0
BRO.US,5,20131113,185000,31.7200,31.7200,31.7200,31.7200,1500,0
BRO.US,5,20131113,185500,31.7200,31.7500,31.7200,31.7500,5448,0
BRO.US,5,20131113,190000,31.7700,31.7700,31.7500,31.7500,1500,0
BRO.US,5,20131113,190500,31.7600,31.7800,31.7600,31.7700,3200,0
BRO.US,5,20131113,191000,31.7700,31.7700,31.7600,31.7600,900,0
BRO.US,5,20131113,191500,31.7700,31.7700,31.7600,31.7700,1400,0
BRO.US,5,20131113,192000,31.7600,31.7700,31.7500,31.7500,1700,0
BRO.US,5,20131113,192500,31.7600,31.7700,31.7500,31.7700,3700,0
BRO.US,5,20131113,193000,31.7600,31.7600,31.7500,31.7600,2866,0
BRO.US,5,20131113,193500,31.7700,31.7700,31.7500,31.7600,3055,0
BRO.US,5,20131113,194000,31.7600,31.7600,31.7400,31.7600,3250,0
BRO.US,5,20131113,194500,31.7600,31.7600,31.7600,31.7600,695,0
BRO.US,5,20131113,195000,31.7500,31.7700,31.7500,31.7600,3126,0
BRO.US,5,20131113,195500,31.7700,31.7700,31.7500,31.7600,8113,0
BRO.US,5,20131113,200000,31.7500,31.7600,31.7500,31.7600,4376,0
BRO.US,5,20131113,200500,31.7700,31.7700,31.7500,31.7700,5187,0
BRO.US,5,20131113,201000,31.7600,31.7700,31.7600,31.7600,2500,0
BRO.US,5,20131113,201500,31.7600,31.7700,31.7600,31.7600,2634,0
BRO.US,5,20131113,202000,31.7600,31.7700,31.7500,31.7600,3194,0
BRO.US,5,20131113,202500,31.7600,31.7700,31.7600,31.7600,2840,0
BRO.US,5,20131113,203000,31.7600,31.7700,31.7600,31.7600,1000,0
BRO.US,5,20131113,203500,31.7500,31.7600,31.7500,31.7600,1853,0
BRO.US,5,20131113,204000,31.7500,31.7500,31.7400,31.7500,4800,0
BRO.US,5,20131113,204500,31.7400,31.7500,31.7400,31.7400,3313,0
BRO.US,5,20131113,205000,31.7500,31.7500,31.7400,31.7500,2614,0
BRO.US,5,20131113,205500,31.7500,31.7500,31.7300,31.7500,14830,0
BRO.US,5,20131113,210000,31.7500,31.7500,31.7400,31.7400,6839,0
BRO.US,5,20131113,210500,31.7500,31.7500,31.7400,31.7400,5236,0
BRO.US,5,20131113,211000,31.7400,31.7500,31.7300,31.7400,5329,0
BRO.US,5,20131113,211500,31.7300,31.7300,31.7100,31.7200,5355,0
BRO.US,5,20131113,212000,31.7200,31.7200,31.6900,31.7000,10655,0
