<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSE.US,5,20131112,154500,11.9800,11.9800,11.9800,11.9800,100,0
BSE.US,5,20131112,155000,11.9800,11.9800,11.9800,11.9800,100,0
BSE.US,5,20131112,155500,12.0200,12.0200,11.9700,12.0200,600,0
BSE.US,5,20131112,160500,11.9900,12.0000,11.9900,12.0000,800,0
BSE.US,5,20131112,161000,11.9800,11.9800,11.9800,11.9800,100,0
BSE.US,5,20131112,162000,12.0300,12.0300,12.0300,12.0300,100,0
BSE.US,5,20131112,162500,12.0200,12.0200,11.9800,11.9800,550,0
BSE.US,5,20131112,163000,12.0000,12.0200,12.0000,12.0000,300,0
BSE.US,5,20131112,163500,11.9800,11.9800,11.9800,11.9800,200,0
BSE.US,5,20131112,164000,11.9800,11.9800,11.9800,11.9800,100,0
BSE.US,5,20131112,165500,11.9800,11.9800,11.9400,11.9400,400,0
BSE.US,5,20131112,170000,11.9400,11.9500,11.9400,11.9400,800,0
BSE.US,5,20131112,170500,11.9400,11.9500,11.9400,11.9400,1400,0
BSE.US,5,20131112,171000,11.9400,11.9500,11.9300,11.9300,3700,0
BSE.US,5,20131112,173500,11.9300,12.0000,11.9300,12.0000,1141,0
BSE.US,5,20131112,174000,12.0000,12.0000,12.0000,12.0000,107,0
BSE.US,5,20131112,180000,12.0000,12.0000,11.9300,11.9300,2150,0
BSE.US,5,20131112,181500,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,182000,11.9400,11.9400,11.9400,11.9400,100,0
BSE.US,5,20131112,184500,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,185000,11.9400,11.9400,11.9400,11.9400,309,0
BSE.US,5,20131112,190000,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,191500,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,193000,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,194500,11.9300,11.9300,11.9300,11.9300,138,0
BSE.US,5,20131112,195000,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,200500,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,202000,11.9300,11.9700,11.9300,11.9700,1100,0
BSE.US,5,20131112,203500,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,210000,11.9700,11.9700,11.9700,11.9700,945,0
BSE.US,5,20131112,211000,11.9800,11.9800,11.9800,11.9800,1000,0
BSE.US,5,20131112,213000,11.9300,11.9300,11.9300,11.9300,100,0
BSE.US,5,20131112,213500,11.9300,11.9700,11.9300,11.9700,2875,0
BSE.US,5,20131112,214000,11.9700,11.9700,11.9700,11.9700,100,0
BSE.US,5,20131112,214500,11.9400,11.9700,11.9400,11.9700,600,0
BSE.US,5,20131112,215000,11.9700,11.9700,11.9700,11.9700,400,0
BSE.US,5,20131112,220000,11.9500,11.9500,11.9500,11.9500,100,0
BSE.US,5,20131112,221000,12.0000,12.0000,12.0000,12.0000,626,0
BSE.US,5,20131113,154000,11.9800,11.9800,11.9800,11.9800,200,0
BSE.US,5,20131113,154500,11.9800,11.9800,11.9800,11.9800,200,0
BSE.US,5,20131113,155000,11.9800,11.9800,11.9700,11.9700,300,0
BSE.US,5,20131113,162000,11.9600,11.9600,11.9600,11.9600,200,0
BSE.US,5,20131113,162500,11.9500,11.9500,11.9300,11.9300,300,0
BSE.US,5,20131113,163000,11.9500,11.9700,11.8500,11.8800,9032,0
BSE.US,5,20131113,163500,11.9000,11.9100,11.9000,11.9100,500,0
BSE.US,5,20131113,164000,11.9000,11.9000,11.8900,11.9000,300,0
BSE.US,5,20131113,164500,11.9000,11.9000,11.9000,11.9000,800,0
BSE.US,5,20131113,165000,11.9000,11.9000,11.8800,11.8800,1533,0
BSE.US,5,20131113,165500,11.8900,11.9000,11.8900,11.9000,800,0
BSE.US,5,20131113,170000,11.9000,11.9000,11.9000,11.9000,300,0
BSE.US,5,20131113,170500,11.9100,11.9100,11.9100,11.9100,8700,0
BSE.US,5,20131113,171000,11.9000,11.9000,11.9000,11.9000,719,0
BSE.US,5,20131113,171500,11.9000,11.9000,11.9000,11.9000,390,0
BSE.US,5,20131113,172000,11.9000,11.9000,11.9000,11.9000,2100,0
BSE.US,5,20131113,173000,11.9000,11.9000,11.9000,11.9000,100,0
BSE.US,5,20131113,174000,11.9000,11.9000,11.9000,11.9000,200,0
BSE.US,5,20131113,180500,11.9000,11.9000,11.9000,11.9000,100,0
BSE.US,5,20131113,181500,11.9000,11.9000,11.9000,11.9000,200,0
BSE.US,5,20131113,182000,11.9000,11.9000,11.9000,11.9000,300,0
BSE.US,5,20131113,183000,11.9000,11.9000,11.9000,11.9000,100,0
BSE.US,5,20131113,184000,11.9100,11.9100,11.9100,11.9100,100,0
BSE.US,5,20131113,185000,11.9100,11.9100,11.9100,11.9100,100,0
BSE.US,5,20131113,190500,11.9100,11.9100,11.9100,11.9100,100,0
BSE.US,5,20131113,191000,11.9100,11.9100,11.9100,11.9100,200,0
BSE.US,5,20131113,191500,11.9100,11.9100,11.9100,11.9100,166,0
BSE.US,5,20131113,192000,11.9100,11.9200,11.9100,11.9200,1606,0
BSE.US,5,20131113,193500,11.9100,11.9100,11.9100,11.9100,100,0
BSE.US,5,20131113,194500,11.9100,11.9100,11.9100,11.9100,100,0
BSE.US,5,20131113,200000,11.9100,11.9100,11.9100,11.9100,400,0
BSE.US,5,20131113,200500,11.9200,11.9200,11.9200,11.9200,439,0
BSE.US,5,20131113,201000,11.9400,11.9400,11.9400,11.9400,100,0
BSE.US,5,20131113,204000,11.9100,11.9100,11.9100,11.9100,100,0
