<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTZ.US,5,20131112,153500,12.9500,12.9500,12.9200,12.9200,2100,0
BTZ.US,5,20131112,154000,12.9200,12.9500,12.9200,12.9500,500,0
BTZ.US,5,20131112,154500,12.9300,12.9500,12.9200,12.9400,2184,0
BTZ.US,5,20131112,155000,12.9300,12.9300,12.9300,12.9300,273,0
BTZ.US,5,20131112,155500,12.9400,12.9400,12.9300,12.9400,37181,0
BTZ.US,5,20131112,160000,12.9400,12.9600,12.9400,12.9600,15966,0
BTZ.US,5,20131112,160500,12.9500,12.9500,12.9400,12.9400,3506,0
BTZ.US,5,20131112,161000,12.9500,12.9500,12.9500,12.9500,5035,0
BTZ.US,5,20131112,161500,12.9400,12.9400,12.9400,12.9400,100,0
BTZ.US,5,20131112,162000,12.9400,12.9400,12.9400,12.9400,200,0
BTZ.US,5,20131112,163000,12.9400,12.9400,12.9400,12.9400,1360,0
BTZ.US,5,20131112,163500,12.9500,12.9500,12.9400,12.9400,1420,0
BTZ.US,5,20131112,164000,12.9400,12.9400,12.9400,12.9400,1372,0
BTZ.US,5,20131112,164500,12.9400,12.9400,12.9400,12.9400,110,0
BTZ.US,5,20131112,165000,12.9500,12.9500,12.9400,12.9400,3013,0
BTZ.US,5,20131112,165500,12.9400,12.9400,12.9400,12.9400,1000,0
BTZ.US,5,20131112,170000,12.9500,12.9500,12.9500,12.9500,4337,0
BTZ.US,5,20131112,170500,12.9500,12.9500,12.9400,12.9400,368,0
BTZ.US,5,20131112,171000,12.9400,12.9400,12.9400,12.9400,1165,0
BTZ.US,5,20131112,171500,12.9400,12.9400,12.9400,12.9400,1100,0
BTZ.US,5,20131112,172000,12.9500,12.9500,12.9400,12.9400,1149,0
BTZ.US,5,20131112,172500,12.9400,12.9400,12.9400,12.9400,600,0
BTZ.US,5,20131112,173000,12.9400,12.9400,12.9400,12.9400,300,0
BTZ.US,5,20131112,173500,12.9400,12.9400,12.9400,12.9400,672,0
BTZ.US,5,20131112,174000,12.9400,12.9400,12.9300,12.9400,4102,0
BTZ.US,5,20131112,174500,12.9400,12.9400,12.9300,12.9400,14847,0
BTZ.US,5,20131112,175000,12.9300,12.9300,12.9300,12.9300,104,0
