<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BXC.US,5,20131112,153500,1.7000,1.7100,1.7000,1.7100,524,0
BXC.US,5,20131112,154000,1.7100,1.7100,1.7100,1.7100,342,0
BXC.US,5,20131112,154500,1.7200,1.7200,1.7200,1.7200,1500,0
BXC.US,5,20131112,155000,1.7000,1.7000,1.7000,1.7000,200,0
BXC.US,5,20131112,155500,1.7000,1.7000,1.6800,1.6800,1900,0
BXC.US,5,20131112,160000,1.6800,1.6900,1.6800,1.6900,300,0
BXC.US,5,20131112,160500,1.6900,1.6900,1.6800,1.6800,1000,0
BXC.US,5,20131112,161000,1.6800,1.6800,1.6800,1.6800,100,0
BXC.US,5,20131112,161500,1.6800,1.6800,1.6800,1.6800,100,0
BXC.US,5,20131112,162000,1.6700,1.6800,1.6700,1.6700,600,0
BXC.US,5,20131112,162500,1.6700,1.6700,1.6700,1.6700,100,0
BXC.US,5,20131112,163000,1.6600,1.6800,1.6600,1.6700,800,0
BXC.US,5,20131112,163500,1.6700,1.6700,1.6700,1.6700,100,0
BXC.US,5,20131112,164000,1.6600,1.6800,1.6600,1.6800,1300,0
BXC.US,5,20131112,164500,1.6700,1.6900,1.6700,1.6800,2200,0
BXC.US,5,20131112,165000,1.6800,1.6800,1.6800,1.6800,1200,0
BXC.US,5,20131112,165500,1.6700,1.6800,1.6700,1.6800,700,0
BXC.US,5,20131112,170000,1.6800,1.6800,1.6800,1.6800,500,0
BXC.US,5,20131112,170500,1.6900,1.7100,1.6900,1.7100,1900,0
BXC.US,5,20131112,171000,1.7000,1.7000,1.7000,1.7000,200,0
BXC.US,5,20131112,172000,1.6800,1.6800,1.6800,1.6800,200,0
BXC.US,5,20131112,172500,1.6800,1.6800,1.6800,1.6800,400,0
BXC.US,5,20131112,173500,1.6800,1.6900,1.6800,1.6900,800,0
BXC.US,5,20131112,174500,1.6800,1.6800,1.6800,1.6800,200,0
BXC.US,5,20131112,175000,1.6800,1.6800,1.6700,1.6700,2449,0
BXC.US,5,20131112,180000,1.6800,1.6800,1.6700,1.6800,1900,0
BXC.US,5,20131112,180500,1.6900,1.6900,1.6900,1.6900,150,0
BXC.US,5,20131112,181000,1.6800,1.6900,1.6800,1.6800,4624,0
BXC.US,5,20131112,181500,1.6700,1.6800,1.6700,1.6800,400,0
BXC.US,5,20131112,182000,1.6800,1.6800,1.6700,1.6800,1333,0
BXC.US,5,20131112,183000,1.6900,1.7300,1.6800,1.7300,14435,0
BXC.US,5,20131112,184000,1.7000,1.7000,1.6500,1.6700,62330,0
BXC.US,5,20131112,184500,1.6800,1.6800,1.6800,1.6800,1222,0
BXC.US,5,20131112,185000,1.6800,1.6800,1.6800,1.6800,200,0
BXC.US,5,20131112,185500,1.6700,1.6800,1.6700,1.6800,600,0
BXC.US,5,20131112,190000,1.6800,1.6800,1.6800,1.6800,500,0
BXC.US,5,20131112,190500,1.6700,1.6800,1.6700,1.6800,800,0
BXC.US,5,20131112,191000,1.6800,1.6800,1.6700,1.6700,900,0
BXC.US,5,20131112,191500,1.6700,1.6800,1.6700,1.6800,660,0
BXC.US,5,20131112,192000,1.6800,1.6800,1.6700,1.6700,1000,0
BXC.US,5,20131112,192500,1.6800,1.6800,1.6800,1.6800,400,0
BXC.US,5,20131112,193000,1.6800,1.6800,1.6800,1.6800,500,0
BXC.US,5,20131112,194000,1.6900,1.6900,1.6700,1.6700,400,0
BXC.US,5,20131112,194500,1.6700,1.6800,1.6700,1.6800,500,0
BXC.US,5,20131112,195500,1.6700,1.6800,1.6700,1.6800,1000,0
BXC.US,5,20131112,200500,1.6800,1.6800,1.6800,1.6800,500,0
BXC.US,5,20131112,201000,1.6800,1.6800,1.6700,1.6700,300,0
BXC.US,5,20131112,201500,1.6800,1.6800,1.6800,1.6800,700,0
BXC.US,5,20131112,202500,1.6800,1.6800,1.6800,1.6800,500,0
BXC.US,5,20131112,203000,1.6800,1.6800,1.6800,1.6800,100,0
BXC.US,5,20131112,203500,1.6800,1.6800,1.6800,1.6800,300,0
