<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BX.US,5,20131112,153500,26.5000,26.5400,26.3800,26.4900,16070,0
BX.US,5,20131112,154000,26.5000,26.5900,26.4900,26.4900,18462,0
BX.US,5,20131112,154500,26.4700,26.5800,26.4300,26.4600,64931,0
BX.US,5,20131112,155000,26.4500,26.4900,26.4100,26.4100,22085,0
BX.US,5,20131112,155500,26.4200,26.4600,26.3900,26.3900,33956,0
BX.US,5,20131112,160000,26.3800,26.3900,26.3500,26.3800,9402,0
BX.US,5,20131112,160500,26.3800,26.3800,26.1800,26.1900,62592,0
BX.US,5,20131112,161000,26.1800,26.2400,26.1400,26.2400,27038,0
BX.US,5,20131112,161500,26.2300,26.2400,26.1800,26.2100,47364,0
BX.US,5,20131112,162000,26.2000,26.3200,26.2000,26.3200,29524,0
BX.US,5,20131112,162500,26.3200,26.3600,26.2800,26.3000,15245,0
BX.US,5,20131112,163000,26.3200,26.3300,26.2800,26.2800,14291,0
BX.US,5,20131112,163500,26.2900,26.3000,26.2200,26.2300,39199,0
BX.US,5,20131112,164000,26.2300,26.2700,26.2200,26.2200,31583,0
BX.US,5,20131112,164500,26.2100,26.2600,26.2100,26.2500,32162,0
BX.US,5,20131112,165000,26.2600,26.2700,26.2100,26.2200,18375,0
BX.US,5,20131112,165500,26.2300,26.2700,26.2300,26.2600,21811,0
BX.US,5,20131112,170000,26.2500,26.2600,26.2000,26.2100,6125,0
BX.US,5,20131112,170500,26.2100,26.2200,26.2000,26.2200,16106,0
BX.US,5,20131112,171000,26.2300,26.2300,26.2000,26.2100,15051,0
BX.US,5,20131112,171500,26.2100,26.2400,26.2000,26.2200,19187,0
BX.US,5,20131112,172000,26.2300,26.2300,26.2200,26.2300,8764,0
BX.US,5,20131112,172500,26.2200,26.2800,26.2200,26.2600,16086,0
BX.US,5,20131112,173000,26.2700,26.3000,26.2200,26.2500,52343,0
BX.US,5,20131112,173500,26.2500,26.3300,26.2500,26.3300,2000,0
BX.US,5,20131112,174000,26.3300,26.3300,26.2300,26.2300,4102,0
BX.US,5,20131112,174500,26.2500,26.2600,26.2100,26.2100,17487,0
BX.US,5,20131112,175000,26.2100,26.2200,26.2000,26.2100,11631,0
BX.US,5,20131112,175500,26.2300,26.2300,26.2000,26.2000,13265,0
BX.US,5,20131112,180000,26.2100,26.2100,26.1400,26.1400,49721,0
BX.US,5,20131112,180500,26.1400,26.1600,26.0800,26.0900,18056,0
BX.US,5,20131112,181000,26.0900,26.0900,25.9200,25.9700,145964,0
BX.US,5,20131112,181500,25.9600,25.9700,25.9200,25.9300,32327,0
BX.US,5,20131112,182000,25.9300,25.9400,25.8300,25.8900,83356,0
BX.US,5,20131112,182500,25.8900,25.8900,25.8600,25.8700,32388,0
BX.US,5,20131112,183000,25.8700,25.9300,25.8600,25.8900,33616,0
BX.US,5,20131112,183500,25.8900,25.9200,25.8900,25.8900,22542,0
BX.US,5,20131112,184000,25.8900,25.9200,25.8500,25.8600,37713,0
BX.US,5,20131112,184500,25.8600,25.8600,25.7800,25.7800,59495,0
BX.US,5,20131112,185000,25.7800,25.8100,25.7800,25.8100,42787,0
BX.US,5,20131112,185500,25.8100,25.8600,25.8000,25.8100,28905,0
BX.US,5,20131112,190000,25.8200,25.8500,25.8200,25.8400,23923,0
BX.US,5,20131112,190500,25.8400,25.8400,25.7900,25.8200,111811,0
BX.US,5,20131112,191000,25.8200,25.8900,25.8200,25.8800,31049,0
BX.US,5,20131112,191500,25.8900,25.9100,25.8600,25.8600,28012,0
BX.US,5,20131112,192000,25.8700,25.8800,25.8100,25.8200,77068,0
BX.US,5,20131112,192500,25.8300,25.8400,25.7500,25.7700,57200,0
BX.US,5,20131112,193000,25.7800,25.8000,25.7200,25.7200,38222,0
BX.US,5,20131112,193500,25.7200,25.7200,25.6600,25.6600,75732,0
BX.US,5,20131112,194000,25.6600,25.7200,25.6200,25.7200,65945,0
BX.US,5,20131112,194500,25.7100,25.8300,25.7000,25.7500,144927,0
BX.US,5,20131112,195000,25.7500,25.8800,25.7400,25.8800,61438,0
BX.US,5,20131112,195500,25.8800,25.9000,25.8600,25.8900,63276,0
BX.US,5,20131112,200000,25.8900,25.9100,25.8700,25.8800,100121,0
BX.US,5,20131112,200500,25.9000,25.9300,25.8900,25.9300,31822,0
BX.US,5,20131112,201000,25.9300,25.9600,25.9200,25.9300,27262,0
BX.US,5,20131112,201500,25.9300,25.9600,25.9100,25.9400,16533,0
BX.US,5,20131112,202000,25.9500,25.9600,25.8900,25.9400,47396,0
BX.US,5,20131112,202500,25.9400,26.0100,25.9300,26.0000,169023,0
