<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYM.US,5,20131112,153500,12.8100,12.8100,12.8000,12.8000,8966,0
BYM.US,5,20131112,154500,12.8000,12.8000,12.8000,12.8000,300,0
BYM.US,5,20131112,155500,12.8100,12.8100,12.8100,12.8100,100,0
BYM.US,5,20131112,160000,12.8100,12.8100,12.8100,12.8100,100,0
BYM.US,5,20131112,160500,12.8000,12.8000,12.8000,12.8000,750,0
BYM.US,5,20131112,161000,12.8100,12.8100,12.8100,12.8100,100,0
BYM.US,5,20131112,161500,12.8000,12.8000,12.8000,12.8000,1765,0
BYM.US,5,20131112,162000,12.8100,12.8100,12.8100,12.8100,900,0
BYM.US,5,20131112,163000,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131112,163500,12.8300,12.8300,12.8200,12.8200,500,0
BYM.US,5,20131112,164000,12.8000,12.8100,12.8000,12.8100,1641,0
BYM.US,5,20131112,165000,12.8100,12.8100,12.8000,12.8000,930,0
BYM.US,5,20131112,165500,12.8000,12.8100,12.8000,12.8100,12422,0
BYM.US,5,20131112,170500,12.8000,12.8000,12.8000,12.8000,3068,0
BYM.US,5,20131112,171500,12.8000,12.8100,12.8000,12.8100,2726,0
BYM.US,5,20131112,172000,12.8000,12.8100,12.7700,12.7700,7561,0
BYM.US,5,20131112,175500,12.7800,12.8000,12.7700,12.7700,8400,0
BYM.US,5,20131112,180000,12.7900,12.7900,12.7900,12.7900,100,0
BYM.US,5,20131112,182000,12.7700,12.7700,12.7700,12.7700,500,0
BYM.US,5,20131112,183000,12.7700,12.7700,12.7700,12.7700,600,0
BYM.US,5,20131112,183500,12.7700,12.7700,12.7700,12.7700,700,0
BYM.US,5,20131112,191000,12.7900,12.7900,12.7900,12.7900,400,0
BYM.US,5,20131112,191500,12.7800,12.7800,12.7700,12.7700,2208,0
BYM.US,5,20131112,193500,12.7700,12.7800,12.7700,12.7700,3225,0
BYM.US,5,20131112,194000,12.7500,12.7500,12.7500,12.7500,1900,0
BYM.US,5,20131112,200000,12.7600,12.7800,12.7600,12.7800,7660,0
BYM.US,5,20131112,202000,12.7500,12.7500,12.7500,12.7500,1098,0
BYM.US,5,20131112,202500,12.7500,12.7800,12.7500,12.7600,1400,0
BYM.US,5,20131112,203000,12.7400,12.7400,12.7400,12.7400,304,0
BYM.US,5,20131112,204000,12.7500,12.7800,12.7300,12.7300,4838,0
BYM.US,5,20131112,205000,12.7500,12.7500,12.7500,12.7500,1000,0
BYM.US,5,20131112,212500,12.7300,12.7300,12.7300,12.7300,300,0
BYM.US,5,20131112,214000,12.7200,12.7300,12.7100,12.7300,3517,0
BYM.US,5,20131112,214500,12.7200,12.7200,12.7100,12.7100,2761,0
BYM.US,5,20131112,215500,12.7200,12.7200,12.7200,12.7200,2000,0
BYM.US,5,20131112,220000,12.7200,12.7200,12.7100,12.7100,913,0
BYM.US,5,20131112,221000,12.7300,12.7300,12.7300,12.7300,1881,0
BYM.US,5,20131113,153500,12.6800,12.7000,12.6800,12.6900,700,0
BYM.US,5,20131113,154000,12.6900,12.6900,12.6800,12.6800,700,0
BYM.US,5,20131113,154500,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,155000,12.6800,12.6800,12.6700,12.6700,1500,0
BYM.US,5,20131113,160000,12.6800,12.6800,12.6600,12.6600,1600,0
BYM.US,5,20131113,160500,12.6600,12.6600,12.6600,12.6600,100,0
BYM.US,5,20131113,161000,12.6500,12.6600,12.6500,12.6600,1560,0
BYM.US,5,20131113,161500,12.6500,12.6500,12.6500,12.6500,400,0
BYM.US,5,20131113,162000,12.6600,12.6600,12.6600,12.6600,816,0
BYM.US,5,20131113,163500,12.6600,12.6600,12.6600,12.6600,390,0
BYM.US,5,20131113,164000,12.6600,12.6600,12.6600,12.6600,1000,0
BYM.US,5,20131113,171000,12.6600,12.6700,12.6600,12.6700,3212,0
BYM.US,5,20131113,172000,12.6800,12.6900,12.6600,12.6600,16350,0
BYM.US,5,20131113,172500,12.6700,12.6700,12.6700,12.6700,2300,0
BYM.US,5,20131113,173000,12.6700,12.6700,12.6700,12.6700,100,0
BYM.US,5,20131113,174500,12.6700,12.6700,12.6700,12.6700,300,0
BYM.US,5,20131113,175500,12.6700,12.6900,12.6700,12.6900,700,0
BYM.US,5,20131113,180500,12.6900,12.6900,12.6600,12.6600,900,0
BYM.US,5,20131113,181000,12.6700,12.6700,12.6700,12.6700,200,0
BYM.US,5,20131113,181500,12.6700,12.6700,12.6700,12.6700,2632,0
BYM.US,5,20131113,182000,12.6700,12.6700,12.6600,12.6700,900,0
BYM.US,5,20131113,183000,12.6700,12.6700,12.6700,12.6700,100,0
BYM.US,5,20131113,183500,12.6700,12.6700,12.6700,12.6700,100,0
BYM.US,5,20131113,184000,12.6900,12.6900,12.6600,12.6800,10300,0
BYM.US,5,20131113,185000,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,185500,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,190000,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,190500,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,191000,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,191500,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,192000,12.6800,12.6800,12.6800,12.6800,100,0
BYM.US,5,20131113,194000,12.6800,12.6900,12.6800,12.6800,300,0
BYM.US,5,20131113,194500,12.6900,12.6900,12.6900,12.6900,2300,0
BYM.US,5,20131113,195500,12.6900,12.6900,12.6900,12.6900,500,0
BYM.US,5,20131113,200000,12.6900,12.6900,12.6900,12.6900,100,0
BYM.US,5,20131113,200500,12.6900,12.7000,12.6900,12.6900,1310,0
BYM.US,5,20131113,201000,12.6900,12.6900,12.6900,12.6900,1800,0
BYM.US,5,20131113,204500,12.6900,12.6900,12.6900,12.6900,180,0
BYM.US,5,20131113,212500,12.7000,12.7000,12.6900,12.6900,2599,0
BYM.US,5,20131113,220000,12.6900,12.7000,12.6900,12.6900,2627,0
BYM.US,5,20131114,153500,12.6500,12.6500,12.6500,12.6500,100,0
BYM.US,5,20131114,154000,12.6400,12.6500,12.6400,12.6500,1169,0
BYM.US,5,20131114,154500,12.6600,12.6700,12.6600,12.6700,1736,0
BYM.US,5,20131114,155000,12.6800,12.6800,12.6800,12.6800,119,0
BYM.US,5,20131114,155500,12.6700,12.6800,12.6700,12.6800,500,0
BYM.US,5,20131114,160000,12.6900,12.6900,12.6900,12.6900,1800,0
BYM.US,5,20131114,160500,12.6900,12.6900,12.6900,12.6900,100,0
BYM.US,5,20131114,161000,12.7000,12.7200,12.7000,12.7200,8043,0
BYM.US,5,20131114,161500,12.7300,12.7300,12.7300,12.7300,1400,0
BYM.US,5,20131114,162000,12.7500,12.7500,12.7500,12.7500,100,0
BYM.US,5,20131114,162500,12.7500,12.7500,12.7500,12.7500,1700,0
BYM.US,5,20131114,163000,12.7500,12.7500,12.7500,12.7500,500,0
BYM.US,5,20131114,165000,12.7200,12.7200,12.7200,12.7200,100,0
BYM.US,5,20131114,170000,12.7200,12.7200,12.7200,12.7200,100,0
BYM.US,5,20131114,174500,12.7500,12.7700,12.7500,12.7600,700,0
BYM.US,5,20131114,175000,12.7600,12.7600,12.7400,12.7400,700,0
BYM.US,5,20131114,180500,12.7700,12.7700,12.7700,12.7700,1000,0
BYM.US,5,20131114,181000,12.7700,12.7700,12.7600,12.7600,3000,0
BYM.US,5,20131114,181500,12.7400,12.7400,12.7400,12.7400,573,0
BYM.US,5,20131114,182000,12.7400,12.7400,12.7400,12.7400,401,0
BYM.US,5,20131114,183500,12.7600,12.7600,12.7600,12.7600,118,0
BYM.US,5,20131114,185000,12.7600,12.7600,12.7600,12.7600,2880,0
BYM.US,5,20131114,185500,12.7400,12.7400,12.7400,12.7400,850,0
BYM.US,5,20131114,191000,12.7400,12.7400,12.7400,12.7400,1700,0
BYM.US,5,20131114,193500,12.7400,12.7400,12.7400,12.7400,209,0
BYM.US,5,20131114,202000,12.7400,12.7400,12.7400,12.7400,1400,0
BYM.US,5,20131114,205000,12.7300,12.7300,12.7300,12.7300,306,0
BYM.US,5,20131114,212500,12.7400,12.7500,12.7400,12.7500,870,0
BYM.US,5,20131114,213500,12.7400,12.7400,12.7400,12.7400,518,0
BYM.US,5,20131114,214000,12.7400,12.7400,12.7400,12.7400,600,0
BYM.US,5,20131114,215000,12.7500,12.7500,12.7500,12.7500,913,0
BYM.US,5,20131114,220000,12.7400,12.7600,12.7400,12.7400,2100,0
BYM.US,5,20131114,220500,12.7600,12.7600,12.7600,12.7600,276,0
BYM.US,5,20131115,154500,12.8200,12.8300,12.8200,12.8300,2200,0
BYM.US,5,20131115,155500,12.8200,12.8300,12.8200,12.8300,3100,0
BYM.US,5,20131115,160000,12.8300,12.8300,12.8200,12.8200,1200,0
BYM.US,5,20131115,160500,12.8200,12.8200,12.8200,12.8200,175,0
BYM.US,5,20131115,161000,12.8200,12.8200,12.8200,12.8200,600,0
BYM.US,5,20131115,161500,12.8100,12.8100,12.8100,12.8100,300,0
BYM.US,5,20131115,162000,12.8100,12.8200,12.8100,12.8100,2415,0
BYM.US,5,20131115,162500,12.8200,12.8200,12.8200,12.8200,100,0
BYM.US,5,20131115,163000,12.8200,12.8200,12.8200,12.8200,100,0
BYM.US,5,20131115,163500,12.8200,12.8200,12.8200,12.8200,100,0
BYM.US,5,20131115,164000,12.8200,12.8200,12.8200,12.8200,100,0
BYM.US,5,20131115,164500,12.8300,12.8300,12.8200,12.8200,200,0
BYM.US,5,20131115,165000,12.8100,12.8100,12.8100,12.8100,380,0
BYM.US,5,20131115,165500,12.8100,12.8200,12.8100,12.8100,800,0
BYM.US,5,20131115,170000,12.8300,12.8300,12.8200,12.8200,300,0
BYM.US,5,20131115,171500,12.8000,12.8000,12.8000,12.8000,293,0
BYM.US,5,20131115,172000,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,172500,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,173000,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,173500,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,174000,12.8200,12.8300,12.8200,12.8300,1100,0
BYM.US,5,20131115,174500,12.8300,12.8300,12.8000,12.8000,295,0
BYM.US,5,20131115,175000,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,175500,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,180000,12.8000,12.8000,12.8000,12.8000,201,0
BYM.US,5,20131115,180500,12.8000,12.8000,12.8000,12.8000,100,0
BYM.US,5,20131115,181000,12.8100,12.8100,12.8100,12.8100,100,0
BYM.US,5,20131115,181500,12.8300,12.8300,12.8300,12.8300,100,0
BYM.US,5,20131115,182000,12.8100,12.8100,12.8100,12.8100,100,0
