<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CALX.US,5,20131112,153500,10.0700,10.0800,10.0700,10.0800,400,0
CALX.US,5,20131112,154000,10.1000,10.1000,10.0700,10.0700,300,0
CALX.US,5,20131112,154500,10.0600,10.0600,10.0600,10.0600,200,0
CALX.US,5,20131112,155000,10.0600,10.0800,10.0500,10.0800,3200,0
CALX.US,5,20131112,155500,10.0800,10.1300,10.0300,10.1300,11564,0
CALX.US,5,20131112,160000,10.1300,10.1300,10.1300,10.1300,400,0
CALX.US,5,20131112,160500,10.1600,10.1600,10.0700,10.0700,1400,0
CALX.US,5,20131112,161000,10.0900,10.1000,10.0900,10.1000,2200,0
CALX.US,5,20131112,161500,10.1000,10.1000,10.0600,10.0800,3700,0
CALX.US,5,20131112,162000,10.0800,10.1200,10.0500,10.1200,3700,0
CALX.US,5,20131112,162500,10.0900,10.1000,10.0900,10.1000,1500,0
CALX.US,5,20131112,163000,10.1000,10.1000,10.0400,10.1000,9400,0
CALX.US,5,20131112,163500,10.0700,10.1500,10.0700,10.1500,2215,0
CALX.US,5,20131112,164000,10.1300,10.1300,10.0800,10.0800,500,0
CALX.US,5,20131112,164500,10.0700,10.0700,10.0200,10.0700,4200,0
CALX.US,5,20131112,165000,10.0500,10.0900,10.0400,10.0800,3900,0
CALX.US,5,20131112,165500,10.0800,10.0800,10.0500,10.0500,1000,0
CALX.US,5,20131112,170000,10.0500,10.0700,10.0100,10.0500,4600,0
CALX.US,5,20131112,170500,10.0500,10.0900,10.0200,10.0900,8563,0
CALX.US,5,20131112,171000,10.0800,10.0900,10.0800,10.0900,200,0
CALX.US,5,20131112,171500,10.0700,10.0800,10.0200,10.0400,2800,0
CALX.US,5,20131112,172000,10.0400,10.1400,10.0400,10.1400,9321,0
CALX.US,5,20131112,172500,10.1500,10.1700,10.1500,10.1500,2500,0
CALX.US,5,20131112,173000,10.1400,10.1400,10.0800,10.0800,3300,0
CALX.US,5,20131112,173500,10.0700,10.1100,10.0700,10.1100,8572,0
CALX.US,5,20131112,174000,10.1100,10.1100,10.0600,10.0700,7252,0
CALX.US,5,20131112,174500,10.0600,10.0600,10.0500,10.0500,500,0
CALX.US,5,20131112,175000,10.0700,10.0700,10.0000,10.0500,10580,0
CALX.US,5,20131112,175500,10.0600,10.0600,10.0500,10.0500,1100,0
CALX.US,5,20131112,180000,10.0500,10.0600,10.0500,10.0500,6518,0
CALX.US,5,20131112,180500,10.0700,10.0700,10.0600,10.0600,600,0
CALX.US,5,20131112,181000,10.0500,10.0500,10.0200,10.0200,1300,0
CALX.US,5,20131112,181500,9.9900,10.0400,9.9900,10.0300,5253,0
CALX.US,5,20131112,182000,10.0300,10.1100,10.0000,10.0900,10425,0
CALX.US,5,20131112,182500,10.1000,10.1400,10.1000,10.1000,5067,0
CALX.US,5,20131112,183000,10.1000,10.1000,10.1000,10.1000,200,0
CALX.US,5,20131112,183500,10.0900,10.1000,10.0700,10.1000,1400,0
CALX.US,5,20131112,184000,10.0900,10.1300,10.0900,10.1300,2200,0
CALX.US,5,20131112,184500,10.1400,10.1400,10.1200,10.1200,2200,0
CALX.US,5,20131112,185000,10.1100,10.1100,10.1000,10.1000,900,0
CALX.US,5,20131112,190000,10.0900,10.1000,10.0900,10.1000,2200,0
CALX.US,5,20131112,190500,10.0900,10.0900,10.0800,10.0800,700,0
CALX.US,5,20131112,191000,10.0900,10.1000,10.0800,10.1000,1344,0
CALX.US,5,20131112,191500,10.1000,10.1000,10.0800,10.0800,2000,0
CALX.US,5,20131112,192000,10.0900,10.0900,10.0900,10.0900,600,0
CALX.US,5,20131112,192500,10.0800,10.0800,10.0700,10.0800,2540,0
CALX.US,5,20131112,193000,10.0800,10.1500,10.0800,10.1300,3100,0
CALX.US,5,20131112,193500,10.1200,10.1200,10.0600,10.0800,2700,0
CALX.US,5,20131112,194000,10.0700,10.0700,10.0700,10.0700,100,0
CALX.US,5,20131112,194500,10.0800,10.0800,10.0800,10.0800,700,0
CALX.US,5,20131112,195000,10.0800,10.1000,10.0800,10.1000,1800,0
CALX.US,5,20131112,195500,10.1000,10.1000,10.1000,10.1000,500,0
CALX.US,5,20131112,200000,10.1000,10.1000,10.0800,10.0800,1300,0
CALX.US,5,20131112,200500,10.0700,10.1400,10.0700,10.1200,4620,0
CALX.US,5,20131112,201000,10.1200,10.1700,10.1200,10.1700,2300,0
CALX.US,5,20131112,201500,10.1400,10.2100,10.1400,10.1800,12563,0
CALX.US,5,20131112,202000,10.1900,10.1900,10.1700,10.1700,1800,0
CALX.US,5,20131112,202500,10.1700,10.1800,10.1700,10.1700,700,0
CALX.US,5,20131112,203000,10.1800,10.1900,10.1700,10.1900,1700,0
CALX.US,5,20131112,203500,10.1700,10.1700,10.1500,10.1500,400,0
CALX.US,5,20131112,204000,10.1600,10.1800,10.1400,10.1800,4400,0
CALX.US,5,20131112,204500,10.1700,10.1700,10.1600,10.1600,740,0
CALX.US,5,20131112,205000,10.1700,10.1700,10.1600,10.1600,500,0
CALX.US,5,20131112,205500,10.1600,10.1700,10.1500,10.1500,1200,0
