<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATO.US,5,20131112,153500,31.5000,31.5000,31.5000,31.5000,100,0
CATO.US,5,20131112,154000,31.6000,31.6000,31.6000,31.6000,100,0
CATO.US,5,20131112,154500,31.7200,31.7200,31.7200,31.7200,100,0
CATO.US,5,20131112,155000,31.7400,31.7400,31.7400,31.7400,100,0
CATO.US,5,20131112,155500,31.7100,31.7100,31.7100,31.7100,100,0
CATO.US,5,20131112,160000,31.7700,31.7700,31.6600,31.6700,700,0
CATO.US,5,20131112,160500,31.6500,31.6500,31.6500,31.6500,499,0
CATO.US,5,20131112,161000,31.7600,31.7600,31.7600,31.7600,100,0
CATO.US,5,20131112,163000,31.7200,31.7200,31.7200,31.7200,100,0
CATO.US,5,20131112,163500,31.7800,31.7800,31.7800,31.7800,200,0
CATO.US,5,20131112,164000,31.7200,31.7500,31.7200,31.7500,810,0
CATO.US,5,20131112,164500,31.7800,31.7800,31.7800,31.7800,100,0
CATO.US,5,20131112,165000,31.7600,31.7600,31.7300,31.7300,844,0
CATO.US,5,20131112,165500,31.5700,31.5800,31.5200,31.5800,300,0
CATO.US,5,20131112,170000,31.5500,31.5800,31.5200,31.5200,500,0
CATO.US,5,20131112,170500,31.6100,31.6200,31.5900,31.5900,300,0
CATO.US,5,20131112,171000,31.5800,31.5800,31.5800,31.5800,200,0
CATO.US,5,20131112,172000,31.6400,31.6400,31.6300,31.6400,300,0
CATO.US,5,20131112,172500,31.7300,31.7300,31.7100,31.7100,400,0
CATO.US,5,20131112,173000,31.7500,31.7500,31.7300,31.7300,200,0
CATO.US,5,20131112,173500,31.6900,31.8000,31.6900,31.8000,998,0
CATO.US,5,20131112,174000,31.8000,31.8000,31.7600,31.7600,200,0
CATO.US,5,20131112,174500,31.7600,31.7600,31.7200,31.7200,1800,0
CATO.US,5,20131112,175000,31.6700,31.6900,31.5400,31.5400,1079,0
CATO.US,5,20131112,175500,31.5400,31.5400,31.5400,31.5400,100,0
CATO.US,5,20131112,180000,31.5800,31.5900,31.5800,31.5900,200,0
CATO.US,5,20131112,180500,31.5900,31.5900,31.5500,31.5900,900,0
CATO.US,5,20131112,181000,31.5800,31.5800,31.3900,31.4400,1400,0
CATO.US,5,20131112,181500,31.4500,31.5600,31.4500,31.5600,200,0
CATO.US,5,20131112,182000,31.5500,31.6200,31.5500,31.5900,1000,0
CATO.US,5,20131112,182500,31.6500,31.6500,31.6500,31.6500,100,0
CATO.US,5,20131112,183000,31.6300,31.6300,31.6300,31.6300,100,0
CATO.US,5,20131112,183500,31.6100,31.6400,31.5700,31.6200,1300,0
CATO.US,5,20131112,184000,31.6300,31.6300,31.5900,31.5900,900,0
CATO.US,5,20131112,184500,31.6200,31.6200,31.6200,31.6200,100,0
CATO.US,5,20131112,185000,31.6500,31.6500,31.6500,31.6500,200,0
CATO.US,5,20131112,185500,31.5900,31.6400,31.5900,31.6100,1300,0
CATO.US,5,20131112,190000,31.5600,31.6300,31.5600,31.6300,700,0
CATO.US,5,20131112,190500,31.5600,31.5600,31.5300,31.5300,200,0
CATO.US,5,20131112,191000,31.6200,31.6200,31.6200,31.6200,200,0
CATO.US,5,20131112,191500,31.5700,31.5700,31.5700,31.5700,100,0
CATO.US,5,20131112,192000,31.5700,31.5900,31.5700,31.5900,300,0
CATO.US,5,20131112,193000,31.5400,31.5500,31.5400,31.5500,400,0
CATO.US,5,20131112,193500,31.6200,31.6200,31.6200,31.6200,100,0
CATO.US,5,20131112,194000,31.6100,31.6500,31.6100,31.6400,575,0
CATO.US,5,20131112,194500,31.6000,31.6300,31.6000,31.6300,200,0
CATO.US,5,20131112,195000,31.6500,31.6500,31.6500,31.6500,150,0
CATO.US,5,20131112,195500,31.5900,31.6500,31.5900,31.6500,200,0
CATO.US,5,20131112,201000,31.6400,31.6400,31.6400,31.6400,100,0
CATO.US,5,20131112,201500,31.6400,31.6400,31.6400,31.6400,100,0
CATO.US,5,20131112,202000,31.6900,31.6900,31.5500,31.5500,700,0
CATO.US,5,20131112,202500,31.5700,31.5700,31.5700,31.5700,100,0
CATO.US,5,20131112,203000,31.5900,31.5900,31.5300,31.5300,200,0
CATO.US,5,20131112,203500,31.5700,31.5700,31.5500,31.5500,200,0
CATO.US,5,20131112,204000,31.5600,31.5600,31.5600,31.5600,100,0
CATO.US,5,20131112,204500,31.5500,31.5500,31.5500,31.5500,500,0
CATO.US,5,20131112,205500,31.6100,31.6400,31.5000,31.5000,2205,0
CATO.US,5,20131112,210000,31.5400,31.5500,31.5300,31.5500,1100,0
CATO.US,5,20131112,210500,31.5700,31.5900,31.5700,31.5900,846,0
CATO.US,5,20131112,211500,31.6500,31.6500,31.6500,31.6500,100,0
CATO.US,5,20131112,212000,31.6500,31.6700,31.6500,31.6500,500,0
CATO.US,5,20131112,212500,31.6200,31.6200,31.5700,31.5900,1300,0
CATO.US,5,20131112,213000,31.5900,31.5900,31.5900,31.5900,200,0
CATO.US,5,20131112,213500,31.5700,31.5700,31.5700,31.5700,100,0
CATO.US,5,20131112,214000,31.5800,31.5800,31.5800,31.5800,300,0
CATO.US,5,20131112,214500,31.5800,31.6200,31.5700,31.5900,1300,0
CATO.US,5,20131112,215000,31.5800,31.6100,31.5800,31.5800,300,0
CATO.US,5,20131112,215500,31.6000,31.6000,31.5500,31.5600,707,0
CATO.US,5,20131112,220000,31.5700,31.6400,31.5500,31.6300,2680,0
CATO.US,5,20131112,220500,31.6400,31.6400,31.6400,31.6400,14204,0
CATO.US,5,20131113,155000,31.5800,31.5800,31.5800,31.5800,100,0
CATO.US,5,20131113,160000,31.6500,31.6500,31.6500,31.6500,1100,0
CATO.US,5,20131113,160500,31.6900,31.7600,31.6800,31.6800,300,0
CATO.US,5,20131113,161000,31.6400,31.6600,31.5800,31.6600,700,0
CATO.US,5,20131113,161500,31.7000,31.7400,31.6300,31.7400,300,0
CATO.US,5,20131113,162000,31.6300,31.6300,31.6300,31.6300,100,0
CATO.US,5,20131113,163000,31.7300,31.7300,31.7300,31.7300,100,0
CATO.US,5,20131113,163500,31.7100,31.7100,31.7000,31.7000,200,0
CATO.US,5,20131113,164000,31.7100,31.7100,31.7100,31.7100,100,0
CATO.US,5,20131113,165000,31.6900,31.7100,31.6500,31.7100,700,0
CATO.US,5,20131113,165500,31.6800,31.6800,31.6800,31.6800,100,0
CATO.US,5,20131113,170000,31.6500,31.8200,31.6500,31.8200,900,0
CATO.US,5,20131113,170500,31.7100,31.7100,31.7100,31.7100,200,0
CATO.US,5,20131113,171000,31.6700,31.7000,31.6700,31.7000,200,0
CATO.US,5,20131113,171500,31.6600,31.7200,31.6600,31.6900,300,0
CATO.US,5,20131113,172000,31.6900,31.7200,31.6500,31.6500,17500,0
CATO.US,5,20131113,172500,31.7200,31.7200,31.6800,31.6800,800,0
CATO.US,5,20131113,173500,31.7200,31.7200,31.6900,31.6900,200,0
CATO.US,5,20131113,174000,31.6900,31.7900,31.6900,31.7900,400,0
CATO.US,5,20131113,175000,31.7900,31.7900,31.7000,31.7000,300,0
CATO.US,5,20131113,175500,31.7300,31.7300,31.7300,31.7300,100,0
CATO.US,5,20131113,180000,31.7300,31.7800,31.7300,31.7800,400,0
CATO.US,5,20131113,181000,31.7600,31.7600,31.7000,31.7000,200,0
CATO.US,5,20131113,181500,31.6800,31.7500,31.6800,31.7500,200,0
CATO.US,5,20131113,182000,31.7500,31.7500,31.7500,31.7500,100,0
CATO.US,5,20131113,183500,31.7400,31.7600,31.7300,31.7600,600,0
CATO.US,5,20131113,184000,31.7800,31.7800,31.7600,31.7600,700,0
CATO.US,5,20131113,184500,31.7800,31.7900,31.7800,31.7900,200,0
CATO.US,5,20131113,185000,31.8100,31.8100,31.7800,31.7800,400,0
CATO.US,5,20131113,190000,31.8000,31.8000,31.8000,31.8000,400,0
CATO.US,5,20131113,190500,31.7800,31.7800,31.7700,31.7700,700,0
CATO.US,5,20131113,191500,31.7900,31.8100,31.7900,31.8100,300,0
CATO.US,5,20131113,192500,31.8100,31.8500,31.8100,31.8500,700,0
CATO.US,5,20131113,193000,31.9200,31.9300,31.9200,31.9300,201,0
CATO.US,5,20131113,193500,31.9000,31.9000,31.9000,31.9000,100,0
CATO.US,5,20131113,194000,31.9100,31.9900,31.9100,31.9900,768,0
CATO.US,5,20131113,195000,31.8900,31.9800,31.8900,31.9700,1379,0
CATO.US,5,20131113,195500,31.9400,31.9900,31.8800,31.8800,568,0
CATO.US,5,20131113,200000,32.0000,32.0000,31.9500,31.9500,305,0
CATO.US,5,20131113,200500,32.0000,32.0000,31.9900,31.9900,200,0
CATO.US,5,20131113,201000,31.9100,31.9200,31.9100,31.9200,200,0
CATO.US,5,20131113,202000,31.8300,31.8300,31.8300,31.8300,100,0
CATO.US,5,20131113,203000,31.9500,31.9500,31.9500,31.9500,100,0
CATO.US,5,20131113,204000,31.9500,31.9500,31.9500,31.9500,200,0
CATO.US,5,20131113,204500,31.9600,31.9600,31.8100,31.8100,982,0
CATO.US,5,20131113,205000,31.8300,31.9100,31.8300,31.9100,300,0
CATO.US,5,20131113,205500,31.8300,31.8300,31.8300,31.8300,400,0
CATO.US,5,20131113,210000,31.7900,31.8400,31.7900,31.8400,200,0
CATO.US,5,20131113,210500,31.8400,31.8400,31.8400,31.8400,100,0
CATO.US,5,20131113,211500,31.8600,31.8600,31.8600,31.8600,100,0
CATO.US,5,20131113,212000,31.8800,31.8800,31.8400,31.8400,300,0
CATO.US,5,20131113,213000,31.8500,31.8800,31.8000,31.8800,1300,0
CATO.US,5,20131113,214000,31.8300,31.8300,31.8000,31.8000,800,0
CATO.US,5,20131113,214500,31.8800,31.8800,31.8200,31.8200,200,0
CATO.US,5,20131113,215000,31.8500,31.8500,31.8000,31.8200,1400,0
CATO.US,5,20131113,215500,31.8100,31.8400,31.6700,31.6700,3791,0
CATO.US,5,20131113,220000,31.7300,31.8900,31.7300,31.8900,6008,0
CATO.US,5,20131113,220500,31.8500,31.8500,31.8500,31.8500,4311,0
CATO.US,5,20131114,153500,31.8900,31.8900,31.8900,31.8900,100,0
CATO.US,5,20131114,154000,31.9000,31.9000,31.9000,31.9000,200,0
CATO.US,5,20131114,155000,31.9200,31.9200,31.7600,31.7600,200,0
CATO.US,5,20131114,155500,31.6400,31.7000,31.6400,31.7000,750,0
CATO.US,5,20131114,160000,31.7000,31.7500,31.7000,31.7500,300,0
CATO.US,5,20131114,160500,31.7300,31.7300,31.5600,31.6000,1000,0
CATO.US,5,20131114,161000,31.5600,31.6800,31.5600,31.6200,500,0
CATO.US,5,20131114,161500,31.5900,31.7600,31.5900,31.7200,740,0
CATO.US,5,20131114,162000,31.7200,31.7900,31.6700,31.7200,945,0
CATO.US,5,20131114,162500,31.7400,31.8000,31.6200,31.7500,3100,0
CATO.US,5,20131114,163500,31.8000,31.8000,31.7100,31.7100,300,0
CATO.US,5,20131114,164000,31.7600,31.7600,31.7400,31.7400,200,0
CATO.US,5,20131114,164500,31.7800,31.7900,31.7300,31.7500,400,0
CATO.US,5,20131114,165000,31.7700,31.7700,31.7700,31.7700,100,0
CATO.US,5,20131114,165500,31.7900,31.9100,31.7900,31.8000,1546,0
CATO.US,5,20131114,170000,31.8000,31.8000,31.8000,31.8000,200,0
CATO.US,5,20131114,170500,31.7700,31.8700,31.7700,31.8700,200,0
CATO.US,5,20131114,171000,31.7800,31.8700,31.7800,31.8400,600,0
CATO.US,5,20131114,171500,31.8000,31.8000,31.8000,31.8000,100,0
CATO.US,5,20131114,172000,31.8300,31.8300,31.8300,31.8300,200,0
CATO.US,5,20131114,172500,31.8000,31.8000,31.8000,31.8000,100,0
CATO.US,5,20131114,173000,31.8600,31.8600,31.8600,31.8600,100,0
CATO.US,5,20131114,174000,31.8600,31.8600,31.7900,31.7900,1200,0
CATO.US,5,20131114,174500,31.8600,31.8600,31.7900,31.8000,900,0
CATO.US,5,20131114,175000,31.8400,31.8700,31.8000,31.8000,400,0
CATO.US,5,20131114,175500,31.8300,31.8300,31.8300,31.8300,100,0
CATO.US,5,20131114,180000,31.8400,31.8800,31.8400,31.8800,700,0
CATO.US,5,20131114,180500,31.9200,31.9200,31.9200,31.9200,100,0
CATO.US,5,20131114,181500,31.8900,31.9600,31.8400,31.8800,1100,0
CATO.US,5,20131114,182000,31.8200,31.8200,31.8200,31.8200,100,0
CATO.US,5,20131114,182500,31.7800,31.8200,31.7100,31.8200,1202,0
CATO.US,5,20131114,183500,31.8100,31.8700,31.8000,31.8300,7200,0
CATO.US,5,20131114,184500,31.9100,31.9100,31.8800,31.8800,200,0
CATO.US,5,20131114,190000,31.9500,31.9500,31.8900,31.8900,200,0
CATO.US,5,20131114,190500,31.9000,31.9000,31.9000,31.9000,100,0
CATO.US,5,20131114,191000,31.9100,31.9100,31.9100,31.9100,100,0
CATO.US,5,20131114,191500,31.9300,31.9300,31.9300,31.9300,200,0
CATO.US,5,20131114,192500,31.9300,31.9300,31.9300,31.9300,200,0
CATO.US,5,20131114,193000,31.9300,31.9300,31.9300,31.9300,100,0
CATO.US,5,20131114,195000,31.9300,31.9400,31.9300,31.9300,600,0
CATO.US,5,20131114,201000,32.0000,32.0000,32.0000,32.0000,100,0
