<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBK.US,5,20131112,153500,6.1800,6.1800,6.1700,6.1700,2662,0
CBK.US,5,20131112,154500,6.1500,6.1500,6.1500,6.1500,100,0
CBK.US,5,20131112,155000,6.1500,6.1500,6.1500,6.1500,200,0
CBK.US,5,20131112,160000,6.1700,6.1700,6.1500,6.1500,1421,0
CBK.US,5,20131112,160500,6.1400,6.1400,6.1400,6.1400,300,0
CBK.US,5,20131112,161500,6.1300,6.1300,6.1300,6.1300,400,0
CBK.US,5,20131112,162000,6.1200,6.1200,6.1200,6.1200,300,0
CBK.US,5,20131112,163500,6.1400,6.1400,6.1400,6.1400,900,0
CBK.US,5,20131112,164500,6.1500,6.1500,6.1400,6.1500,900,0
CBK.US,5,20131112,165000,6.1500,6.1500,6.1500,6.1500,700,0
CBK.US,5,20131112,165500,6.1500,6.1500,6.1500,6.1500,1100,0
CBK.US,5,20131112,170000,6.1500,6.1800,6.1400,6.1500,4500,0
CBK.US,5,20131112,170500,6.1500,6.1500,6.1500,6.1500,1300,0
CBK.US,5,20131112,171000,6.1500,6.1500,6.1300,6.1500,1500,0
CBK.US,5,20131112,171500,6.1500,6.1600,6.1500,6.1600,500,0
CBK.US,5,20131112,172000,6.1600,6.1700,6.1600,6.1700,700,0
CBK.US,5,20131112,172500,6.1600,6.1600,6.1600,6.1600,800,0
CBK.US,5,20131112,173000,6.1500,6.1500,6.1500,6.1500,700,0
CBK.US,5,20131112,173500,6.1500,6.1700,6.1500,6.1500,2585,0
CBK.US,5,20131112,174000,6.1500,6.1500,6.1500,6.1500,1100,0
CBK.US,5,20131112,174500,6.1500,6.1500,6.1500,6.1500,700,0
CBK.US,5,20131112,175000,6.1500,6.1500,6.1400,6.1500,7900,0
CBK.US,5,20131112,175500,6.1500,6.1500,6.1400,6.1500,2800,0
CBK.US,5,20131112,180000,6.1500,6.1500,6.1400,6.1500,1300,0
CBK.US,5,20131112,180500,6.1500,6.1500,6.1500,6.1500,1300,0
CBK.US,5,20131112,181000,6.1500,6.1500,6.1300,6.1400,6700,0
CBK.US,5,20131112,181500,6.1400,6.1400,6.1400,6.1400,800,0
CBK.US,5,20131112,182000,6.1400,6.1400,6.1400,6.1400,1700,0
CBK.US,5,20131112,182500,6.1400,6.1500,6.1400,6.1500,1500,0
CBK.US,5,20131112,183000,6.1500,6.1500,6.1400,6.1400,500,0
CBK.US,5,20131112,183500,6.1400,6.1500,6.1400,6.1500,300,0
CBK.US,5,20131112,184000,6.1500,6.1500,6.1400,6.1400,600,0
CBK.US,5,20131112,184500,6.1400,6.1400,6.1200,6.1200,2162,0
CBK.US,5,20131112,185500,6.1200,6.1200,6.0600,6.0600,4477,0
CBK.US,5,20131112,190000,6.0600,6.0700,6.0600,6.0600,1100,0
CBK.US,5,20131112,190500,6.0600,6.0600,6.0500,6.0500,1000,0
CBK.US,5,20131112,191000,6.0500,6.0600,6.0500,6.0500,1400,0
CBK.US,5,20131112,191500,6.0500,6.0500,6.0500,6.0500,2200,0
CBK.US,5,20131112,192000,6.0500,6.0500,6.0500,6.0500,2300,0
CBK.US,5,20131112,192500,6.0500,6.0500,6.0500,6.0500,1500,0
CBK.US,5,20131112,193000,6.0500,6.0500,6.0500,6.0500,1500,0
CBK.US,5,20131112,193500,6.0500,6.0500,6.0400,6.0500,4000,0
