<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCM.US,5,20131112,154500,5.2400,5.2400,5.2400,5.2400,100,0
CCM.US,5,20131112,161000,5.2700,5.2700,5.2700,5.2700,200,0
CCM.US,5,20131112,161500,5.2500,5.2500,5.2500,5.2500,100,0
CCM.US,5,20131112,163500,5.2400,5.2700,5.2400,5.2700,200,0
CCM.US,5,20131112,165500,5.2700,5.2700,5.2700,5.2700,100,0
CCM.US,5,20131112,170000,5.2500,5.2500,5.2500,5.2500,1300,0
CCM.US,5,20131112,171000,5.2600,5.2600,5.2600,5.2600,868,0
CCM.US,5,20131112,171500,5.2200,5.2200,5.2200,5.2200,100,0
CCM.US,5,20131112,174500,5.2100,5.2100,5.2100,5.2100,1100,0
CCM.US,5,20131112,175000,5.2300,5.2300,5.2300,5.2300,100,0
CCM.US,5,20131112,175500,5.1700,5.1700,5.1700,5.1700,600,0
CCM.US,5,20131112,180000,5.1600,5.1600,5.1600,5.1600,100,0
CCM.US,5,20131112,181000,5.1100,5.1100,5.1100,5.1100,100,0
CCM.US,5,20131112,184000,5.1600,5.1600,5.1200,5.1200,611,0
CCM.US,5,20131112,195000,5.1500,5.1500,5.1500,5.1500,500,0
CCM.US,5,20131112,202000,5.1500,5.1500,5.0800,5.0800,6400,0
CCM.US,5,20131112,214500,5.1700,5.1700,5.1100,5.1100,3100,0
CCM.US,5,20131112,215500,5.1300,5.1300,5.0800,5.0800,300,0
CCM.US,5,20131112,220000,5.1200,5.1200,5.0900,5.1200,1016,0
CCM.US,5,20131112,220500,5.0800,5.0800,5.0800,5.0800,1964,0
CCM.US,5,20131113,155000,5.1000,5.1000,5.1000,5.1000,200,0
CCM.US,5,20131113,155500,5.1300,5.1300,5.1100,5.1200,1200,0
CCM.US,5,20131113,161000,5.1500,5.1500,5.1500,5.1500,200,0
CCM.US,5,20131113,161500,5.0800,5.0900,5.0800,5.0900,2900,0
CCM.US,5,20131113,163500,5.0800,5.0800,5.0600,5.0600,2600,0
CCM.US,5,20131113,165500,5.0400,5.0400,5.0100,5.0200,3100,0
CCM.US,5,20131113,170000,5.0100,5.0100,5.0100,5.0100,200,0
CCM.US,5,20131113,171000,5.0100,5.0100,5.0100,5.0100,1279,0
CCM.US,5,20131113,171500,5.0100,5.0100,5.0100,5.0100,200,0
CCM.US,5,20131113,172000,5.0100,5.0100,5.0100,5.0100,700,0
CCM.US,5,20131113,172500,5.0200,5.0200,5.0200,5.0200,100,0
CCM.US,5,20131113,173000,5.0600,5.0600,5.0600,5.0600,100,0
CCM.US,5,20131113,175000,5.0400,5.0700,5.0400,5.0500,1800,0
CCM.US,5,20131113,175500,5.0700,5.0700,5.0200,5.0200,1200,0
CCM.US,5,20131113,180000,5.0200,5.0200,5.0100,5.0100,800,0
CCM.US,5,20131113,185500,5.0100,5.0100,5.0000,5.0000,4336,0
CCM.US,5,20131113,191000,5.0100,5.0100,5.0100,5.0100,200,0
CCM.US,5,20131113,191500,5.0400,5.0400,5.0400,5.0400,100,0
CCM.US,5,20131113,192000,5.0400,5.0400,5.0400,5.0400,500,0
CCM.US,5,20131113,201000,5.0300,5.0300,5.0300,5.0300,1095,0
CCM.US,5,20131113,202500,5.0000,5.0000,5.0000,5.0000,100,0
CCM.US,5,20131113,212000,5.0000,5.0000,4.9600,4.9600,3254,0
CCM.US,5,20131113,212500,4.9600,4.9700,4.9600,4.9700,2846,0
CCM.US,5,20131113,213000,4.9600,4.9600,4.9600,4.9600,2000,0
CCM.US,5,20131113,213500,4.9700,4.9700,4.9700,4.9700,600,0
CCM.US,5,20131113,214500,4.9800,4.9800,4.9800,4.9800,400,0
CCM.US,5,20131113,215500,4.9700,4.9800,4.9700,4.9800,200,0
CCM.US,5,20131113,220000,4.9600,4.9600,4.9600,4.9600,300,0
CCM.US,5,20131113,220500,4.9600,4.9600,4.9600,4.9600,1956,0
CCM.US,5,20131114,160000,4.9900,5.0000,4.9900,5.0000,8058,0
CCM.US,5,20131114,160500,4.9700,4.9700,4.9700,4.9700,700,0
