<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCO.US,5,20131112,153500,8.6800,8.6800,8.6800,8.6800,100,0
CCO.US,5,20131112,154000,8.6100,8.6700,8.6100,8.6700,800,0
CCO.US,5,20131112,154500,8.6900,8.7100,8.6900,8.7100,200,0
CCO.US,5,20131112,155000,8.7100,8.7100,8.6900,8.7100,500,0
CCO.US,5,20131112,155500,8.7100,8.7100,8.6200,8.6200,2000,0
CCO.US,5,20131112,160000,8.6000,8.6500,8.6000,8.6000,2800,0
CCO.US,5,20131112,160500,8.6200,8.6400,8.6200,8.6400,200,0
CCO.US,5,20131112,161000,8.6500,8.6500,8.6500,8.6500,100,0
CCO.US,5,20131112,161500,8.6600,8.6700,8.6100,8.6100,1100,0
CCO.US,5,20131112,162000,8.6400,8.6600,8.6400,8.6600,300,0
CCO.US,5,20131112,162500,8.6900,8.6900,8.6900,8.6900,100,0
CCO.US,5,20131112,163000,8.7000,8.7000,8.6300,8.6300,1600,0
CCO.US,5,20131112,163500,8.6200,8.6700,8.6200,8.6700,1200,0
CCO.US,5,20131112,164000,8.6700,8.7000,8.6700,8.7000,500,0
CCO.US,5,20131112,164500,8.7000,8.7000,8.7000,8.7000,100,0
CCO.US,5,20131112,165000,8.7000,8.7300,8.7000,8.7100,1500,0
CCO.US,5,20131112,165500,8.7000,8.7200,8.7000,8.7200,1695,0
CCO.US,5,20131112,170000,8.7000,8.7300,8.7000,8.7300,700,0
CCO.US,5,20131112,170500,8.7400,8.7500,8.7400,8.7500,300,0
CCO.US,5,20131112,171000,8.7400,8.7400,8.7300,8.7300,600,0
CCO.US,5,20131112,171500,8.7300,8.7300,8.7300,8.7300,100,0
CCO.US,5,20131112,172000,8.7400,8.7600,8.7400,8.7500,300,0
CCO.US,5,20131112,172500,8.7400,8.7400,8.7300,8.7400,600,0
CCO.US,5,20131112,173000,8.7700,8.7700,8.7700,8.7700,400,0
CCO.US,5,20131112,173500,8.7700,8.7900,8.7700,8.7900,500,0
CCO.US,5,20131112,174000,8.7900,8.7900,8.7700,8.7700,900,0
CCO.US,5,20131112,174500,8.7500,8.7800,8.7500,8.7800,700,0
CCO.US,5,20131112,175000,8.7800,8.7800,8.7800,8.7800,100,0
CCO.US,5,20131112,175500,8.7700,8.7800,8.7700,8.7700,300,0
CCO.US,5,20131112,180000,8.7800,8.7900,8.7800,8.7900,300,0
