<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFX.US,5,20131112,154000,57.4700,57.5300,57.4700,57.5300,2320,0
CFX.US,5,20131112,154500,57.4700,57.6400,57.4700,57.6200,2200,0
CFX.US,5,20131112,155000,57.6400,57.7100,57.6400,57.7100,400,0
CFX.US,5,20131112,155500,57.7500,57.7500,57.7400,57.7500,700,0
CFX.US,5,20131112,160000,57.7100,57.7400,57.6600,57.7400,1100,0
CFX.US,5,20131112,160500,57.7200,57.7200,57.5100,57.5400,2102,0
CFX.US,5,20131112,161000,57.5400,57.5700,57.4800,57.5700,4856,0
CFX.US,5,20131112,161500,57.6100,57.6100,57.5400,57.5400,1200,0
CFX.US,5,20131112,162000,57.5300,57.6600,57.5300,57.6600,900,0
CFX.US,5,20131112,162500,57.6700,57.6700,57.5900,57.5900,900,0
CFX.US,5,20131112,163000,57.5700,57.5700,57.5200,57.5500,900,0
CFX.US,5,20131112,163500,57.6000,57.6200,57.4500,57.4900,7804,0
CFX.US,5,20131112,164000,57.5000,57.5300,57.5000,57.5300,300,0
CFX.US,5,20131112,164500,57.5200,57.5500,57.5200,57.5500,600,0
CFX.US,5,20131112,165000,57.5600,57.6100,57.5300,57.5600,700,0
CFX.US,5,20131112,165500,57.6300,57.6300,57.5900,57.5900,600,0
CFX.US,5,20131112,170000,57.6300,57.6400,57.5600,57.6000,8404,0
CFX.US,5,20131112,170500,57.6000,57.6800,57.6000,57.6700,2393,0
CFX.US,5,20131112,171000,57.6400,57.6500,57.5500,57.5500,1100,0
CFX.US,5,20131112,171500,57.5500,57.6600,57.5400,57.6500,1100,0
CFX.US,5,20131112,172000,57.6700,57.6700,57.6400,57.6400,300,0
CFX.US,5,20131112,172500,57.6600,57.7300,57.6600,57.7200,700,0
CFX.US,5,20131112,173000,57.6900,57.7700,57.6900,57.7300,2300,0
CFX.US,5,20131112,173500,57.8200,57.8400,57.8000,57.8400,1747,0
CFX.US,5,20131112,174000,57.8200,57.8600,57.6000,57.6100,3748,0
CFX.US,5,20131112,174500,57.5800,57.6500,57.5800,57.6300,1700,0
CFX.US,5,20131112,175000,57.6300,57.6400,57.5800,57.5800,1001,0
CFX.US,5,20131112,175500,57.6000,57.6000,57.5600,57.5700,2500,0
CFX.US,5,20131112,180000,57.6000,57.6100,57.5800,57.5800,2400,0
CFX.US,5,20131112,180500,57.6100,57.6500,57.6000,57.6200,2523,0
CFX.US,5,20131112,181000,57.6100,57.6300,57.5400,57.6000,7300,0
CFX.US,5,20131112,181500,57.5800,57.6500,57.5800,57.5800,2800,0
CFX.US,5,20131112,182000,57.6100,57.6900,57.6100,57.6600,2500,0
CFX.US,5,20131112,182500,57.6500,57.6500,57.6200,57.6500,1800,0
CFX.US,5,20131112,183000,57.6500,57.6900,57.6200,57.6900,1614,0
CFX.US,5,20131112,183500,57.6600,57.6800,57.6100,57.6600,2800,0
CFX.US,5,20131112,184000,57.6800,57.6900,57.6200,57.6600,900,0
CFX.US,5,20131112,184500,57.6800,57.7200,57.6500,57.7100,1300,0
CFX.US,5,20131112,185000,57.6800,57.7000,57.6700,57.7000,929,0
CFX.US,5,20131112,185500,57.7000,57.7100,57.6800,57.7100,900,0
CFX.US,5,20131112,190000,57.6900,57.7300,57.6600,57.6800,3398,0
CFX.US,5,20131112,190500,57.6900,57.7100,57.6500,57.6900,2325,0
CFX.US,5,20131112,191000,57.7000,57.7000,57.6700,57.6700,600,0
CFX.US,5,20131112,191500,57.6800,57.7100,57.6800,57.7100,1048,0
CFX.US,5,20131112,192000,57.7100,57.7100,57.7000,57.7000,1029,0
CFX.US,5,20131112,192500,57.7200,57.7700,57.7100,57.7300,4000,0
CFX.US,5,20131112,193000,57.7600,57.7600,57.6900,57.7100,3252,0
CFX.US,5,20131112,193500,57.7000,57.7000,57.6300,57.6300,2900,0
CFX.US,5,20131112,194000,57.6400,57.6600,57.6300,57.6500,5810,0
CFX.US,5,20131112,194500,57.6600,57.6700,57.6500,57.6500,2300,0
CFX.US,5,20131112,195000,57.6500,57.6700,57.6400,57.6400,1000,0
CFX.US,5,20131112,195500,57.6400,57.6700,57.6300,57.6500,4247,0
CFX.US,5,20131112,200000,57.6700,57.6900,57.6600,57.6600,1400,0
CFX.US,5,20131112,200500,57.6800,57.7100,57.6700,57.6900,1890,0
CFX.US,5,20131112,201000,57.6600,57.6800,57.6500,57.6500,3500,0
CFX.US,5,20131112,201500,57.6600,57.6800,57.6400,57.6800,1800,0
CFX.US,5,20131112,202000,57.6800,57.7000,57.6400,57.7000,3962,0
CFX.US,5,20131112,202500,57.7000,57.7100,57.6700,57.6800,2900,0
CFX.US,5,20131112,203000,57.6800,57.6800,57.6500,57.6700,2900,0
CFX.US,5,20131112,203500,57.6700,57.6800,57.6700,57.6700,1101,0
CFX.US,5,20131112,204000,57.7100,57.7300,57.6800,57.7000,1583,0
CFX.US,5,20131112,204500,57.7200,57.7500,57.6800,57.6800,2201,0
CFX.US,5,20131112,205000,57.6800,57.7300,57.6700,57.7300,2783,0
CFX.US,5,20131112,205500,57.7200,57.7200,57.7000,57.7000,400,0
CFX.US,5,20131112,210000,57.7000,57.8300,57.6800,57.8300,13056,0
CFX.US,5,20131112,210500,57.8100,57.8100,57.7700,57.7700,2606,0
CFX.US,5,20131112,211000,57.7800,57.7800,57.7400,57.7500,900,0
CFX.US,5,20131112,211500,57.7500,57.7900,57.7500,57.7800,2831,0
CFX.US,5,20131112,212000,57.7900,57.8000,57.7800,57.8000,900,0
CFX.US,5,20131112,212500,57.8000,57.8300,57.7600,57.7700,2474,0
CFX.US,5,20131112,213000,57.7700,57.8000,57.7700,57.7700,2992,0
CFX.US,5,20131112,213500,57.7600,57.8500,57.7600,57.8200,4005,0
CFX.US,5,20131112,214000,57.8300,57.8800,57.8300,57.8500,4849,0
CFX.US,5,20131112,214500,57.8600,57.8800,57.8400,57.8500,3421,0
CFX.US,5,20131112,215000,57.8300,57.8400,57.7800,57.8000,16099,0
CFX.US,5,20131112,215500,57.8000,57.8400,57.7900,57.8000,8277,0
CFX.US,5,20131112,220000,57.7900,57.8600,57.7800,57.8300,7806,0
CFX.US,5,20131112,220500,57.8200,57.8400,57.8200,57.8400,21451,0
CFX.US,5,20131113,153500,57.3500,57.3700,57.3500,57.3700,400,0
CFX.US,5,20131113,154500,57.7200,57.8400,57.7200,57.8000,1800,0
CFX.US,5,20131113,155000,57.6700,57.7400,57.5600,57.7000,2733,0
CFX.US,5,20131113,155500,57.6500,57.6500,57.4700,57.5800,1900,0
CFX.US,5,20131113,160000,57.6200,57.7500,57.6200,57.7500,800,0
CFX.US,5,20131113,160500,57.7700,57.7700,57.7700,57.7700,100,0
CFX.US,5,20131113,161000,57.7100,57.7300,57.7100,57.7100,700,0
CFX.US,5,20131113,161500,57.7200,57.7600,57.7200,57.7600,600,0
CFX.US,5,20131113,162000,57.8100,57.8100,57.7100,57.7600,8689,0
CFX.US,5,20131113,162500,57.7400,57.7400,57.6700,57.6700,2325,0
CFX.US,5,20131113,163000,57.7000,57.8000,57.7000,57.7600,2100,0
CFX.US,5,20131113,163500,57.7600,57.7600,57.7600,57.7600,300,0
CFX.US,5,20131113,164000,57.7500,57.7500,57.7000,57.7200,3500,0
CFX.US,5,20131113,164500,57.7400,57.7400,57.7400,57.7400,200,0
CFX.US,5,20131113,165000,57.7800,57.8000,57.7600,57.8000,2300,0
CFX.US,5,20131113,165500,57.7700,57.8200,57.7700,57.8000,1500,0
CFX.US,5,20131113,170000,57.8100,57.8300,57.7800,57.7900,2300,0
CFX.US,5,20131113,170500,57.8000,57.8000,57.7900,57.7900,700,0
CFX.US,5,20131113,171000,57.8100,57.8300,57.7600,57.8300,4198,0
CFX.US,5,20131113,171500,57.8400,57.8500,57.8200,57.8500,465,0
CFX.US,5,20131113,172000,57.8100,57.8100,57.7100,57.7500,4459,0
CFX.US,5,20131113,172500,57.7200,57.8200,57.7000,57.8200,5193,0
CFX.US,5,20131113,173000,57.8000,57.8200,57.8000,57.8000,1700,0
CFX.US,5,20131113,173500,57.8000,57.8500,57.8000,57.8200,5301,0
CFX.US,5,20131113,174000,57.8200,57.8400,57.7800,57.8300,800,0
CFX.US,5,20131113,174500,57.8300,57.8300,57.7800,57.8000,2972,0
CFX.US,5,20131113,175000,57.7800,57.8300,57.7800,57.8000,2800,0
CFX.US,5,20131113,175500,57.8100,57.8100,57.8000,57.8000,300,0
CFX.US,5,20131113,180000,57.8400,57.8400,57.8100,57.8100,879,0
CFX.US,5,20131113,180500,57.8100,57.8300,57.8000,57.8300,1000,0
CFX.US,5,20131113,181000,57.8000,57.8000,57.8000,57.8000,300,0
CFX.US,5,20131113,181500,57.8000,57.8100,57.8000,57.8000,600,0
CFX.US,5,20131113,182000,57.8500,57.8800,57.8500,57.8700,3472,0
CFX.US,5,20131113,182500,57.8900,57.9900,57.8900,57.9900,1600,0
CFX.US,5,20131113,183000,57.9800,57.9900,57.9700,57.9800,400,0
CFX.US,5,20131113,183500,57.9600,57.9800,57.9600,57.9700,600,0
CFX.US,5,20131113,184000,58.0000,58.0000,57.9500,57.9500,2125,0
CFX.US,5,20131113,184500,57.9500,58.0800,57.9500,58.0100,9201,0
CFX.US,5,20131113,185000,58.0400,58.0400,58.0000,58.0100,900,0
CFX.US,5,20131113,185500,58.0500,58.1400,58.0200,58.1100,4600,0
CFX.US,5,20131113,190000,58.0500,58.2100,58.0400,58.1400,8600,0
CFX.US,5,20131113,190500,58.1800,58.1900,58.0700,58.0700,2000,0
CFX.US,5,20131113,191000,58.0700,58.1100,58.0300,58.0400,2100,0
CFX.US,5,20131113,191500,58.0800,58.0800,58.0400,58.0700,3200,0
CFX.US,5,20131113,192000,58.0800,58.1200,58.0800,58.1200,300,0
CFX.US,5,20131113,192500,58.1500,58.1500,58.1500,58.1500,100,0
CFX.US,5,20131113,193000,58.1900,58.2400,58.1900,58.2400,1000,0
CFX.US,5,20131113,193500,58.2400,58.3100,58.2300,58.3100,1600,0
