<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGA.US,5,20131112,153500,4.5000,4.5000,4.3600,4.3900,12055,0
CGA.US,5,20131112,154000,4.3900,4.3900,4.3500,4.3600,18450,0
CGA.US,5,20131112,154500,4.3900,4.3900,4.3500,4.3500,8700,0
CGA.US,5,20131112,155000,4.3600,4.3600,4.2600,4.3400,16575,0
CGA.US,5,20131112,155500,4.3300,4.3300,4.2600,4.2800,9080,0
CGA.US,5,20131112,160000,4.2800,4.3000,4.2600,4.3000,12322,0
CGA.US,5,20131112,160500,4.3000,4.3000,4.2300,4.2600,21455,0
CGA.US,5,20131112,161000,4.2500,4.3000,4.2500,4.3000,10700,0
CGA.US,5,20131112,161500,4.3000,4.3400,4.2800,4.2900,10311,0
CGA.US,5,20131112,162000,4.2900,4.2900,4.2900,4.2900,100,0
CGA.US,5,20131112,162500,4.2800,4.2900,4.2800,4.2800,700,0
CGA.US,5,20131112,163000,4.2800,4.2800,4.2700,4.2700,3500,0
CGA.US,5,20131112,163500,4.2600,4.2800,4.2500,4.2800,8907,0
CGA.US,5,20131112,164000,4.2700,4.2700,4.1800,4.2500,33750,0
CGA.US,5,20131112,164500,4.2100,4.2100,4.1800,4.2000,14519,0
CGA.US,5,20131112,165000,4.1900,4.2000,4.1900,4.1900,3700,0
CGA.US,5,20131112,165500,4.1800,4.1800,4.1800,4.1800,24697,0
CGA.US,5,20131112,170000,4.1800,4.2000,4.1800,4.1800,6400,0
CGA.US,5,20131112,170500,4.1800,4.1800,4.1800,4.1800,5800,0
CGA.US,5,20131112,171000,4.1800,4.2200,4.1800,4.2200,5643,0
CGA.US,5,20131112,171500,4.1900,4.2200,4.1900,4.2000,10221,0
CGA.US,5,20131112,172000,4.2000,4.2300,4.2000,4.2000,14050,0
CGA.US,5,20131112,172500,4.2100,4.2300,4.2100,4.2300,1100,0
CGA.US,5,20131112,173000,4.2300,4.2300,4.2100,4.2300,7889,0
CGA.US,5,20131112,173500,4.2400,4.2700,4.2400,4.2700,2200,0
CGA.US,5,20131112,174000,4.2800,4.3100,4.2800,4.3000,10592,0
CGA.US,5,20131112,174500,4.3100,4.3100,4.3000,4.3100,2000,0
CGA.US,5,20131112,175000,4.2800,4.2800,4.2800,4.2800,4000,0
CGA.US,5,20131112,175500,4.2800,4.3000,4.2800,4.2800,2100,0
CGA.US,5,20131112,180500,4.2800,4.2900,4.2800,4.2800,400,0
CGA.US,5,20131112,181000,4.2800,4.2800,4.2500,4.2500,1400,0
CGA.US,5,20131112,181500,4.2500,4.2600,4.2500,4.2600,7600,0
CGA.US,5,20131112,182500,4.2500,4.2600,4.2500,4.2600,400,0
CGA.US,5,20131112,183000,4.2500,4.2500,4.2500,4.2500,1200,0
CGA.US,5,20131112,183500,4.2500,4.2500,4.2100,4.2100,5175,0
CGA.US,5,20131112,184000,4.2100,4.2200,4.2000,4.2000,2600,0
CGA.US,5,20131112,184500,4.2100,4.2100,4.2000,4.2000,1400,0
CGA.US,5,20131112,185000,4.2000,4.2000,4.2000,4.2000,600,0
CGA.US,5,20131112,185500,4.2000,4.2100,4.2000,4.2100,1200,0
CGA.US,5,20131112,190000,4.2100,4.2100,4.2000,4.2000,500,0
CGA.US,5,20131112,190500,4.2000,4.2000,4.2000,4.2000,2508,0
CGA.US,5,20131112,191000,4.2000,4.2000,4.2000,4.2000,1450,0
CGA.US,5,20131112,191500,4.2100,4.2300,4.2000,4.2300,3300,0
CGA.US,5,20131112,192000,4.2200,4.2300,4.2000,4.2000,6235,0
CGA.US,5,20131112,192500,4.2100,4.2100,4.2000,4.2000,9669,0
CGA.US,5,20131112,193000,4.2000,4.2300,4.2000,4.2300,1500,0
CGA.US,5,20131112,193500,4.2500,4.2500,4.2400,4.2500,4881,0
CGA.US,5,20131112,194000,4.2400,4.2400,4.2100,4.2100,1400,0
CGA.US,5,20131112,194500,4.2000,4.2100,4.2000,4.2100,400,0
CGA.US,5,20131112,195000,4.2100,4.2100,4.2100,4.2100,100,0
CGA.US,5,20131112,195500,4.2100,4.2100,4.2100,4.2100,100,0
CGA.US,5,20131112,200000,4.2100,4.2100,4.2100,4.2100,300,0
CGA.US,5,20131112,200500,4.2100,4.2300,4.2100,4.2300,600,0
CGA.US,5,20131112,201000,4.2100,4.2100,4.2100,4.2100,200,0
