<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHD.US,5,20131112,153500,63.9500,63.9500,63.7700,63.8200,5362,0
CHD.US,5,20131112,154000,63.8900,64.1900,63.8900,64.1700,3799,0
CHD.US,5,20131112,154500,64.1000,64.2600,64.0800,64.2000,4101,0
CHD.US,5,20131112,155000,64.1500,64.1900,64.1100,64.1900,11000,0
CHD.US,5,20131112,155500,64.2100,64.3300,64.2000,64.3300,7062,0
CHD.US,5,20131112,160000,64.2900,64.3700,64.2800,64.3600,6618,0
CHD.US,5,20131112,160500,64.3600,64.3600,64.2600,64.2700,6170,0
CHD.US,5,20131112,161000,64.2800,64.4600,64.2800,64.4600,5311,0
CHD.US,5,20131112,161500,64.4600,64.4800,64.4200,64.4400,2365,0
CHD.US,5,20131112,162000,64.3900,64.5200,64.3900,64.5100,2903,0
CHD.US,5,20131112,162500,64.4800,64.4800,64.3600,64.3900,5026,0
CHD.US,5,20131112,163000,64.3700,64.4400,64.3600,64.4400,4422,0
CHD.US,5,20131112,163500,64.4300,64.4600,64.4300,64.4300,2400,0
CHD.US,5,20131112,164000,64.4400,64.4600,64.4100,64.4100,4500,0
CHD.US,5,20131112,164500,64.3600,64.4000,64.3600,64.3800,4313,0
CHD.US,5,20131112,165000,64.4000,64.4200,64.3400,64.3600,17196,0
CHD.US,5,20131112,165500,64.3600,64.5200,64.3600,64.4700,5510,0
CHD.US,5,20131112,170000,64.4800,64.5200,64.4200,64.4300,12245,0
CHD.US,5,20131112,170500,64.4500,64.4700,64.4400,64.4600,4100,0
CHD.US,5,20131112,171000,64.4600,64.4900,64.4400,64.4600,2050,0
CHD.US,5,20131112,171500,64.4800,64.5400,64.4700,64.5000,4033,0
CHD.US,5,20131112,172000,64.5100,64.5100,64.4500,64.4500,13800,0
CHD.US,5,20131112,172500,64.4400,64.4700,64.4100,64.4400,2550,0
CHD.US,5,20131112,173000,64.4400,64.4500,64.4100,64.4500,4278,0
CHD.US,5,20131112,173500,64.4400,64.4400,64.3800,64.4000,5113,0
CHD.US,5,20131112,174000,64.4000,64.4000,64.2700,64.3100,3245,0
CHD.US,5,20131112,174500,64.2900,64.3500,64.2600,64.2700,13815,0
CHD.US,5,20131112,175000,64.2700,64.3500,64.2100,64.3300,18091,0
CHD.US,5,20131112,175500,64.3300,64.4100,64.3200,64.3800,6115,0
CHD.US,5,20131112,180000,64.3600,64.4100,64.3500,64.3900,5800,0
CHD.US,5,20131112,180500,64.3500,64.3900,64.3300,64.3300,2200,0
CHD.US,5,20131112,181000,64.3500,64.3900,64.2800,64.2800,10817,0
CHD.US,5,20131112,181500,64.2900,64.3200,64.2600,64.2800,5803,0
CHD.US,5,20131112,182000,64.2800,64.3000,64.2500,64.2600,13806,0
CHD.US,5,20131112,182500,64.2600,64.3300,64.2600,64.3000,11953,0
CHD.US,5,20131112,183000,64.2800,64.3500,64.2800,64.3400,7708,0
CHD.US,5,20131112,183500,64.3400,64.3400,64.3000,64.3300,3506,0
CHD.US,5,20131112,184000,64.3400,64.3500,64.3200,64.3200,1450,0
CHD.US,5,20131112,184500,64.3200,64.4300,64.3200,64.4200,6633,0
CHD.US,5,20131112,185000,64.4300,64.4500,64.4000,64.4300,5400,0
CHD.US,5,20131112,185500,64.4200,64.4800,64.4000,64.4300,8814,0
CHD.US,5,20131112,190000,64.4300,64.4300,64.3800,64.4000,9150,0
CHD.US,5,20131112,190500,64.3900,64.4300,64.3800,64.4100,2500,0
CHD.US,5,20131112,191000,64.4000,64.4400,64.4000,64.4400,2200,0
CHD.US,5,20131112,191500,64.4200,64.4400,64.4200,64.4400,2700,0
CHD.US,5,20131112,192000,64.4300,64.4800,64.4300,64.4700,1900,0
CHD.US,5,20131112,192500,64.5000,64.5200,64.4700,64.4800,3194,0
CHD.US,5,20131112,193000,64.4700,64.4800,64.4000,64.4100,6100,0
CHD.US,5,20131112,193500,64.4100,64.4200,64.3300,64.3700,6200,0
CHD.US,5,20131112,194000,64.3700,64.4200,64.3500,64.4200,3300,0
CHD.US,5,20131112,194500,64.4100,64.4300,64.3800,64.4300,3500,0
CHD.US,5,20131112,195000,64.4000,64.4500,64.4000,64.4500,3100,0
CHD.US,5,20131112,195500,64.4500,64.4600,64.3900,64.4300,4200,0
CHD.US,5,20131112,200000,64.4000,64.4600,64.3900,64.4500,3000,0
CHD.US,5,20131112,200500,64.4500,64.4800,64.4300,64.4800,2200,0
CHD.US,5,20131112,201000,64.4700,64.5100,64.4500,64.5100,1900,0
