<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLF.US,5,20131112,153500,27.1200,27.1500,26.8500,27.0700,165127,0
CLF.US,5,20131112,154000,27.0700,27.0700,26.8600,26.9300,107397,0
CLF.US,5,20131112,154500,26.9000,27.1000,26.8800,27.0700,108670,0
CLF.US,5,20131112,155000,27.0600,27.1000,26.9300,27.0200,92404,0
CLF.US,5,20131112,155500,27.0200,27.0400,26.8000,26.8400,158494,0
CLF.US,5,20131112,160000,26.8300,26.8800,26.6900,26.7400,209578,0
CLF.US,5,20131112,160500,26.7300,26.7800,26.5900,26.6000,196429,0
CLF.US,5,20131112,161000,26.5900,26.6000,26.5000,26.5500,212794,0
CLF.US,5,20131112,161500,26.5500,26.6400,26.5200,26.6300,164767,0
CLF.US,5,20131112,162000,26.6300,26.7100,26.5600,26.5900,231487,0
CLF.US,5,20131112,162500,26.5900,26.5900,26.4200,26.4300,187400,0
CLF.US,5,20131112,163000,26.4300,26.5600,26.4200,26.5600,81355,0
CLF.US,5,20131112,163500,26.5600,26.6300,26.4600,26.4700,116888,0
CLF.US,5,20131112,164000,26.4600,26.5200,26.2800,26.2800,242307,0
CLF.US,5,20131112,164500,26.2800,26.2800,26.1200,26.1300,466406,0
CLF.US,5,20131112,165000,26.1300,26.2100,26.1100,26.1800,184879,0
CLF.US,5,20131112,165500,26.1700,26.1700,26.0300,26.1100,219909,0
CLF.US,5,20131112,170000,26.1200,26.1600,26.1100,26.1400,103356,0
CLF.US,5,20131112,170500,26.1400,26.2100,26.1300,26.1900,176145,0
CLF.US,5,20131112,171000,26.2000,26.3000,26.2000,26.2200,156395,0
CLF.US,5,20131112,171500,26.2200,26.3200,26.2100,26.2700,151402,0
CLF.US,5,20131112,172000,26.2700,26.4000,26.2700,26.3900,153025,0
CLF.US,5,20131112,172500,26.3900,26.4000,26.3000,26.3100,92115,0
CLF.US,5,20131112,173000,26.3100,26.3600,26.3000,26.3500,52161,0
CLF.US,5,20131112,173500,26.3600,26.4700,26.3600,26.3900,119170,0
CLF.US,5,20131112,174000,26.3800,26.3900,26.2600,26.2800,57669,0
CLF.US,5,20131112,174500,26.2700,26.3000,26.2500,26.2600,71663,0
CLF.US,5,20131112,175000,26.2700,26.2900,26.2300,26.2900,68032,0
CLF.US,5,20131112,175500,26.2900,26.3000,26.2700,26.2900,36549,0
CLF.US,5,20131112,180000,26.2900,26.3100,26.2700,26.3100,29964,0
