<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLGX.US,5,20131112,153500,34.1400,34.2100,34.1100,34.2000,1900,0
CLGX.US,5,20131112,154000,34.2300,34.2500,34.2300,34.2300,700,0
CLGX.US,5,20131112,154500,34.2100,34.2400,34.1000,34.2200,3029,0
CLGX.US,5,20131112,155000,34.2200,34.2700,34.2000,34.2200,4500,0
CLGX.US,5,20131112,155500,34.1900,34.2900,34.1800,34.2400,14000,0
CLGX.US,5,20131112,160000,34.2300,34.3200,34.1800,34.2500,34920,0
CLGX.US,5,20131112,160500,34.2700,34.3000,34.1200,34.1600,6400,0
CLGX.US,5,20131112,161000,34.1400,34.1400,34.0300,34.0900,5700,0
CLGX.US,5,20131112,161500,34.0900,34.1000,34.0500,34.0600,6400,0
CLGX.US,5,20131112,162000,34.0800,34.2100,34.0600,34.1900,11800,0
CLGX.US,5,20131112,162500,34.1500,34.1900,34.1300,34.1400,8000,0
CLGX.US,5,20131112,163000,34.1100,34.1400,34.0900,34.1300,11800,0
CLGX.US,5,20131112,163500,34.1500,34.1700,34.0900,34.1100,2668,0
CLGX.US,5,20131112,164000,34.0900,34.1200,34.0800,34.0800,3654,0
CLGX.US,5,20131112,164500,34.0900,34.0900,34.0300,34.0600,3445,0
CLGX.US,5,20131112,165000,34.0300,34.0600,34.0000,34.0100,2102,0
CLGX.US,5,20131112,165500,33.9900,34.0000,33.9600,33.9600,2490,0
CLGX.US,5,20131112,170000,33.9800,33.9800,33.9300,33.9300,4237,0
CLGX.US,5,20131112,170500,33.9200,33.9700,33.9200,33.9700,3004,0
CLGX.US,5,20131112,171000,33.9800,33.9900,33.9300,33.9500,2900,0
CLGX.US,5,20131112,171500,33.9600,34.0300,33.9600,34.0000,9845,0
CLGX.US,5,20131112,172000,34.0000,34.1000,34.0000,34.0600,8000,0
CLGX.US,5,20131112,172500,34.0600,34.1000,34.0600,34.0700,11563,0
CLGX.US,5,20131112,173000,34.0700,34.0900,34.0400,34.0900,5741,0
CLGX.US,5,20131112,173500,34.0900,34.2000,34.0700,34.2000,80219,0
CLGX.US,5,20131112,174000,34.2000,34.2600,34.1300,34.1300,26756,0
CLGX.US,5,20131112,174500,34.1200,34.1800,34.1000,34.1000,7008,0
CLGX.US,5,20131112,175000,34.1100,34.1300,34.0700,34.1000,23161,0
CLGX.US,5,20131112,175500,34.0900,34.1000,34.0800,34.1000,2100,0
CLGX.US,5,20131112,180000,34.0900,34.1400,34.0900,34.1100,28400,0
CLGX.US,5,20131112,180500,34.1100,34.1400,34.1100,34.1200,4708,0
CLGX.US,5,20131112,181000,34.1200,34.1400,34.0600,34.1400,10422,0
CLGX.US,5,20131112,181500,34.1300,34.1600,34.1200,34.1200,1222,0
CLGX.US,5,20131112,182000,34.1300,34.1800,34.1300,34.1700,55783,0
CLGX.US,5,20131112,182500,34.1800,34.1800,34.1300,34.1500,24981,0
CLGX.US,5,20131112,183000,34.1500,34.1700,34.1400,34.1400,1400,0
CLGX.US,5,20131112,183500,34.1400,34.1800,34.1100,34.1500,8047,0
CLGX.US,5,20131112,184000,34.1300,34.1300,34.1200,34.1200,3412,0
CLGX.US,5,20131112,184500,34.1200,34.1400,34.1100,34.1200,1850,0
CLGX.US,5,20131112,185000,34.1300,34.1500,34.1300,34.1300,3801,0
CLGX.US,5,20131112,185500,34.1300,34.1300,34.1000,34.1100,10075,0
CLGX.US,5,20131112,190000,34.1000,34.1300,34.1000,34.1200,1400,0
CLGX.US,5,20131112,190500,34.1100,34.1100,34.1000,34.1000,6892,0
CLGX.US,5,20131112,191000,34.0800,34.1000,34.0800,34.0900,900,0
CLGX.US,5,20131112,191500,34.1000,34.1300,34.0700,34.0700,31832,0
CLGX.US,5,20131112,192000,34.0600,34.1200,34.0400,34.1200,5600,0
CLGX.US,5,20131112,192500,34.1100,34.1200,34.1100,34.1200,800,0
CLGX.US,5,20131112,193000,34.1200,34.1400,34.1100,34.1300,11695,0
CLGX.US,5,20131112,193500,34.1100,34.1100,34.0600,34.0600,7123,0
CLGX.US,5,20131112,194000,34.0700,34.1200,34.0700,34.1200,2204,0
CLGX.US,5,20131112,194500,34.1200,34.1400,34.1100,34.1300,2700,0
CLGX.US,5,20131112,195000,34.1500,34.1500,34.1000,34.1300,13115,0
CLGX.US,5,20131112,195500,34.1400,34.1400,34.1100,34.1100,28670,0
CLGX.US,5,20131112,200000,34.1000,34.1000,34.0800,34.0800,2200,0
CLGX.US,5,20131112,200500,34.0900,34.1300,34.0900,34.1300,1500,0
CLGX.US,5,20131112,201000,34.1400,34.1600,34.1300,34.1600,2582,0
CLGX.US,5,20131112,201500,34.1600,34.1600,34.1400,34.1600,4100,0
CLGX.US,5,20131112,202000,34.1500,34.1700,34.1500,34.1700,3575,0
CLGX.US,5,20131112,202500,34.1900,34.1900,34.1500,34.1600,6676,0
CLGX.US,5,20131112,203000,34.1700,34.1700,34.1500,34.1500,3959,0
CLGX.US,5,20131112,203500,34.1500,34.1600,34.1300,34.1600,4401,0
CLGX.US,5,20131112,204000,34.1500,34.1700,34.1500,34.1500,9800,0
CLGX.US,5,20131112,204500,34.1500,34.2000,34.1500,34.2000,3050,0
CLGX.US,5,20131112,205000,34.2000,34.2000,34.1900,34.1900,3900,0
CLGX.US,5,20131112,205500,34.1900,34.1900,34.1500,34.1700,4009,0
CLGX.US,5,20131112,210000,34.1800,34.2700,34.1700,34.2300,5753,0
CLGX.US,5,20131112,210500,34.2300,34.2400,34.2100,34.2200,7611,0
CLGX.US,5,20131112,211000,34.2100,34.2200,34.2000,34.2100,7624,0
CLGX.US,5,20131112,211500,34.2200,34.2200,34.2000,34.2100,9090,0
CLGX.US,5,20131112,212000,34.2300,34.2600,34.2200,34.2500,5240,0
CLGX.US,5,20131112,212500,34.2500,34.2600,34.2400,34.2600,13921,0
CLGX.US,5,20131112,213000,34.2500,34.2900,34.2500,34.2700,12262,0
CLGX.US,5,20131112,213500,34.2800,34.3000,34.2700,34.2800,15592,0
CLGX.US,5,20131112,214000,34.2800,34.2800,34.2600,34.2600,9264,0
CLGX.US,5,20131112,214500,34.2600,34.2800,34.2500,34.2700,17459,0
CLGX.US,5,20131112,215000,34.2600,34.2800,34.2300,34.2400,36762,0
CLGX.US,5,20131112,215500,34.2400,34.2500,34.2000,34.2200,27306,0
CLGX.US,5,20131112,220000,34.2200,34.2700,34.2100,34.2600,50580,0
CLGX.US,5,20131112,220500,34.2500,34.2500,34.2500,34.2500,59898,0
CLGX.US,5,20131113,153500,34.0300,34.1800,33.9200,34.1800,12936,0
CLGX.US,5,20131113,154000,34.1800,34.2200,34.1600,34.1600,8051,0
CLGX.US,5,20131113,154500,34.2000,34.2400,34.1700,34.1900,6443,0
CLGX.US,5,20131113,155000,34.2000,34.2500,34.1500,34.2300,16364,0
CLGX.US,5,20131113,155500,34.2300,34.2400,34.1700,34.1900,8600,0
CLGX.US,5,20131113,160000,34.1900,34.2900,34.1900,34.2500,96893,0
CLGX.US,5,20131113,160500,34.2500,34.2800,34.2100,34.2500,8000,0
CLGX.US,5,20131113,161000,34.2500,34.2800,34.2000,34.2000,13650,0
CLGX.US,5,20131113,161500,34.2200,34.2900,34.2000,34.2700,13428,0
CLGX.US,5,20131113,162000,34.2800,34.3100,34.2000,34.2500,12900,0
CLGX.US,5,20131113,162500,34.2700,34.3400,34.2400,34.2500,8800,0
CLGX.US,5,20131113,163000,34.2600,34.3900,34.2600,34.3500,14581,0
CLGX.US,5,20131113,163500,34.3500,34.4300,34.3500,34.4100,4028,0
CLGX.US,5,20131113,164000,34.4100,34.4200,34.3500,34.4200,3701,0
CLGX.US,5,20131113,164500,34.3900,34.4800,34.3700,34.4300,5100,0
CLGX.US,5,20131113,165000,34.4500,34.6200,34.4200,34.5300,81194,0
CLGX.US,5,20131113,165500,34.5100,34.5700,34.5100,34.5200,5753,0
CLGX.US,5,20131113,170000,34.5000,34.5600,34.4500,34.5600,17500,0
CLGX.US,5,20131113,170500,34.5500,34.5700,34.5300,34.5600,16641,0
