<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN-A.US,5,20131112,161000,25.3900,25.3900,25.3900,25.3900,200,0
CLN-A.US,5,20131112,171000,25.3500,25.3500,25.3500,25.3500,724,0
CLN-A.US,5,20131112,173500,25.3500,25.3500,25.3500,25.3500,1000,0
CLN-A.US,5,20131112,175000,25.3500,25.3500,25.3500,25.3500,1000,0
CLN-A.US,5,20131112,175500,25.3500,25.3500,25.2600,25.3100,1358,0
CLN-A.US,5,20131112,191000,25.4300,25.4300,25.4300,25.4300,300,0
CLN-A.US,5,20131112,195500,25.3500,25.3500,25.3500,25.3500,222,0
CLN-A.US,5,20131112,210500,25.3000,25.3000,25.3000,25.3000,100,0
CLN-A.US,5,20131112,215500,25.3000,25.3000,25.2900,25.2900,1546,0
CLN-A.US,5,20131112,220000,25.3000,25.3000,25.3000,25.3000,100,0
CLN-A.US,5,20131113,153500,25.3500,25.3500,25.3500,25.3500,100,0
CLN-A.US,5,20131113,173500,25.3500,25.3500,25.3500,25.3500,1600,0
CLN-A.US,5,20131113,175500,25.2600,25.2600,25.1200,25.1200,3100,0
CLN-A.US,5,20131113,180500,25.1500,25.1500,25.1500,25.1500,764,0
CLN-A.US,5,20131113,181000,25.1500,25.1500,25.1500,25.1500,123,0
CLN-A.US,5,20131113,182000,25.1500,25.1500,25.1500,25.1500,2465,0
CLN-A.US,5,20131113,182500,25.2000,25.2000,25.2000,25.2000,125,0
CLN-A.US,5,20131113,184000,25.2500,25.2500,25.2500,25.2500,1650,0
CLN-A.US,5,20131113,185500,25.1600,25.1800,25.1500,25.1800,2400,0
CLN-A.US,5,20131113,191000,25.1500,25.1500,25.1500,25.1500,400,0
CLN-A.US,5,20131113,200000,25.2500,25.2500,25.2500,25.2500,500,0
CLN-A.US,5,20131113,201500,25.3400,25.3400,25.3400,25.3400,1000,0
CLN-A.US,5,20131113,202000,25.2000,25.2000,25.2000,25.2000,100,0
CLN-A.US,5,20131113,205500,25.3000,25.3000,25.3000,25.3000,1000,0
