<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLS.US,5,20131112,153500,10.6700,10.6800,10.6600,10.6600,1768,0
CLS.US,5,20131112,154000,10.6800,10.6800,10.6600,10.6600,800,0
CLS.US,5,20131112,154500,10.6600,10.6600,10.6400,10.6400,500,0
CLS.US,5,20131112,155000,10.6500,10.6800,10.6500,10.6800,6200,0
CLS.US,5,20131112,155500,10.6800,10.6900,10.6800,10.6900,500,0
CLS.US,5,20131112,160000,10.6800,10.6900,10.6700,10.6700,900,0
CLS.US,5,20131112,160500,10.6700,10.6700,10.6700,10.6700,2800,0
CLS.US,5,20131112,161000,10.6600,10.6700,10.6600,10.6700,500,0
CLS.US,5,20131112,161500,10.6700,10.6700,10.6600,10.6600,200,0
CLS.US,5,20131112,162000,10.6600,10.6800,10.6600,10.6700,1200,0
CLS.US,5,20131112,162500,10.6700,10.6700,10.6700,10.6700,200,0
CLS.US,5,20131112,163000,10.6700,10.6700,10.6700,10.6700,900,0
CLS.US,5,20131112,163500,10.6700,10.6900,10.6700,10.6700,2600,0
CLS.US,5,20131112,164000,10.6700,10.6800,10.6700,10.6800,900,0
CLS.US,5,20131112,164500,10.6700,10.6700,10.6700,10.6700,100,0
CLS.US,5,20131112,165000,10.6800,10.6800,10.6800,10.6800,1352,0
CLS.US,5,20131112,165500,10.6800,10.6800,10.6800,10.6800,300,0
CLS.US,5,20131112,170000,10.6800,10.6800,10.6800,10.6800,1146,0
CLS.US,5,20131112,170500,10.6700,10.6700,10.6600,10.6700,500,0
CLS.US,5,20131112,171000,10.6700,10.6700,10.6500,10.6600,1100,0
CLS.US,5,20131112,171500,10.6600,10.6600,10.6400,10.6400,700,0
CLS.US,5,20131112,172000,10.6400,10.6400,10.6400,10.6400,100,0
CLS.US,5,20131112,172500,10.6400,10.6400,10.6400,10.6400,300,0
CLS.US,5,20131112,173000,10.6500,10.6700,10.6500,10.6600,8352,0
CLS.US,5,20131112,173500,10.6600,10.6600,10.6600,10.6600,100,0
CLS.US,5,20131112,174000,10.6600,10.6700,10.6600,10.6700,300,0
CLS.US,5,20131112,175000,10.6600,10.6600,10.6500,10.6600,2101,0
CLS.US,5,20131112,175500,10.6700,10.6700,10.6600,10.6600,2800,0
CLS.US,5,20131112,180000,10.6700,10.6700,10.6600,10.6600,600,0
CLS.US,5,20131112,180500,10.6600,10.6700,10.6600,10.6700,2100,0
CLS.US,5,20131112,181000,10.6600,10.6600,10.6300,10.6500,3300,0
CLS.US,5,20131112,181500,10.6400,10.6500,10.6400,10.6500,300,0
CLS.US,5,20131112,182000,10.6500,10.6600,10.6500,10.6500,3900,0
CLS.US,5,20131112,182500,10.6500,10.6500,10.6200,10.6300,4230,0
CLS.US,5,20131112,183000,10.6300,10.6300,10.6300,10.6300,100,0
CLS.US,5,20131112,183500,10.6500,10.6500,10.6400,10.6500,900,0
CLS.US,5,20131112,184000,10.6500,10.6500,10.6400,10.6400,200,0
CLS.US,5,20131112,184500,10.6400,10.6600,10.6400,10.6400,1100,0
CLS.US,5,20131112,185000,10.6400,10.6400,10.6400,10.6400,100,0
CLS.US,5,20131112,185500,10.6400,10.6500,10.6400,10.6500,400,0
CLS.US,5,20131112,190000,10.6400,10.6400,10.6400,10.6400,200,0
CLS.US,5,20131112,190500,10.6400,10.6400,10.6400,10.6400,2200,0
CLS.US,5,20131112,191000,10.6300,10.6500,10.6300,10.6400,1190,0
CLS.US,5,20131112,191500,10.6500,10.6500,10.6500,10.6500,1000,0
CLS.US,5,20131112,192000,10.6600,10.6600,10.6400,10.6500,700,0
