<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMO-E.US,5,20131112,153500,24.1700,24.1700,24.1700,24.1700,400,0
CMO-E.US,5,20131112,154000,24.1700,24.1700,24.1700,24.1700,100,0
CMO-E.US,5,20131112,154500,24.1700,24.2200,24.1700,24.2200,400,0
CMO-E.US,5,20131112,155000,24.1700,24.1700,24.1700,24.1700,500,0
CMO-E.US,5,20131112,155500,24.1500,24.1600,24.1500,24.1600,500,0
CMO-E.US,5,20131112,160500,24.1700,24.1700,24.1700,24.1700,400,0
CMO-E.US,5,20131112,161000,24.1500,24.1700,24.1500,24.1700,302,0
CMO-E.US,5,20131112,164000,24.1500,24.1600,24.1500,24.1600,600,0
CMO-E.US,5,20131112,164500,24.2200,24.2300,24.1300,24.1400,475,0
CMO-E.US,5,20131112,165500,24.1600,24.1600,24.1600,24.1600,400,0
CMO-E.US,5,20131112,170000,24.1500,24.1500,24.1500,24.1500,1100,0
CMO-E.US,5,20131112,171000,24.1600,24.1600,24.0900,24.0900,1035,0
CMO-E.US,5,20131112,171500,24.1600,24.1600,24.1400,24.1400,572,0
CMO-E.US,5,20131112,173000,24.2000,24.2000,24.2000,24.2000,1300,0
CMO-E.US,5,20131112,173500,24.2000,24.2000,24.2000,24.2000,2500,0
CMO-E.US,5,20131112,174500,24.2200,24.2300,24.2000,24.2000,1033,0
CMO-E.US,5,20131112,180000,24.1900,24.2300,24.1900,24.2300,1018,0
CMO-E.US,5,20131112,182000,24.2000,24.2000,24.2000,24.2000,2300,0
CMO-E.US,5,20131112,184000,24.2000,24.2000,24.2000,24.2000,300,0
CMO-E.US,5,20131112,184500,24.2200,24.2300,24.2200,24.2300,1181,0
CMO-E.US,5,20131112,191000,24.2400,24.2400,24.2400,24.2400,1100,0
CMO-E.US,5,20131112,191500,24.2000,24.2000,24.1700,24.2000,1000,0
CMO-E.US,5,20131112,200500,24.1400,24.1900,24.0900,24.1700,3700,0
CMO-E.US,5,20131112,201500,24.1500,24.1500,24.1500,24.1500,1500,0
CMO-E.US,5,20131112,202000,24.1500,24.1500,24.1500,24.1500,100,0
CMO-E.US,5,20131112,203500,24.1500,24.1500,24.1500,24.1500,100,0
CMO-E.US,5,20131112,212000,24.1700,24.1700,24.1700,24.1700,1400,0
CMO-E.US,5,20131112,213000,24.1900,24.1900,24.1900,24.1900,100,0
CMO-E.US,5,20131112,213500,24.2200,24.2200,24.2200,24.2200,1000,0
CMO-E.US,5,20131112,215000,24.1300,24.1300,24.1300,24.1300,100,0
CMO-E.US,5,20131112,215500,24.2000,24.2100,24.2000,24.2100,240,0
CMO-E.US,5,20131113,165000,24.1700,24.1700,24.1700,24.1700,300,0
CMO-E.US,5,20131113,170000,24.1900,24.2000,24.1900,24.2000,679,0
CMO-E.US,5,20131113,171500,24.1600,24.1600,24.0000,24.0500,8940,0
CMO-E.US,5,20131113,173500,24.1000,24.1000,24.0900,24.0900,4345,0
CMO-E.US,5,20131113,174500,24.0900,24.1000,24.0900,24.1000,500,0
CMO-E.US,5,20131113,175000,24.1000,24.1000,24.1000,24.1000,200,0
CMO-E.US,5,20131113,175500,24.0900,24.0900,24.0900,24.0900,300,0
CMO-E.US,5,20131113,180000,24.0900,24.0900,24.0900,24.0900,400,0
CMO-E.US,5,20131113,182000,24.0900,24.0900,24.0900,24.0900,700,0
CMO-E.US,5,20131113,183000,24.0700,24.0700,23.9800,23.9800,6100,0
CMO-E.US,5,20131113,184000,23.9300,24.0000,23.9300,24.0000,2500,0
CMO-E.US,5,20131113,204000,24.0800,24.0800,24.0700,24.0800,800,0
CMO-E.US,5,20131113,204500,24.0200,24.0200,24.0100,24.0100,925,0
CMO-E.US,5,20131113,211000,24.0900,24.0900,24.0900,24.0900,2200,0
CMO-E.US,5,20131113,213500,24.0300,24.0300,24.0300,24.0300,100,0
CMO-E.US,5,20131113,214000,24.0300,24.0900,24.0300,24.0900,500,0
CMO-E.US,5,20131113,214500,24.0700,24.1000,24.0700,24.1000,600,0
CMO-E.US,5,20131113,215000,24.0700,24.0900,24.0700,24.0900,1470,0
CMO-E.US,5,20131114,154500,24.1000,24.1000,24.1000,24.1000,500,0
CMO-E.US,5,20131114,170000,24.1100,24.1200,24.1100,24.1200,500,0
CMO-E.US,5,20131114,174000,24.1100,24.1100,24.1100,24.1100,300,0
CMO-E.US,5,20131114,182500,24.1100,24.1100,24.1000,24.1000,400,0
CMO-E.US,5,20131114,183000,24.1100,24.1100,24.1100,24.1100,1200,0
CMO-E.US,5,20131114,192500,24.1500,24.1500,24.1500,24.1500,200,0
CMO-E.US,5,20131114,203500,24.1500,24.1500,24.1500,24.1500,2000,0
CMO-E.US,5,20131114,211500,24.1500,24.1500,24.1500,24.1500,425,0
CMO-E.US,5,20131114,212000,24.1500,24.1500,24.1200,24.1200,1400,0
CMO-E.US,5,20131114,214500,24.1500,24.1500,24.0800,24.1100,1100,0
CMO-E.US,5,20131115,161000,24.1100,24.1100,24.1100,24.1100,150,0
CMO-E.US,5,20131115,164500,24.1400,24.1400,24.1400,24.1400,1500,0
CMO-E.US,5,20131115,173000,24.1100,24.1300,24.1100,24.1300,1100,0
CMO-E.US,5,20131115,174000,24.1200,24.1200,24.1200,24.1200,600,0
CMO-E.US,5,20131115,174500,24.1100,24.1200,24.1100,24.1200,10300,0
CMO-E.US,5,20131115,175000,24.1100,24.1100,24.0900,24.0900,3100,0
CMO-E.US,5,20131115,175500,24.1000,24.1000,24.1000,24.1000,4500,0
CMO-E.US,5,20131115,180000,24.0700,24.0700,24.0700,24.0700,100,0
CMO-E.US,5,20131115,180500,24.0700,24.0700,24.0700,24.0700,200,0
CMO-E.US,5,20131115,181000,24.0700,24.0700,24.0500,24.0500,700,0
CMO-E.US,5,20131115,181500,24.0500,24.1000,24.0500,24.1000,7200,0
CMO-E.US,5,20131115,182000,24.1000,24.1000,24.1000,24.1000,1400,0
CMO-E.US,5,20131115,183000,24.0500,24.0500,24.0500,24.0500,200,0
CMO-E.US,5,20131115,183500,24.0500,24.0500,24.0500,24.0500,200,0
CMO-E.US,5,20131115,184000,24.1000,24.1000,24.1000,24.1000,2200,0
