<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMS-B.US,5,20131112,213000,94.5000,94.5000,94.5000,94.5000,135,0
CMS-B.US,5,20131113,164500,95.8000,95.8000,95.8000,95.8000,70,0
CMS-B.US,5,20131113,170500,95.8000,95.8000,95.8000,95.8000,30,0
CMS-B.US,5,20131113,213500,96.0000,96.0000,96.0000,96.0000,20,0
CMS-B.US,5,20131113,214500,96.0000,96.0000,96.0000,96.0000,31,0
CMS-B.US,5,20131115,154500,97.1500,97.1500,97.1500,97.1500,100,0
CMS-B.US,5,20131115,220000,97.0000,97.0000,97.0000,97.0000,200,0
CMS-B.US,5,20131118,172500,96.0300,96.0300,96.0300,96.0300,300,0
CMS-B.US,5,20131119,172500,98.5000,98.5000,97.0000,97.0000,65,0
CMS-B.US,5,20131119,181000,97.0200,97.0200,97.0000,97.0000,25,0
CMS-B.US,5,20131119,210500,97.0000,97.0000,96.5000,96.5000,185,0
CMS-B.US,5,20131119,212000,95.7000,95.7000,95.7000,95.7000,60,0
CMS-B.US,5,20131119,213500,95.5200,95.5200,95.5200,95.5200,60,0
CMS-B.US,5,20131119,220000,95.0100,95.0100,95.0100,95.0100,10,0
CMS-B.US,5,20131120,160000,95.9500,95.9500,95.9500,95.9500,100,0
CMS-B.US,5,20131120,175000,96.0000,96.0000,96.0000,96.0000,20,0
CMS-B.US,5,20131120,200500,94.0000,94.0000,94.0000,94.0000,100,0
CMS-B.US,5,20131120,213500,96.4000,96.4000,96.4000,96.4000,250,0
CMS-B.US,5,20131120,215500,94.9100,94.9100,94.9100,94.9100,10,0
CMS-B.US,5,20131121,155000,96.3400,96.3400,96.0700,96.0700,500,0
CMS-B.US,5,20131121,204500,95.0000,95.0000,95.0000,95.0000,10,0
CMS-B.US,5,20131122,160500,96.4300,96.4300,96.4300,96.4300,80,0
CMS-B.US,5,20131122,220000,94.4700,94.4700,94.4700,94.4700,120,0
CMS-B.US,5,20131125,164000,99.8000,99.8000,99.8000,99.8000,10,0
CMS-B.US,5,20131125,182000,97.5000,97.5000,97.5000,97.5000,120,0
CMS-B.US,5,20131125,182500,99.8900,99.9100,98.0000,99.0000,325,0
CMS-B.US,5,20131125,183000,99.9000,99.9000,99.9000,99.9000,20,0
CMS-B.US,5,20131125,183500,99.6000,99.6000,99.6000,99.6000,20,0
CMS-B.US,5,20131125,201000,98.2000,98.2000,98.2000,98.2000,20,0
CMS-B.US,5,20131125,215500,98.2500,98.2500,98.2500,98.2500,70,0
CMS-B.US,5,20131125,220000,98.5000,98.5000,98.5000,98.5000,60,0
CMS-B.US,5,20131126,183500,100.0200,100.0200,100.0200,100.0200,10,0
CMS-B.US,5,20131126,185000,99.5000,99.5000,99.5000,99.5000,10,0
CMS-B.US,5,20131126,185500,98.0000,98.0000,98.0000,98.0000,50,0
CMS-B.US,5,20131126,211000,98.0000,98.0000,98.0000,98.0000,250,0
CMS-B.US,5,20131126,215500,99.5000,99.5000,99.5000,99.5000,10,0
CMS-B.US,5,20131203,155000,98.0000,98.0000,98.0000,98.0000,20,0
CMS-B.US,5,20131204,182000,98.4200,98.4200,97.2300,97.2300,500,0
CMS-B.US,5,20131204,215500,99.4300,99.4300,99.4300,99.4300,95,0
CMS-B.US,5,20131209,185500,98.5000,98.5000,98.5000,98.5000,100,0
CMS-B.US,5,20131209,212500,98.5000,98.5000,98.5000,98.5000,100,0
