<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CODI.US,5,20131112,153500,18.7900,18.7900,18.7900,18.7900,100,0
CODI.US,5,20131112,154000,18.6900,18.7200,18.6900,18.7200,600,0
CODI.US,5,20131112,154500,18.6900,18.6900,18.6500,18.6500,600,0
CODI.US,5,20131112,155000,18.6900,18.7100,18.6700,18.7000,1740,0
CODI.US,5,20131112,155500,18.6800,18.6900,18.6700,18.6700,620,0
CODI.US,5,20131112,160000,18.6600,18.6900,18.6500,18.6800,500,0
CODI.US,5,20131112,160500,18.6700,18.6800,18.6700,18.6800,300,0
CODI.US,5,20131112,161500,18.6800,18.6900,18.6800,18.6900,200,0
CODI.US,5,20131112,162000,18.6900,18.6900,18.5900,18.6500,4300,0
CODI.US,5,20131112,162500,18.6800,18.6800,18.6400,18.6400,2200,0
CODI.US,5,20131112,163500,18.6400,18.6400,18.6400,18.6400,333,0
CODI.US,5,20131112,164500,18.6700,18.6700,18.6500,18.6500,200,0
CODI.US,5,20131112,165000,18.6500,18.6600,18.6500,18.6600,300,0
CODI.US,5,20131112,165500,18.6400,18.6500,18.6100,18.6100,300,0
CODI.US,5,20131112,170000,18.5900,18.5900,18.5500,18.5500,1200,0
CODI.US,5,20131112,170500,18.5500,18.5900,18.5500,18.5900,200,0
CODI.US,5,20131112,171000,18.6200,18.6200,18.5900,18.5900,473,0
CODI.US,5,20131112,171500,18.6000,18.6000,18.5800,18.5900,300,0
CODI.US,5,20131112,172000,18.5800,18.6700,18.5800,18.6200,3294,0
CODI.US,5,20131112,172500,18.6100,18.6200,18.6100,18.6200,200,0
CODI.US,5,20131112,173000,18.6300,18.6300,18.6300,18.6300,200,0
CODI.US,5,20131112,173500,18.6200,18.6200,18.6100,18.6200,500,0
CODI.US,5,20131112,174000,18.6200,18.6200,18.6000,18.6200,500,0
CODI.US,5,20131112,174500,18.6200,18.6200,18.6200,18.6200,100,0
CODI.US,5,20131112,175000,18.5900,18.6100,18.5900,18.6100,200,0
CODI.US,5,20131112,175500,18.6100,18.6100,18.5900,18.5900,200,0
CODI.US,5,20131112,180000,18.6300,18.6300,18.5800,18.5800,2500,0
CODI.US,5,20131112,180500,18.5800,18.5800,18.5800,18.5800,100,0
CODI.US,5,20131112,181000,18.5800,18.5800,18.5500,18.5500,3894,0
CODI.US,5,20131112,181500,18.5500,18.5700,18.5500,18.5700,693,0
CODI.US,5,20131112,182000,18.5600,18.5600,18.5600,18.5600,100,0
CODI.US,5,20131112,182500,18.5600,18.5600,18.5600,18.5600,104,0
CODI.US,5,20131112,183000,18.5700,18.6000,18.5700,18.5800,999,0
CODI.US,5,20131112,183500,18.5500,18.5500,18.5500,18.5500,250,0
CODI.US,5,20131112,184000,18.5500,18.5900,18.5500,18.5600,3000,0
CODI.US,5,20131112,184500,18.5700,18.5700,18.5500,18.5600,600,0
CODI.US,5,20131112,185000,18.5900,18.6200,18.5700,18.6100,2340,0
CODI.US,5,20131112,185500,18.6100,18.6100,18.5500,18.5800,600,0
CODI.US,5,20131112,190000,18.5700,18.5800,18.5700,18.5800,637,0
CODI.US,5,20131112,190500,18.5800,18.5800,18.5800,18.5800,400,0
CODI.US,5,20131112,191000,18.5800,18.5900,18.5500,18.5500,1600,0
CODI.US,5,20131112,191500,18.5700,18.5700,18.5300,18.5300,1150,0
CODI.US,5,20131112,192000,18.5600,18.5800,18.5600,18.5800,600,0
CODI.US,5,20131112,192500,18.5600,18.5700,18.5400,18.5400,600,0
CODI.US,5,20131112,193000,18.5400,18.5400,18.5300,18.5400,1200,0
CODI.US,5,20131112,193500,18.5500,18.5500,18.5500,18.5500,100,0
CODI.US,5,20131112,194000,18.5400,18.5400,18.4600,18.4900,1500,0
CODI.US,5,20131112,194500,18.5300,18.5300,18.5300,18.5300,200,0
CODI.US,5,20131112,195000,18.5200,18.5200,18.4500,18.4500,10906,0
CODI.US,5,20131112,195500,18.4600,18.4600,18.4600,18.4600,100,0
CODI.US,5,20131112,200000,18.4900,18.4900,18.4900,18.4900,100,0
CODI.US,5,20131112,200500,18.4800,18.4800,18.4500,18.4500,900,0
CODI.US,5,20131112,201000,18.4700,18.4900,18.4500,18.4500,970,0
CODI.US,5,20131112,201500,18.4900,18.4900,18.4900,18.4900,550,0
CODI.US,5,20131112,202000,18.5000,18.5000,18.4800,18.4800,200,0
CODI.US,5,20131112,202500,18.4900,18.4900,18.4600,18.4800,1150,0
CODI.US,5,20131112,203000,18.4900,18.4900,18.4100,18.4100,5837,0
CODI.US,5,20131112,203500,18.4000,18.4300,18.4000,18.4000,1303,0
CODI.US,5,20131112,204000,18.4100,18.4100,18.4100,18.4100,460,0
CODI.US,5,20131112,204500,18.4100,18.4100,18.4000,18.4000,2500,0
CODI.US,5,20131112,205000,18.4100,18.4400,18.4000,18.4000,8726,0
CODI.US,5,20131112,205500,18.4000,18.4000,18.4000,18.4000,200,0
CODI.US,5,20131112,210000,18.4300,18.4400,18.4300,18.4400,300,0
CODI.US,5,20131112,210500,18.4500,18.4500,18.4500,18.4500,300,0
CODI.US,5,20131112,211000,18.4600,18.4700,18.4600,18.4700,830,0
CODI.US,5,20131112,211500,18.4600,18.4700,18.4600,18.4700,700,0
CODI.US,5,20131112,212000,18.4800,18.4800,18.4800,18.4800,735,0
CODI.US,5,20131112,212500,18.4800,18.4900,18.4800,18.4900,600,0
CODI.US,5,20131112,213000,18.4800,18.4800,18.4700,18.4700,400,0
